"Approachesfrominside100yardsRgh_RANKTHISWEEK_2005","Approachesfrominside100yardsRgh_RANKLASTWEEK_2005","Approachesfrominside100yardsRgh_PLAYERNAME_2005","Approachesfrominside100yardsRgh_ROUNDS_2005","Approachesfrominside100yardsRgh_AVG_2005","Approachesfrominside100yardsRgh_TOTALDISTANCEFEET_2005","Approachesfrominside100yardsRgh_OFATTEMPTS_2005","Approachesfrominside100yardsRgh_RELATIVETOPAR_2005","stat_name","year"
1,1,"Luke Donald",67,NA,313.167,19,0,"Approachesfrominside100yardsRgh",2005
2,2,"Joe Durant",81,NA,412.25,24,3,"Approachesfrominside100yardsRgh",2005
3,3,"Dennis Paulson",63,NA,754,42,11,"Approachesfrominside100yardsRgh",2005
4,4,"Tim Clark",92,NA,700.667,39,-7,"Approachesfrominside100yardsRgh",2005
4,4,"Phil Mickelson",81,NA,612.333,34,-6,"Approachesfrominside100yardsRgh",2005
6,6,"Bill Glasson",54,NA,417.5,23,7,"Approachesfrominside100yardsRgh",2005
7,7,"Ian Poulter",62,NA,255.25,14,6,"Approachesfrominside100yardsRgh",2005
8,8,"Loren Roberts",54,NA,349,19,2,"Approachesfrominside100yardsRgh",2005
9,9,"Chad Campbell",95,NA,555.25,30,0,"Approachesfrominside100yardsRgh",2005
10,10,"Phillip Price",77,NA,715.833,38,-7,"Approachesfrominside100yardsRgh",2005
11,11,"Arron Oberholser",65,NA,453.917,24,1,"Approachesfrominside100yardsRgh",2005
12,12,"Darron Stiles",78,NA,897.25,47,1,"Approachesfrominside100yardsRgh",2005
13,13,"Ryan Palmer",101,NA,651.833,34,10,"Approachesfrominside100yardsRgh",2005
14,14,"Adam Scott",72,NA,635.083,33,2,"Approachesfrominside100yardsRgh",2005
15,15,"John Cook",72,NA,656.75,34,12,"Approachesfrominside100yardsRgh",2005
16,16,"Tommy Armour III",103,NA,1052.083,54,8,"Approachesfrominside100yardsRgh",2005
17,17,"Peter Lonard",85,NA,673.583,34,6,"Approachesfrominside100yardsRgh",2005
18,18,"Woody Austin",100,NA,777.917,39,3,"Approachesfrominside100yardsRgh",2005
19,19,"Fred Couples",72,NA,479,24,-2,"Approachesfrominside100yardsRgh",2005
19,19,"Ryuji Imada",78,NA,639.917,32,4,"Approachesfrominside100yardsRgh",2005
21,21,"Briny Baird",98,NA,662.833,33,6,"Approachesfrominside100yardsRgh",2005
21,21,"Steve Elkington",67,NA,481.25,24,3,"Approachesfrominside100yardsRgh",2005
23,23,"Stephen Leaney",89,NA,632.417,31,-1,"Approachesfrominside100yardsRgh",2005
23,23,"Rory Sabbatini",81,NA,1021.75,50,8,"Approachesfrominside100yardsRgh",2005
25,25,"Arjun Atwal",65,NA,409.333,20,1,"Approachesfrominside100yardsRgh",2005
25,25,"Jay Haas",54,NA,286.833,14,-1,"Approachesfrominside100yardsRgh",2005
27,27,"Richard Johnson",50,NA,309.167,15,2,"Approachesfrominside100yardsRgh",2005
27,27,"Andrew Magee",82,NA,883.5,43,11,"Approachesfrominside100yardsRgh",2005
29,29,"Danny Briggs",70,NA,436,21,9,"Approachesfrominside100yardsRgh",2005
29,29,"Jeff Hart",63,NA,706.5,34,-1,"Approachesfrominside100yardsRgh",2005
31,31,"Dan Forsman",52,NA,438.417,21,-1,"Approachesfrominside100yardsRgh",2005
32,32,"Fred Funk",102,NA,755.083,36,-3,"Approachesfrominside100yardsRgh",2005
33,33,"Cameron Beckman",96,NA,1013.5,48,2,"Approachesfrominside100yardsRgh",2005
33,33,"Matt Gogel",78,NA,570.083,27,3,"Approachesfrominside100yardsRgh",2005
33,33,"Brett Wetterich",76,NA,1035,49,-6,"Approachesfrominside100yardsRgh",2005
36,36,"Doug Barron",70,NA,825,39,8,"Approachesfrominside100yardsRgh",2005
36,36,"Olin Browne",99,NA,699.417,33,-1,"Approachesfrominside100yardsRgh",2005
38,38,"Chris DiMarco",83,NA,853,40,10,"Approachesfrominside100yardsRgh",2005
39,39,"Justin Leonard",78,NA,303.083,14,7,"Approachesfrominside100yardsRgh",2005
40,40,"Paul Gow",78,NA,853.25,39,3,"Approachesfrominside100yardsRgh",2005
40,40,"Bob Tway",87,NA,461,21,5,"Approachesfrominside100yardsRgh",2005
40,40,"Dean Wilson",86,NA,723.833,33,7,"Approachesfrominside100yardsRgh",2005
43,43,"Daniel Chopra",108,NA,988.917,45,0,"Approachesfrominside100yardsRgh",2005
43,43,"Jose Maria Olazabal",55,NA,440,20,2,"Approachesfrominside100yardsRgh",2005
45,45,"Kevin Na",88,NA,971.833,44,-6,"Approachesfrominside100yardsRgh",2005
46,46,"Jay Williamson",53,NA,421.083,19,4,"Approachesfrominside100yardsRgh",2005
47,47,"Bernhard Langer",67,NA,577.917,26,-2,"Approachesfrominside100yardsRgh",2005
48,48,"Ted Purdy",122,NA,1125.333,50,4,"Approachesfrominside100yardsRgh",2005
48,48,"Scott Verplank",87,NA,539.083,24,3,"Approachesfrominside100yardsRgh",2005
50,50,"Jason Bohn",91,NA,904.667,40,4,"Approachesfrominside100yardsRgh",2005
50,50,"Brian Davis",75,NA,723.333,32,1,"Approachesfrominside100yardsRgh",2005
50,50,"Padraig Harrington",50,NA,541.75,24,1,"Approachesfrominside100yardsRgh",2005
50,50,"Roland Thatcher",75,NA,1149.667,51,4,"Approachesfrominside100yardsRgh",2005
54,54,"Jose Coceres",56,NA,724,32,4,"Approachesfrominside100yardsRgh",2005
54,54,"Bo Van Pelt",112,NA,1111.75,49,1,"Approachesfrominside100yardsRgh",2005
56,56,"Davis Love III",80,NA,432.25,19,-2,"Approachesfrominside100yardsRgh",2005
56,56,"Vijay Singh",111,NA,1549.333,68,-3,"Approachesfrominside100yardsRgh",2005
58,58,"Stewart Cink",98,NA,867.5,38,5,"Approachesfrominside100yardsRgh",2005
59,59,"Mark Calcavecchia",92,NA,986.417,43,2,"Approachesfrominside100yardsRgh",2005
59,59,"Todd Hamilton",94,NA,1444.917,63,10,"Approachesfrominside100yardsRgh",2005
61,61,"Bob Estes",92,NA,599.417,26,-2,"Approachesfrominside100yardsRgh",2005
61,61,"Heath Slocum",103,NA,1015.833,44,-4,"Approachesfrominside100yardsRgh",2005
63,63,"Dudley Hart",84,NA,742.083,32,13,"Approachesfrominside100yardsRgh",2005
63,63,"Mark Wilson",74,NA,741.083,32,7,"Approachesfrominside100yardsRgh",2005
65,65,"Justin Rose",99,NA,1208.667,52,-2,"Approachesfrominside100yardsRgh",2005
66,66,"Marco Dawson",82,NA,1096.417,47,5,"Approachesfrominside100yardsRgh",2005
66,66,"Patrick Sheehan",114,NA,1026.5,44,13,"Approachesfrominside100yardsRgh",2005
68,68,"JL Lewis",98,NA,889.917,38,1,"Approachesfrominside100yardsRgh",2005
68,68,"Hunter Mahan",103,NA,1404.75,60,17,"Approachesfrominside100yardsRgh",2005
68,68,"Jeff Sluman",94,NA,914.25,39,2,"Approachesfrominside100yardsRgh",2005
71,71,"Shigeki Maruyama",99,NA,1152.667,49,6,"Approachesfrominside100yardsRgh",2005
71,71,"Geoff Ogilvy",97,NA,1176.167,50,2,"Approachesfrominside100yardsRgh",2005
71,71,"John Rollins",97,NA,1431.417,61,14,"Approachesfrominside100yardsRgh",2005
74,74,"Stephen Ames",82,NA,450.083,19,7,"Approachesfrominside100yardsRgh",2005
74,74,"Glen Hnatiuk",59,NA,639.167,27,3,"Approachesfrominside100yardsRgh",2005
74,74,"Rocco Mediate",73,NA,709.583,30,0,"Approachesfrominside100yardsRgh",2005
74,74,"Kenny Perry",82,NA,638.833,27,-2,"Approachesfrominside100yardsRgh",2005
78,78,"Robert Damron",89,NA,665.917,28,4,"Approachesfrominside100yardsRgh",2005
78,78,"Bradley Hughes",52,NA,379.333,16,5,"Approachesfrominside100yardsRgh",2005
78,78,"Scott McCarron",78,NA,950.083,40,-1,"Approachesfrominside100yardsRgh",2005
78,78,"Rob Rashell",65,NA,807.167,34,14,"Approachesfrominside100yardsRgh",2005
78,78,"Mario Tiziani",67,NA,641.5,27,5,"Approachesfrominside100yardsRgh",2005
83,83,"Hidemichi Tanaka",106,NA,1048,44,2,"Approachesfrominside100yardsRgh",2005
83,83,"David Toms",87,NA,715.083,30,4,"Approachesfrominside100yardsRgh",2005
83,83,"Omar Uresti",84,NA,595.917,25,1,"Approachesfrominside100yardsRgh",2005
86,86,"Jeff Brehaut",71,NA,478.333,20,0,"Approachesfrominside100yardsRgh",2005
86,86,"Steve Flesch",90,NA,670,28,5,"Approachesfrominside100yardsRgh",2005
86,86,"Tag Ridings",93,NA,1242.333,52,8,"Approachesfrominside100yardsRgh",2005
86,86,"Kirk Triplett",55,NA,454.667,19,3,"Approachesfrominside100yardsRgh",2005
86,86,"Tiger Woods",76,NA,909.417,38,-3,"Approachesfrominside100yardsRgh",2005
91,91,"Brian Gay",101,NA,913.167,38,3,"Approachesfrominside100yardsRgh",2005
91,91,"Steve Stricker",62,NA,840.583,35,-3,"Approachesfrominside100yardsRgh",2005
93,93,"Tom Lehman",69,NA,506.333,21,1,"Approachesfrominside100yardsRgh",2005
94,94,"Paul Azinger",66,NA,944,39,14,"Approachesfrominside100yardsRgh",2005
94,94,"Rich Beem",66,NA,604.667,25,6,"Approachesfrominside100yardsRgh",2005
94,94,"Sergio Garcia",73,NA,1161.333,48,-1,"Approachesfrominside100yardsRgh",2005
94,94,"Len Mattiace",86,NA,1159,48,9,"Approachesfrominside100yardsRgh",2005
98,98,"Glen Day",80,NA,1091.5,45,7,"Approachesfrominside100yardsRgh",2005
98,98,"Hideto Tanihara",50,NA,436.75,18,5,"Approachesfrominside100yardsRgh",2005
100,100,"Chris Anderson",66,NA,561.417,23,-2,"Approachesfrominside100yardsRgh",2005
100,100,"Jonathan Byrd",103,NA,1293.083,53,9,"Approachesfrominside100yardsRgh",2005
100,100,"Paul Claxton",79,NA,561.25,23,1,"Approachesfrominside100yardsRgh",2005
100,100,"Mathias Gronberg",60,NA,757.333,31,1,"Approachesfrominside100yardsRgh",2005
100,100,"Shaun Micheel",81,NA,708,29,1,"Approachesfrominside100yardsRgh",2005
100,100,"Sean OHair",103,NA,1318,54,17,"Approachesfrominside100yardsRgh",2005
106,106,"Tom Byrum",83,NA,589.583,24,5,"Approachesfrominside100yardsRgh",2005
106,106,"Ben Crane",78,NA,1081.75,44,1,"Approachesfrominside100yardsRgh",2005
106,106,"Jonathan Kaye",77,NA,884.917,36,8,"Approachesfrominside100yardsRgh",2005
106,106,"Neal Lancaster",95,NA,1304.417,53,8,"Approachesfrominside100yardsRgh",2005
110,110,"Lucas Glover",88,NA,839.167,34,9,"Approachesfrominside100yardsRgh",2005
111,111,"Chris Riley",67,NA,321.333,13,6,"Approachesfrominside100yardsRgh",2005
112,112,"Alex Cejka",84,NA,720.583,29,2,"Approachesfrominside100yardsRgh",2005
112,112,"Steve Jones",56,NA,471.667,19,5,"Approachesfrominside100yardsRgh",2005
114,114,"Bob Heintz",67,NA,797,32,12,"Approachesfrominside100yardsRgh",2005
115,115,"John Senden",101,NA,1201.417,48,8,"Approachesfrominside100yardsRgh",2005
116,116,"Todd Fischer",99,NA,1355.583,54,10,"Approachesfrominside100yardsRgh",2005
117,117,"Brian Bateman",98,NA,1259.083,50,10,"Approachesfrominside100yardsRgh",2005
117,117,"Zach Johnson",96,NA,1233,49,3,"Approachesfrominside100yardsRgh",2005
119,119,"Will Ma Kenzie",75,NA,1062.167,42,-3,"Approachesfrominside100yardsRgh",2005
119,119,"Pat Perez",89,NA,1441.083,57,5,"Approachesfrominside100yardsRgh",2005
119,119,"Vaughn Taylor",99,NA,1213.333,48,14,"Approachesfrominside100yardsRgh",2005
122,122,"Kent Jones",99,NA,810.5,32,3,"Approachesfrominside100yardsRgh",2005
123,123,"Billy Andrade",83,NA,713.667,28,4,"Approachesfrominside100yardsRgh",2005
124,124,"Joe Ogilvie",103,NA,1125.75,44,6,"Approachesfrominside100yardsRgh",2005
124,124,"DJ Trahan",81,NA,998.25,39,5,"Approachesfrominside100yardsRgh",2005
126,126,"Frank Lickliter II",100,NA,1162.083,45,5,"Approachesfrominside100yardsRgh",2005
127,127,"John Daly",78,NA,1269.25,49,6,"Approachesfrominside100yardsRgh",2005
127,127,"Charles Howell III",95,NA,880.833,34,3,"Approachesfrominside100yardsRgh",2005
127,127,"Tjaart van der Walt",56,NA,932.667,36,9,"Approachesfrominside100yardsRgh",2005
127,127,"Nick Watney",91,NA,1165.833,45,10,"Approachesfrominside100yardsRgh",2005
131,131,"Hank Kuehne",84,NA,1379.333,53,14,"Approachesfrominside100yardsRgh",2005
132,132,"John Huston",90,NA,1070.833,41,10,"Approachesfrominside100yardsRgh",2005
132,132,"Larry Mize",54,NA,468.833,18,0,"Approachesfrominside100yardsRgh",2005
134,134,"JP Hayes",63,NA,916.417,35,9,"Approachesfrominside100yardsRgh",2005
134,134,"Lee Westwood",50,NA,549.167,21,10,"Approachesfrominside100yardsRgh",2005
136,136,"Brett Quigley",96,NA,1261.25,48,7,"Approachesfrominside100yardsRgh",2005
137,137,"Michael Allen",90,NA,1262.083,48,7,"Approachesfrominside100yardsRgh",2005
138,138,"Brad Faxon",75,NA,845.417,32,2,"Approachesfrominside100yardsRgh",2005
138,138,"Freddie Jacobson",72,NA,1082.083,41,10,"Approachesfrominside100yardsRgh",2005
138,138,"Tom Pernice Jr",111,NA,1530.583,58,17,"Approachesfrominside100yardsRgh",2005
