"OfficialWorldGolfRanking_RANKTHISWEEK_2005","OfficialWorldGolfRanking_RANKLASTWEEK_2005","OfficialWorldGolfRanking_PLAYERNAME_2005","OfficialWorldGolfRanking_EVENTS_2005","OfficialWorldGolfRanking_AVGPOINTS_2005","OfficialWorldGolfRanking_TOTALPOINTS_2005","OfficialWorldGolfRanking_POINTSLOST_2005","OfficialWorldGolfRanking_POINTSGAINED_2005","OfficialWorldGolfRanking_COUNTRY_2005","stat_name","year"
1,NA,"Tiger Woods",44,17.39,765.34,-471.09,772.44,NA,"OfficialWorldGolfRanking",2005
2,NA,"Vijay Singh",63,10.06,633.93,-648.21,514.53,NA,"OfficialWorldGolfRanking",2005
3,NA,"Phil Mickelson",45,8.4,377.99,-328.04,369.93,NA,"OfficialWorldGolfRanking",2005
4,NA,"Retief Goosen",52,8.02,416.84,-333.51,354.2,NA,"OfficialWorldGolfRanking",2005
5,NA,"Ernie Els",46,7.88,362.56,-474.45,255.03,NA,"OfficialWorldGolfRanking",2005
6,NA,"Sergio Garcia",46,7.38,339.37,-216.26,296.4,NA,"OfficialWorldGolfRanking",2005
7,NA,"Jim Furyk",41,5.91,242.43,-170.55,272.13,NA,"OfficialWorldGolfRanking",2005
8,NA,"Adam Scott",50,5.07,253.3,-217.09,245.42,NA,"OfficialWorldGolfRanking",2005
9,NA,"Colin Montgomerie",56,4.86,271.89,-100.16,282.9,NA,"OfficialWorldGolfRanking",2005
10,NA,"Chris DiMarco",51,4.69,239.38,-193.7,224.69,NA,"OfficialWorldGolfRanking",2005
11,NA,"Kenny Perry",46,4.68,215.21,-190.94,233.3,NA,"OfficialWorldGolfRanking",2005
12,NA,"Angel Cabrera",42,4.53,190.1,-114.55,180.13,NA,"OfficialWorldGolfRanking",2005
13,NA,"David Howell",52,4.52,234.92,-119.69,217.4,NA,"OfficialWorldGolfRanking",2005
14,NA,"Luke Donald",53,4.52,239.33,-158.22,226.91,NA,"OfficialWorldGolfRanking",2005
15,NA,"Michael Campbell",53,4.51,239.24,-89.47,249.88,NA,"OfficialWorldGolfRanking",2005
16,NA,"David Toms",49,4.34,212.87,-194.8,235.82,NA,"OfficialWorldGolfRanking",2005
17,NA,"Padraig Harrington",51,4.33,220.83,-226.76,170.32,NA,"OfficialWorldGolfRanking",2005
18,NA,"Darren Clarke",50,4.09,204.57,-212.83,177.19,NA,"OfficialWorldGolfRanking",2005
19,NA,"Davis Love III",48,3.98,190.94,-239.95,177.87,NA,"OfficialWorldGolfRanking",2005
20,NA,"Tim Clark",57,3.8,216.35,-119.84,237.04,NA,"OfficialWorldGolfRanking",2005
21,NA,"Paul McGinley",52,3.67,190.61,-91.24,186.26,NA,"OfficialWorldGolfRanking",2005
22,NA,"Bart Bryant",52,3.48,181.1,-55.35,193.07,NA,"OfficialWorldGolfRanking",2005
23,NA,"Thomas Bjorn",52,3.45,179.63,-146.77,164.19,NA,"OfficialWorldGolfRanking",2005
24,NA,"Nick OHern",56,3.39,189.72,-112.75,179.98,NA,"OfficialWorldGolfRanking",2005
25,NA,"Fred Couples",42,3.33,139.71,-115,138.04,NA,"OfficialWorldGolfRanking",2005
26,NA,"Stewart Cink",55,3.32,182.72,-202.32,115.13,NA,"OfficialWorldGolfRanking",2005
27,NA,"Jose Maria Olazabal",55,3.3,181.75,-77.43,188.66,NA,"OfficialWorldGolfRanking",2005
28,NA,"Scott Verplank",49,3.3,161.86,-151.97,144.97,NA,"OfficialWorldGolfRanking",2005
29,NA,"John Daly",50,3.07,153.67,-100.93,134.07,NA,"OfficialWorldGolfRanking",2005
30,NA,"Stuart Appleby",58,2.99,173.6,-210.88,147.51,NA,"OfficialWorldGolfRanking",2005
31,NA,"KJ Choi",61,2.95,179.83,-167.67,144.27,NA,"OfficialWorldGolfRanking",2005
32,NA,"Henrik Stenson",52,2.9,150.54,-58.94,151.33,NA,"OfficialWorldGolfRanking",2005
33,NA,"Justin Leonard",50,2.87,143.69,-125.8,145.08,NA,"OfficialWorldGolfRanking",2005
34,NA,"Ben Crane",48,2.86,137.37,-70.35,139.08,NA,"OfficialWorldGolfRanking",2005
35,NA,"Mark Hensby",55,2.85,156.95,-104.09,123.06,NA,"OfficialWorldGolfRanking",2005
36,NA,"Chad Campbell",55,2.85,156.76,-185,145.46,NA,"OfficialWorldGolfRanking",2005
37,NA,"Robert Allenby",67,2.8,187.29,-135.69,162.34,NA,"OfficialWorldGolfRanking",2005
38,NA,"Sean OHair",40,2.74,109.75,-22.15,131.9,NA,"OfficialWorldGolfRanking",2005
39,NA,"Fred Funk",59,2.71,159.97,-127.1,155.92,NA,"OfficialWorldGolfRanking",2005
40,NA,"Shingo Katayama",52,2.7,140.44,-88.9,115.33,NA,"OfficialWorldGolfRanking",2005
41,NA,"Tom Lehman",42,2.66,111.57,-86.51,106.81,NA,"OfficialWorldGolfRanking",2005
42,NA,"Shigeki Maruyama",56,2.63,147.42,-137.94,121.08,NA,"OfficialWorldGolfRanking",2005
43,NA,"Lee Westwood",53,2.62,138.7,-137.31,93.19,NA,"OfficialWorldGolfRanking",2005
44,NA,"Miguel Jimenez",56,2.61,146.14,-166.68,92.54,NA,"OfficialWorldGolfRanking",2005
45,NA,"Brandt Jobe",40,2.53,101.34,-36.52,114.74,NA,"OfficialWorldGolfRanking",2005
46,NA,"Mike Weir",46,2.45,112.51,-208.29,83.29,NA,"OfficialWorldGolfRanking",2005
47,NA,"Peter Lonard",63,2.44,153.86,-143.08,131.76,NA,"OfficialWorldGolfRanking",2005
48,NA,"Tim Herron",54,2.44,131.6,-104.19,130.51,NA,"OfficialWorldGolfRanking",2005
49,NA,"Rod Pampling",58,2.36,137.13,-104.89,115.13,NA,"OfficialWorldGolfRanking",2005
50,NA,"Stephen Ames",51,2.33,118.76,-137.32,62.05,NA,"OfficialWorldGolfRanking",2005
51,NA,"Paul Casey",52,2.3,119.41,-122.61,93.6,NA,"OfficialWorldGolfRanking",2005
52,NA,"Geoff Ogilvy",57,2.28,129.92,-98.08,128.96,NA,"OfficialWorldGolfRanking",2005
53,NA,"Graeme McDowell",58,2.27,131.44,-92.85,100.13,NA,"OfficialWorldGolfRanking",2005
54,NA,"Zach Johnson",60,2.25,134.9,-107.14,115.27,NA,"OfficialWorldGolfRanking",2005
55,NA,"Charles Howell III",59,2.25,132.46,-127.53,132.93,NA,"OfficialWorldGolfRanking",2005
56,NA,"Bernhard Langer",41,2.21,90.79,-68.91,86.71,NA,"OfficialWorldGolfRanking",2005
57,NA,"Carl Pettersson",62,2.21,137.15,-62.26,114.38,NA,"OfficialWorldGolfRanking",2005
58,NA,"Steve Elkington",42,2.19,92.18,-25.24,105.43,NA,"OfficialWorldGolfRanking",2005
59,NA,"Ian Poulter",60,2.07,124.18,-128.63,93.2,NA,"OfficialWorldGolfRanking",2005
60,NA,"Niclas Fasth",53,2.06,109.32,-69.7,123.59,NA,"OfficialWorldGolfRanking",2005
61,NA,"Craig Parry",47,2.01,94.42,-88.63,103.08,NA,"OfficialWorldGolfRanking",2005
62,NA,"Mark Calcavecchia",53,2,105.94,-58.72,110.16,NA,"OfficialWorldGolfRanking",2005
63,NA,"Trevor Immelman",54,1.97,106.61,-113.07,90.43,NA,"OfficialWorldGolfRanking",2005
64,NA,"Ted Purdy",69,1.95,134.89,-72.95,134.15,NA,"OfficialWorldGolfRanking",2005
65,NA,"Jerry Kelly",60,1.93,115.91,-129.09,81.57,NA,"OfficialWorldGolfRanking",2005
66,NA,"Lucas Glover",59,1.88,111.05,-33.29,114.77,NA,"OfficialWorldGolfRanking",2005
67,NA,"Brad Faxon",51,1.86,94.8,-103.32,89.23,NA,"OfficialWorldGolfRanking",2005
68,NA,"Kenneth Ferrie",57,1.79,101.78,-35.65,103.25,NA,"OfficialWorldGolfRanking",2005
69,NA,"Tom Pernice Jr",63,1.76,110.94,-72.3,97.76,NA,"OfficialWorldGolfRanking",2005
70,NA,"Rory Sabbatini",52,1.76,91.44,-114.49,61.41,NA,"OfficialWorldGolfRanking",2005
71,NA,"Olin Browne",59,1.75,103.27,-29.95,103.48,NA,"OfficialWorldGolfRanking",2005
72,NA,"Richard Green",56,1.73,97.05,-80.25,64.53,NA,"OfficialWorldGolfRanking",2005
73,NA,"Billy Mayfair",63,1.72,108.4,-55.43,127.7,NA,"OfficialWorldGolfRanking",2005
74,NA,"Carlos Franco",55,1.71,93.93,-73.17,63.34,NA,"OfficialWorldGolfRanking",2005
75,NA,"Vaughn Taylor",60,1.69,101.37,-46.23,98.59,NA,"OfficialWorldGolfRanking",2005
76,NA,"Nick Dougherty",66,1.68,110.67,-43.9,132.52,NA,"OfficialWorldGolfRanking",2005
77,NA,"Jason Gore",46,1.67,76.9,-6.9,78.25,NA,"OfficialWorldGolfRanking",2005
78,NA,"Joe Ogilvie",63,1.64,103.12,-79.67,109.07,NA,"OfficialWorldGolfRanking",2005
79,NA,"Bo Van Pelt",63,1.63,102.83,-66.03,94.76,NA,"OfficialWorldGolfRanking",2005
80,NA,"Paul Broadhurst",53,1.63,86.43,-39.87,82.65,NA,"OfficialWorldGolfRanking",2005
81,NA,"Stephen Dodd",52,1.63,84.72,-51.98,87.49,NA,"OfficialWorldGolfRanking",2005
82,NA,"David Smail",52,1.62,84.06,-51.98,61.91,NA,"OfficialWorldGolfRanking",2005
83,NA,"Bradley Dredge",53,1.61,85.27,-44.33,87.83,NA,"OfficialWorldGolfRanking",2005
84,NA,"Wes Short Jr",42,1.61,67.45,-4.59,67.12,NA,"OfficialWorldGolfRanking",2005
85,NA,"Ryan Palmer",69,1.6,110.28,-62.97,82.23,NA,"OfficialWorldGolfRanking",2005
86,NA,"Jay Haas",40,1.59,63.44,-115.11,33.58,NA,"OfficialWorldGolfRanking",2005
87,NA,"Jason Bohn",58,1.57,91.26,-33,93.47,NA,"OfficialWorldGolfRanking",2005
88,NA,"Justin Rose",60,1.57,94.11,-87.59,75.6,NA,"OfficialWorldGolfRanking",2005
89,NA,"Thomas Levet",57,1.55,88.62,-106.04,42.4,NA,"OfficialWorldGolfRanking",2005
90,NA,"Greg Owen",43,1.54,66.19,-52.81,83.03,NA,"OfficialWorldGolfRanking",2005
91,NA,"SK Ho",50,1.54,76.84,-55,65.12,NA,"OfficialWorldGolfRanking",2005
92,NA,"David Lynn",51,1.53,77.95,-56.94,61.7,NA,"OfficialWorldGolfRanking",2005
93,NA,"Raphael Jacquelin",52,1.52,79,-71.38,66.6,NA,"OfficialWorldGolfRanking",2005
94,NA,"Arron Oberholser",44,1.51,66.43,-64.57,58.99,NA,"OfficialWorldGolfRanking",2005
95,NA,"Toru Taniguchi",56,1.5,84.21,-61.76,47.54,NA,"OfficialWorldGolfRanking",2005
96,NA,"Jonathan Kaye",49,1.5,73.5,-126.75,81.21,NA,"OfficialWorldGolfRanking",2005
97,NA,"Todd Hamilton",61,1.46,89.35,-134.2,33.92,NA,"OfficialWorldGolfRanking",2005
98,NA,"Paul Sheehan",56,1.46,81.78,-55.04,62.3,NA,"OfficialWorldGolfRanking",2005
99,NA,"Steve Flesch",62,1.46,90.27,-138.94,58.45,NA,"OfficialWorldGolfRanking",2005
100,NA,"Keiichiro Fukabori",56,1.45,81,-53.62,68.02,NA,"OfficialWorldGolfRanking",2005
101,NA,"Yasuharu Imano",56,1.45,80.99,-28.69,79.21,NA,"OfficialWorldGolfRanking",2005
102,NA,"Loren Roberts",40,1.41,56.57,-69.59,51.31,NA,"OfficialWorldGolfRanking",2005
103,NA,"Harrison Frazar",56,1.4,78.63,-58.31,62.6,NA,"OfficialWorldGolfRanking",2005
104,NA,"Heath Slocum",60,1.4,83.98,-47.71,84.51,NA,"OfficialWorldGolfRanking",2005
105,NA,"Jeff Maggert",46,1.4,64.32,-72.68,45.63,NA,"OfficialWorldGolfRanking",2005
106,NA,"Jesper Parnevik",51,1.39,70.69,-74.28,47.63,NA,"OfficialWorldGolfRanking",2005
107,NA,"Maarten Lafeber",54,1.38,74.45,-54.57,82.73,NA,"OfficialWorldGolfRanking",2005
108,NA,"YE Yang",54,1.37,74.2,-39.82,47.36,NA,"OfficialWorldGolfRanking",2005
109,NA,"Joe Durant",51,1.35,69.08,-65.04,67.73,NA,"OfficialWorldGolfRanking",2005
110,NA,"Bob Tway",52,1.35,70.09,-95.77,65.92,NA,"OfficialWorldGolfRanking",2005
111,NA,"Peter Hanson",53,1.35,71.4,-39.35,70.79,NA,"OfficialWorldGolfRanking",2005
112,NA,"Tim Petrovic",66,1.34,88.73,-89.51,85.23,NA,"OfficialWorldGolfRanking",2005
113,NA,"Thongchai Jaidee",53,1.34,70.96,-62.25,70.67,NA,"OfficialWorldGolfRanking",2005
114,NA,"Bob Estes",50,1.34,66.86,-74.62,56.46,NA,"OfficialWorldGolfRanking",2005
115,NA,"Pat Perez",60,1.34,80.18,-47.39,79.74,NA,"OfficialWorldGolfRanking",2005
116,NA,"John Senden",64,1.31,83.78,-46.77,78.37,NA,"OfficialWorldGolfRanking",2005
117,NA,"Kirk Triplett",42,1.3,54.56,-87.92,38.11,NA,"OfficialWorldGolfRanking",2005
118,NA,"Nick Price",40,1.3,51.87,-79.44,45.39,NA,"OfficialWorldGolfRanking",2005
119,NA,"Dudley Hart",52,1.29,67.02,-46.72,64.53,NA,"OfficialWorldGolfRanking",2005
120,NA,"Anders Hansen",51,1.28,65.42,-54.52,48.49,NA,"OfficialWorldGolfRanking",2005
121,NA,"Toshi Izawa",48,1.27,61.07,-57.29,51.17,NA,"OfficialWorldGolfRanking",2005
122,NA,"Simon Khan",48,1.27,60.97,-44.27,50.99,NA,"OfficialWorldGolfRanking",2005
123,NA,"Jyoti Randhawa",49,1.26,61.9,-58.89,48.17,NA,"OfficialWorldGolfRanking",2005
124,NA,"Jeff Sluman",56,1.26,70.74,-73.35,69.23,NA,"OfficialWorldGolfRanking",2005
125,NA,"Thaworn Wiratchant",51,1.26,64.41,-25.72,63.37,NA,"OfficialWorldGolfRanking",2005
126,NA,"Joey Sindelar",60,1.26,75.55,-70.92,55.26,NA,"OfficialWorldGolfRanking",2005
127,NA,"Richard Sterne",58,1.24,72.04,-40.51,72.76,NA,"OfficialWorldGolfRanking",2005
128,NA,"Steve Webster",52,1.24,64.35,-40.07,71.16,NA,"OfficialWorldGolfRanking",2005
129,NA,"Freddie Jacobson",51,1.23,62.85,-112.42,55.28,NA,"OfficialWorldGolfRanking",2005
130,NA,"Brian Davis",60,1.23,73.85,-94.25,77.81,NA,"OfficialWorldGolfRanking",2005
131,NA,"Joey Snyder III",40,1.21,48.57,-12.18,60.75,NA,"OfficialWorldGolfRanking",2005
132,NA,"Stephen Gallacher",53,1.2,63.83,-65.26,26.74,NA,"OfficialWorldGolfRanking",2005
133,NA,"Woody Austin",59,1.2,70.97,-71.94,63.01,NA,"OfficialWorldGolfRanking",2005
