"Approaches_RANKTHISWEEK_2013","Approaches_RANKLASTWEEK_2013","Approaches_PLAYERNAME_2013","Approaches_ROUNDS_2013","Approaches_AVGRTP_2013","stat_name","year"
1,1,"Justin Hicks",79,-0.286,"Approaches",2013
1,1,"Charl Schwartzel",69,-0.286,"Approaches",2013
3,3,"Michael Bradley",56,-0.211,"Approaches",2013
4,4,"Chris Stroud",88,-0.154,"Approaches",2013
5,5,"Chez Reavie",72,-0.143,"Approaches",2013
6,6,"Luke Guthrie",82,-0.139,"Approaches",2013
7,7,"Brandt Snedeker",79,-0.13,"Approaches",2013
8,8,"KJ Choi",85,-0.118,"Approaches",2013
8,8,"Cameron Tringale",80,-0.118,"Approaches",2013
10,10,"John Merrick",79,-0.095,"Approaches",2013
11,11,"Marc Leishman",77,-0.094,"Approaches",2013
12,12,"David Lingmerth",68,-0.091,"Approaches",2013
12,12,"Steve Stricker",51,-0.091,"Approaches",2013
14,14,"Ryo Ishikawa",72,-0.08,"Approaches",2013
14,14,"Mike Weir",60,-0.08,"Approaches",2013
16,16,"Tim Herron",45,-0.077,"Approaches",2013
17,17,"George McNeill",68,-0.071,"Approaches",2013
18,18,"Scott Brown",65,-0.063,"Approaches",2013
18,18,"Jin Park",52,-0.063,"Approaches",2013
20,20,"Scott Langley",79,-0.059,"Approaches",2013
21,21,"Nicholas Thompson",99,-0.051,"Approaches",2013
22,22,"Jason Dufner",78,-0.05,"Approaches",2013
23,23,"Russell Henley",80,-0.042,"Approaches",2013
24,24,"Casey Wittenberg",72,-0.038,"Approaches",2013
25,25,"Dustin Johnson",71,-0.037,"Approaches",2013
25,25,"Chris Kirk",89,-0.037,"Approaches",2013
25,25,"Seung Yul Noh",71,-0.037,"Approaches",2013
28,28,"Angel Cabrera",73,0,"Approaches",2013
28,28,"Graham DeLaet",94,0,"Approaches",2013
28,28,"Charley Hoffman",84,0,"Approaches",2013
28,28,"Jerry Kelly",75,0,"Approaches",2013
28,28,"Matt Kuchar",93,0,"Approaches",2013
28,28,"DH Lee",65,0,"Approaches",2013
28,28,"Ryan Moore",72,0,"Approaches",2013
28,28,"Geoff Ogilvy",57,0,"Approaches",2013
28,28,"Shawn Stefani",63,0,"Approaches",2013
37,37,"Bill Haas",85,0.024,"Approaches",2013
38,38,"Bubba Watson",76,0.026,"Approaches",2013
39,39,"Luke List",65,0.029,"Approaches",2013
40,40,"Billy Horschel",96,0.03,"Approaches",2013
40,40,"Rory Sabbatini",86,0.03,"Approaches",2013
42,42,"Carl Pettersson",82,0.031,"Approaches",2013
43,43,"Hunter Mahan",91,0.032,"Approaches",2013
