"GIRPercentagefromOtherthanFairway_RANKTHISWEEK_2005","GIRPercentagefromOtherthanFairway_RANKLASTWEEK_2005","GIRPercentagefromOtherthanFairway_PLAYERNAME_2005","GIRPercentagefromOtherthanFairway_ROUNDS_2005","GIRPercentagefromOtherthanFairway_Pct_2005","GIRPercentagefromOtherthanFairway_GREENSHIT_2005","GIRPercentagefromOtherthanFairway_OFHOLES_2005","stat_name","year"
1,1,"Sergio Garcia",73,63.17,247,391,"GIRPercentagefromOtherthanFairway",2005
2,2,"Vijay Singh",111,61.54,376,611,"GIRPercentagefromOtherthanFairway",2005
3,3,"Kenny Perry",82,60.34,248,411,"GIRPercentagefromOtherthanFairway",2005
4,4,"Brett Wetterich",76,58.84,263,447,"GIRPercentagefromOtherthanFairway",2005
5,5,"Joe Durant",81,57.27,189,330,"GIRPercentagefromOtherthanFairway",2005
6,6,"Fred Couples",72,57.25,233,407,"GIRPercentagefromOtherthanFairway",2005
7,7,"Mario Tiziani",67,57.19,179,313,"GIRPercentagefromOtherthanFairway",2005
8,8,"Tiger Woods",76,56.93,271,476,"GIRPercentagefromOtherthanFairway",2005
9,9,"Olin Browne",99,56.86,199,350,"GIRPercentagefromOtherthanFairway",2005
10,10,"Justin Rose",99,56.76,273,481,"GIRPercentagefromOtherthanFairway",2005
11,11,"Adam Scott",72,56.72,232,409,"GIRPercentagefromOtherthanFairway",2005
12,12,"Greg Owen",84,56.5,239,423,"GIRPercentagefromOtherthanFairway",2005
13,13,"Charles Warren",89,56.45,245,434,"GIRPercentagefromOtherthanFairway",2005
14,14,"Joey Snyder III",102,56.18,259,461,"GIRPercentagefromOtherthanFairway",2005
15,15,"Scott Gutschewski",86,56.08,272,485,"GIRPercentagefromOtherthanFairway",2005
16,16,"David Hearn",68,56.04,167,298,"GIRPercentagefromOtherthanFairway",2005
17,17,"Daniel Chopra",108,55.97,361,645,"GIRPercentagefromOtherthanFairway",2005
18,18,"Bernhard Langer",67,55.89,223,399,"GIRPercentagefromOtherthanFairway",2005
19,19,"DJ Trahan",81,55.47,228,411,"GIRPercentagefromOtherthanFairway",2005
20,20,"Billy Mayfair",114,55.39,257,464,"GIRPercentagefromOtherthanFairway",2005
21,21,"Doug Barron",70,55.26,168,304,"GIRPercentagefromOtherthanFairway",2005
22,22,"Neal Lancaster",95,54.88,298,543,"GIRPercentagefromOtherthanFairway",2005
22,22,"Phil Mickelson",81,54.88,236,430,"GIRPercentagefromOtherthanFairway",2005
24,24,"Dan Forsman",52,54.86,158,288,"GIRPercentagefromOtherthanFairway",2005
25,25,"JJ Henry",102,54.61,296,542,"GIRPercentagefromOtherthanFairway",2005
26,26,"Sean OHair",103,54.48,292,536,"GIRPercentagefromOtherthanFairway",2005
27,27,"DJ Brigman",76,54.45,202,371,"GIRPercentagefromOtherthanFairway",2005
28,28,"Geoff Ogilvy",97,54.39,279,513,"GIRPercentagefromOtherthanFairway",2005
29,29,"Marco Dawson",82,54.25,230,424,"GIRPercentagefromOtherthanFairway",2005
30,30,"Robert Allenby",95,54.24,256,472,"GIRPercentagefromOtherthanFairway",2005
31,31,"Brendan Jones",81,54.1,264,488,"GIRPercentagefromOtherthanFairway",2005
32,32,"Stuart Appleby",84,53.81,247,459,"GIRPercentagefromOtherthanFairway",2005
33,33,"Tom Gillis",77,53.64,199,371,"GIRPercentagefromOtherthanFairway",2005
34,34,"Ryuji Imada",78,53.46,247,462,"GIRPercentagefromOtherthanFairway",2005
35,35,"Tom Lehman",69,53.27,179,336,"GIRPercentagefromOtherthanFairway",2005
36,36,"Joey Sindelar",104,53.25,246,462,"GIRPercentagefromOtherthanFairway",2005
37,37,"Jeff Brehaut",71,53.21,149,280,"GIRPercentagefromOtherthanFairway",2005
38,38,"Jason Allred",75,53.16,286,538,"GIRPercentagefromOtherthanFairway",2005
39,39,"James Driscoll",73,53.13,246,463,"GIRPercentagefromOtherthanFairway",2005
40,40,"Darron Stiles",78,53.07,173,326,"GIRPercentagefromOtherthanFairway",2005
41,41,"Roland Thatcher",75,53.06,191,360,"GIRPercentagefromOtherthanFairway",2005
42,42,"Luke Donald",67,52.98,160,302,"GIRPercentagefromOtherthanFairway",2005
43,43,"Charles Howell III",95,52.9,283,535,"GIRPercentagefromOtherthanFairway",2005
44,44,"Retief Goosen",71,52.84,186,352,"GIRPercentagefromOtherthanFairway",2005
45,45,"Hank Kuehne",84,52.68,295,560,"GIRPercentagefromOtherthanFairway",2005
