"BirdieorBetterPercentage150175ya_RANKTHISWEEK_2005","BirdieorBetterPercentage150175ya_RANKLASTWEEK_2005","BirdieorBetterPercentage150175ya_PLAYERNAME_2005","BirdieorBetterPercentage150175ya_ROUNDS_2005","BirdieorBetterPercentage150175ya_Pct_2005","BirdieorBetterPercentage150175ya_TOTALBIRDIES_2005","BirdieorBetterPercentage150175ya_TOTALHOLES_2005","stat_name","year"
1,1,"Kirk Triplett",55,25.17,37,147,"BirdieorBetterPercentage150175ya",2005
2,2,"Corey Pavin",77,22.71,52,229,"BirdieorBetterPercentage150175ya",2005
3,3,"Kenny Perry",82,20.68,49,237,"BirdieorBetterPercentage150175ya",2005
4,4,"Tag Ridings",93,19.79,56,283,"BirdieorBetterPercentage150175ya",2005
5,5,"Bo Van Pelt",112,19.44,63,324,"BirdieorBetterPercentage150175ya",2005
6,6,"Jim Furyk",94,18.97,48,253,"BirdieorBetterPercentage150175ya",2005
7,7,"Jerry Kelly",101,18.82,54,287,"BirdieorBetterPercentage150175ya",2005
7,7,"Arron Oberholser",65,18.82,35,186,"BirdieorBetterPercentage150175ya",2005
9,9,"Scott Verplank",87,18.61,43,231,"BirdieorBetterPercentage150175ya",2005
10,10,"David Toms",87,18.6,40,215,"BirdieorBetterPercentage150175ya",2005
11,11,"Shigeki Maruyama",99,18.41,51,277,"BirdieorBetterPercentage150175ya",2005
12,12,"Joey Snyder III",102,18.31,65,355,"BirdieorBetterPercentage150175ya",2005
13,13,"Brad Faxon",75,18.3,41,224,"BirdieorBetterPercentage150175ya",2005
14,14,"Sergio Garcia",73,18.18,34,187,"BirdieorBetterPercentage150175ya",2005
15,15,"Craig Barlow",81,18.05,37,205,"BirdieorBetterPercentage150175ya",2005
16,16,"Robert Gamez",91,17.87,47,263,"BirdieorBetterPercentage150175ya",2005
17,17,"Tim Herron",100,17.67,47,266,"BirdieorBetterPercentage150175ya",2005
18,18,"Richard Johnson",50,17.65,27,153,"BirdieorBetterPercentage150175ya",2005
19,19,"JL Lewis",98,17.6,47,267,"BirdieorBetterPercentage150175ya",2005
20,20,"Arjun Atwal",65,17.59,38,216,"BirdieorBetterPercentage150175ya",2005
21,21,"Bob Tway",87,17.48,43,246,"BirdieorBetterPercentage150175ya",2005
22,22,"Joey Sindelar",104,17.42,62,356,"BirdieorBetterPercentage150175ya",2005
23,23,"Retief Goosen",71,17.39,24,138,"BirdieorBetterPercentage150175ya",2005
23,23,"Bob Heintz",67,17.39,36,207,"BirdieorBetterPercentage150175ya",2005
25,25,"Jeff Sluman",94,17.36,50,288,"BirdieorBetterPercentage150175ya",2005
26,26,"Loren Roberts",54,17.28,28,162,"BirdieorBetterPercentage150175ya",2005
27,27,"Jonathan Kaye",77,17.27,38,220,"BirdieorBetterPercentage150175ya",2005
28,28,"Rod Pampling",89,17.26,39,226,"BirdieorBetterPercentage150175ya",2005
29,29,"Steve Lowery",100,17.15,53,309,"BirdieorBetterPercentage150175ya",2005
30,30,"Padraig Harrington",50,17.09,20,117,"BirdieorBetterPercentage150175ya",2005
31,31,"Stewart Cink",98,17.03,47,276,"BirdieorBetterPercentage150175ya",2005
32,32,"Michael Allen",90,16.91,47,278,"BirdieorBetterPercentage150175ya",2005
33,33,"Vijay Singh",111,16.85,46,273,"BirdieorBetterPercentage150175ya",2005
34,34,"Tiger Woods",76,16.75,32,191,"BirdieorBetterPercentage150175ya",2005
35,35,"Hunter Haas",83,16.73,41,245,"BirdieorBetterPercentage150175ya",2005
36,36,"Lee Janzen",75,16.67,35,210,"BirdieorBetterPercentage150175ya",2005
37,37,"Tom Byrum",83,16.61,46,277,"BirdieorBetterPercentage150175ya",2005
38,38,"Olin Browne",99,16.56,50,302,"BirdieorBetterPercentage150175ya",2005
39,39,"Jeff Maggert",79,16.52,37,224,"BirdieorBetterPercentage150175ya",2005
40,40,"Roland Thatcher",75,16.51,36,218,"BirdieorBetterPercentage150175ya",2005
41,41,"Robert Damron",89,16.47,41,249,"BirdieorBetterPercentage150175ya",2005
42,42,"Dudley Hart",84,16.36,45,275,"BirdieorBetterPercentage150175ya",2005
43,43,"Jose Coceres",56,16.35,34,208,"BirdieorBetterPercentage150175ya",2005
44,44,"Jay Haas",54,16.3,22,135,"BirdieorBetterPercentage150175ya",2005
44,44,"Zach Johnson",96,16.3,52,319,"BirdieorBetterPercentage150175ya",2005
46,46,"DA Points",94,16.28,49,301,"BirdieorBetterPercentage150175ya",2005
47,47,"Davis Love III",80,16.27,34,209,"BirdieorBetterPercentage150175ya",2005
48,48,"Brett Wetterich",76,16.18,33,204,"BirdieorBetterPercentage150175ya",2005
49,49,"Todd Hamilton",94,16.12,39,242,"BirdieorBetterPercentage150175ya",2005
50,50,"Ryan Palmer",101,16.08,41,255,"BirdieorBetterPercentage150175ya",2005
51,51,"Greg Owen",84,16.06,40,249,"BirdieorBetterPercentage150175ya",2005
52,52,"Jose Maria Olazabal",55,16.03,25,156,"BirdieorBetterPercentage150175ya",2005
53,53,"Ryuji Imada",78,16.02,41,256,"BirdieorBetterPercentage150175ya",2005
54,54,"Duffy Waldorf",86,16,44,275,"BirdieorBetterPercentage150175ya",2005
55,55,"Glen Day",80,15.94,44,276,"BirdieorBetterPercentage150175ya",2005
56,56,"Billy Mayfair",114,15.9,62,390,"BirdieorBetterPercentage150175ya",2005
57,57,"Justin Rose",99,15.89,51,321,"BirdieorBetterPercentage150175ya",2005
57,57,"John Senden",101,15.89,48,302,"BirdieorBetterPercentage150175ya",2005
59,59,"Steve Flesch",90,15.88,37,233,"BirdieorBetterPercentage150175ya",2005
60,60,"Brian Bateman",98,15.79,48,304,"BirdieorBetterPercentage150175ya",2005
61,61,"Brian Davis",75,15.77,35,222,"BirdieorBetterPercentage150175ya",2005
61,61,"Jesper Parnevik",84,15.77,41,260,"BirdieorBetterPercentage150175ya",2005
63,63,"JP Hayes",63,15.74,31,197,"BirdieorBetterPercentage150175ya",2005
