"TenthTeeEarlyPar5ScoringAverage_RANKTHISWEEK_2014","TenthTeeEarlyPar5ScoringAverage_RANKLASTWEEK_2014","TenthTeeEarlyPar5ScoringAverage_PLAYERNAME_2014","TenthTeeEarlyPar5ScoringAverage_ROUNDS_2014","TenthTeeEarlyPar5ScoringAverage_AVG_2014","TenthTeeEarlyPar5ScoringAverage_TOTALSTROKES_2014","TenthTeeEarlyPar5ScoringAverage_TOTALHOLES_2014","stat_name","year"
1,1,"Dustin Johnson",58,4.37,118,27,"TenthTeeEarlyPar5ScoringAverage",2014
2,2,"Paul Casey",56,4.4,88,20,"TenthTeeEarlyPar5ScoringAverage",2014
3,3,"Brooks Koepka",56,4.41,172,39,"TenthTeeEarlyPar5ScoringAverage",2014
4,4,"Graham DeLaet",80,4.42,168,38,"TenthTeeEarlyPar5ScoringAverage",2014
5,5,"Hideki Matsuyama",82,4.43,164,37,"TenthTeeEarlyPar5ScoringAverage",2014
6,6,"Ben Curtis",77,4.46,223,50,"TenthTeeEarlyPar5ScoringAverage",2014
6,6,"Nick Watney",80,4.46,107,24,"TenthTeeEarlyPar5ScoringAverage",2014
8,8,"Robert Garrigus",80,4.47,259,58,"TenthTeeEarlyPar5ScoringAverage",2014
9,9,"Ian Poulter",57,4.48,148,33,"TenthTeeEarlyPar5ScoringAverage",2014
10,10,"Adam Scott",68,4.49,166,37,"TenthTeeEarlyPar5ScoringAverage",2014
10,10,"Kevin Stadler",90,4.49,166,37,"TenthTeeEarlyPar5ScoringAverage",2014
12,12,"Shawn Stefani",60,4.5,135,30,"TenthTeeEarlyPar5ScoringAverage",2014
12,12,"Will Wilcox",51,4.5,99,22,"TenthTeeEarlyPar5ScoringAverage",2014
14,14,"Kevin Na",94,4.52,199,44,"TenthTeeEarlyPar5ScoringAverage",2014
15,15,"Justin Hicks",103,4.53,181,40,"TenthTeeEarlyPar5ScoringAverage",2014
15,15,"Billy Horschel",92,4.53,145,32,"TenthTeeEarlyPar5ScoringAverage",2014
15,15,"Matt Jones",83,4.53,231,51,"TenthTeeEarlyPar5ScoringAverage",2014
15,15,"Will Ma Kenzie",82,4.53,213,47,"TenthTeeEarlyPar5ScoringAverage",2014
15,15,"Jordan Spieth",102,4.53,353,78,"TenthTeeEarlyPar5ScoringAverage",2014
15,15,"Bubba Watson",76,4.53,240,53,"TenthTeeEarlyPar5ScoringAverage",2014
21,21,"Brian Davis",93,4.54,209,46,"TenthTeeEarlyPar5ScoringAverage",2014
21,21,"Graeme McDowell",66,4.54,177,39,"TenthTeeEarlyPar5ScoringAverage",2014
23,23,"Brad Fritsch",50,4.55,132,29,"TenthTeeEarlyPar5ScoringAverage",2014
23,23,"Nicholas Thompson",85,4.55,314,69,"TenthTeeEarlyPar5ScoringAverage",2014
25,25,"Charlie Beljan",76,4.56,246,54,"TenthTeeEarlyPar5ScoringAverage",2014
25,25,"James Driscoll",71,4.56,196,43,"TenthTeeEarlyPar5ScoringAverage",2014
25,25,"Martin Flores",85,4.56,237,52,"TenthTeeEarlyPar5ScoringAverage",2014
25,25,"Charles Howell III",106,4.56,187,41,"TenthTeeEarlyPar5ScoringAverage",2014
29,29,"Rickie Fowler",91,4.57,315,69,"TenthTeeEarlyPar5ScoringAverage",2014
29,29,"Rory McIlroy",66,4.57,160,35,"TenthTeeEarlyPar5ScoringAverage",2014
31,31,"Ricky Barnes",92,4.58,229,50,"TenthTeeEarlyPar5ScoringAverage",2014
31,31,"Morgan Hoffmann",103,4.58,339,74,"TenthTeeEarlyPar5ScoringAverage",2014
31,31,"Ryo Ishikawa",75,4.58,275,60,"TenthTeeEarlyPar5ScoringAverage",2014
31,31,"Zach Johnson",97,4.58,270,59,"TenthTeeEarlyPar5ScoringAverage",2014
31,31,"Vijay Singh",83,4.58,174,38,"TenthTeeEarlyPar5ScoringAverage",2014
36,36,"Briny Baird",50,4.59,179,39,"TenthTeeEarlyPar5ScoringAverage",2014
36,36,"Martin Laird",66,4.59,124,27,"TenthTeeEarlyPar5ScoringAverage",2014
38,38,"Lucas Glover",68,4.6,207,45,"TenthTeeEarlyPar5ScoringAverage",2014
38,38,"JB Holmes",86,4.6,267,58,"TenthTeeEarlyPar5ScoringAverage",2014
38,38,"Jeff Overton",80,4.6,207,45,"TenthTeeEarlyPar5ScoringAverage",2014
38,38,"Brendan Steele",89,4.6,285,62,"TenthTeeEarlyPar5ScoringAverage",2014
38,38,"Brian Stuard",91,4.6,239,52,"TenthTeeEarlyPar5ScoringAverage",2014
38,38,"Cameron Tringale",111,4.6,354,77,"TenthTeeEarlyPar5ScoringAverage",2014
44,44,"Steven Bowditch",93,4.61,226,49,"TenthTeeEarlyPar5ScoringAverage",2014
44,44,"KJ Choi",80,4.61,235,51,"TenthTeeEarlyPar5ScoringAverage",2014
44,44,"Erik Compton",88,4.61,327,71,"TenthTeeEarlyPar5ScoringAverage",2014
44,44,"Jason Day",54,4.61,143,31,"TenthTeeEarlyPar5ScoringAverage",2014
44,44,"Matt Every",85,4.61,143,31,"TenthTeeEarlyPar5ScoringAverage",2014
44,44,"Geoff Ogilvy",84,4.61,166,36,"TenthTeeEarlyPar5ScoringAverage",2014
44,44,"Wes Roach",67,4.61,166,36,"TenthTeeEarlyPar5ScoringAverage",2014
51,51,"Robert Allenby",83,4.62,208,45,"TenthTeeEarlyPar5ScoringAverage",2014
51,51,"Harris English",95,4.62,240,52,"TenthTeeEarlyPar5ScoringAverage",2014
51,51,"Matt Kuchar",91,4.62,277,60,"TenthTeeEarlyPar5ScoringAverage",2014
51,51,"Ben Martin",80,4.62,240,52,"TenthTeeEarlyPar5ScoringAverage",2014
51,51,"George McNeill",79,4.62,180,39,"TenthTeeEarlyPar5ScoringAverage",2014
56,56,"Sangmoon Bae",76,4.63,148,32,"TenthTeeEarlyPar5ScoringAverage",2014
56,56,"Luke Donald",57,4.63,162,35,"TenthTeeEarlyPar5ScoringAverage",2014
56,56,"Brian Harman",111,4.63,292,63,"TenthTeeEarlyPar5ScoringAverage",2014
56,56,"Russell Knox",92,4.63,227,49,"TenthTeeEarlyPar5ScoringAverage",2014
56,56,"William McGirt",96,4.63,292,63,"TenthTeeEarlyPar5ScoringAverage",2014
56,56,"Sean OHair",77,4.63,259,56,"TenthTeeEarlyPar5ScoringAverage",2014
56,56,"Ted Potter Jr",68,4.63,176,38,"TenthTeeEarlyPar5ScoringAverage",2014
56,56,"Patrick Reed",92,4.63,315,68,"TenthTeeEarlyPar5ScoringAverage",2014
56,56,"Webb Simpson",87,4.63,273,59,"TenthTeeEarlyPar5ScoringAverage",2014
56,56,"Kevin Streelman",79,4.63,185,40,"TenthTeeEarlyPar5ScoringAverage",2014
66,66,"Chad Campbell",57,4.64,195,42,"TenthTeeEarlyPar5ScoringAverage",2014
66,66,"Kevin Chappell",100,4.64,297,64,"TenthTeeEarlyPar5ScoringAverage",2014
66,66,"Jason Dufner",57,4.64,153,33,"TenthTeeEarlyPar5ScoringAverage",2014
66,66,"Hudson Swafford",75,4.64,181,39,"TenthTeeEarlyPar5ScoringAverage",2014
70,70,"Keegan Bradley",89,4.65,251,54,"TenthTeeEarlyPar5ScoringAverage",2014
70,70,"Retief Goosen",94,4.65,223,48,"TenthTeeEarlyPar5ScoringAverage",2014
70,70,"Jason Kokrak",65,4.65,144,31,"TenthTeeEarlyPar5ScoringAverage",2014
70,70,"David Lingmerth",80,4.65,237,51,"TenthTeeEarlyPar5ScoringAverage",2014
70,70,"Davis Love III",74,4.65,265,57,"TenthTeeEarlyPar5ScoringAverage",2014
70,70,"Phil Mickelson",71,4.65,251,54,"TenthTeeEarlyPar5ScoringAverage",2014
70,70,"Chris Stroud",88,4.65,200,43,"TenthTeeEarlyPar5ScoringAverage",2014
77,77,"Chad Collins",78,4.66,219,47,"TenthTeeEarlyPar5ScoringAverage",2014
77,77,"Chesson Hadley",84,4.66,177,38,"TenthTeeEarlyPar5ScoringAverage",2014
77,77,"Trevor Immelman",84,4.66,261,56,"TenthTeeEarlyPar5ScoringAverage",2014
77,77,"Freddie Jacobson",91,4.66,247,53,"TenthTeeEarlyPar5ScoringAverage",2014
77,77,"Kevin Kisner",85,4.66,247,53,"TenthTeeEarlyPar5ScoringAverage",2014
77,77,"Bronson La Cassie",51,4.66,135,29,"TenthTeeEarlyPar5ScoringAverage",2014
77,77,"Jimmy Walker",98,4.66,331,71,"TenthTeeEarlyPar5ScoringAverage",2014
77,77,"Lee Westwood",57,4.66,219,47,"TenthTeeEarlyPar5ScoringAverage",2014
85,85,"Stewart Cink",91,4.67,210,45,"TenthTeeEarlyPar5ScoringAverage",2014
85,85,"Ken Duke",80,4.67,168,36,"TenthTeeEarlyPar5ScoringAverage",2014
85,85,"John Huh",87,4.67,201,43,"TenthTeeEarlyPar5ScoringAverage",2014
85,85,"Danny Lee",84,4.67,201,43,"TenthTeeEarlyPar5ScoringAverage",2014
85,85,"Marc Leishman",81,4.67,126,27,"TenthTeeEarlyPar5ScoringAverage",2014
85,85,"Charl Schwartzel",64,4.67,112,24,"TenthTeeEarlyPar5ScoringAverage",2014
85,85,"Brandt Snedeker",89,4.67,294,63,"TenthTeeEarlyPar5ScoringAverage",2014
85,85,"Robert Streb",75,4.67,215,46,"TenthTeeEarlyPar5ScoringAverage",2014
85,85,"Daniel Summerhays",98,4.67,322,69,"TenthTeeEarlyPar5ScoringAverage",2014
85,85,"Andrew Svoboda",77,4.67,154,33,"TenthTeeEarlyPar5ScoringAverage",2014
85,85,"Tim Wilkinson",86,4.67,229,49,"TenthTeeEarlyPar5ScoringAverage",2014
96,96,"Billy Hurley III",86,4.68,267,57,"TenthTeeEarlyPar5ScoringAverage",2014
96,96,"Jamie Lovemark",64,4.68,248,53,"TenthTeeEarlyPar5ScoringAverage",2014
96,96,"Justin Rose",70,4.68,206,44,"TenthTeeEarlyPar5ScoringAverage",2014
96,96,"Henrik Stenson",56,4.68,159,34,"TenthTeeEarlyPar5ScoringAverage",2014
96,96,"Gary Woodland",93,4.68,131,28,"TenthTeeEarlyPar5ScoringAverage",2014
101,101,"Jonas Blixt",64,4.69,211,45,"TenthTeeEarlyPar5ScoringAverage",2014
101,101,"Jason Bohn",81,4.69,244,52,"TenthTeeEarlyPar5ScoringAverage",2014
101,101,"Greg Chalmers",85,4.69,244,52,"TenthTeeEarlyPar5ScoringAverage",2014
101,101,"Brendon de Jonge",109,4.69,272,58,"TenthTeeEarlyPar5ScoringAverage",2014
101,101,"Gonzalo Fdez Castano",83,4.69,225,48,"TenthTeeEarlyPar5ScoringAverage",2014
101,101,"Richard Lee",80,4.69,277,59,"TenthTeeEarlyPar5ScoringAverage",2014
101,101,"Rory Sabbatini",82,4.69,239,51,"TenthTeeEarlyPar5ScoringAverage",2014
101,101,"Boo Weekley",73,4.69,169,36,"TenthTeeEarlyPar5ScoringAverage",2014
101,101,"YE Yang",79,4.69,225,48,"TenthTeeEarlyPar5ScoringAverage",2014
110,110,"Ben Crane",81,4.7,268,57,"TenthTeeEarlyPar5ScoringAverage",2014
110,110,"Ernie Els",85,4.7,216,46,"TenthTeeEarlyPar5ScoringAverage",2014
110,110,"Seung Yul Noh",92,4.7,249,53,"TenthTeeEarlyPar5ScoringAverage",2014
113,113,"Hunter Mahan",88,4.71,160,34,"TenthTeeEarlyPar5ScoringAverage",2014
113,113,"Ryan Palmer",85,4.71,273,58,"TenthTeeEarlyPar5ScoringAverage",2014
