"LateLowestRound_RANKTHISWEEK_2006","LateLowestRound_RANKLASTWEEK_2006","LateLowestRound_PLAYERNAME_2006","LateLowestRound__2006","LateLowestRound_LOWRND_2006","stat_name","year"
1,1,"Arron Oberholser",NA,60,"LateLowestRound",2006
2,2,"Vijay Singh",NA,61,"LateLowestRound",2006
2,2,"David Toms",NA,61,"LateLowestRound",2006
4,4,"Chad Campbell",NA,62,"LateLowestRound",2006
4,4,"Fred Funk",NA,62,"LateLowestRound",2006
4,4,"Freddie Jacobson",NA,62,"LateLowestRound",2006
4,4,"Frank Lickliter II",NA,62,"LateLowestRound",2006
4,4,"Ryan Palmer",NA,62,"LateLowestRound",2006
4,4,"Rory Sabbatini",NA,62,"LateLowestRound",2006
10,10,"Woody Austin",NA,63,"LateLowestRound",2006
10,10,"Eric Axley",NA,63,"LateLowestRound",2006
10,10,"Shane Bertsch",NA,63,"LateLowestRound",2006
10,10,"Mark Calcavecchia",NA,63,"LateLowestRound",2006
10,10,"Jeff Gove",NA,63,"LateLowestRound",2006
10,10,"Paul Goydos",NA,63,"LateLowestRound",2006
10,10,"JJ Henry",NA,63,"LateLowestRound",2006
10,10,"Will Ma Kenzie",NA,63,"LateLowestRound",2006
10,10,"Billy Mayfair",NA,63,"LateLowestRound",2006
10,10,"Phil Mickelson",NA,63,"LateLowestRound",2006
10,10,"Rod Pampling",NA,63,"LateLowestRound",2006
10,10,"Brett Quigley",NA,63,"LateLowestRound",2006
10,10,"Justin Rose",NA,63,"LateLowestRound",2006
10,10,"John Senden",NA,63,"LateLowestRound",2006
10,10,"Chris Smith",NA,63,"LateLowestRound",2006
10,10,"Kirk Triplett",NA,63,"LateLowestRound",2006
10,10,"Mike Weir",NA,63,"LateLowestRound",2006
10,10,"Tiger Woods",NA,63,"LateLowestRound",2006
28,28,"Arjun Atwal",NA,64,"LateLowestRound",2006
28,28,"Doug Barron",NA,64,"LateLowestRound",2006
28,28,"Henrik Bjornstad",NA,64,"LateLowestRound",2006
28,28,"Bart Bryant",NA,64,"LateLowestRound",2006
28,28,"Paul Casey",NA,64,"LateLowestRound",2006
28,28,"Alex Cejka",NA,64,"LateLowestRound",2006
28,28,"Daniel Chopra",NA,64,"LateLowestRound",2006
28,28,"Stewart Cink",NA,64,"LateLowestRound",2006
28,28,"Jose Coceres",NA,64,"LateLowestRound",2006
28,28,"Ben Crane",NA,64,"LateLowestRound",2006
28,28,"Joe Durant",NA,64,"LateLowestRound",2006
28,28,"Bob Estes",NA,64,"LateLowestRound",2006
28,28,"Steve Flesch",NA,64,"LateLowestRound",2006
28,28,"Jim Furyk",NA,64,"LateLowestRound",2006
28,28,"Robert Garrigus",NA,64,"LateLowestRound",2006
28,28,"Brian Gay",NA,64,"LateLowestRound",2006
28,28,"Nathan Green",NA,64,"LateLowestRound",2006
28,28,"Mathias Gronberg",NA,64,"LateLowestRound",2006
28,28,"Brian Henninger",NA,64,"LateLowestRound",2006
28,28,"Ryuji Imada",NA,64,"LateLowestRound",2006
28,28,"Trevor Immelman",NA,64,"LateLowestRound",2006
28,28,"Brandt Jobe",NA,64,"LateLowestRound",2006
28,28,"Zach Johnson",NA,64,"LateLowestRound",2006
28,28,"Richard Johnson",NA,64,"LateLowestRound",2006
28,28,"Robert Karlsson",NA,64,"LateLowestRound",2006
28,28,"Jerry Kelly",NA,64,"LateLowestRound",2006
28,28,"Shigeki Maruyama",NA,64,"LateLowestRound",2006
28,28,"Troy Matteson",NA,64,"LateLowestRound",2006
28,28,"Bob May",NA,64,"LateLowestRound",2006
28,28,"Graeme McDowell",NA,64,"LateLowestRound",2006
