"RightRoughProximity_RANKTHISWEEK_2007","RightRoughProximity_RANKLASTWEEK_2007","RightRoughProximity_PLAYERNAME_2007","RightRoughProximity_ROUNDS_2007","RightRoughProximity_AVG_2007","RightRoughProximity_ATTEMPTS_2007","RightRoughProximity_TOTALDISTANCEFEET_2007","RightRoughProximity_RELATIVETOPAR_2007","stat_name","year"
1,1,"Mark Brooks",53,NA,41,1528.583,5,"RightRoughProximity",2007
2,2,"Joey Sindelar",75,NA,95,3544,15,"RightRoughProximity",2007
3,3,"Brett Wetterich",88,NA,164,6153.417,-4,"RightRoughProximity",2007
4,4,"Jeff Sluman",60,NA,67,2526.333,9,"RightRoughProximity",2007
4,4,"Bubba Watson",80,NA,142,5347.667,6,"RightRoughProximity",2007
6,6,"Tiger Woods",63,NA,102,3865.25,-5,"RightRoughProximity",2007
7,7,"Jeff Brehaut",59,NA,78,3019.667,7,"RightRoughProximity",2007
8,8,"Robert Garrigus",95,NA,214,8310.25,12,"RightRoughProximity",2007
9,9,"Vijay Singh",102,NA,171,6666.5,10,"RightRoughProximity",2007
10,10,"Fred Funk",65,NA,58,2286,17,"RightRoughProximity",2007
11,11,"Steve Flesch",100,NA,148,5854.167,21,"RightRoughProximity",2007
12,12,"Daniel Chopra",106,NA,209,8293.833,14,"RightRoughProximity",2007
13,13,"Greg Owen",81,NA,138,5508.333,35,"RightRoughProximity",2007
14,14,"Davis Love III",66,NA,84,3362.25,3,"RightRoughProximity",2007
14,14,"Pat Perez",84,NA,123,4921.75,12,"RightRoughProximity",2007
16,16,"Charles Warren",101,NA,112,4502.5,25,"RightRoughProximity",2007
17,17,"Ted Purdy",102,NA,155,6241.833,10,"RightRoughProximity",2007
18,18,"Craig Barlow",52,NA,93,3763.583,17,"RightRoughProximity",2007
19,19,"John Daly",59,NA,132,5360.667,3,"RightRoughProximity",2007
20,20,"Chris Riley",59,NA,86,3502.667,5,"RightRoughProximity",2007
21,21,"Steve Allan",63,NA,115,4692.5,8,"RightRoughProximity",2007
21,21,"JB Holmes",71,NA,109,4451.083,7,"RightRoughProximity",2007
21,21,"Phil Mickelson",73,NA,98,4005.083,0,"RightRoughProximity",2007
24,24,"Craig Bowden",78,NA,97,3971.333,11,"RightRoughProximity",2007
24,24,"Bob Heintz",85,NA,106,4334.917,14,"RightRoughProximity",2007
24,24,"Jaco Van Zyl",51,NA,63,2576.583,12,"RightRoughProximity",2007
27,27,"Sergio Garcia",68,NA,103,4230.833,10,"RightRoughProximity",2007
27,27,"Charley Hoffman",97,NA,157,6444.667,21,"RightRoughProximity",2007
27,27,"Bob Tway",103,NA,111,4562.583,7,"RightRoughProximity",2007
30,30,"Michael Allen",74,NA,113,4657.583,24,"RightRoughProximity",2007
31,31,"Ken Duke",112,NA,191,7890.667,4,"RightRoughProximity",2007
32,32,"Tommy Armour III",81,NA,78,3236.75,0,"RightRoughProximity",2007
32,32,"Stewart Cink",91,NA,150,6221.167,9,"RightRoughProximity",2007
32,32,"Joe Durant",88,NA,108,4484.75,9,"RightRoughProximity",2007
32,32,"Geoff Ogilvy",84,NA,141,5853.5,0,"RightRoughProximity",2007
36,36,"Scott Gutschewski",67,NA,128,5321.917,14,"RightRoughProximity",2007
36,36,"Matt Hendrix",63,NA,91,3783.25,31,"RightRoughProximity",2007
36,36,"Heath Slocum",101,NA,128,5318.417,14,"RightRoughProximity",2007
36,36,"Paul Stankowski",52,NA,50,2079.667,1,"RightRoughProximity",2007
40,40,"Briny Baird",115,NA,163,6789.417,26,"RightRoughProximity",2007
40,40,"Michael Boyd",61,NA,65,2708.417,9,"RightRoughProximity",2007
40,40,"Arron Oberholser",69,NA,94,3917.75,7,"RightRoughProximity",2007
40,40,"Rory Sabbatini",81,NA,149,6202.833,8,"RightRoughProximity",2007
40,40,"John Senden",97,NA,149,6207.167,5,"RightRoughProximity",2007
45,45,"DJ Trahan",99,NA,155,6471.5,19,"RightRoughProximity",2007
46,46,"Steve Stricker",81,NA,112,4686.583,10,"RightRoughProximity",2007
47,47,"Kenny Perry",83,NA,108,4526.667,8,"RightRoughProximity",2007
48,48,"Tom Johnson",74,NA,117,4915,15,"RightRoughProximity",2007
48,48,"George McNeill",95,NA,154,6465.083,17,"RightRoughProximity",2007
48,48,"Bo Van Pelt",104,NA,175,7352.25,16,"RightRoughProximity",2007
51,51,"Mark Calcavecchia",93,NA,115,4836.75,7,"RightRoughProximity",2007
51,51,"Luke Donald",69,NA,71,2986.833,18,"RightRoughProximity",2007
53,53,"Cameron Beckman",96,NA,127,5368.833,17,"RightRoughProximity",2007
53,53,"Shigeki Maruyama",84,NA,131,5534.25,27,"RightRoughProximity",2007
53,53,"Sean OHair",98,NA,138,5825.75,11,"RightRoughProximity",2007
53,53,"Nick Watney",87,NA,123,5201.667,19,"RightRoughProximity",2007
57,57,"Jesper Parnevik",88,NA,120,5084,9,"RightRoughProximity",2007
58,58,"Bubba Dickerson",51,NA,81,3436.583,6,"RightRoughProximity",2007
59,59,"Brian Gay",107,NA,136,5785.083,19,"RightRoughProximity",2007
59,59,"Brandt Snedeker",105,NA,151,6411.333,14,"RightRoughProximity",2007
61,61,"Rich Beem",89,NA,123,5233,18,"RightRoughProximity",2007
61,61,"Vaughn Taylor",91,NA,114,4857.167,13,"RightRoughProximity",2007
63,63,"Woody Austin",95,NA,181,7716.667,27,"RightRoughProximity",2007
63,63,"Eric Axley",107,NA,172,7335.083,20,"RightRoughProximity",2007
63,63,"David Branshaw",83,NA,133,5676.083,14,"RightRoughProximity",2007
63,63,"Padraig Harrington",64,NA,69,2943.667,-1,"RightRoughProximity",2007
63,63,"John Mallinger",96,NA,164,6999.75,33,"RightRoughProximity",2007
63,63,"Kyle Reifers",71,NA,120,5117.833,28,"RightRoughProximity",2007
63,63,"Tag Ridings",52,NA,96,4094.583,16,"RightRoughProximity",2007
63,63,"Jason Schultz",63,NA,109,4647.417,20,"RightRoughProximity",2007
71,71,"Ernie Els",59,NA,106,4533.333,-2,"RightRoughProximity",2007
71,71,"Paul Goydos",60,NA,77,3289.917,28,"RightRoughProximity",2007
71,71,"John Merrick",92,NA,193,8256.667,21,"RightRoughProximity",2007
74,74,"Stephen Leaney",82,NA,114,4897.083,7,"RightRoughProximity",2007
74,74,"Troy Matteson",87,NA,166,7129.167,17,"RightRoughProximity",2007
76,76,"Brian Bateman",55,NA,77,3313.5,5,"RightRoughProximity",2007
76,76,"Gavin Coles",87,NA,113,4861.5,9,"RightRoughProximity",2007
76,76,"Kirk Triplett",77,NA,99,4253,19,"RightRoughProximity",2007
79,79,"Freddie Jacobson",70,NA,126,5427.75,20,"RightRoughProximity",2007
80,80,"Chris Couch",76,NA,149,6429.25,17,"RightRoughProximity",2007
81,81,"Stephen Ames",81,NA,116,5021.5,12,"RightRoughProximity",2007
81,81,"Shaun Micheel",91,NA,105,4541.833,19,"RightRoughProximity",2007
83,83,"Billy Andrade",88,NA,154,6669.5,29,"RightRoughProximity",2007
83,83,"Will Ma Kenzie",100,NA,187,8101.583,28,"RightRoughProximity",2007
85,85,"Alex Cejka",80,NA,84,3646.083,11,"RightRoughProximity",2007
85,85,"Jeff Gove",103,NA,150,6517.25,26,"RightRoughProximity",2007
87,87,"Harrison Frazar",88,NA,172,7501.583,24,"RightRoughProximity",2007
87,87,"Jeff Quinney",95,NA,147,6405.583,17,"RightRoughProximity",2007
89,89,"Jonathan Byrd",73,NA,109,4759.583,29,"RightRoughProximity",2007
89,89,"Trevor Immelman",74,NA,87,3797.667,17,"RightRoughProximity",2007
89,89,"Anthony Kim",93,NA,147,6422.833,8,"RightRoughProximity",2007
89,89,"Peter Lonard",85,NA,114,4981,14,"RightRoughProximity",2007
93,93,"Justin Rose",63,NA,52,2277.083,5,"RightRoughProximity",2007
93,93,"David Toms",80,NA,107,4685.667,6,"RightRoughProximity",2007
95,95,"JP Hayes",89,NA,156,6834.25,24,"RightRoughProximity",2007
95,95,"Cliff Kresge",107,NA,150,6573.833,17,"RightRoughProximity",2007
95,95,"Jeff Overton",60,NA,109,4778.833,-4,"RightRoughProximity",2007
98,98,"Dicky Pride",71,NA,119,5224.083,19,"RightRoughProximity",2007
98,98,"Michael Putnam",96,NA,138,6056,13,"RightRoughProximity",2007
100,100,"Stuart Appleby",74,NA,110,4843.25,17,"RightRoughProximity",2007
101,101,"DJ Brigman",67,NA,96,4234.25,8,"RightRoughProximity",2007
101,101,"Brian Davis",101,NA,128,5646.917,6,"RightRoughProximity",2007
101,101,"Michael Sim",52,NA,80,3529.75,11,"RightRoughProximity",2007
104,104,"Lucas Glover",98,NA,122,5385.333,16,"RightRoughProximity",2007
105,105,"Robert Allenby",90,NA,153,6774.667,20,"RightRoughProximity",2007
105,105,"Chad Campbell",96,NA,125,5531.667,31,"RightRoughProximity",2007
107,107,"Jim Furyk",84,NA,103,4568,8,"RightRoughProximity",2007
107,107,"Justin Leonard",95,NA,127,5630.417,11,"RightRoughProximity",2007
107,107,"Frank Lickliter II",95,NA,130,5763,29,"RightRoughProximity",2007
107,107,"Carl Pettersson",111,NA,169,7496.5,8,"RightRoughProximity",2007
111,111,"Jose Coceres",50,NA,51,2264.833,11,"RightRoughProximity",2007
112,112,"Ryan Armour",107,NA,163,7256.75,37,"RightRoughProximity",2007
112,112,"Tim Clark",66,NA,69,3071.833,14,"RightRoughProximity",2007
112,112,"John Rollins",102,NA,152,6768.167,16,"RightRoughProximity",2007
115,115,"Joe Ogilvie",102,NA,152,6772.583,8,"RightRoughProximity",2007
116,116,"Rocco Mediate",72,NA,106,4734.417,21,"RightRoughProximity",2007
117,117,"Kevin Sutherland",85,NA,127,5680.75,23,"RightRoughProximity",2007
117,117,"Boo Weekley",101,NA,143,6400.917,17,"RightRoughProximity",2007
119,119,"Tim Petrovic",106,NA,206,9232.5,25,"RightRoughProximity",2007
120,120,"Marco Dawson",73,NA,135,6060.25,17,"RightRoughProximity",2007
121,121,"Rich Barcelo",80,NA,174,7823.5,39,"RightRoughProximity",2007
121,121,"Mark Hensby",81,NA,110,4947.5,17,"RightRoughProximity",2007
121,121,"Kent Jones",97,NA,128,5764.833,25,"RightRoughProximity",2007
