"Approach250275yardsRTP_RANKTHISWEEK_2008","Approach250275yardsRTP_RANKLASTWEEK_2008","Approach250275yardsRTP_PLAYERNAME_2008","Approach250275yardsRTP_ROUNDS_2008","Approach250275yardsRTP_AVGRTP_2008","stat_name","year"
1,1,"Vijay Singh",82,-0.857,"Approach250275yardsRTP",2008
2,2,"Ryuji Imada",80,-0.846,"Approach250275yardsRTP",2008
3,3,"Sergio Garcia",72,-0.833,"Approach250275yardsRTP",2008
3,3,"Pat Perez",93,-0.833,"Approach250275yardsRTP",2008
5,5,"John Huston",56,-0.824,"Approach250275yardsRTP",2008
6,6,"Stewart Cink",87,-0.792,"Approach250275yardsRTP",2008
7,7,"Fred Couples",60,-0.789,"Approach250275yardsRTP",2008
8,8,"Rocco Mediate",87,-0.786,"Approach250275yardsRTP",2008
9,9,"Marco Dawson",64,-0.783,"Approach250275yardsRTP",2008
10,10,"James Driscoll",85,-0.781,"Approach250275yardsRTP",2008
11,11,"Todd Demsey",80,-0.778,"Approach250275yardsRTP",2008
11,11,"Sean OHair",81,-0.778,"Approach250275yardsRTP",2008
13,13,"Rory Sabbatini",77,-0.773,"Approach250275yardsRTP",2008
14,14,"Mark Hensby",71,-0.762,"Approach250275yardsRTP",2008
14,14,"John Riegger",73,-0.762,"Approach250275yardsRTP",2008
16,16,"Carlos Franco",73,-0.76,"Approach250275yardsRTP",2008
16,16,"Bob Sowards",61,-0.76,"Approach250275yardsRTP",2008
18,18,"Gavin Coles",54,-0.75,"Approach250275yardsRTP",2008
18,18,"Boo Weekley",86,-0.75,"Approach250275yardsRTP",2008
20,20,"Charles Howell III",101,-0.733,"Approach250275yardsRTP",2008
20,20,"Brett Rumford",72,-0.733,"Approach250275yardsRTP",2008
22,22,"Marc Turnesa",87,-0.727,"Approach250275yardsRTP",2008
23,23,"Mathew Goggin",91,-0.722,"Approach250275yardsRTP",2008
23,23,"Matt Jones",95,-0.722,"Approach250275yardsRTP",2008
25,25,"Troy Matteson",94,-0.718,"Approach250275yardsRTP",2008
26,26,"Tommy Armour III",77,-0.714,"Approach250275yardsRTP",2008
26,26,"Will Ma Kenzie",62,-0.714,"Approach250275yardsRTP",2008
26,26,"Bo Van Pelt",101,-0.714,"Approach250275yardsRTP",2008
26,26,"Camilo Villegas",79,-0.714,"Approach250275yardsRTP",2008
30,30,"Nick Watney",96,-0.711,"Approach250275yardsRTP",2008
31,31,"Billy Mayfair",103,-0.706,"Approach250275yardsRTP",2008
32,32,"Rod Pampling",83,-0.703,"Approach250275yardsRTP",2008
33,33,"Michael Letzig",88,-0.696,"Approach250275yardsRTP",2008
34,34,"Bubba Watson",97,-0.692,"Approach250275yardsRTP",2008
35,35,"Shane Bertsch",96,-0.682,"Approach250275yardsRTP",2008
35,35,"Dudley Hart",74,-0.682,"Approach250275yardsRTP",2008
37,37,"George McNeill",97,-0.675,"Approach250275yardsRTP",2008
38,38,"Billy Andrade",71,-0.667,"Approach250275yardsRTP",2008
38,38,"Chad Campbell",94,-0.667,"Approach250275yardsRTP",2008
38,38,"Tim Herron",97,-0.667,"Approach250275yardsRTP",2008
38,38,"Martin Laird",98,-0.667,"Approach250275yardsRTP",2008
38,38,"Brenden Pappas",66,-0.667,"Approach250275yardsRTP",2008
43,43,"Steve Marino",119,-0.659,"Approach250275yardsRTP",2008
44,44,"Tag Ridings",88,-0.656,"Approach250275yardsRTP",2008
45,45,"Cliff Kresge",84,-0.655,"Approach250275yardsRTP",2008
46,46,"Daniel Chopra",84,-0.654,"Approach250275yardsRTP",2008
47,47,"Nick Flanagan",89,-0.647,"Approach250275yardsRTP",2008
47,47,"Richard Johnson",60,-0.647,"Approach250275yardsRTP",2008
49,49,"Jeff Gove",50,-0.643,"Approach250275yardsRTP",2008
49,49,"Shigeki Maruyama",50,-0.643,"Approach250275yardsRTP",2008
51,51,"Stuart Appleby",87,-0.636,"Approach250275yardsRTP",2008
51,51,"Kyle Thompson",70,-0.636,"Approach250275yardsRTP",2008
53,53,"Kevin Sutherland",98,-0.634,"Approach250275yardsRTP",2008
54,54,"Brian Davis",108,-0.628,"Approach250275yardsRTP",2008
55,55,"Michael Allen",91,-0.625,"Approach250275yardsRTP",2008
55,55,"Tommy Gainey",60,-0.625,"Approach250275yardsRTP",2008
55,55,"Justin Leonard",101,-0.625,"Approach250275yardsRTP",2008
58,58,"Cameron Beckman",87,-0.619,"Approach250275yardsRTP",2008
58,58,"YE Yang",89,-0.619,"Approach250275yardsRTP",2008
61,61,"Robert Allenby",108,-0.618,"Approach250275yardsRTP",2008
61,61,"Peter Lonard",92,-0.618,"Approach250275yardsRTP",2008
61,61,"Joe Ogilvie",100,-0.618,"Approach250275yardsRTP",2008
64,64,"Stephen Ames",83,-0.615,"Approach250275yardsRTP",2008
65,65,"Aaron Baddeley",76,-0.613,"Approach250275yardsRTP",2008
66,66,"Alejandro Canizares",52,-0.611,"Approach250275yardsRTP",2008
66,66,"Brandt Snedeker",85,-0.611,"Approach250275yardsRTP",2008
68,68,"Jerry Kelly",89,-0.609,"Approach250275yardsRTP",2008
69,69,"Patrick Sheehan",124,-0.605,"Approach250275yardsRTP",2008
70,70,"Chris DiMarco",87,-0.6,"Approach250275yardsRTP",2008
70,70,"Ernie Els",51,-0.6,"Approach250275yardsRTP",2008
70,70,"Parker McLachlin",88,-0.6,"Approach250275yardsRTP",2008
70,70,"Jin Park",85,-0.6,"Approach250275yardsRTP",2008
70,70,"Steve Stricker",75,-0.6,"Approach250275yardsRTP",2008
70,70,"Tim Wilkinson",95,-0.6,"Approach250275yardsRTP",2008
76,76,"Jason Day",81,-0.595,"Approach250275yardsRTP",2008
77,77,"Nicholas Thompson",113,-0.585,"Approach250275yardsRTP",2008
78,78,"Todd Hamilton",92,-0.583,"Approach250275yardsRTP",2008
79,79,"John Senden",93,-0.581,"Approach250275yardsRTP",2008
79,79,"Kevin Stadler",90,-0.581,"Approach250275yardsRTP",2008
81,81,"Davis Love III",78,-0.577,"Approach250275yardsRTP",2008
82,82,"Anthony Kim",81,-0.571,"Approach250275yardsRTP",2008
83,83,"Eric Axley",113,-0.568,"Approach250275yardsRTP",2008
84,84,"Briny Baird",113,-0.564,"Approach250275yardsRTP",2008
85,85,"Lucas Glover",91,-0.563,"Approach250275yardsRTP",2008
85,85,"Kent Jones",68,-0.563,"Approach250275yardsRTP",2008
87,87,"Justin Bolli",87,-0.556,"Approach250275yardsRTP",2008
88,88,"Johnson Wagner",83,-0.553,"Approach250275yardsRTP",2008
89,89,"Dustin Johnson",92,-0.552,"Approach250275yardsRTP",2008
90,90,"Steve Allan",58,-0.55,"Approach250275yardsRTP",2008
91,91,"Charlie Wi",97,-0.543,"Approach250275yardsRTP",2008
92,92,"Steve Flesch",95,-0.542,"Approach250275yardsRTP",2008
93,93,"Kenny Perry",97,-0.541,"Approach250275yardsRTP",2008
94,94,"DJ Trahan",94,-0.538,"Approach250275yardsRTP",2008
95,95,"Brad Adamonis",87,-0.536,"Approach250275yardsRTP",2008
95,95,"Ryan Palmer",69,-0.536,"Approach250275yardsRTP",2008
97,97,"Glen Day",64,-0.533,"Approach250275yardsRTP",2008
97,97,"JP Hayes",67,-0.533,"Approach250275yardsRTP",2008
97,97,"John Merrick",98,-0.533,"Approach250275yardsRTP",2008
97,97,"Tom Pernice Jr",104,-0.533,"Approach250275yardsRTP",2008
101,101,"Jim McGovern",75,-0.529,"Approach250275yardsRTP",2008
101,101,"Kevin Streelman",114,-0.529,"Approach250275yardsRTP",2008
103,103,"Scott McCarron",63,-0.526,"Approach250275yardsRTP",2008
103,103,"Jesper Parnevik",88,-0.526,"Approach250275yardsRTP",2008
105,105,"Ben Curtis",80,-0.524,"Approach250275yardsRTP",2008
105,105,"Freddie Jacobson",78,-0.524,"Approach250275yardsRTP",2008
107,107,"Jim Furyk",95,-0.522,"Approach250275yardsRTP",2008
107,107,"John Mallinger",95,-0.522,"Approach250275yardsRTP",2008
107,107,"Nick OHern",82,-0.522,"Approach250275yardsRTP",2008
107,107,"Jay Williamson",96,-0.522,"Approach250275yardsRTP",2008
111,111,"Ryan Armour",87,-0.5,"Approach250275yardsRTP",2008
111,111,"Bart Bryant",81,-0.5,"Approach250275yardsRTP",2008
111,111,"Angel Cabrera",55,-0.5,"Approach250275yardsRTP",2008
111,111,"Paul Claxton",63,-0.5,"Approach250275yardsRTP",2008
111,111,"Robert Gamez",79,-0.5,"Approach250275yardsRTP",2008
111,111,"Nathan Green",95,-0.5,"Approach250275yardsRTP",2008
111,111,"Bill Haas",99,-0.5,"Approach250275yardsRTP",2008
111,111,"Tom Lehman",51,-0.5,"Approach250275yardsRTP",2008
111,111,"Adam Scott",51,-0.5,"Approach250275yardsRTP",2008
111,111,"Mark Wilson",107,-0.5,"Approach250275yardsRTP",2008
121,121,"Frank Lickliter II",107,-0.487,"Approach250275yardsRTP",2008
122,122,"Joe Durant",92,-0.486,"Approach250275yardsRTP",2008
122,122,"Kevin Na",97,-0.486,"Approach250275yardsRTP",2008
124,124,"Mark Calcavecchia",67,-0.481,"Approach250275yardsRTP",2008
125,125,"Ben Crane",86,-0.48,"Approach250275yardsRTP",2008
126,126,"Kenneth Ferrie",72,-0.478,"Approach250275yardsRTP",2008
127,127,"Dean Wilson",109,-0.474,"Approach250275yardsRTP",2008
128,128,"Steve Lowery",74,-0.464,"Approach250275yardsRTP",2008
129,129,"Tim Clark",90,-0.462,"Approach250275yardsRTP",2008
129,129,"Phil Mickelson",80,-0.462,"Approach250275yardsRTP",2008
129,129,"Jeff Overton",103,-0.462,"Approach250275yardsRTP",2008
129,129,"Ted Purdy",68,-0.462,"Approach250275yardsRTP",2008
133,133,"Bob Estes",90,-0.458,"Approach250275yardsRTP",2008
133,133,"Brandt Jobe",52,-0.458,"Approach250275yardsRTP",2008
135,135,"Alex Cejka",75,-0.455,"Approach250275yardsRTP",2008
135,135,"Craig Kanada",65,-0.455,"Approach250275yardsRTP",2008
135,135,"Doug LaBelle II",65,-0.455,"Approach250275yardsRTP",2008
135,135,"Scott Sterling",89,-0.455,"Approach250275yardsRTP",2008
139,139,"Woody Austin",109,-0.447,"Approach250275yardsRTP",2008
140,140,"Brett Quigley",80,-0.444,"Approach250275yardsRTP",2008
140,140,"David Toms",70,-0.444,"Approach250275yardsRTP",2008
140,140,"Bob Tway",70,-0.444,"Approach250275yardsRTP",2008
143,143,"JJ Henry",108,-0.441,"Approach250275yardsRTP",2008
144,144,"Mike Weir",88,-0.435,"Approach250275yardsRTP",2008
145,145,"Charley Hoffman",94,-0.433,"Approach250275yardsRTP",2008
146,146,"Steve Elkington",84,-0.429,"Approach250275yardsRTP",2008
146,146,"Travis Perkins",53,-0.429,"Approach250275yardsRTP",2008
148,148,"Jon Mills",95,-0.419,"Approach250275yardsRTP",2008
149,149,"Robert Garrigus",90,-0.412,"Approach250275yardsRTP",2008
149,149,"Carl Pettersson",110,-0.412,"Approach250275yardsRTP",2008
151,151,"Hunter Mahan",87,-0.409,"Approach250275yardsRTP",2008
152,152,"JB Holmes",86,-0.407,"Approach250275yardsRTP",2008
152,152,"Tim Petrovic",97,-0.407,"Approach250275yardsRTP",2008
154,154,"Jeff Maggert",86,-0.4,"Approach250275yardsRTP",2008
154,154,"Ryan Moore",72,-0.4,"Approach250275yardsRTP",2008
154,154,"Omar Uresti",74,-0.4,"Approach250275yardsRTP",2008
157,157,"John Rollins",94,-0.394,"Approach250275yardsRTP",2008
158,158,"Jason Gore",94,-0.389,"Approach250275yardsRTP",2008
158,158,"Corey Pavin",69,-0.389,"Approach250275yardsRTP",2008
158,158,"Tom Scherrer",56,-0.389,"Approach250275yardsRTP",2008
161,161,"Lee Janzen",89,-0.385,"Approach250275yardsRTP",2008
161,161,"Geoff Ogilvy",65,-0.385,"Approach250275yardsRTP",2008
163,163,"Charles Warren",79,-0.382,"Approach250275yardsRTP",2008
164,164,"Jonathan Byrd",88,-0.375,"Approach250275yardsRTP",2008
164,164,"Retief Goosen",59,-0.375,"Approach250275yardsRTP",2008
164,164,"David Lutterus",59,-0.375,"Approach250275yardsRTP",2008
167,167,"Ken Duke",116,-0.37,"Approach250275yardsRTP",2008
168,168,"Trevor Immelman",70,-0.364,"Approach250275yardsRTP",2008
169,169,"Mathias Gronberg",87,-0.361,"Approach250275yardsRTP",2008
170,170,"Jeff Quinney",87,-0.36,"Approach250275yardsRTP",2008
171,171,"KJ Choi",74,-0.357,"Approach250275yardsRTP",2008
171,171,"Chris Riley",51,-0.357,"Approach250275yardsRTP",2008
173,173,"Matt Kuchar",88,-0.353,"Approach250275yardsRTP",2008
173,173,"Jimmy Walker",73,-0.353,"Approach250275yardsRTP",2008
175,175,"Harrison Frazar",73,-0.333,"Approach250275yardsRTP",2008
175,175,"Vaughn Taylor",103,-0.333,"Approach250275yardsRTP",2008
175,175,"Ron Whittaker",54,-0.333,"Approach250275yardsRTP",2008
178,178,"Brad Elder",67,-0.313,"Approach250275yardsRTP",2008
179,179,"Zach Johnson",85,-0.29,"Approach250275yardsRTP",2008
180,180,"Heath Slocum",104,-0.286,"Approach250275yardsRTP",2008
181,181,"Andres Romero",69,-0.263,"Approach250275yardsRTP",2008
182,182,"Brian Gay",102,-0.261,"Approach250275yardsRTP",2008
183,183,"Chad Collins",72,-0.25,"Approach250275yardsRTP",2008
183,183,"Padraig Harrington",52,-0.25,"Approach250275yardsRTP",2008
183,183,"Scott Verplank",82,-0.25,"Approach250275yardsRTP",2008
186,186,"Jason Allred",63,-0.231,"Approach250275yardsRTP",2008
187,187,"Rich Beem",90,-0.219,"Approach250275yardsRTP",2008
188,188,"Chez Reavie",102,-0.214,"Approach250275yardsRTP",2008
189,189,"Greg Kraft",63,-0.2,"Approach250275yardsRTP",2008
190,190,"Chris Stroud",81,-0.192,"Approach250275yardsRTP",2008
191,191,"Olin Browne",77,-0.167,"Approach250275yardsRTP",2008
192,192,"Paul Casey",55,-0.143,"Approach250275yardsRTP",2008
192,192,"Cody Freeman",66,-0.143,"Approach250275yardsRTP",2008
194,194,"Stephen Leaney",53,-0.1,"Approach250275yardsRTP",2008
195,195,"David Duval",51,-0.067,"Approach250275yardsRTP",2008
196,196,"Paul Goydos",78,-0.042,"Approach250275yardsRTP",2008
197,197,"Ian Poulter",51,0.25,"Approach250275yardsRTP",2008
