"RightRoughProximity_RANKTHISWEEK_2013","RightRoughProximity_RANKLASTWEEK_2013","RightRoughProximity_PLAYERNAME_2013","RightRoughProximity_ROUNDS_2013","RightRoughProximity_AVG_2013","RightRoughProximity_ATTEMPTS_2013","RightRoughProximity_TOTALDISTANCEFEET_2013","RightRoughProximity_RELATIVETOPAR_2013","stat_name","year"
1,1,"Carl Pettersson",82,NA,95,3376.75,11,"RightRoughProximity",2013
2,2,"Luke List",65,NA,105,3749.833,-5,"RightRoughProximity",2013
3,3,"Justin Rose",62,NA,84,3067.167,4,"RightRoughProximity",2013
4,4,"Jordan Spieth",82,NA,115,4245.5,-2,"RightRoughProximity",2013
5,5,"Phil Mickelson",78,NA,105,3895.583,4,"RightRoughProximity",2013
6,6,"Rory Sabbatini",86,NA,150,5711,16,"RightRoughProximity",2013
7,7,"Jason Kokrak",78,NA,140,5367.583,13,"RightRoughProximity",2013
8,8,"Nicholas Thompson",99,NA,127,4887.333,8,"RightRoughProximity",2013
9,9,"Nicolas Colsaerts",50,NA,89,3440.167,13,"RightRoughProximity",2013
9,9,"Rickie Fowler",75,NA,104,4020.417,6,"RightRoughProximity",2013
11,11,"Luke Guthrie",82,NA,115,4488.833,3,"RightRoughProximity",2013
11,11,"Scott Piercy",78,NA,156,6088.917,10,"RightRoughProximity",2013
13,13,"DJ Trahan",48,NA,67,2620.417,8,"RightRoughProximity",2013
14,14,"Charles Howell III",87,NA,202,7905.917,3,"RightRoughProximity",2013
15,15,"Jason Day",86,NA,123,4826.25,-1,"RightRoughProximity",2013
16,16,"Tim Clark",64,NA,63,2488.083,3,"RightRoughProximity",2013
17,17,"Kevin Streelman",86,NA,108,4287.333,6,"RightRoughProximity",2013
18,18,"Freddie Jacobson",63,NA,108,4296.833,3,"RightRoughProximity",2013
18,18,"Patrick Reed",83,NA,160,6357.917,11,"RightRoughProximity",2013
18,18,"Johnson Wagner",64,NA,86,3420.833,6,"RightRoughProximity",2013
21,21,"Graeme McDowell",53,NA,46,1832,5,"RightRoughProximity",2013
21,21,"Jimmy Walker",84,NA,160,6366.833,2,"RightRoughProximity",2013
23,23,"Jason Dufner",78,NA,113,4516.75,14,"RightRoughProximity",2013
24,24,"Matt Every",89,NA,154,6175.5,16,"RightRoughProximity",2013
25,25,"Ernie Els",63,NA,89,3579.333,4,"RightRoughProximity",2013
25,25,"Robert Garrigus",69,NA,103,4150,10,"RightRoughProximity",2013
25,25,"David Lingmerth",68,NA,113,4552.167,9,"RightRoughProximity",2013
25,25,"Kyle Stanley",71,NA,114,4589.083,6,"RightRoughProximity",2013
29,29,"Kevin Stadler",83,NA,108,4366.583,14,"RightRoughProximity",2013
30,30,"Roberto Castro",97,NA,123,4985.167,15,"RightRoughProximity",2013
30,30,"Cameron Percy",68,NA,109,4418.25,-2,"RightRoughProximity",2013
30,30,"Mark Wilson",56,NA,78,3161.583,10,"RightRoughProximity",2013
33,33,"Bubba Watson",76,NA,121,4905.917,12,"RightRoughProximity",2013
34,34,"Daniel Summerhays",83,NA,146,5934.25,17,"RightRoughProximity",2013
35,35,"Brian Davis",91,NA,98,3995.917,18,"RightRoughProximity",2013
36,36,"Webb Simpson",92,NA,120,4907.333,-9,"RightRoughProximity",2013
36,36,"Scott Stallings",79,NA,119,4870.5,16,"RightRoughProximity",2013
38,38,"Greg Chalmers",77,NA,136,5571.833,23,"RightRoughProximity",2013
39,39,"David Lynn",70,NA,120,4934.167,22,"RightRoughProximity",2013
39,39,"Shawn Stefani",63,NA,89,3654.167,3,"RightRoughProximity",2013
41,41,"Martin Flores",83,NA,146,6007.667,2,"RightRoughProximity",2013
41,41,"Fabian Gomez",65,NA,112,4610.75,16,"RightRoughProximity",2013
43,43,"Brad Fritsch",81,NA,139,5744.75,23,"RightRoughProximity",2013
43,43,"Brandt Snedeker",79,NA,103,4254.833,14,"RightRoughProximity",2013
45,45,"Sangmoon Bae",83,NA,167,6925.75,25,"RightRoughProximity",2013
45,45,"James Hahn",78,NA,138,5724.833,20,"RightRoughProximity",2013
45,45,"Steve Stricker",51,NA,56,2322,-3,"RightRoughProximity",2013
48,48,"Michael Bradley",56,NA,71,2960.167,6,"RightRoughProximity",2013
48,48,"Bob Estes",66,NA,116,4831.75,10,"RightRoughProximity",2013
48,48,"Justin Leonard",86,NA,123,5127.083,12,"RightRoughProximity",2013
51,51,"Dustin Johnson",71,NA,126,5257.667,5,"RightRoughProximity",2013
51,51,"Troy Matteson",68,NA,114,4761.917,11,"RightRoughProximity",2013
51,51,"Vijay Singh",61,NA,95,3962.5,22,"RightRoughProximity",2013
54,54,"Ian Poulter",59,NA,62,2593.25,8,"RightRoughProximity",2013
55,55,"Harris English",95,NA,170,7124.333,2,"RightRoughProximity",2013
56,56,"Luke Donald",60,NA,75,3147.667,15,"RightRoughProximity",2013
57,57,"Brian Gay",79,NA,112,4710.917,17,"RightRoughProximity",2013
57,57,"Alistair Presnell",59,NA,99,4167.167,9,"RightRoughProximity",2013
59,59,"Jeff Maggert",63,NA,92,3888.667,17,"RightRoughProximity",2013
60,60,"Will Claxton",67,NA,109,4617.083,32,"RightRoughProximity",2013
60,60,"Ken Duke",87,NA,144,6099.75,37,"RightRoughProximity",2013
60,60,"Camilo Villegas",79,NA,123,5209.583,4,"RightRoughProximity",2013
60,60,"Lee Westwood",70,NA,77,3261.583,7,"RightRoughProximity",2013
64,64,"Keegan Bradley",88,NA,130,5518.75,6,"RightRoughProximity",2013
65,65,"Vaughn Taylor",50,NA,75,3190.25,8,"RightRoughProximity",2013
