"ScramblingFringeRTPScore_RANKTHISWEEK_2008","ScramblingFringeRTPScore_RANKLASTWEEK_2008","ScramblingFringeRTPScore_PLAYERNAME_2008","ScramblingFringeRTPScore_ROUNDS_2008","ScramblingFringeRTPScore_AVGRTP_2008","ScramblingFringeRTPScore_TOTALHOLES_2008","ScramblingFringeRTPScore_TOTALRTP_2008","stat_name","year"
1,1,"Stephen Ames",83,-0.137,51,-7,"ScramblingFringeRTPScore",2008
2,2,"Sergio Garcia",72,-0.133,30,-4,"ScramblingFringeRTPScore",2008
3,3,"John Huston",56,-0.118,34,-4,"ScramblingFringeRTPScore",2008
4,4,"Gavin Coles",54,-0.103,39,-4,"ScramblingFringeRTPScore",2008
5,5,"Bob Estes",90,-0.095,63,-6,"ScramblingFringeRTPScore",2008
6,6,"Phil Mickelson",80,-0.093,43,-4,"ScramblingFringeRTPScore",2008
7,7,"Ryan Moore",72,-0.087,69,-6,"ScramblingFringeRTPScore",2008
8,8,"Padraig Harrington",52,-0.079,38,-3,"ScramblingFringeRTPScore",2008
9,9,"Lee Janzen",89,-0.063,63,-4,"ScramblingFringeRTPScore",2008
9,9,"Charlie Wi",97,-0.063,80,-5,"ScramblingFringeRTPScore",2008
11,11,"Andres Romero",69,-0.059,34,-2,"ScramblingFringeRTPScore",2008
12,12,"Ryuji Imada",80,-0.052,58,-3,"ScramblingFringeRTPScore",2008
13,13,"Harrison Frazar",73,-0.041,49,-2,"ScramblingFringeRTPScore",2008
14,14,"Glen Day",64,-0.039,51,-2,"ScramblingFringeRTPScore",2008
15,15,"Patrick Sheehan",124,-0.033,90,-3,"ScramblingFringeRTPScore",2008
16,16,"Jonathan Byrd",88,-0.029,70,-2,"ScramblingFringeRTPScore",2008
17,17,"Angel Cabrera",55,-0.028,36,-1,"ScramblingFringeRTPScore",2008
17,17,"John Mallinger",95,-0.028,72,-2,"ScramblingFringeRTPScore",2008
17,17,"Corey Pavin",69,-0.028,72,-2,"ScramblingFringeRTPScore",2008
20,20,"Olin Browne",77,-0.027,73,-2,"ScramblingFringeRTPScore",2008
21,21,"John Rollins",94,-0.026,76,-2,"ScramblingFringeRTPScore",2008
22,22,"Kevin Sutherland",98,-0.024,82,-2,"ScramblingFringeRTPScore",2008
23,23,"Geoff Ogilvy",65,-0.022,45,-1,"ScramblingFringeRTPScore",2008
23,23,"Kevin Streelman",114,-0.022,90,-2,"ScramblingFringeRTPScore",2008
25,25,"Tom Pernice Jr",104,-0.021,97,-2,"ScramblingFringeRTPScore",2008
26,26,"Paul Goydos",78,-0.018,55,-1,"ScramblingFringeRTPScore",2008
26,26,"Jesper Parnevik",88,-0.018,57,-1,"ScramblingFringeRTPScore",2008
28,28,"Kevin Na",97,-0.012,85,-1,"ScramblingFringeRTPScore",2008
29,29,"Tim Herron",97,-0.009,107,-1,"ScramblingFringeRTPScore",2008
30,30,"Aaron Baddeley",76,0,60,0,"ScramblingFringeRTPScore",2008
30,30,"Ben Crane",86,0,68,0,"ScramblingFringeRTPScore",2008
30,30,"James Driscoll",85,0,60,0,"ScramblingFringeRTPScore",2008
