"AverageDistanceofBirdieputtsmade_RANKTHISWEEK_2005","AverageDistanceofBirdieputtsmade_RANKLASTWEEK_2005","AverageDistanceofBirdieputtsmade_PLAYERNAME_2005","AverageDistanceofBirdieputtsmade_ROUNDS_2005","AverageDistanceofBirdieputtsmade_AVG_2005","AverageDistanceofBirdieputtsmade_TOTDISTFT_2005","AverageDistanceofBirdieputtsmade_TOTBIRDIEPUTTSMADE_2005","AverageDistanceofBirdieputtsmade_LONGESTMADEFT_2005","AverageDistanceofBirdieputtsmade_SHORTESTMADEFT_2005","stat_name","year"
1,1,"Chris Anderson",66,NA,2066.167,173,53,NA,"AverageDistanceofBirdieputtsmade",2005
1,1,"Matt Gogel",78,NA,2354.833,198,49,NA,"AverageDistanceofBirdieputtsmade",2005
1,1,"Kent Jones",99,NA,3574.083,300,77,NA,"AverageDistanceofBirdieputtsmade",2005
4,4,"Dan Forsman",52,NA,2001.167,169,60,NA,"AverageDistanceofBirdieputtsmade",2005
5,5,"Gavin Coles",70,NA,2217.583,189,55,NA,"AverageDistanceofBirdieputtsmade",2005
5,5,"Matt Kuchar",60,NA,1933.667,165,60,NA,"AverageDistanceofBirdieputtsmade",2005
7,7,"Mark OMeara",66,NA,1651.833,142,50,NA,"AverageDistanceofBirdieputtsmade",2005
8,8,"Brian Gay",101,NA,3253.5,288,64,NA,"AverageDistanceofBirdieputtsmade",2005
9,9,"Bob Tway",87,NA,2626.75,233,46,NA,"AverageDistanceofBirdieputtsmade",2005
10,10,"John Cook",72,NA,2081.5,187,64,NA,"AverageDistanceofBirdieputtsmade",2005
10,10,"Thomas Levet",54,NA,1091,98,42,NA,"AverageDistanceofBirdieputtsmade",2005
10,10,"Len Mattiace",86,NA,2303.083,207,52,NA,"AverageDistanceofBirdieputtsmade",2005
10,10,"Larry Mize",54,NA,1595.25,143,64,NA,"AverageDistanceofBirdieputtsmade",2005
14,14,"Steve Elkington",67,NA,1929,174,58,NA,"AverageDistanceofBirdieputtsmade",2005
14,14,"Shaun Micheel",81,NA,2233.167,202,47,NA,"AverageDistanceofBirdieputtsmade",2005
16,16,"Danny Briggs",70,NA,1975.083,179,56,NA,"AverageDistanceofBirdieputtsmade",2005
16,16,"Glen Hnatiuk",59,NA,1725.417,157,53,NA,"AverageDistanceofBirdieputtsmade",2005
18,18,"Paul Claxton",79,NA,2166.5,199,52,NA,"AverageDistanceofBirdieputtsmade",2005
18,18,"Tim Herron",100,NA,3194.25,292,60,NA,"AverageDistanceofBirdieputtsmade",2005
18,18,"Richard Johnson",50,NA,1841.917,169,56,NA,"AverageDistanceofBirdieputtsmade",2005
18,18,"Corey Pavin",77,NA,2174.167,199,51,NA,"AverageDistanceofBirdieputtsmade",2005
18,18,"Charlie Wi",67,NA,2102.667,193,43,NA,"AverageDistanceofBirdieputtsmade",2005
23,23,"Brent Geiberger",61,NA,1608.417,148,51,NA,"AverageDistanceofBirdieputtsmade",2005
23,23,"Tom Gillis",77,NA,2283.333,210,48,NA,"AverageDistanceofBirdieputtsmade",2005
23,23,"Dudley Hart",84,NA,2641.75,244,53,NA,"AverageDistanceofBirdieputtsmade",2005
23,23,"Jay Williamson",53,NA,1492.75,138,45,NA,"AverageDistanceofBirdieputtsmade",2005
27,27,"Hunter Haas",83,NA,2653.083,247,53,NA,"AverageDistanceofBirdieputtsmade",2005
27,27,"Charles Howell III",95,NA,2668.25,249,59,NA,"AverageDistanceofBirdieputtsmade",2005
27,27,"Freddie Jacobson",72,NA,1928.25,180,42,NA,"AverageDistanceofBirdieputtsmade",2005
27,27,"Peter Lonard",85,NA,2179.5,203,57,NA,"AverageDistanceofBirdieputtsmade",2005
27,27,"Rob Rashell",65,NA,1661.667,154,66,NA,"AverageDistanceofBirdieputtsmade",2005
32,32,"Chad Campbell",95,NA,2869.167,269,58,NA,"AverageDistanceofBirdieputtsmade",2005
32,32,"Stewart Cink",98,NA,2675.417,251,58,NA,"AverageDistanceofBirdieputtsmade",2005
32,32,"Steve Flesch",90,NA,2023.417,190,42,NA,"AverageDistanceofBirdieputtsmade",2005
32,32,"Skip Kendall",80,NA,2098.25,197,61,NA,"AverageDistanceofBirdieputtsmade",2005
32,32,"Bernhard Langer",67,NA,1539.5,144,56,NA,"AverageDistanceofBirdieputtsmade",2005
32,32,"Loren Roberts",54,NA,1585.417,149,53,NA,"AverageDistanceofBirdieputtsmade",2005
38,38,"Glen Day",80,NA,2489.583,236,45,NA,"AverageDistanceofBirdieputtsmade",2005
38,38,"Bob Estes",92,NA,2791.5,263,46,NA,"AverageDistanceofBirdieputtsmade",2005
38,38,"Brad Faxon",75,NA,2097.25,198,51,NA,"AverageDistanceofBirdieputtsmade",2005
38,38,"Chris Riley",67,NA,1118.667,106,51,NA,"AverageDistanceofBirdieputtsmade",2005
38,38,"Joey Snyder III",102,NA,3080,291,70,NA,"AverageDistanceofBirdieputtsmade",2005
38,38,"Lee Westwood",50,NA,1114.667,105,58,NA,"AverageDistanceofBirdieputtsmade",2005
44,44,"Tom Byrum",83,NA,2407.75,230,42,NA,"AverageDistanceofBirdieputtsmade",2005
44,44,"Fred Funk",102,NA,2518.833,240,47,NA,"AverageDistanceofBirdieputtsmade",2005
44,44,"Paul Gow",78,NA,2159.75,205,51,NA,"AverageDistanceofBirdieputtsmade",2005
44,44,"Lee Janzen",75,NA,2050.5,196,62,NA,"AverageDistanceofBirdieputtsmade",2005
44,44,"Stephen Leaney",89,NA,2537.417,242,63,NA,"AverageDistanceofBirdieputtsmade",2005
44,44,"Arron Oberholser",65,NA,1823.167,173,40,NA,"AverageDistanceofBirdieputtsmade",2005
44,44,"Tom Pernice Jr",111,NA,2903.75,277,59,NA,"AverageDistanceofBirdieputtsmade",2005
51,51,"Briny Baird",98,NA,3188.833,307,54,NA,"AverageDistanceofBirdieputtsmade",2005
51,51,"Ben Crane",78,NA,2433.667,233,56,NA,"AverageDistanceofBirdieputtsmade",2005
51,51,"John Elliott",58,NA,1645.583,158,50,NA,"AverageDistanceofBirdieputtsmade",2005
51,51,"Hunter Mahan",103,NA,3496.667,335,49,NA,"AverageDistanceofBirdieputtsmade",2005
51,51,"Dennis Paulson",63,NA,1690.417,162,49,NA,"AverageDistanceofBirdieputtsmade",2005
51,51,"Phillip Price",77,NA,2203.833,211,47,NA,"AverageDistanceofBirdieputtsmade",2005
51,51,"Rory Sabbatini",81,NA,2114.917,203,47,NA,"AverageDistanceofBirdieputtsmade",2005
51,51,"Jeff Sluman",94,NA,2754,265,50,NA,"AverageDistanceofBirdieputtsmade",2005
59,59,"Olin Browne",99,NA,3005.917,290,54,NA,"AverageDistanceofBirdieputtsmade",2005
59,59,"Kevin Na",88,NA,2582.333,249,40,NA,"AverageDistanceofBirdieputtsmade",2005
59,59,"Sean OHair",103,NA,2980.583,288,61,NA,"AverageDistanceofBirdieputtsmade",2005
59,59,"Joe Ogilvie",103,NA,2837.083,274,51,NA,"AverageDistanceofBirdieputtsmade",2005
59,59,"David Toms",87,NA,2495.333,241,72,NA,"AverageDistanceofBirdieputtsmade",2005
59,59,"Dean Wilson",86,NA,2787.833,270,54,NA,"AverageDistanceofBirdieputtsmade",2005
65,65,"Arjun Atwal",65,NA,2438,238,90,NA,"AverageDistanceofBirdieputtsmade",2005
65,65,"Bart Bryant",91,NA,2843.417,278,70,NA,"AverageDistanceofBirdieputtsmade",2005
65,65,"KJ Choi",78,NA,1863.25,182,51,NA,"AverageDistanceofBirdieputtsmade",2005
65,65,"Brendan Jones",81,NA,2381.583,233,46,NA,"AverageDistanceofBirdieputtsmade",2005
65,65,"JL Lewis",98,NA,2857.583,278,54,NA,"AverageDistanceofBirdieputtsmade",2005
65,65,"Scott McCarron",78,NA,1966.917,192,49,NA,"AverageDistanceofBirdieputtsmade",2005
65,65,"Ian Poulter",62,NA,1126.167,110,34,NA,"AverageDistanceofBirdieputtsmade",2005
65,65,"Patrick Sheehan",114,NA,3339.417,327,50,NA,"AverageDistanceofBirdieputtsmade",2005
73,73,"Jason Allred",75,NA,1764.75,173,38,1,"AverageDistanceofBirdieputtsmade",2005
73,73,"Marco Dawson",82,NA,2827.417,278,57,NA,"AverageDistanceofBirdieputtsmade",2005
73,73,"Justin Leonard",78,NA,1814.417,178,57,NA,"AverageDistanceofBirdieputtsmade",2005
73,73,"Tim Petrovic",97,NA,2578.417,253,59,NA,"AverageDistanceofBirdieputtsmade",2005
73,73,"Heath Slocum",103,NA,3120.667,306,50,NA,"AverageDistanceofBirdieputtsmade",2005
73,73,"Mike Weir",71,NA,1516.833,149,46,NA,"AverageDistanceofBirdieputtsmade",2005
73,73,"Mark Wilson",74,NA,2121.417,209,53,NA,"AverageDistanceofBirdieputtsmade",2005
80,80,"Brian Bateman",98,NA,2681.917,265,54,NA,"AverageDistanceofBirdieputtsmade",2005
80,80,"Jeff Brehaut",71,NA,2254.333,224,84,NA,"AverageDistanceofBirdieputtsmade",2005
80,80,"Mark Brooks",72,NA,1643.417,163,41,NA,"AverageDistanceofBirdieputtsmade",2005
80,80,"Jay Haas",54,NA,1242.75,123,87,NA,"AverageDistanceofBirdieputtsmade",2005
80,80,"Franklin Langham",91,NA,2081.25,206,39,NA,"AverageDistanceofBirdieputtsmade",2005
80,80,"Jose Maria Olazabal",55,NA,1481.167,147,48,NA,"AverageDistanceofBirdieputtsmade",2005
80,80,"Jesper Parnevik",84,NA,2090.167,207,61,NA,"AverageDistanceofBirdieputtsmade",2005
80,80,"Steve Stricker",62,NA,2220.917,221,54,NA,"AverageDistanceofBirdieputtsmade",2005
80,80,"Kirk Triplett",55,NA,1454.417,144,42,NA,"AverageDistanceofBirdieputtsmade",2005
89,89,"Jim Furyk",94,NA,2706.333,270,57,NA,"AverageDistanceofBirdieputtsmade",2005
89,89,"Michael Long",72,NA,1863.333,186,49,NA,"AverageDistanceofBirdieputtsmade",2005
89,89,"Craig Perks",67,NA,1605.917,160,53,NA,"AverageDistanceofBirdieputtsmade",2005
89,89,"Mario Tiziani",67,NA,1898.083,190,42,NA,"AverageDistanceofBirdieputtsmade",2005
89,89,"Nick Watney",91,NA,2709.167,272,72,NA,"AverageDistanceofBirdieputtsmade",2005
94,94,"Rich Beem",66,NA,1502.083,151,49,NA,"AverageDistanceofBirdieputtsmade",2005
94,94,"Ben Curtis",65,NA,1270.083,128,49,NA,"AverageDistanceofBirdieputtsmade",2005
94,94,"James Driscoll",73,NA,1917.583,193,53,NA,"AverageDistanceofBirdieputtsmade",2005
94,94,"Jerry Kelly",101,NA,2455.583,247,71,NA,"AverageDistanceofBirdieputtsmade",2005
94,94,"Frank Lickliter II",100,NA,3022.25,305,48,NA,"AverageDistanceofBirdieputtsmade",2005
94,94,"Kenny Perry",82,NA,2320.667,234,52,NA,"AverageDistanceofBirdieputtsmade",2005
94,94,"Brett Quigley",96,NA,2953.333,298,48,NA,"AverageDistanceofBirdieputtsmade",2005
94,94,"Darron Stiles",78,NA,2395.25,241,51,NA,"AverageDistanceofBirdieputtsmade",2005
94,94,"Charles Warren",89,NA,2887.75,290,63,NA,"AverageDistanceofBirdieputtsmade",2005
103,103,"Steve Allan",102,NA,2847.5,290,74,NA,"AverageDistanceofBirdieputtsmade",2005
103,103,"Stephen Ames",82,NA,1983.083,201,46,NA,"AverageDistanceofBirdieputtsmade",2005
103,103,"Woody Austin",100,NA,3152.083,320,53,NA,"AverageDistanceofBirdieputtsmade",2005
103,103,"Aaron Baddeley",84,NA,2452.083,250,52,NA,"AverageDistanceofBirdieputtsmade",2005
103,103,"Craig Barlow",81,NA,2155.583,219,47,NA,"AverageDistanceofBirdieputtsmade",2005
103,103,"Cameron Beckman",96,NA,2793.917,285,60,NA,"AverageDistanceofBirdieputtsmade",2005
103,103,"Alex Cejka",84,NA,1995,203,42,NA,"AverageDistanceofBirdieputtsmade",2005
103,103,"Tim Clark",92,NA,2254.583,230,46,NA,"AverageDistanceofBirdieputtsmade",2005
103,103,"Matt Davidson",53,NA,1429.5,145,39,NA,"AverageDistanceofBirdieputtsmade",2005
103,103,"Todd Hamilton",94,NA,2432.583,248,47,NA,"AverageDistanceofBirdieputtsmade",2005
103,103,"Jeff Hart",63,NA,1519.417,154,42,1,"AverageDistanceofBirdieputtsmade",2005
103,103,"Bob Heintz",67,NA,2238.083,227,54,NA,"AverageDistanceofBirdieputtsmade",2005
103,103,"Steve Jones",56,NA,1154.917,117,48,1,"AverageDistanceofBirdieputtsmade",2005
103,103,"Shigeki Maruyama",99,NA,2933.667,298,53,NA,"AverageDistanceofBirdieputtsmade",2005
103,103,"DA Points",94,NA,2530.417,258,49,NA,"AverageDistanceofBirdieputtsmade",2005
103,103,"Justin Rose",99,NA,2985.167,303,54,NA,"AverageDistanceofBirdieputtsmade",2005
119,119,"Billy Andrade",83,NA,2501.25,256,54,NA,"AverageDistanceofBirdieputtsmade",2005
119,119,"Tommy Armour III",103,NA,2816.25,288,44,NA,"AverageDistanceofBirdieputtsmade",2005
119,119,"Jonathan Byrd",103,NA,3121,319,69,NA,"AverageDistanceofBirdieputtsmade",2005
119,119,"Jose Coceres",56,NA,1561,160,69,NA,"AverageDistanceofBirdieputtsmade",2005
119,119,"Robert Damron",89,NA,2236.25,230,48,NA,"AverageDistanceofBirdieputtsmade",2005
119,119,"David Hearn",68,NA,1933.917,199,41,NA,"AverageDistanceofBirdieputtsmade",2005
119,119,"Ryan Palmer",101,NA,2929.333,301,48,NA,"AverageDistanceofBirdieputtsmade",2005
119,119,"Brenden Pappas",51,NA,1817.833,186,76,NA,"AverageDistanceofBirdieputtsmade",2005
119,119,"DJ Trahan",81,NA,2307.083,237,47,NA,"AverageDistanceofBirdieputtsmade",2005
128,128,"Harrison Frazar",105,NA,3283.583,341,60,NA,"AverageDistanceofBirdieputtsmade",2005
128,128,"Tom Lehman",69,NA,1523.583,157,39,NA,"AverageDistanceofBirdieputtsmade",2005
128,128,"Steve Lowery",100,NA,2973.167,307,42,NA,"AverageDistanceofBirdieputtsmade",2005
128,128,"Carl Pettersson",109,NA,3110.083,323,62,NA,"AverageDistanceofBirdieputtsmade",2005
128,128,"Chris Smith",93,NA,2869.5,297,48,NA,"AverageDistanceofBirdieputtsmade",2005
128,128,"Kevin Sutherland",89,NA,2361.667,244,47,NA,"AverageDistanceofBirdieputtsmade",2005
128,128,"Hidemichi Tanaka",106,NA,3033.75,313,62,NA,"AverageDistanceofBirdieputtsmade",2005
135,135,"Michael Allen",90,NA,2381.5,249,47,NA,"AverageDistanceofBirdieputtsmade",2005
135,135,"DJ Brigman",76,NA,1803.583,188,47,NA,"AverageDistanceofBirdieputtsmade",2005
135,135,"Daniel Chopra",108,NA,2983.583,310,52,NA,"AverageDistanceofBirdieputtsmade",2005
135,135,"JJ Henry",102,NA,2879.583,300,56,NA,"AverageDistanceofBirdieputtsmade",2005
135,135,"Zach Johnson",96,NA,2924.25,305,53,NA,"AverageDistanceofBirdieputtsmade",2005
135,135,"Rod Pampling",89,NA,2406.833,251,47,NA,"AverageDistanceofBirdieputtsmade",2005
135,135,"Adam Scott",72,NA,1778.167,185,38,NA,"AverageDistanceofBirdieputtsmade",2005
135,135,"Roland Thatcher",75,NA,2101.083,220,53,NA,"AverageDistanceofBirdieputtsmade",2005
135,135,"Tjaart van der Walt",56,NA,1623.583,169,43,NA,"AverageDistanceofBirdieputtsmade",2005
135,135,"Bo Van Pelt",112,NA,3316.5,347,48,NA,"AverageDistanceofBirdieputtsmade",2005
145,145,"Jim Carter",62,NA,1158.333,122,47,NA,"AverageDistanceofBirdieputtsmade",2005
145,145,"Ryuji Imada",78,NA,2021.917,213,60,NA,"AverageDistanceofBirdieputtsmade",2005
145,145,"Hank Kuehne",84,NA,2365.583,248,58,NA,"AverageDistanceofBirdieputtsmade",2005
145,145,"Davis Love III",80,NA,1899.25,200,46,NA,"AverageDistanceofBirdieputtsmade",2005
145,145,"Greg Owen",84,NA,2264.25,239,51,NA,"AverageDistanceofBirdieputtsmade",2005
145,145,"Joey Sindelar",104,NA,3209.333,338,50,NA,"AverageDistanceofBirdieputtsmade",2005
151,151,"Stuart Appleby",84,NA,2016.333,215,39,NA,"AverageDistanceofBirdieputtsmade",2005
151,151,"Paul Azinger",66,NA,1842.083,195,39,NA,"AverageDistanceofBirdieputtsmade",2005
151,151,"Brian Davis",75,NA,2095.167,222,45,NA,"AverageDistanceofBirdieputtsmade",2005
151,151,"Chris DiMarco",83,NA,1822.417,194,41,NA,"AverageDistanceofBirdieputtsmade",2005
151,151,"Todd Fischer",99,NA,2652.75,282,40,NA,"AverageDistanceofBirdieputtsmade",2005
151,151,"Robert Gamez",91,NA,2651.417,281,46,NA,"AverageDistanceofBirdieputtsmade",2005
151,151,"Mathias Gronberg",60,NA,1664.25,177,35,NA,"AverageDistanceofBirdieputtsmade",2005
151,151,"JP Hayes",63,NA,1782.833,189,61,NA,"AverageDistanceofBirdieputtsmade",2005
151,151,"Brandt Jobe",96,NA,2631.167,279,70,NA,"AverageDistanceofBirdieputtsmade",2005
151,151,"Billy Mayfair",114,NA,3213.833,341,47,NA,"AverageDistanceofBirdieputtsmade",2005
151,151,"Pat Perez",89,NA,2221.333,235,43,NA,"AverageDistanceofBirdieputtsmade",2005
151,151,"John Senden",101,NA,2864.917,303,50,NA,"AverageDistanceofBirdieputtsmade",2005
151,151,"Hideto Tanihara",50,NA,1108.167,118,33,NA,"AverageDistanceofBirdieputtsmade",2005
151,151,"Vaughn Taylor",99,NA,3053.833,324,56,NA,"AverageDistanceofBirdieputtsmade",2005
151,151,"Scott Verplank",87,NA,2275.333,242,49,NA,"AverageDistanceofBirdieputtsmade",2005
151,151,"Duffy Waldorf",86,NA,2262.25,241,41,NA,"AverageDistanceofBirdieputtsmade",2005
167,167,"Justin Bolli",65,NA,1746.5,187,50,NA,"AverageDistanceofBirdieputtsmade",2005
