"PuttsperRoundRound3_RANKTHISWEEK_2015","PuttsperRoundRound3_RANKLASTWEEK_2015","PuttsperRoundRound3_PLAYERNAME_2015","PuttsperRoundRound3__2015","PuttsperRoundRound3_AVG_2015","PuttsperRoundRound3_TOTALPUTTS_2015","PuttsperRoundRound3_TOTALROUNDS_2015","stat_name","year"
1,1,"Eric Axley",NA,27,216,8,"PuttsperRoundRound3",2015
2,2,"Rickie Fowler",NA,27.13,434,16,"PuttsperRoundRound3",2015
3,3,"Scott Brown",NA,27.26,518,19,"PuttsperRoundRound3",2015
4,4,"Heath Slocum",NA,27.33,164,6,"PuttsperRoundRound3",2015
5,5,"Brian Davis",NA,27.36,383,14,"PuttsperRoundRound3",2015
6,6,"Andres Romero",NA,27.6,276,10,"PuttsperRoundRound3",2015
7,7,"Andrew Putnam",NA,27.64,304,11,"PuttsperRoundRound3",2015
8,8,"Matt Jones",NA,27.68,526,19,"PuttsperRoundRound3",2015
9,9,"Greg Chalmers",NA,27.73,305,11,"PuttsperRoundRound3",2015
10,10,"Erik Compton",NA,27.75,444,16,"PuttsperRoundRound3",2015
11,11,"Ricky Barnes",NA,27.79,389,14,"PuttsperRoundRound3",2015
12,12,"Jordan Spieth",NA,27.8,556,20,"PuttsperRoundRound3",2015
13,13,"Brandt Snedeker",NA,27.82,612,22,"PuttsperRoundRound3",2015
14,14,"Jonathan Byrd",NA,28,336,12,"PuttsperRoundRound3",2015
14,14,"Troy Merritt",NA,28,476,17,"PuttsperRoundRound3",2015
14,14,"Scott Piercy",NA,28,504,18,"PuttsperRoundRound3",2015
17,17,"Patrick Reed",NA,28.04,673,24,"PuttsperRoundRound3",2015
18,18,"Jerry Kelly",NA,28.06,449,16,"PuttsperRoundRound3",2015
18,18,"Jason Kokrak",NA,28.06,477,17,"PuttsperRoundRound3",2015
18,18,"Rory Sabbatini",NA,28.06,449,16,"PuttsperRoundRound3",2015
21,21,"Marc Leishman",NA,28.08,365,13,"PuttsperRoundRound3",2015
22,22,"Matt Kuchar",NA,28.09,646,23,"PuttsperRoundRound3",2015
23,23,"Jason Bohn",NA,28.1,590,21,"PuttsperRoundRound3",2015
24,24,"Justin Leonard",NA,28.11,253,9,"PuttsperRoundRound3",2015
25,25,"Danny Lee",NA,28.12,703,25,"PuttsperRoundRound3",2015
25,25,"Jeff Overton",NA,28.12,478,17,"PuttsperRoundRound3",2015
27,27,"Ryan Moore",NA,28.13,450,16,"PuttsperRoundRound3",2015
27,27,"Roger Sloan",NA,28.13,225,8,"PuttsperRoundRound3",2015
29,29,"Chad Collins",NA,28.19,451,16,"PuttsperRoundRound3",2015
29,29,"Colt Knost",NA,28.19,451,16,"PuttsperRoundRound3",2015
31,31,"Steven Alker",NA,28.2,282,10,"PuttsperRoundRound3",2015
31,31,"George McNeill",NA,28.2,564,20,"PuttsperRoundRound3",2015
31,31,"David Toms",NA,28.2,282,10,"PuttsperRoundRound3",2015
34,34,"Jonathan Randolph",NA,28.23,367,13,"PuttsperRoundRound3",2015
35,35,"Fabian Gomez",NA,28.25,452,16,"PuttsperRoundRound3",2015
36,36,"Carl Pettersson",NA,28.27,622,22,"PuttsperRoundRound3",2015
37,37,"Jon Curran",NA,28.29,396,14,"PuttsperRoundRound3",2015
37,37,"Sergio Garcia",NA,28.29,396,14,"PuttsperRoundRound3",2015
37,37,"Chesson Hadley",NA,28.29,594,21,"PuttsperRoundRound3",2015
40,40,"Tim Wilkinson",NA,28.3,283,10,"PuttsperRoundRound3",2015
41,41,"Max Homa",NA,28.33,340,12,"PuttsperRoundRound3",2015
41,41,"Ryan Palmer",NA,28.33,510,18,"PuttsperRoundRound3",2015
43,43,"Morgan Hoffmann",NA,28.35,482,17,"PuttsperRoundRound3",2015
43,43,"David Lingmerth",NA,28.35,482,17,"PuttsperRoundRound3",2015
43,43,"Sean OHair",NA,28.35,482,17,"PuttsperRoundRound3",2015
46,46,"Hunter Mahan",NA,28.37,539,19,"PuttsperRoundRound3",2015
47,47,"Stewart Cink",NA,28.38,454,16,"PuttsperRoundRound3",2015
47,47,"Jason Gore",NA,28.38,369,13,"PuttsperRoundRound3",2015
