"TotalDriving_RANKTHISWEEK_2011","TotalDriving_RANKLASTWEEK_2011","TotalDriving_PLAYERNAME_2011","TotalDriving_EVENTS_2011","TotalDriving_TOTAL_2011","TotalDriving_DISTANCERANK_2011","TotalDriving_ACCURACYRANK_2011","stat_name","year"
1,1,"John Merrick",21,66,41,25,"TotalDriving",2011
2,2,"John Rollins",27,74,46,28,"TotalDriving",2011
3,3,"Brandt Jobe",28,76,33,43,"TotalDriving",2011
4,4,"Boo Weekley",23,79,48,31,"TotalDriving",2011
5,5,"Adam Scott",18,86,24,62,"TotalDriving",2011
6,6,"Chris Couch",21,93,44,49,"TotalDriving",2011
7,7,"Chez Reavie",27,95,71,24,"TotalDriving",2011
8,8,"John Senden",26,101,72,29,"TotalDriving",2011
9,9,"Bo Van Pelt",27,105,38,67,"TotalDriving",2011
10,10,"Josh Teater",31,113,15,98,"TotalDriving",2011
11,11,"Bill Haas",26,115,48,67,"TotalDriving",2011
12,12,"Keegan Bradley",28,116,20,96,"TotalDriving",2011
12,12,"Rod Pampling",21,116,84,32,"TotalDriving",2011
14,14,"Blake Adams",34,125,80,45,"TotalDriving",2011
15,15,"Brendan Steele",27,127,77,50,"TotalDriving",2011
16,16,"JJ Henry",28,128,92,36,"TotalDriving",2011
17,17,"Briny Baird",19,129,112,17,"TotalDriving",2011
18,18,"Billy Horschel",25,133,94,39,"TotalDriving",2011
18,18,"Kyle Stanley",28,133,9,124,"TotalDriving",2011
20,20,"Charley Hoffman",27,136,22,114,"TotalDriving",2011
21,21,"Scott McCarron",22,138,84,54,"TotalDriving",2011
21,21,"Charl Schwartzel",15,138,43,95,"TotalDriving",2011
23,23,"Gary Woodland",25,142,5,137,"TotalDriving",2011
24,24,"Webb Simpson",26,143,51,92,"TotalDriving",2011
25,25,"Justin Hicks",23,145,132,13,"TotalDriving",2011
26,26,"Martin Laird",23,147,13,134,"TotalDriving",2011
26,26,"Graeme McDowell",16,147,109,38,"TotalDriving",2011
28,28,"Steve Elkington",17,149,135,14,"TotalDriving",2011
28,28,"Kevin Stadler",27,149,74,75,"TotalDriving",2011
30,30,"Dustin Johnson",21,150,3,147,"TotalDriving",2011
31,31,"Joe Durant",25,152,151,1,"TotalDriving",2011
31,31,"DJ Trahan",30,152,31,121,"TotalDriving",2011
31,31,"Nick Watney",22,152,16,136,"TotalDriving",2011
34,34,"Troy Matteson",28,153,21,132,"TotalDriving",2011
35,35,"Will Strickler",19,154,10,144,"TotalDriving",2011
35,35,"Bubba Watson",22,154,2,152,"TotalDriving",2011
37,37,"Bobby Gates",29,155,38,117,"TotalDriving",2011
38,38,"Pat Perez",24,156,90,66,"TotalDriving",2011
39,39,"DA Points",26,157,122,35,"TotalDriving",2011
40,40,"Davis Love III",22,158,33,125,"TotalDriving",2011
41,41,"Woody Austin",18,160,120,40,"TotalDriving",2011
41,41,"Jason Bohn",22,160,139,21,"TotalDriving",2011
43,43,"Sung Kang",21,161,68,93,"TotalDriving",2011
43,43,"Scott Piercy",23,161,7,154,"TotalDriving",2011
45,45,"Tom Gillis",19,162,103,59,"TotalDriving",2011
45,45,"Billy Mayfair",29,162,153,9,"TotalDriving",2011
45,45,"Tag Ridings",28,162,12,150,"TotalDriving",2011
48,48,"Brian Davis",30,163,153,10,"TotalDriving",2011
48,48,"Mark Wilson",26,163,143,20,"TotalDriving",2011
50,50,"Scott Stallings",28,164,11,153,"TotalDriving",2011
51,51,"Chad Campbell",29,165,92,73,"TotalDriving",2011
51,51,"Ben Crane",23,165,139,26,"TotalDriving",2011
51,51,"Heath Slocum",29,165,163,2,"TotalDriving",2011
54,54,"Steve Marino",23,166,59,107,"TotalDriving",2011
55,55,"Sergio Garcia",16,167,28,139,"TotalDriving",2011
55,55,"Lucas Glover",23,167,63,104,"TotalDriving",2011
55,55,"Hunter Mahan",25,167,84,83,"TotalDriving",2011
58,58,"David Hearn",26,168,96,72,"TotalDriving",2011
58,58,"Carl Pettersson",27,168,81,87,"TotalDriving",2011
60,60,"Jason Dufner",23,169,125,44,"TotalDriving",2011
60,60,"Jim Herman",22,169,18,151,"TotalDriving",2011
60,60,"Aron Price",18,169,158,11,"TotalDriving",2011
63,63,"Jeff Overton",26,170,58,112,"TotalDriving",2011
64,64,"Jim Renner",22,171,44,127,"TotalDriving",2011
65,65,"Stephen Ames",22,172,150,22,"TotalDriving",2011
65,65,"Andres Gonzales",21,172,75,97,"TotalDriving",2011
65,65,"Cameron Tringale",32,172,66,106,"TotalDriving",2011
68,68,"Zack Miller",30,173,25,148,"TotalDriving",2011
68,68,"Justin Rose",23,173,99,74,"TotalDriving",2011
70,70,"Scott Gutschewski",23,174,36,138,"TotalDriving",2011
71,71,"Steven Bowditch",28,175,6,169,"TotalDriving",2011
72,72,"Tommy Gainey",34,176,46,130,"TotalDriving",2011
72,72,"Alex Prugh",29,176,31,145,"TotalDriving",2011
72,72,"Kevin Streelman",26,176,111,65,"TotalDriving",2011
75,75,"Roland Thatcher",22,177,75,102,"TotalDriving",2011
76,76,"Hunter Haas",30,178,114,64,"TotalDriving",2011
76,76,"Kent Jones",25,178,137,41,"TotalDriving",2011
78,78,"Brendon de Jonge",30,179,119,60,"TotalDriving",2011
79,79,"Joseph Bramlett",25,180,57,123,"TotalDriving",2011
79,79,"Matt Kuchar",24,180,128,52,"TotalDriving",2011
79,79,"Ben Martin",25,180,109,71,"TotalDriving",2011
79,79,"George McNeill",21,180,60,120,"TotalDriving",2011
79,79,"Ryan Moore",22,180,103,77,"TotalDriving",2011
84,84,"Robert Allenby",25,181,100,81,"TotalDriving",2011
84,84,"David Toms",23,181,175,6,"TotalDriving",2011
84,84,"Jhonattan Vegas",25,181,8,173,"TotalDriving",2011
87,87,"Rickie Fowler",24,182,25,157,"TotalDriving",2011
87,87,"Jim Furyk",26,182,164,18,"TotalDriving",2011
87,87,"Lee Janzen",19,182,103,79,"TotalDriving",2011
