"FirstTeeLatePar3ScoringAverage_RANKTHISWEEK_2013","FirstTeeLatePar3ScoringAverage_RANKLASTWEEK_2013","FirstTeeLatePar3ScoringAverage_PLAYERNAME_2013","FirstTeeLatePar3ScoringAverage_ROUNDS_2013","FirstTeeLatePar3ScoringAverage_AVG_2013","FirstTeeLatePar3ScoringAverage_TOTALSTROKES_2013","FirstTeeLatePar3ScoringAverage_TOTALHOLES_2013","stat_name","year"
1,1,"Justin Bolli",59,2.84,173,61,"FirstTeeLatePar3ScoringAverage",2013
2,2,"Jeff Overton",78,2.91,271,93,"FirstTeeLatePar3ScoringAverage",2013
3,3,"Richard Lee",81,2.92,228,78,"FirstTeeLatePar3ScoringAverage",2013
3,3,"Henrik Norlander",70,2.92,155,53,"FirstTeeLatePar3ScoringAverage",2013
5,5,"Doug LaBelle II",72,2.93,176,60,"FirstTeeLatePar3ScoringAverage",2013
5,5,"Scott Langley",79,2.93,234,80,"FirstTeeLatePar3ScoringAverage",2013
7,7,"Pat Perez",69,2.94,259,88,"FirstTeeLatePar3ScoringAverage",2013
8,8,"Jason Bohn",70,2.95,189,64,"FirstTeeLatePar3ScoringAverage",2013
8,8,"Greg Chalmers",77,2.95,242,82,"FirstTeeLatePar3ScoringAverage",2013
8,8,"Ben Crane",62,2.95,224,76,"FirstTeeLatePar3ScoringAverage",2013
11,11,"Peter Hanson",45,2.96,166,56,"FirstTeeLatePar3ScoringAverage",2013
11,11,"Zach Johnson",84,2.96,441,149,"FirstTeeLatePar3ScoringAverage",2013
11,11,"William McGirt",75,2.96,154,52,"FirstTeeLatePar3ScoringAverage",2013
11,11,"Ryan Palmer",79,2.96,311,105,"FirstTeeLatePar3ScoringAverage",2013
11,11,"Andres Romero",63,2.96,240,81,"FirstTeeLatePar3ScoringAverage",2013
16,16,"Scott Stallings",79,2.97,205,69,"FirstTeeLatePar3ScoringAverage",2013
16,16,"Gary Woodland",94,2.97,336,113,"FirstTeeLatePar3ScoringAverage",2013
18,18,"Stephen Ames",49,2.98,170,57,"FirstTeeLatePar3ScoringAverage",2013
18,18,"Bobby Gates",49,2.98,182,61,"FirstTeeLatePar3ScoringAverage",2013
18,18,"Chris Stroud",88,2.98,274,92,"FirstTeeLatePar3ScoringAverage",2013
18,18,"Tiger Woods",61,2.98,417,140,"FirstTeeLatePar3ScoringAverage",2013
22,22,"Chez Reavie",72,2.99,242,81,"FirstTeeLatePar3ScoringAverage",2013
22,22,"Henrik Stenson",65,2.99,371,124,"FirstTeeLatePar3ScoringAverage",2013
22,22,"Josh Teater",86,2.99,251,84,"FirstTeeLatePar3ScoringAverage",2013
