"FirstTeeLateScoringAverage_RANKTHISWEEK_2012","FirstTeeLateScoringAverage_RANKLASTWEEK_2012","FirstTeeLateScoringAverage_PLAYERNAME_2012","FirstTeeLateScoringAverage_ROUNDS_2012","FirstTeeLateScoringAverage_AVG_2012","FirstTeeLateScoringAverage_TOTALSTROKES_2012","FirstTeeLateScoringAverage_TOTAL1STTEELATEROUNDS_2012","stat_name","year"
1,1,"Rory McIlroy",60,69.43,2430,35,"FirstTeeLateScoringAverage",2012
2,2,"Jason Dufner",83,69.76,2930,42,"FirstTeeLateScoringAverage",2012
2,2,"Dicky Pride",62,69.76,1186,17,"FirstTeeLateScoringAverage",2012
4,4,"Jason Day",57,69.78,1256,18,"FirstTeeLateScoringAverage",2012
5,5,"Steve Stricker",73,69.93,2937,42,"FirstTeeLateScoringAverage",2012
6,6,"Bud Cauley",99,69.97,2519,36,"FirstTeeLateScoringAverage",2012
6,6,"Will Claxton",99,69.97,2099,30,"FirstTeeLateScoringAverage",2012
8,8,"Billy Horschel",63,70,1260,18,"FirstTeeLateScoringAverage",2012
8,8,"Bo Van Pelt",84,70,2590,37,"FirstTeeLateScoringAverage",2012
10,10,"Chris Kirk",93,70.04,1821,26,"FirstTeeLateScoringAverage",2012
10,10,"Louis Oosthuizen",65,70.04,1611,23,"FirstTeeLateScoringAverage",2012
12,12,"Webb Simpson",77,70.05,2942,42,"FirstTeeLateScoringAverage",2012
12,12,"Brandt Snedeker",81,70.05,2592,37,"FirstTeeLateScoringAverage",2012
14,14,"Robert Garrigus",89,70.07,2102,30,"FirstTeeLateScoringAverage",2012
15,15,"Daniel Summerhays",81,70.1,1472,21,"FirstTeeLateScoringAverage",2012
16,16,"Scott Stallings",78,70.12,1823,26,"FirstTeeLateScoringAverage",2012
17,17,"Davis Love III",64,70.15,1894,27,"FirstTeeLateScoringAverage",2012
18,18,"Ryan Moore",89,70.17,2526,36,"FirstTeeLateScoringAverage",2012
19,19,"Heath Slocum",93,70.18,1544,22,"FirstTeeLateScoringAverage",2012
20,20,"John Merrick",83,70.2,1404,20,"FirstTeeLateScoringAverage",2012
21,21,"Ernie Els",80,70.21,2387,34,"FirstTeeLateScoringAverage",2012
21,21,"Scott Piercy",95,70.21,2317,33,"FirstTeeLateScoringAverage",2012
23,23,"Tiger Woods",69,70.24,2880,41,"FirstTeeLateScoringAverage",2012
24,24,"Ken Duke",104,70.25,2248,32,"FirstTeeLateScoringAverage",2012
24,24,"Jim Furyk",85,70.25,2810,40,"FirstTeeLateScoringAverage",2012
24,24,"Bobby Gates",87,70.25,1405,20,"FirstTeeLateScoringAverage",2012
24,24,"Alexandre Rocha",62,70.25,562,8,"FirstTeeLateScoringAverage",2012
28,28,"JJ Henry",93,70.26,1335,19,"FirstTeeLateScoringAverage",2012
28,28,"Bubba Watson",68,70.26,2670,38,"FirstTeeLateScoringAverage",2012
30,30,"Roland Thatcher",55,70.27,773,11,"FirstTeeLateScoringAverage",2012
31,31,"Matt Kuchar",86,70.33,2954,42,"FirstTeeLateScoringAverage",2012
32,32,"Padraig Harrington",67,70.35,2181,31,"FirstTeeLateScoringAverage",2012
33,33,"John Mallinger",74,70.36,1548,22,"FirstTeeLateScoringAverage",2012
34,34,"Dustin Johnson",70,70.38,2252,32,"FirstTeeLateScoringAverage",2012
35,35,"Justin Rose",69,70.39,2323,33,"FirstTeeLateScoringAverage",2012
36,36,"Keegan Bradley",90,70.43,3099,44,"FirstTeeLateScoringAverage",2012
36,36,"Mark Wilson",84,70.43,986,14,"FirstTeeLateScoringAverage",2012
38,38,"John Senden",81,70.44,2254,32,"FirstTeeLateScoringAverage",2012
39,39,"Matt Every",80,70.46,1832,26,"FirstTeeLateScoringAverage",2012
40,40,"Zach Johnson",95,70.47,3030,43,"FirstTeeLateScoringAverage",2012
41,41,"Jonas Blixt",72,70.48,1621,23,"FirstTeeLateScoringAverage",2012
41,41,"John Huh",99,70.48,1762,25,"FirstTeeLateScoringAverage",2012
