"AverageApproachDistancePar_RANKTHISWEEK_2006","AverageApproachDistancePar_RANKLASTWEEK_2006","AverageApproachDistancePar_PLAYERNAME_2006","AverageApproachDistancePar_ROUNDS_2006","AverageApproachDistancePar_AVGYARDS_2006","AverageApproachDistancePar_TOTALDISTANCEINCHES_2006","AverageApproachDistancePar_NUMBEROFAPPROACHSHOTS_2006","stat_name","year"
1,1,"Ryan Hietala",61,152.3,3087300,563,"AverageApproachDistancePar",2006
2,2,"Jon Mills",68,154.4,3486064,627,"AverageApproachDistancePar",2006
3,3,"Michael Allen",84,155.6,4499424,803,"AverageApproachDistancePar",2006
4,4,"JP Hayes",55,156.1,2961034,527,"AverageApproachDistancePar",2006
5,5,"Alex Aragon",63,156.2,3194554,568,"AverageApproachDistancePar",2006
6,6,"Chris Smith",67,156.5,3724462,661,"AverageApproachDistancePar",2006
7,7,"JB Holmes",81,156.6,3691997,655,"AverageApproachDistancePar",2006
8,8,"Omar Uresti",61,156.9,3394657,601,"AverageApproachDistancePar",2006
9,9,"Tim Herron",82,157.1,3981623,704,"AverageApproachDistancePar",2006
10,10,"Bubba Watson",83,157.2,4568108,807,"AverageApproachDistancePar",2006
11,11,"David Duval",71,157.3,3143470,555,"AverageApproachDistancePar",2006
11,11,"Mike Sposa",68,157.3,3715212,656,"AverageApproachDistancePar",2006
11,11,"Steve Stricker",64,157.3,3499281,618,"AverageApproachDistancePar",2006
14,14,"Fred Couples",52,157.6,1957575,345,"AverageApproachDistancePar",2006
14,14,"Harrison Frazar",95,157.6,4595614,810,"AverageApproachDistancePar",2006
14,14,"Bob May",65,157.6,3483169,614,"AverageApproachDistancePar",2006
14,14,"David Toms",76,157.6,3846213,678,"AverageApproachDistancePar",2006
18,18,"Hidemichi Tanaka",74,157.8,4221676,743,"AverageApproachDistancePar",2006
19,19,"JL Lewis",57,157.9,3319160,584,"AverageApproachDistancePar",2006
19,19,"Wes Short Jr",96,157.9,5035073,886,"AverageApproachDistancePar",2006
19,19,"Vance Veazey",59,157.9,3330423,586,"AverageApproachDistancePar",2006
22,22,"Will Ma Kenzie",91,158,4691389,825,"AverageApproachDistancePar",2006
22,22,"Len Mattiace",59,158,3202904,563,"AverageApproachDistancePar",2006
24,24,"John Cook",67,158.2,3718566,653,"AverageApproachDistancePar",2006
24,24,"Joe Ogilvie",95,158.2,5016652,881,"AverageApproachDistancePar",2006
24,24,"Kenny Perry",73,158.2,3947910,693,"AverageApproachDistancePar",2006
27,27,"Mark Brooks",90,158.3,5054057,887,"AverageApproachDistancePar",2006
27,27,"James Driscoll",80,158.3,4632292,813,"AverageApproachDistancePar",2006
27,27,"Zach Johnson",98,158.3,5129744,900,"AverageApproachDistancePar",2006
27,27,"Larry Mize",53,158.3,2894665,508,"AverageApproachDistancePar",2006
31,31,"Shane Bertsch",104,158.4,5650839,991,"AverageApproachDistancePar",2006
31,31,"John Engler Jr",69,158.4,4043669,709,"AverageApproachDistancePar",2006
31,31,"Robert Gamez",94,158.4,5389355,945,"AverageApproachDistancePar",2006
34,34,"Steve Elkington",52,158.5,3190152,559,"AverageApproachDistancePar",2006
34,34,"Tag Ridings",103,158.5,5558812,974,"AverageApproachDistancePar",2006
34,34,"Nicholas Thompson",96,158.5,4976263,872,"AverageApproachDistancePar",2006
