"MoneyperEventLeaders_RANKTHISWEEK_2009","MoneyperEventLeaders_RANKLASTWEEK_2009","MoneyperEventLeaders_PLAYERNAME_2009","MoneyperEventLeaders_EVENTS_2009","MoneyperEventLeaders_MONEYPEREVENT_2009","MoneyperEventLeaders_TOTALMONEY_2009","stat_name","year"
1,1,"Tiger Woods",17,618127,10508163,"MoneyperEventLeaders",2009
2,2,"Tom Watson",2,366301,732603,"MoneyperEventLeaders",2009
3,3,"Phil Mickelson",18,296264,5332754,"MoneyperEventLeaders",2009
4,4,"Steve Stricker",22,287847,6332635,"MoneyperEventLeaders",2009
5,5,"Henrik Stenson",10,255018,2550184,"MoneyperEventLeaders",2009
6,6,"Paul Casey",12,215181,2582181,"MoneyperEventLeaders",2009
7,7,"Chris Wood",2,214220,428441,"MoneyperEventLeaders",2009
8,8,"Geoff Ogilvy",20,193313,3866269,"MoneyperEventLeaders",2009
9,9,"Sean OHair",23,187673,4316493,"MoneyperEventLeaders",2009
10,10,"Kenny Perry",24,185231,4445561,"MoneyperEventLeaders",2009
11,11,"Zach Johnson",26,181338,4714812,"MoneyperEventLeaders",2009
12,12,"Jim Furyk",23,171587,3946515,"MoneyperEventLeaders",2009
13,13,"Retief Goosen",20,161632,3232649,"MoneyperEventLeaders",2009
14,14,"Angel Cabrera",17,154439,2625471,"MoneyperEventLeaders",2009
15,15,"YE Yang",23,151718,3489515,"MoneyperEventLeaders",2009
16,16,"Ian Poulter",17,143000,2431000,"MoneyperEventLeaders",2009
17,17,"Lucas Glover",26,142022,3692579,"MoneyperEventLeaders",2009
18,18,"Lee Westwood",8,135676,1085413,"MoneyperEventLeaders",2009
19,19,"Nick Watney",24,134225,3221420,"MoneyperEventLeaders",2009
20,20,"Padraig Harrington",20,131418,2628376,"MoneyperEventLeaders",2009
21,21,"Stewart Cink",22,128228,2821030,"MoneyperEventLeaders",2009
22,22,"Dustin Johnson",25,119116,2977900,"MoneyperEventLeaders",2009
23,23,"Brian Gay",27,118566,3201294,"MoneyperEventLeaders",2009
24,24,"Hunter Mahan",25,117653,2941348,"MoneyperEventLeaders",2009
25,25,"Ernie Els",19,113008,2147156,"MoneyperEventLeaders",2009
26,26,"David Toms",27,112859,3047197,"MoneyperEventLeaders",2009
27,27,"Rory Sabbatini",25,110091,2752291,"MoneyperEventLeaders",2009
28,28,"Kevin Na",26,104800,2724824,"MoneyperEventLeaders",2009
29,29,"Matt Kuchar",24,103716,2489192,"MoneyperEventLeaders",2009
30,30,"Luke Donald",21,103568,2174947,"MoneyperEventLeaders",2009
31,31,"Mike Weir",24,99142,2379421,"MoneyperEventLeaders",2009
32,32,"Jerry Kelly",26,98563,2562647,"MoneyperEventLeaders",2009
33,33,"Tim Clark",23,97178,2235104,"MoneyperEventLeaders",2009
34,34,"Rickie Fowler",6,95181,571090,"MoneyperEventLeaders",2009
35,35,"Stephen Ames",23,92675,2131538,"MoneyperEventLeaders",2009
36,36,"Jamie Lovemark",5,90774,453872,"MoneyperEventLeaders",2009
37,37,"Robert Allenby",21,90045,1890945,"MoneyperEventLeaders",2009
38,38,"Anthony Kim",22,89643,1972155,"MoneyperEventLeaders",2009
39,39,"Scott Verplank",24,87171,2092113,"MoneyperEventLeaders",2009
40,40,"Camilo Villegas",21,85951,1804980,"MoneyperEventLeaders",2009
41,41,"Justin Leonard",26,85860,2232377,"MoneyperEventLeaders",2009
42,42,"Jason Dufner",26,84261,2190792,"MoneyperEventLeaders",2009
43,43,"John Rollins",27,84054,2269475,"MoneyperEventLeaders",2009
44,44,"Ryan Moore",27,82328,2222870,"MoneyperEventLeaders",2009
45,45,"John Senden",29,79499,2305492,"MoneyperEventLeaders",2009
46,46,"Pat Perez",22,78198,1720360,"MoneyperEventLeaders",2009
47,47,"Rory McIlroy",11,77247,849718,"MoneyperEventLeaders",2009
48,48,"Francesco Molinari",4,76092,304368,"MoneyperEventLeaders",2009
49,49,"Fred Couples",16,74873,1197970,"MoneyperEventLeaders",2009
50,50,"Steve Marino",29,74535,2161539,"MoneyperEventLeaders",2009
51,51,"Heath Slocum",30,73185,2195565,"MoneyperEventLeaders",2009
52,52,"Sergio Garcia",17,71324,1212522,"MoneyperEventLeaders",2009
53,53,"Charley Hoffman",27,70182,1894925,"MoneyperEventLeaders",2009
54,54,"Jason Day",18,69512,1251218,"MoneyperEventLeaders",2009
55,55,"Chad Campbell",26,66355,1725237,"MoneyperEventLeaders",2009
56,56,"Kevin Chappell",3,65829,197487,"MoneyperEventLeaders",2009
57,57,"Bryce Molder",21,65771,1381211,"MoneyperEventLeaders",2009
58,58,"Mark Wilson",28,65657,1838414,"MoneyperEventLeaders",2009
59,59,"Bo Van Pelt",30,64843,1945306,"MoneyperEventLeaders",2009
60,60,"Paul Goydos",25,64796,1619918,"MoneyperEventLeaders",2009
61,61,"John Mallinger",27,63597,1717139,"MoneyperEventLeaders",2009
62,62,"Charles Howell III",29,62222,1804460,"MoneyperEventLeaders",2009
62,62,"Marc Leishman",28,62222,1742242,"MoneyperEventLeaders",2009
64,64,"Ben Crane",27,61743,1667084,"MoneyperEventLeaders",2009
65,65,"Vijay Singh",21,60800,1276814,"MoneyperEventLeaders",2009
66,66,"Davis Love III",27,60088,1622401,"MoneyperEventLeaders",2009
67,67,"Shingo Katayama",6,60000,360000,"MoneyperEventLeaders",2009
68,68,"Jose Maria Olazabal",4,59907,239629,"MoneyperEventLeaders",2009
69,69,"Bubba Watson",24,59593,1430243,"MoneyperEventLeaders",2009
70,70,"Graeme McDowell",11,58683,645516,"MoneyperEventLeaders",2009
71,71,"Brian Davis",32,58572,1874318,"MoneyperEventLeaders",2009
72,72,"Brandt Snedeker",26,57059,1483557,"MoneyperEventLeaders",2009
73,73,"Martin Laird",24,56223,1349354,"MoneyperEventLeaders",2009
74,74,"George McNeill",26,55354,1439219,"MoneyperEventLeaders",2009
75,75,"Ross Fisher",10,54454,544546,"MoneyperEventLeaders",2009
76,76,"Soren Hansen",8,54080,432644,"MoneyperEventLeaders",2009
77,77,"Jonathan Byrd",25,52670,1316770,"MoneyperEventLeaders",2009
78,78,"John Merrick",28,51388,1438891,"MoneyperEventLeaders",2009
79,79,"Shigeki Maruyama",5,51266,256330,"MoneyperEventLeaders",2009
80,80,"Justin Rose",22,51159,1125518,"MoneyperEventLeaders",2009
81,81,"Brett Quigley",28,50456,1412780,"MoneyperEventLeaders",2009
82,82,"Boo Weekley",22,50338,1107448,"MoneyperEventLeaders",2009
83,83,"Tim Petrovic",31,50060,1551866,"MoneyperEventLeaders",2009
84,84,"Len Mattiace",1,49742,49742,"MoneyperEventLeaders",2009
85,85,"Bill Haas",29,49152,1425417,"MoneyperEventLeaders",2009
86,86,"Charlie Wi",28,49110,1375096,"MoneyperEventLeaders",2009
87,87,"Thomas Aiken",3,49057,147171,"MoneyperEventLeaders",2009
88,88,"Troy Matteson",30,48869,1466070,"MoneyperEventLeaders",2009
89,89,"JB Holmes",25,48781,1219534,"MoneyperEventLeaders",2009
90,90,"Nathan Green",30,47878,1436342,"MoneyperEventLeaders",2009
91,91,"Kenichi Kuboya",1,47793,47793,"MoneyperEventLeaders",2009
92,92,"Freddie Jacobson",25,47599,1189994,"MoneyperEventLeaders",2009
93,93,"James Driscoll",17,47504,807577,"MoneyperEventLeaders",2009
94,94,"Woody Austin",24,47388,1137331,"MoneyperEventLeaders",2009
95,95,"Bob Estes",23,46953,1079928,"MoneyperEventLeaders",2009
96,96,"Larry Mize",1,46575,46575,"MoneyperEventLeaders",2009
97,97,"Jason Bohn",25,46397,1159935,"MoneyperEventLeaders",2009
98,98,"Kevin Stadler",20,46275,925514,"MoneyperEventLeaders",2009
99,99,"Todd Fischer",3,45567,136701,"MoneyperEventLeaders",2009
100,100,"DA Points",29,45517,1320020,"MoneyperEventLeaders",2009
101,101,"Kevin Sutherland",27,45133,1218604,"MoneyperEventLeaders",2009
102,102,"Ben Curtis",18,44417,799523,"MoneyperEventLeaders",2009
103,103,"KJ Choi",22,44022,968505,"MoneyperEventLeaders",2009
104,104,"Michael Sim",3,43396,130188,"MoneyperEventLeaders",2009
105,105,"Mathew Goggin",26,43032,1118844,"MoneyperEventLeaders",2009
106,106,"Jeff Klauk",29,42886,1243696,"MoneyperEventLeaders",2009
107,107,"Michael Bradley",17,42811,727787,"MoneyperEventLeaders",2009
108,108,"Jeff Overton",28,42619,1193346,"MoneyperEventLeaders",2009
109,109,"Roland Thatcher",16,42601,681630,"MoneyperEventLeaders",2009
110,110,"Briny Baird",28,42392,1186981,"MoneyperEventLeaders",2009
111,111,"Vaughn Taylor",28,42081,1178282,"MoneyperEventLeaders",2009
112,112,"Webb Simpson",30,41655,1249674,"MoneyperEventLeaders",2009
113,113,"Rod Pampling",23,41604,956897,"MoneyperEventLeaders",2009
114,114,"JJ Henry",28,41487,1161641,"MoneyperEventLeaders",2009
