"FedExCupPlayoffsPoints_RANKTHISWEEK_2012","FedExCupPlayoffsPoints_RANKLASTWEEK_2012","FedExCupPlayoffsPoints_PLAYERNAME_2012","FedExCupPlayoffsPoints_EVENTS_2012","FedExCupPlayoffsPoints_POINTS_2012","FedExCupPlayoffsPoints_OFWINS_2012","FedExCupPlayoffsPoints_OFTOP10S_2012","FedExCupPlayoffsPoints_POINTSBEHINDLEAD_2012","FedExCupPlayoffsPoints_RESETPOINTS_2012","stat_name","year"
1,1,"Brandt Snedeker",22,4100,2,7,NA,1600,"FedExCupPlayoffsPoints",2012
2,2,"Rory McIlroy",16,2827,4,10,1273,2500,"FedExCupPlayoffsPoints",2012
3,3,"Tiger Woods",19,2663,3,9,1437,2250,"FedExCupPlayoffsPoints",2012
4,4,"Nick Watney",25,2215,1,4,1885,2000,"FedExCupPlayoffsPoints",2012
5,5,"Phil Mickelson",22,2073,1,7,2027,1800,"FedExCupPlayoffsPoints",2012
6,6,"Justin Rose",19,1770,1,8,2330,270,"FedExCupPlayoffsPoints",2012
7,7,"Louis Oosthuizen",19,1635,NA,5,2465,1400,"FedExCupPlayoffsPoints",2012
8,8,"Dustin Johnson",19,1527,1,9,2573,1200,"FedExCupPlayoffsPoints",2012
9,9,"Luke Donald",17,1275,1,8,2825,400,"FedExCupPlayoffsPoints",2012
10,10,"Lee Westwood",15,1205,NA,7,2895,1000,"FedExCupPlayoffsPoints",2012
11,11,"Ryan Moore",23,1105,NA,7,2995,230,"FedExCupPlayoffsPoints",2012
12,12,"Zach Johnson",24,1073,2,6,3027,800,"FedExCupPlayoffsPoints",2012
13,13,"Bubba Watson",19,1005,1,7,3095,480,"FedExCupPlayoffsPoints",2012
14,14,"Jason Dufner",22,853,2,8,3247,600,"FedExCupPlayoffsPoints",2012
15,15,"Jim Furyk",23,790,NA,7,3310,340,"FedExCupPlayoffsPoints",2012
16,16,"Webb Simpson",22,785,1,7,3315,260,"FedExCupPlayoffsPoints",2012
17,17,"Sergio Garcia",16,733,1,3,3367,460,"FedExCupPlayoffsPoints",2012
18,18,"Matt Kuchar",22,707,1,9,3393,380,"FedExCupPlayoffsPoints",2012
19,19,"Hunter Mahan",23,693,2,5,3407,280,"FedExCupPlayoffsPoints",2012
20,20,"Steve Stricker",19,685,1,7,3415,440,"FedExCupPlayoffsPoints",2012
21,21,"Keegan Bradley",25,655,1,5,3445,420,"FedExCupPlayoffsPoints",2012
22,22,"Bo Van Pelt",24,647,NA,10,3453,320,"FedExCupPlayoffsPoints",2012
23,23,"Robert Garrigus",24,637,NA,7,3463,310,"FedExCupPlayoffsPoints",2012
24,24,"Carl Pettersson",26,613,1,6,3487,360,"FedExCupPlayoffsPoints",2012
25,25,"Adam Scott",16,560,NA,5,3540,300,"FedExCupPlayoffsPoints",2012
26,26,"Ernie Els",21,510,1,5,3590,290,"FedExCupPlayoffsPoints",2012
27,27,"Scott Piercy",27,483,1,3,3617,210,"FedExCupPlayoffsPoints",2012
28,28,"Rickie Fowler",23,475,1,5,3625,240,"FedExCupPlayoffsPoints",2012
29,29,"John Huh",27,460,1,4,3640,250,"FedExCupPlayoffsPoints",2012
30,30,"John Senden",22,445,NA,5,3655,220,"FedExCupPlayoffsPoints",2012
31,31,"Kyle Stanley",27,1492,1,2,5807,NA,"FedExCupPlayoffsPoints",2012
