"Approachesfrominside100yardsRgh_RANKTHISWEEK_2008","Approachesfrominside100yardsRgh_RANKLASTWEEK_2008","Approachesfrominside100yardsRgh_PLAYERNAME_2008","Approachesfrominside100yardsRgh_ROUNDS_2008","Approachesfrominside100yardsRgh_AVG_2008","Approachesfrominside100yardsRgh_TOTALDISTANCEFEET_2008","Approachesfrominside100yardsRgh_OFATTEMPTS_2008","Approachesfrominside100yardsRgh_RELATIVETOPAR_2008","stat_name","year"
179,179,"Mike Weir",88,NA,747.75,25,4,"Approachesfrominside100yardsRgh",2008
180,180,"Kyle Thompson",70,NA,900.333,30,3,"Approachesfrominside100yardsRgh",2008
181,181,"Charley Hoffman",94,NA,1399.083,46,3,"Approachesfrominside100yardsRgh",2008
182,182,"Paul Casey",55,NA,305.333,10,5,"Approachesfrominside100yardsRgh",2008
182,182,"Jimmy Walker",73,NA,915.833,30,7,"Approachesfrominside100yardsRgh",2008
184,184,"Bob Sowards",61,NA,1282.917,42,6,"Approachesfrominside100yardsRgh",2008
185,185,"Paul Claxton",63,NA,841.083,27,9,"Approachesfrominside100yardsRgh",2008
186,186,"Mathew Goggin",91,NA,1126.417,36,6,"Approachesfrominside100yardsRgh",2008
186,186,"Mark Wilson",107,NA,1092.917,35,5,"Approachesfrominside100yardsRgh",2008
188,188,"Jim Furyk",95,NA,787.75,25,7,"Approachesfrominside100yardsRgh",2008
189,189,"Boo Weekley",86,NA,858.333,27,5,"Approachesfrominside100yardsRgh",2008
190,190,"Jeff Maggert",86,NA,1532.833,48,15,"Approachesfrominside100yardsRgh",2008
191,191,"Chris Stroud",81,NA,704.417,22,8,"Approachesfrominside100yardsRgh",2008
192,192,"Kenneth Ferrie",72,NA,932,29,2,"Approachesfrominside100yardsRgh",2008
193,193,"Bubba Watson",97,NA,972.583,30,5,"Approachesfrominside100yardsRgh",2008
194,194,"Peter Lonard",92,NA,854.833,25,11,"Approachesfrominside100yardsRgh",2008
195,195,"Davis Love III",78,NA,852.75,24,9,"Approachesfrominside100yardsRgh",2008
196,196,"Robert Garrigus",90,NA,1857,51,19,"Approachesfrominside100yardsRgh",2008
197,197,"Bart Bryant",81,NA,559.5,14,8,"Approachesfrominside100yardsRgh",2008
