"Back9ScoringAverage_RANKTHISWEEK_2013","Back9ScoringAverage_RANKLASTWEEK_2013","Back9ScoringAverage_PLAYERNAME_2013","Back9ScoringAverage_ROUNDS_2013","Back9ScoringAverage_AVG_2013","Back9ScoringAverage_TOTALSTROKES_2013","Back9ScoringAverage_TOTALHOLES_2013","stat_name","year"
161,161,"Tim Herron",45,36.13,1626,45,"Back9ScoringAverage",2013
161,161,"YE Yang",56,36.13,2023,56,"Back9ScoringAverage",2013
164,164,"Mike Weir",60,36.14,2096,58,"Back9ScoringAverage",2013
165,165,"Justin Bolli",59,36.15,1988,55,"Back9ScoringAverage",2013
165,165,"Nicolas Colsaerts",50,36.15,1699,47,"Back9ScoringAverage",2013
165,165,"Scott Stallings",79,36.15,2856,79,"Back9ScoringAverage",2013
168,168,"Ryo Ishikawa",72,36.16,2531,70,"Back9ScoringAverage",2013
169,169,"David Mathis",71,36.18,2424,67,"Back9ScoringAverage",2013
170,170,"Luke List",65,36.2,2208,61,"Back9ScoringAverage",2013
171,171,"Robert Karlsson",56,36.21,1883,52,"Back9ScoringAverage",2013
171,171,"Seung Yul Noh",71,36.21,2426,67,"Back9ScoringAverage",2013
173,173,"Bobby Gates",49,36.22,1630,45,"Back9ScoringAverage",2013
174,174,"Kyle Stanley",71,36.27,2575,71,"Back9ScoringAverage",2013
175,175,"Padraig Harrington",52,36.29,1778,49,"Back9ScoringAverage",2013
176,176,"Tom Gillis",69,36.37,2364,65,"Back9ScoringAverage",2013
177,177,"Johnson Wagner",64,36.43,2186,60,"Back9ScoringAverage",2013
178,178,"Michael Bradley",56,36.44,1895,52,"Back9ScoringAverage",2013
179,179,"Scott Gardiner",61,36.51,2154,59,"Back9ScoringAverage",2013
180,180,"Ben Curtis",59,36.75,2095,57,"Back9ScoringAverage",2013
