"BounceBack_RANKTHISWEEK_2014","BounceBack_RANKLASTWEEK_2014","BounceBack_PLAYERNAME_2014","BounceBack_ROUNDS_2014","BounceBack_Pct_2014","stat_name","year"
1,1,"Luke Donald",57,27.39,"BounceBack",2014
2,2,"Seung Yul Noh",92,25.42,"BounceBack",2014
3,3,"Brooks Koepka",56,25.32,"BounceBack",2014
4,4,"Justin Rose",70,25.14,"BounceBack",2014
5,5,"Brian Davis",93,24.63,"BounceBack",2014
6,6,"Phil Mickelson",71,24.59,"BounceBack",2014
7,7,"Bubba Watson",76,24.28,"BounceBack",2014
8,8,"Nick Watney",80,24.2,"BounceBack",2014
9,9,"Rickie Fowler",91,24.07,"BounceBack",2014
10,10,"Luke Guthrie",85,23.85,"BounceBack",2014
10,10,"Carl Pettersson",91,23.85,"BounceBack",2014
12,12,"Troy Merritt",62,23.6,"BounceBack",2014
13,13,"Ryo Ishikawa",75,23.47,"BounceBack",2014
14,14,"Charles Howell III",106,23.42,"BounceBack",2014
15,15,"Bud Cauley",56,23.38,"BounceBack",2014
16,16,"Ryan Palmer",85,23.33,"BounceBack",2014
17,17,"Woody Austin",63,23.3,"BounceBack",2014
18,18,"Henrik Stenson",56,23.23,"BounceBack",2014
19,19,"Jimmy Walker",98,23.14,"BounceBack",2014
20,20,"Brendon Todd",108,23.13,"BounceBack",2014
21,21,"Morgan Hoffmann",103,23.05,"BounceBack",2014
22,22,"Harris English",95,22.98,"BounceBack",2014
23,23,"Graeme McDowell",66,22.93,"BounceBack",2014
24,24,"Robert Allenby",83,22.91,"BounceBack",2014
25,25,"Martin Laird",66,22.87,"BounceBack",2014
26,26,"Kevin Kisner",85,22.84,"BounceBack",2014
27,27,"Geoff Ogilvy",84,22.83,"BounceBack",2014
28,28,"Billy Horschel",92,22.82,"BounceBack",2014
29,29,"Jim Furyk",84,22.78,"BounceBack",2014
30,30,"George McNeill",79,22.67,"BounceBack",2014
31,31,"Michael Thompson",74,22.64,"BounceBack",2014
32,32,"Will Wilcox",51,22.48,"BounceBack",2014
33,33,"Angel Cabrera",69,22.27,"BounceBack",2014
34,34,"Andres Romero",81,22.18,"BounceBack",2014
