"PGAChampionshipPoints_RANKTHISWEEK_2014","PGAChampionshipPoints_RANKLASTWEEK_2014","PGAChampionshipPoints_PLAYERNAME_2014","PGAChampionshipPoints_EVENTS_2014","PGAChampionshipPoints_POINTS_2014","stat_name","year"
1,1,"Rory McIlroy",6,4644200,"PGAChampionshipPoints",2014
2,2,"Billy Horschel",6,3512440,"PGAChampionshipPoints",2014
3,3,"Hunter Mahan",6,1977980,"PGAChampionshipPoints",2014
4,4,"Chris Kirk",6,1898910,"PGAChampionshipPoints",2014
5,5,"Jim Furyk",6,1816800,"PGAChampionshipPoints",2014
6,6,"Rickie Fowler",6,1613800,"PGAChampionshipPoints",2014
7,7,"Sergio Garcia",5,1513427,"PGAChampionshipPoints",2014
8,8,"Geoff Ogilvy",6,1330765,"PGAChampionshipPoints",2014
9,9,"Jason Day",6,1326556,"PGAChampionshipPoints",2014
10,10,"Bubba Watson",6,1234817,"PGAChampionshipPoints",2014
11,11,"Phil Mickelson",5,1215644,"PGAChampionshipPoints",2014
12,12,"Bill Haas",7,1214543,"PGAChampionshipPoints",2014
13,13,"Ryan Palmer",5,1088849,"PGAChampionshipPoints",2014
14,14,"Camilo Villegas",4,1069550,"PGAChampionshipPoints",2014
15,15,"Adam Scott",6,1005784,"PGAChampionshipPoints",2014
16,16,"Morgan Hoffmann",6,956350,"PGAChampionshipPoints",2014
17,17,"Russell Henley",6,902973,"PGAChampionshipPoints",2014
18,18,"Cameron Tringale",5,841753,"PGAChampionshipPoints",2014
19,19,"Henrik Stenson",5,831800,"PGAChampionshipPoints",2014
20,20,"Justin Rose",5,825033,"PGAChampionshipPoints",2014
21,21,"Jimmy Walker",6,787876,"PGAChampionshipPoints",2014
22,22,"Ernie Els",6,784347,"PGAChampionshipPoints",2014
23,23,"Patrick Reed",7,771485,"PGAChampionshipPoints",2014
24,24,"Matt Kuchar",5,680547,"PGAChampionshipPoints",2014
25,25,"Charl Schwartzel",5,673189,"PGAChampionshipPoints",2014
26,26,"John Senden",6,656600,"PGAChampionshipPoints",2014
27,27,"Stuart Appleby",5,641743,"PGAChampionshipPoints",2014
28,28,"Webb Simpson",7,609440,"PGAChampionshipPoints",2014
29,29,"Gary Woodland",6,600733,"PGAChampionshipPoints",2014
30,30,"Marc Leishman",5,582362,"PGAChampionshipPoints",2014
