"Total3PuttsInside5_RANKTHISWEEK_2010","Total3PuttsInside5_RANKLASTWEEK_2010","Total3PuttsInside5_PLAYERNAME_2010","Total3PuttsInside5_ROUNDS_2010","Total3PuttsInside5_TOTAL3PUTTSINSIDE5_2010","Total3PuttsInside5_TOTAL3PUTTS_2010","stat_name","year"
1,1,"Craig Bowden",56,4,31,"Total3PuttsInside5",2010
2,2,"Jonathan Byrd",85,2,55,"Total3PuttsInside5",2010
2,2,"David Duval",71,2,26,"Total3PuttsInside5",2010
2,2,"Tom Gillis",97,2,60,"Total3PuttsInside5",2010
2,2,"JP Hayes",79,2,30,"Total3PuttsInside5",2010
2,2,"Marc Leishman",87,2,39,"Total3PuttsInside5",2010
2,2,"David Lutterus",69,2,36,"Total3PuttsInside5",2010
2,2,"James Nitties",92,2,49,"Total3PuttsInside5",2010
2,2,"DA Points",90,2,49,"Total3PuttsInside5",2010
2,2,"Chris Wilson",65,2,45,"Total3PuttsInside5",2010
11,11,"Aaron Baddeley",94,1,30,"Total3PuttsInside5",2010
11,11,"Rich Barcelo",70,1,21,"Total3PuttsInside5",2010
11,11,"Jason Bohn",84,1,25,"Total3PuttsInside5",2010
11,11,"Chad Campbell",95,1,32,"Total3PuttsInside5",2010
11,11,"Daniel Chopra",74,1,32,"Total3PuttsInside5",2010
11,11,"Jason Day",82,1,46,"Total3PuttsInside5",2010
11,11,"Martin Flores",75,1,44,"Total3PuttsInside5",2010
11,11,"Rickie Fowler",98,1,37,"Total3PuttsInside5",2010
11,11,"Jim Furyk",76,1,21,"Total3PuttsInside5",2010
11,11,"Mathew Goggin",85,1,45,"Total3PuttsInside5",2010
11,11,"Nathan Green",86,1,40,"Total3PuttsInside5",2010
11,11,"Charley Hoffman",85,1,36,"Total3PuttsInside5",2010
11,11,"JB Holmes",100,1,49,"Total3PuttsInside5",2010
11,11,"Charles Howell III",103,1,24,"Total3PuttsInside5",2010
11,11,"Ryuji Imada",90,1,35,"Total3PuttsInside5",2010
11,11,"Kevin Johnson",62,1,27,"Total3PuttsInside5",2010
11,11,"Matt Jones",89,1,33,"Total3PuttsInside5",2010
11,11,"Cliff Kresge",50,1,24,"Total3PuttsInside5",2010
11,11,"Matt Kuchar",97,1,27,"Total3PuttsInside5",2010
11,11,"Michael Letzig",84,1,52,"Total3PuttsInside5",2010
11,11,"Davis Love III",79,1,47,"Total3PuttsInside5",2010
11,11,"Will Ma Kenzie",72,1,46,"Total3PuttsInside5",2010
11,11,"Hunter Mahan",85,1,35,"Total3PuttsInside5",2010
11,11,"Troy Matteson",84,1,45,"Total3PuttsInside5",2010
11,11,"Andrew McLardy",52,1,24,"Total3PuttsInside5",2010
11,11,"George McNeill",79,1,50,"Total3PuttsInside5",2010
11,11,"Phil Mickelson",76,1,24,"Total3PuttsInside5",2010
11,11,"Kevin Na",94,1,30,"Total3PuttsInside5",2010
11,11,"Sean OHair",84,1,45,"Total3PuttsInside5",2010
11,11,"Cameron Percy",73,1,44,"Total3PuttsInside5",2010
11,11,"Carl Pettersson",99,1,25,"Total3PuttsInside5",2010
11,11,"Scott Piercy",88,1,43,"Total3PuttsInside5",2010
11,11,"Ian Poulter",55,1,11,"Total3PuttsInside5",2010
11,11,"Brett Quigley",96,1,52,"Total3PuttsInside5",2010
11,11,"Chris Riley",73,1,30,"Total3PuttsInside5",2010
11,11,"John Rollins",81,1,55,"Total3PuttsInside5",2010
11,11,"Adam Scott",70,1,39,"Total3PuttsInside5",2010
11,11,"John Senden",103,1,52,"Total3PuttsInside5",2010
11,11,"Vijay Singh",75,1,41,"Total3PuttsInside5",2010
11,11,"Heath Slocum",97,1,42,"Total3PuttsInside5",2010
11,11,"Brandt Snedeker",89,1,29,"Total3PuttsInside5",2010
11,11,"Kevin Stadler",86,1,46,"Total3PuttsInside5",2010
11,11,"Kevin Sutherland",86,1,42,"Total3PuttsInside5",2010
11,11,"Vaughn Taylor",87,1,38,"Total3PuttsInside5",2010
11,11,"Nicholas Thompson",88,1,66,"Total3PuttsInside5",2010
11,11,"Chris Tidland",77,1,43,"Total3PuttsInside5",2010
11,11,"DJ Trahan",92,1,57,"Total3PuttsInside5",2010
11,11,"Cameron Tringale",55,1,38,"Total3PuttsInside5",2010
11,11,"Omar Uresti",74,1,35,"Total3PuttsInside5",2010
11,11,"Camilo Villegas",78,1,33,"Total3PuttsInside5",2010
11,11,"Nick Watney",91,1,35,"Total3PuttsInside5",2010
11,11,"Steve Wheatcroft",74,1,36,"Total3PuttsInside5",2010
11,11,"Garrett Willis",82,1,43,"Total3PuttsInside5",2010
