"ofPotentialPtswonFedExCupRegularSeason_RANKTHISWEEK_2013","ofPotentialPtswonFedExCupRegularSeason_RANKLASTWEEK_2013","ofPotentialPtswonFedExCupRegularSeason_PLAYERNAME_2013","ofPotentialPtswonFedExCupRegularSeason_EVENTS_2013","ofPotentialPtswonFedExCupRegularSeason_Pct_2013","ofPotentialPtswonFedExCupRegularSeason_POINTSWON_2013","ofPotentialPtswonFedExCupRegularSeason_POTENTIALPTS_2013","ofPotentialPtswonFedExCupRegularSeason_OFWINS_2013","ofPotentialPtswonFedExCupRegularSeason_OFTOP10S_2013","stat_name","year"
1,1,"Tiger Woods",16,46.01,3059,6650,5,7,"ofPotentialPtswonFedExCupRegularSeason",2013
2,2,"Phil Mickelson",21,23.8,2166,9100,2,6,"ofPotentialPtswonFedExCupRegularSeason",2013
3,3,"Matt Kuchar",23,22.59,2293,10150,2,7,"ofPotentialPtswonFedExCupRegularSeason",2013
4,4,"Steve Stricker",13,22.12,1117,5050,NA,5,"ofPotentialPtswonFedExCupRegularSeason",2013
5,5,"Brandt Snedeker",23,22.07,2218,10050,2,8,"ofPotentialPtswonFedExCupRegularSeason",2013
6,6,"Adam Scott",16,20.25,1347,6650,1,5,"ofPotentialPtswonFedExCupRegularSeason",2013
7,7,"Justin Rose",17,20.23,1447,7150,1,5,"ofPotentialPtswonFedExCupRegularSeason",2013
8,8,"Henrik Stenson",18,19.27,1426,7400,NA,6,"ofPotentialPtswonFedExCupRegularSeason",2013
9,9,"Jordan Spieth",23,15.78,1436,9100,1,7,"ofPotentialPtswonFedExCupRegularSeason",2013
10,10,"Jason Day",21,14.03,1284,9150,NA,6,"ofPotentialPtswonFedExCupRegularSeason",2013
11,11,"Bill Haas",25,13.5,1505,11150,1,9,"ofPotentialPtswonFedExCupRegularSeason",2013
12,12,"Keegan Bradley",25,13.29,1416,10650,NA,7,"ofPotentialPtswonFedExCupRegularSeason",2013
13,13,"Graeme McDowell",16,13.16,941,7150,1,4,"ofPotentialPtswonFedExCupRegularSeason",2013
14,14,"Jason Dufner",22,13.01,1256,9650,1,3,"ofPotentialPtswonFedExCupRegularSeason",2013
15,15,"Billy Horschel",26,12.98,1487,11450,1,7,"ofPotentialPtswonFedExCupRegularSeason",2013
16,16,"Kevin Streelman",25,12.88,1333,10350,1,5,"ofPotentialPtswonFedExCupRegularSeason",2013
17,17,"Dustin Johnson",22,12.7,1226,9650,1,5,"ofPotentialPtswonFedExCupRegularSeason",2013
18,18,"Boo Weekley",27,11.87,1335,11250,1,4,"ofPotentialPtswonFedExCupRegularSeason",2013
19,19,"Jim Furyk",22,10.95,1057,9650,NA,5,"ofPotentialPtswonFedExCupRegularSeason",2013
20,20,"Rory McIlroy",16,10.87,777,7150,NA,5,"ofPotentialPtswonFedExCupRegularSeason",2013
21,21,"Zach Johnson",24,10.71,1141,10650,NA,6,"ofPotentialPtswonFedExCupRegularSeason",2013
22,22,"Charl Schwartzel",19,10.69,871,8150,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2013
23,23,"Webb Simpson",25,10.66,1188,11150,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2013
24,24,"Harris English",26,9.99,1134,11350,1,4,"ofPotentialPtswonFedExCupRegularSeason",2013
25,25,"Hunter Mahan",25,9.92,1101,11100,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2013
26,26,"Lee Westwood",19,9.9,856,8650,NA,6,"ofPotentialPtswonFedExCupRegularSeason",2013
27,27,"Luke Donald",17,9.89,707,7150,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2013
28,28,"Patrick Reed",26,9.83,1062,10800,1,5,"ofPotentialPtswonFedExCupRegularSeason",2013
29,29,"Sergio Garcia",17,9.57,684,7150,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2013
30,30,"Russell Henley",24,9.39,1048,11150,1,3,"ofPotentialPtswonFedExCupRegularSeason",2013
31,31,"Jimmy Walker",24,9.22,996,10800,NA,5,"ofPotentialPtswonFedExCupRegularSeason",2013
32,32,"Peter Lonard",1,9.17,28,300,NA,NA,"ofPotentialPtswonFedExCupRegularSeason",2013
