"DrivingAccuracyPercentage_RANKTHISWEEK_2008","DrivingAccuracyPercentage_RANKLASTWEEK_2008","DrivingAccuracyPercentage_PLAYERNAME_2008","DrivingAccuracyPercentage_ROUNDS_2008","DrivingAccuracyPercentage_Pct_2008","DrivingAccuracyPercentage_FAIRWAYSHIT_2008","DrivingAccuracyPercentage_POSSIBLEFAIRWAYS_2008","stat_name","year"
1,1,"Olin Browne",77,80.42,838,1042,"DrivingAccuracyPercentage",2008
2,2,"Omar Uresti",74,74.85,729,974,"DrivingAccuracyPercentage",2008
3,3,"Heath Slocum",104,73.95,1073,1451,"DrivingAccuracyPercentage",2008
4,4,"Bart Bryant",81,73.87,834,1129,"DrivingAccuracyPercentage",2008
5,5,"Zach Johnson",85,73.73,870,1180,"DrivingAccuracyPercentage",2008
6,6,"Scott Verplank",82,73.57,835,1135,"DrivingAccuracyPercentage",2008
7,7,"Robert Gamez",79,73.36,785,1070,"DrivingAccuracyPercentage",2008
8,8,"Joe Durant",92,73.05,854,1169,"DrivingAccuracyPercentage",2008
9,9,"Chez Reavie",102,72.56,989,1363,"DrivingAccuracyPercentage",2008
10,10,"Brian Davis",108,72.47,1090,1504,"DrivingAccuracyPercentage",2008
11,11,"Jeff Gove",50,72.43,465,642,"DrivingAccuracyPercentage",2008
12,12,"Nick OHern",82,72.27,808,1118,"DrivingAccuracyPercentage",2008
13,13,"Billy Mayfair",103,72.16,1037,1437,"DrivingAccuracyPercentage",2008
14,14,"Ron Whittaker",54,72.07,480,666,"DrivingAccuracyPercentage",2008
15,15,"Gavin Coles",54,71.99,460,639,"DrivingAccuracyPercentage",2008
16,16,"Kent Jones",68,71.81,619,862,"DrivingAccuracyPercentage",2008
17,17,"Brian Gay",102,71.74,942,1313,"DrivingAccuracyPercentage",2008
18,18,"Paul Claxton",63,70.96,562,792,"DrivingAccuracyPercentage",2008
19,19,"Paul Goydos",78,70.85,773,1091,"DrivingAccuracyPercentage",2008
20,20,"Mark Wilson",107,70.73,1056,1493,"DrivingAccuracyPercentage",2008
21,21,"Shane Bertsch",96,70.54,941,1334,"DrivingAccuracyPercentage",2008
22,22,"Steve Elkington",84,70.43,824,1170,"DrivingAccuracyPercentage",2008
23,23,"Ryan Armour",87,69.88,805,1152,"DrivingAccuracyPercentage",2008
24,24,"Jay Williamson",96,69.73,857,1229,"DrivingAccuracyPercentage",2008
25,25,"Michael Allen",91,69.45,882,1270,"DrivingAccuracyPercentage",2008
26,26,"John Mallinger",95,69.39,918,1323,"DrivingAccuracyPercentage",2008
27,27,"Craig Kanada",65,69.38,571,823,"DrivingAccuracyPercentage",2008
28,28,"Jim Furyk",95,69.37,915,1319,"DrivingAccuracyPercentage",2008
29,29,"Corey Pavin",69,69.22,623,900,"DrivingAccuracyPercentage",2008
30,30,"Scott McCarron",63,69.2,609,880,"DrivingAccuracyPercentage",2008
31,31,"John Riegger",73,69.09,646,935,"DrivingAccuracyPercentage",2008
32,32,"Glen Day",64,69.02,557,807,"DrivingAccuracyPercentage",2008
33,33,"Jin Park",85,68.79,736,1070,"DrivingAccuracyPercentage",2008
34,34,"Greg Kraft",63,68.71,527,767,"DrivingAccuracyPercentage",2008
35,35,"John Senden",93,68.2,875,1283,"DrivingAccuracyPercentage",2008
36,36,"Kenneth Ferrie",72,68.13,607,891,"DrivingAccuracyPercentage",2008
37,37,"Doug LaBelle II",65,68.06,552,811,"DrivingAccuracyPercentage",2008
38,38,"John Rollins",94,67.94,892,1313,"DrivingAccuracyPercentage",2008
39,39,"Kevin Na",97,67.8,916,1351,"DrivingAccuracyPercentage",2008
40,40,"Justin Leonard",101,67.72,902,1332,"DrivingAccuracyPercentage",2008
41,41,"Jason Gore",94,67.71,885,1307,"DrivingAccuracyPercentage",2008
42,42,"Cameron Beckman",87,67.64,744,1100,"DrivingAccuracyPercentage",2008
42,42,"Ben Crane",86,67.64,811,1199,"DrivingAccuracyPercentage",2008
44,44,"Bob Tway",70,67.34,600,891,"DrivingAccuracyPercentage",2008
45,45,"Charlie Wi",97,67.33,909,1350,"DrivingAccuracyPercentage",2008
46,46,"Jonathan Byrd",88,67.31,799,1187,"DrivingAccuracyPercentage",2008
47,47,"Ben Curtis",80,67.2,715,1064,"DrivingAccuracyPercentage",2008
48,48,"Rich Beem",90,66.93,840,1255,"DrivingAccuracyPercentage",2008
49,49,"Stephen Leaney",53,66.91,457,683,"DrivingAccuracyPercentage",2008
50,50,"Jeff Maggert",86,66.89,800,1196,"DrivingAccuracyPercentage",2008
51,51,"Todd Hamilton",92,66.87,858,1283,"DrivingAccuracyPercentage",2008
52,52,"Nicholas Thompson",113,66.85,996,1490,"DrivingAccuracyPercentage",2008
53,53,"Tim Wilkinson",95,66.72,810,1214,"DrivingAccuracyPercentage",2008
54,54,"Tim Petrovic",97,66.53,825,1240,"DrivingAccuracyPercentage",2008
55,55,"Chris Riley",51,66.5,397,597,"DrivingAccuracyPercentage",2008
56,56,"Bob Estes",90,66.48,815,1226,"DrivingAccuracyPercentage",2008
56,56,"Patrick Sheehan",124,66.48,1073,1614,"DrivingAccuracyPercentage",2008
58,58,"Chris Stroud",81,66.38,693,1044,"DrivingAccuracyPercentage",2008
59,59,"Jerry Kelly",89,66.21,776,1172,"DrivingAccuracyPercentage",2008
60,60,"Woody Austin",109,66.19,975,1473,"DrivingAccuracyPercentage",2008
61,61,"Briny Baird",113,66.03,966,1463,"DrivingAccuracyPercentage",2008
62,62,"Hunter Mahan",87,66.02,785,1189,"DrivingAccuracyPercentage",2008
63,63,"Scott Sterling",89,66,763,1156,"DrivingAccuracyPercentage",2008
64,64,"Peter Lonard",92,65.91,808,1226,"DrivingAccuracyPercentage",2008
65,65,"John Huston",56,65.88,475,721,"DrivingAccuracyPercentage",2008
66,66,"Justin Bolli",87,65.74,735,1118,"DrivingAccuracyPercentage",2008
66,66,"Ryan Moore",72,65.74,660,1004,"DrivingAccuracyPercentage",2008
68,68,"Chad Campbell",94,65.68,861,1311,"DrivingAccuracyPercentage",2008
69,69,"Rod Pampling",83,65.65,732,1115,"DrivingAccuracyPercentage",2008
70,70,"Robert Allenby",108,65.64,980,1493,"DrivingAccuracyPercentage",2008
71,71,"JJ Henry",108,65.6,988,1506,"DrivingAccuracyPercentage",2008
72,72,"David Toms",70,65.58,623,950,"DrivingAccuracyPercentage",2008
73,73,"Matt Kuchar",88,65.53,751,1146,"DrivingAccuracyPercentage",2008
74,74,"Mark Calcavecchia",67,65.44,604,923,"DrivingAccuracyPercentage",2008
75,75,"Charles Warren",79,65.43,721,1102,"DrivingAccuracyPercentage",2008
76,76,"Alex Cejka",75,65.42,628,960,"DrivingAccuracyPercentage",2008
77,77,"Todd Demsey",80,65.38,710,1086,"DrivingAccuracyPercentage",2008
78,78,"DJ Trahan",94,65.31,853,1306,"DrivingAccuracyPercentage",2008
78,78,"Marc Turnesa",87,65.31,755,1156,"DrivingAccuracyPercentage",2008
80,80,"John Merrick",98,65.23,818,1254,"DrivingAccuracyPercentage",2008
81,81,"Joe Ogilvie",100,65.2,875,1342,"DrivingAccuracyPercentage",2008
82,82,"Frank Lickliter II",107,64.99,967,1488,"DrivingAccuracyPercentage",2008
83,83,"Tim Clark",90,64.98,809,1245,"DrivingAccuracyPercentage",2008
84,84,"Mathew Goggin",91,64.91,823,1268,"DrivingAccuracyPercentage",2008
85,85,"Boo Weekley",86,64.75,753,1163,"DrivingAccuracyPercentage",2008
86,86,"Rocco Mediate",87,64.66,785,1214,"DrivingAccuracyPercentage",2008
87,87,"Tom Lehman",51,64.53,442,685,"DrivingAccuracyPercentage",2008
88,88,"Michael Letzig",88,64.44,754,1170,"DrivingAccuracyPercentage",2008
89,89,"Richard Johnson",60,64.18,482,751,"DrivingAccuracyPercentage",2008
90,90,"Tom Pernice Jr",104,63.99,926,1447,"DrivingAccuracyPercentage",2008
91,91,"Steve Marino",119,63.84,1022,1601,"DrivingAccuracyPercentage",2008
92,92,"Jim McGovern",75,63.65,611,960,"DrivingAccuracyPercentage",2008
93,93,"YE Yang",89,63.43,770,1214,"DrivingAccuracyPercentage",2008
94,94,"Tom Scherrer",56,63.36,441,696,"DrivingAccuracyPercentage",2008
95,95,"Tommy Armour III",77,63.35,643,1015,"DrivingAccuracyPercentage",2008
95,95,"Charley Hoffman",94,63.35,816,1288,"DrivingAccuracyPercentage",2008
97,97,"Pat Perez",93,63.27,813,1285,"DrivingAccuracyPercentage",2008
98,98,"JP Hayes",67,63.24,590,933,"DrivingAccuracyPercentage",2008
99,99,"Chris DiMarco",87,63.12,765,1212,"DrivingAccuracyPercentage",2008
100,100,"Ryan Palmer",69,62.94,552,877,"DrivingAccuracyPercentage",2008
101,101,"Lee Janzen",89,62.91,726,1154,"DrivingAccuracyPercentage",2008
102,102,"Mathias Gronberg",87,62.77,725,1155,"DrivingAccuracyPercentage",2008
103,103,"Stephen Ames",83,62.72,720,1148,"DrivingAccuracyPercentage",2008
104,104,"Nick Flanagan",89,62.66,740,1181,"DrivingAccuracyPercentage",2008
105,105,"Will Ma Kenzie",62,62.6,539,861,"DrivingAccuracyPercentage",2008
106,106,"Mike Weir",88,62.46,762,1220,"DrivingAccuracyPercentage",2008
107,107,"Trevor Immelman",70,62.45,592,948,"DrivingAccuracyPercentage",2008
108,108,"Kyle Thompson",70,62.44,557,892,"DrivingAccuracyPercentage",2008
109,109,"Paul Casey",55,62.43,452,724,"DrivingAccuracyPercentage",2008
110,110,"Vaughn Taylor",103,62.4,898,1439,"DrivingAccuracyPercentage",2008
111,111,"Alejandro Canizares",52,62.36,381,611,"DrivingAccuracyPercentage",2008
112,112,"Ken Duke",116,62.27,1005,1614,"DrivingAccuracyPercentage",2008
113,113,"Cliff Kresge",84,62.26,693,1113,"DrivingAccuracyPercentage",2008
114,114,"Martin Laird",98,62.25,798,1282,"DrivingAccuracyPercentage",2008
115,115,"Kevin Streelman",114,62.21,935,1503,"DrivingAccuracyPercentage",2008
116,116,"Bo Van Pelt",101,62.06,839,1352,"DrivingAccuracyPercentage",2008
117,117,"Kevin Stadler",90,62.01,710,1145,"DrivingAccuracyPercentage",2008
118,118,"Rory Sabbatini",77,61.99,662,1068,"DrivingAccuracyPercentage",2008
119,119,"Jeff Quinney",87,61.98,753,1215,"DrivingAccuracyPercentage",2008
120,120,"Kenny Perry",97,61.97,836,1349,"DrivingAccuracyPercentage",2008
121,121,"Kevin Sutherland",98,61.93,846,1366,"DrivingAccuracyPercentage",2008
