"PowerRating_RANKTHISWEEK_2006","PowerRating_RANKLASTWEEK_2006","PowerRating_PLAYERNAME_2006","PowerRating_EVENTS_2006","PowerRating_RATING_2006","stat_name","year"
1,1,"Steven Bowditch",2,9.9,"PowerRating",2006
1,1,"JB Holmes",13,9.9,"PowerRating",2006
3,3,"Bubba Watson",14,9.8,"PowerRating",2006
4,4,"Johan Edfors",2,9.7,"PowerRating",2006
5,5,"Brett Wetterich",16,9.6,"PowerRating",2006
6,6,"Angel Cabrera",5,9.5,"PowerRating",2006
6,6,"John Daly",7,9.5,"PowerRating",2006
6,6,"Robert Garrigus",15,9.5,"PowerRating",2006
9,9,"Harrison Frazar",15,9.4,"PowerRating",2006
10,10,"Scott Harrington",1,9.3,"PowerRating",2006
10,10,"Ryan Hietala",6,9.3,"PowerRating",2006
12,12,"Tag Ridings",17,9.2,"PowerRating",2006
12,12,"Tiger Woods",9,9.2,"PowerRating",2006
14,14,"Fred Couples",7,9.1,"PowerRating",2006
14,14,"Lucas Glover",20,9.1,"PowerRating",2006
14,14,"Hank Kuehne",2,9.1,"PowerRating",2006
17,17,"Scott Hend",1,9,"PowerRating",2006
17,17,"Charley Hoffman",20,9,"PowerRating",2006
17,17,"Adam Scott",12,9,"PowerRating",2006
17,17,"Camilo Villegas",17,9,"PowerRating",2006
21,21,"Gonzalo Fdez Castano",1,8.9,"PowerRating",2006
22,22,"Jonathan Byrd",11,8.8,"PowerRating",2006
22,22,"Paul Casey",3,8.8,"PowerRating",2006
22,22,"Jason Gore",13,8.8,"PowerRating",2006
22,22,"Phil Mickelson",13,8.8,"PowerRating",2006
22,22,"Charles Warren",18,8.8,"PowerRating",2006
27,27,"Chris Couch",10,8.7,"PowerRating",2006
27,27,"Scott Gutschewski",6,8.7,"PowerRating",2006
27,27,"Davis Love III",14,8.7,"PowerRating",2006
27,27,"Scott Piercy",4,8.7,"PowerRating",2006
27,27,"Nick Watney",19,8.7,"PowerRating",2006
32,32,"Retief Goosen",11,8.6,"PowerRating",2006
32,32,"Roland Thatcher",1,8.6,"PowerRating",2006
34,34,"Matt Hansen",9,8.5,"PowerRating",2006
34,34,"Geoff Ogilvy",12,8.5,"PowerRating",2006
34,34,"Chris Smith",11,8.5,"PowerRating",2006
37,37,"Anthony Kim",2,8.4,"PowerRating",2006
37,37,"Jeff Overton",19,8.4,"PowerRating",2006
37,37,"Vijay Singh",22,8.4,"PowerRating",2006
40,40,"Troy Matteson",17,8.3,"PowerRating",2006
40,40,"Louis Oosthuizen",1,8.3,"PowerRating",2006
40,40,"Henrik Stenson",4,8.3,"PowerRating",2006
43,43,"David Berganio Jr",1,8.2,"PowerRating",2006
43,43,"Daniel Chopra",19,8.2,"PowerRating",2006
43,43,"Kris Cox",12,8.2,"PowerRating",2006
43,43,"Jason Day",4,8.2,"PowerRating",2006
43,43,"James Driscoll",11,8.2,"PowerRating",2006
43,43,"Charles Howell III",18,8.2,"PowerRating",2006
43,43,"James McLean",1,8.2,"PowerRating",2006
43,43,"Rob Oppenheim",1,8.2,"PowerRating",2006
43,43,"Ryan Palmer",18,8.2,"PowerRating",2006
43,43,"Roger Tambellini",6,8.2,"PowerRating",2006
43,43,"Bo Van Pelt",22,8.2,"PowerRating",2006
54,54,"Andres Gonzales",1,8.1,"PowerRating",2006
54,54,"Mathias Gronberg",14,8.1,"PowerRating",2006
54,54,"JJ Henry",17,8.1,"PowerRating",2006
54,54,"Greg Owen",14,8.1,"PowerRating",2006
58,58,"Alex Aragon",6,8,"PowerRating",2006
58,58,"Bubba Dickerson",17,8,"PowerRating",2006
58,58,"Sergio Garcia",9,8,"PowerRating",2006
58,58,"Mathew Goggin",9,8,"PowerRating",2006
58,58,"Bill Haas",18,8,"PowerRating",2006
58,58,"Will Ma Kenzie",14,8,"PowerRating",2006
64,64,"Rich Beem",13,7.9,"PowerRating",2006
64,64,"Ernie Els",12,7.9,"PowerRating",2006
64,64,"Jyoti Randhawa",1,7.9,"PowerRating",2006
64,64,"Nicholas Thompson",13,7.9,"PowerRating",2006
68,68,"Darren Clarke",3,7.8,"PowerRating",2006
68,68,"Trevor Immelman",17,7.8,"PowerRating",2006
68,68,"Brandt Jobe",15,7.8,"PowerRating",2006
68,68,"Sean OHair",16,7.8,"PowerRating",2006
72,72,"Craig Barlow",14,7.7,"PowerRating",2006
72,72,"John Senden",18,7.7,"PowerRating",2006
74,74,"Robert Allenby",13,7.6,"PowerRating",2006
74,74,"Neal Lancaster",4,7.6,"PowerRating",2006
74,74,"Kenny Perry",13,7.6,"PowerRating",2006
74,74,"John Rollins",17,7.6,"PowerRating",2006
74,74,"Rory Sabbatini",16,7.6,"PowerRating",2006
79,79,"Stuart Appleby",16,7.5,"PowerRating",2006
79,79,"Ricky Barnes",1,7.5,"PowerRating",2006
79,79,"Henrik Bjornstad",17,7.5,"PowerRating",2006
79,79,"David Duval",9,7.5,"PowerRating",2006
79,79,"Robert Karlsson",3,7.5,"PowerRating",2006
79,79,"Pat Perez",9,7.5,"PowerRating",2006
85,85,"Yusaku Miyazato",1,7.4,"PowerRating",2006
85,85,"Paul Stankowski",12,7.4,"PowerRating",2006
87,87,"Gary Hallberg",1,7.3,"PowerRating",2006
87,87,"Jonathan Kaye",16,7.3,"PowerRating",2006
87,87,"Hunter Mahan",20,7.3,"PowerRating",2006
87,87,"Charl Schwartzel",4,7.3,"PowerRating",2006
87,87,"Kevin Stadler",5,7.3,"PowerRating",2006
92,92,"Tim Herron",11,7.2,"PowerRating",2006
92,92,"Brendan Jones",3,7.2,"PowerRating",2006
92,92,"Bob May",10,7.2,"PowerRating",2006
92,92,"Jon Mills",5,7.2,"PowerRating",2006
92,92,"Anthony Wall",1,7.2,"PowerRating",2006
97,97,"Eric Axley",15,7.1,"PowerRating",2006
97,97,"Bob Burns",2,7.1,"PowerRating",2006
97,97,"Carlos Franco",13,7.1,"PowerRating",2006
97,97,"Padraig Harrington",9,7.1,"PowerRating",2006
97,97,"John Huston",12,7.1,"PowerRating",2006
97,97,"Justin Rose",19,7.1,"PowerRating",2006
103,103,"Brian Bateman",9,7,"PowerRating",2006
103,103,"David Howell",7,7,"PowerRating",2006
103,103,"Kevin Sutherland",19,7,"PowerRating",2006
106,106,"Jason Bohn",21,6.9,"PowerRating",2006
106,106,"Chad Campbell",16,6.9,"PowerRating",2006
106,106,"Michael Campbell",3,6.9,"PowerRating",2006
106,106,"Danny Ellis",10,6.9,"PowerRating",2006
106,106,"Stephen Gangluff",1,6.9,"PowerRating",2006
106,106,"Andrew Magee",4,6.9,"PowerRating",2006
106,106,"Wes Short Jr",14,6.9,"PowerRating",2006
106,106,"Boyd Summerhays",2,6.9,"PowerRating",2006
114,114,"Freddie Jacobson",10,6.8,"PowerRating",2006
114,114,"Ian Leggatt",9,6.8,"PowerRating",2006
114,114,"Jesper Parnevik",17,6.8,"PowerRating",2006
114,114,"Chris Parra",1,6.8,"PowerRating",2006
114,114,"Lee Westwood",5,6.8,"PowerRating",2006
114,114,"Garrett Willis",3,6.8,"PowerRating",2006
120,120,"Michael Allen",16,6.7,"PowerRating",2006
120,120,"David Roesch",1,6.7,"PowerRating",2006
122,122,"Stewart Cink",17,6.6,"PowerRating",2006
122,122,"Thongchai Jaidee",1,6.6,"PowerRating",2006
122,122,"Ryan Moore",11,6.6,"PowerRating",2006
122,122,"Mike Small",4,6.6,"PowerRating",2006
122,122,"Jimmy Walker",9,6.6,"PowerRating",2006
127,127,"Patrick Damron",1,6.5,"PowerRating",2006
127,127,"Marco Dawson",15,6.5,"PowerRating",2006
127,127,"Jamie Lovemark",1,6.5,"PowerRating",2006
127,127,"Jose Maria Olazabal",9,6.5,"PowerRating",2006
127,127,"Ted Purdy",15,6.5,"PowerRating",2006
127,127,"Jason Schultz",9,6.5,"PowerRating",2006
133,133,"Cameron Beckman",7,6.4,"PowerRating",2006
133,133,"Joe Ogilvie",16,6.4,"PowerRating",2006
133,133,"Scott Parel",1,6.4,"PowerRating",2006
133,133,"Brett Quigley",20,6.4,"PowerRating",2006
137,137,"Joe Durant",22,6.3,"PowerRating",2006
137,137,"Jeff Gove",15,6.3,"PowerRating",2006
137,137,"Rod Pampling",16,6.3,"PowerRating",2006
137,137,"Joey Snyder III",1,6.3,"PowerRating",2006
137,137,"BJ Staten",5,6.3,"PowerRating",2006
137,137,"DJ Trahan",12,6.3,"PowerRating",2006
143,143,"KJ Choi",20,6.2,"PowerRating",2006
143,143,"Scott McCarron",7,6.2,"PowerRating",2006
143,143,"Carl Pettersson",17,6.2,"PowerRating",2006
143,143,"Vaughn Taylor",17,6.2,"PowerRating",2006
143,143,"Casey Wittenberg",1,6.2,"PowerRating",2006
148,148,"Victor Ciesielski",1,6.1,"PowerRating",2006
148,148,"Steve Lowery",18,6.1,"PowerRating",2006
148,148,"Graeme McDowell",4,6.1,"PowerRating",2006
148,148,"David Toms",14,6.1,"PowerRating",2006
152,152,"Vance Veazey",10,6,"PowerRating",2006
153,153,"Billy Andrade",13,5.9,"PowerRating",2006
153,153,"Arjun Atwal",14,5.9,"PowerRating",2006
153,153,"Brian Davis",18,5.9,"PowerRating",2006
153,153,"Grant Waite",2,5.9,"PowerRating",2006
153,153,"Kaname Yokoo",1,5.9,"PowerRating",2006
158,158,"Stephen Ames",9,5.8,"PowerRating",2006
158,158,"Woody Austin",20,5.8,"PowerRating",2006
158,158,"Jason Caron",1,5.8,"PowerRating",2006
158,158,"Todd Hamilton",7,5.8,"PowerRating",2006
158,158,"Tom Lehman",12,5.8,"PowerRating",2006
158,158,"Frank Lickliter II",18,5.8,"PowerRating",2006
158,158,"DA Points",12,5.8,"PowerRating",2006
