"Approaches200225yardsRghRTP_RANKTHISWEEK_2015","Approaches200225yardsRghRTP_RANKLASTWEEK_2015","Approaches200225yardsRghRTP_PLAYERNAME_2015","Approaches200225yardsRghRTP_ROUNDS_2015","Approaches200225yardsRghRTP_AVGRTP_2015","stat_name","year"
1,1,"Oscar Fraustro",58,-0.462,"Approaches200225yardsRghRTP",2015
2,2,"Graham DeLaet",65,-0.333,"Approaches200225yardsRghRTP",2015
2,2,"Ryan Palmer",80,-0.333,"Approaches200225yardsRghRTP",2015
4,4,"Louis Oosthuizen",68,-0.25,"Approaches200225yardsRghRTP",2015
5,5,"JB Holmes",89,-0.235,"Approaches200225yardsRghRTP",2015
6,6,"Paul Casey",87,-0.222,"Approaches200225yardsRghRTP",2015
7,7,"Tom Hoge",83,-0.2,"Approaches200225yardsRghRTP",2015
7,7,"Max Homa",78,-0.2,"Approaches200225yardsRghRTP",2015
9,9,"Charley Hoffman",97,-0.176,"Approaches200225yardsRghRTP",2015
9,9,"Ryo Ishikawa",90,-0.176,"Approaches200225yardsRghRTP",2015
11,11,"Martin Flores",95,-0.143,"Approaches200225yardsRghRTP",2015
11,11,"James Hahn",94,-0.143,"Approaches200225yardsRghRTP",2015
13,13,"Tony Finau",106,-0.138,"Approaches200225yardsRghRTP",2015
14,14,"Brooks Koepka",84,-0.136,"Approaches200225yardsRghRTP",2015
15,15,"Carlos Ortiz",100,-0.13,"Approaches200225yardsRghRTP",2015
16,16,"Jimmy Walker",89,-0.125,"Approaches200225yardsRghRTP",2015
16,16,"Boo Weekley",79,-0.125,"Approaches200225yardsRghRTP",2015
18,18,"Charlie Beljan",76,-0.118,"Approaches200225yardsRghRTP",2015
19,19,"Brendon de Jonge",106,-0.111,"Approaches200225yardsRghRTP",2015
20,20,"George McNeill",93,-0.094,"Approaches200225yardsRghRTP",2015
21,21,"Bubba Watson",71,-0.083,"Approaches200225yardsRghRTP",2015
22,22,"Luke Guthrie",84,-0.08,"Approaches200225yardsRghRTP",2015
23,23,"Blayne Barber",76,-0.067,"Approaches200225yardsRghRTP",2015
23,23,"Gary Woodland",81,-0.067,"Approaches200225yardsRghRTP",2015
25,25,"Martin Laird",77,-0.063,"Approaches200225yardsRghRTP",2015
26,26,"Angel Cabrera",53,-0.059,"Approaches200225yardsRghRTP",2015
27,27,"Daniel Berger",97,-0.045,"Approaches200225yardsRghRTP",2015
28,28,"Morgan Hoffmann",85,-0.043,"Approaches200225yardsRghRTP",2015
29,29,"Vijay Singh",78,-0.04,"Approaches200225yardsRghRTP",2015
30,30,"Shawn Stefani",94,-0.038,"Approaches200225yardsRghRTP",2015
31,31,"Matt Kuchar",97,-0.033,"Approaches200225yardsRghRTP",2015
32,32,"Harris English",105,0,"Approaches200225yardsRghRTP",2015
32,32,"Charles Howell III",105,0,"Approaches200225yardsRghRTP",2015
32,32,"Dustin Johnson",75,0,"Approaches200225yardsRghRTP",2015
32,32,"Davis Love III",51,0,"Approaches200225yardsRghRTP",2015
32,32,"Geoff Ogilvy",50,0,"Approaches200225yardsRghRTP",2015
32,32,"SJ Park",79,0,"Approaches200225yardsRghRTP",2015
32,32,"Patrick Reed",103,0,"Approaches200225yardsRghRTP",2015
32,32,"Patrick Rodgers",57,0,"Approaches200225yardsRghRTP",2015
32,32,"Jordan Spieth",91,0,"Approaches200225yardsRghRTP",2015
32,32,"Will Wilcox",58,0,"Approaches200225yardsRghRTP",2015
