"Par5EagleLeaders_RANKTHISWEEK_2011","Par5EagleLeaders_RANKLASTWEEK_2011","Par5EagleLeaders_PLAYERNAME_2011","Par5EagleLeaders_ROUNDS_2011","Par5EagleLeaders_TOTAL_2011","Par5EagleLeaders_TOTALPAR5HOLES_2011","Par5EagleLeaders_TOTALHOLEOUTS_2011","stat_name","year"
1,1,"Bobby Gates",82,15,266,NA,"Par5EagleLeaders",2011
2,2,"Sung Kang",63,14,193,4,"Par5EagleLeaders",2011
2,2,"Kyle Stanley",98,14,300,3,"Par5EagleLeaders",2011
2,2,"Bubba Watson",85,14,258,NA,"Par5EagleLeaders",2011
5,5,"DJ Trahan",91,13,276,2,"Par5EagleLeaders",2011
6,6,"John Rollins",85,11,263,1,"Par5EagleLeaders",2011
6,6,"Webb Simpson",98,11,295,1,"Par5EagleLeaders",2011
6,6,"Bo Van Pelt",92,11,269,1,"Par5EagleLeaders",2011
9,9,"Greg Chalmers",88,10,269,3,"Par5EagleLeaders",2011
9,9,"Lucas Glover",74,10,216,NA,"Par5EagleLeaders",2011
9,9,"Charley Hoffman",93,10,305,4,"Par5EagleLeaders",2011
9,9,"Hunter Mahan",92,10,274,2,"Par5EagleLeaders",2011
9,9,"DA Points",89,10,281,3,"Par5EagleLeaders",2011
9,9,"Tag Ridings",87,10,266,1,"Par5EagleLeaders",2011
9,9,"Brandt Snedeker",85,10,253,4,"Par5EagleLeaders",2011
9,9,"Kevin Stadler",88,10,286,1,"Par5EagleLeaders",2011
9,9,"Brendan Steele",89,10,280,NA,"Par5EagleLeaders",2011
9,9,"Josh Teater",104,10,321,1,"Par5EagleLeaders",2011
19,19,"Matt Bettencourt",84,9,258,3,"Par5EagleLeaders",2011
19,19,"Rickie Fowler",84,9,245,2,"Par5EagleLeaders",2011
19,19,"Derek Lamely",65,9,212,2,"Par5EagleLeaders",2011
19,19,"Steve Marino",76,9,240,2,"Par5EagleLeaders",2011
19,19,"Billy Mayfair",94,9,295,4,"Par5EagleLeaders",2011
19,19,"Scott McCarron",65,9,197,2,"Par5EagleLeaders",2011
19,19,"Zack Miller",86,9,271,3,"Par5EagleLeaders",2011
19,19,"Scott Piercy",78,9,242,NA,"Par5EagleLeaders",2011
19,19,"Nick Watney",80,9,234,1,"Par5EagleLeaders",2011
28,28,"Steven Bowditch",86,8,261,1,"Par5EagleLeaders",2011
28,28,"Michael Bradley",74,8,223,2,"Par5EagleLeaders",2011
28,28,"Keegan Bradley",91,8,277,2,"Par5EagleLeaders",2011
28,28,"Kevin Chappell",78,8,246,1,"Par5EagleLeaders",2011
28,28,"Chris Couch",73,8,233,3,"Par5EagleLeaders",2011
28,28,"Sergio Garcia",61,8,177,2,"Par5EagleLeaders",2011
28,28,"Bill Haas",93,8,283,3,"Par5EagleLeaders",2011
28,28,"Charles Howell III",108,8,323,2,"Par5EagleLeaders",2011
28,28,"Martin Laird",77,8,249,1,"Par5EagleLeaders",2011
28,28,"Jarrod Lyle",83,8,261,2,"Par5EagleLeaders",2011
28,28,"Ben Martin",74,8,239,2,"Par5EagleLeaders",2011
28,28,"Carl Pettersson",95,8,281,2,"Par5EagleLeaders",2011
28,28,"Andres Romero",77,8,228,1,"Par5EagleLeaders",2011
28,28,"John Senden",94,8,297,NA,"Par5EagleLeaders",2011
28,28,"Will Strickler",51,8,157,1,"Par5EagleLeaders",2011
