"RightRoughProximity_RANKTHISWEEK_2009","RightRoughProximity_RANKLASTWEEK_2009","RightRoughProximity_PLAYERNAME_2009","RightRoughProximity_ROUNDS_2009","RightRoughProximity_AVG_2009","RightRoughProximity_ATTEMPTS_2009","RightRoughProximity_TOTALDISTANCEFEET_2009","RightRoughProximity_RELATIVETOPAR_2009","stat_name","year"
1,1,"David Toms",98,NA,114,4104.333,5,"RightRoughProximity",2009
2,2,"Justin Leonard",95,NA,110,3969.75,3,"RightRoughProximity",2009
3,3,"Charlie Wi",92,NA,115,4178.667,7,"RightRoughProximity",2009
4,4,"Robert Garrigus",83,NA,180,6611.917,9,"RightRoughProximity",2009
4,4,"Dustin Johnson",85,NA,141,5182.333,2,"RightRoughProximity",2009
6,6,"Greg Chalmers",85,NA,148,5528.917,1,"RightRoughProximity",2009
7,7,"Sergio Garcia",59,NA,85,3178.917,0,"RightRoughProximity",2009
8,8,"Jason Bohn",88,NA,122,4581.083,11,"RightRoughProximity",2009
9,9,"Boo Weekley",79,NA,99,3730.75,4,"RightRoughProximity",2009
10,10,"Sean OHair",80,NA,104,3924.333,-1,"RightRoughProximity",2009
11,11,"Rocco Mediate",79,NA,123,4655.917,4,"RightRoughProximity",2009
11,11,"Adam Scott",53,NA,82,3100.417,13,"RightRoughProximity",2009
13,13,"Kevin Sutherland",96,NA,114,4330.5,11,"RightRoughProximity",2009
14,14,"Chris DiMarco",97,NA,162,6182.833,15,"RightRoughProximity",2009
15,15,"Rich Beem",77,NA,108,4131.25,12,"RightRoughProximity",2009
16,16,"Luke Donald",79,NA,107,4127.667,11,"RightRoughProximity",2009
16,16,"Nick OHern",90,NA,105,4050.917,1,"RightRoughProximity",2009
18,18,"Steve Flesch",77,NA,82,3168.167,12,"RightRoughProximity",2009
18,18,"Rod Pampling",72,NA,100,3869.25,18,"RightRoughProximity",2009
20,20,"Daniel Chopra",89,NA,154,5984.917,5,"RightRoughProximity",2009
20,20,"Michael Letzig",96,NA,184,7147.5,7,"RightRoughProximity",2009
22,22,"Harrison Frazar",93,NA,215,8363.667,6,"RightRoughProximity",2009
22,22,"Will Ma Kenzie",69,NA,105,4089.667,12,"RightRoughProximity",2009
24,24,"Todd Hamilton",83,NA,134,5234.25,18,"RightRoughProximity",2009
25,25,"Glen Day",79,NA,94,3697.333,8,"RightRoughProximity",2009
26,26,"Retief Goosen",74,NA,101,3981.667,1,"RightRoughProximity",2009
26,26,"Anthony Kim",76,NA,141,5562.917,8,"RightRoughProximity",2009
26,26,"Joe Ogilvie",85,NA,147,5795.25,13,"RightRoughProximity",2009
29,29,"Geoff Ogilvy",78,NA,119,4703.5,12,"RightRoughProximity",2009
29,29,"Webb Simpson",94,NA,146,5772.083,29,"RightRoughProximity",2009
29,29,"Jay Williamson",69,NA,89,3516.583,12,"RightRoughProximity",2009
32,32,"Chad Campbell",90,NA,144,5714.583,20,"RightRoughProximity",2009
32,32,"Bob Estes",78,NA,122,4840.917,13,"RightRoughProximity",2009
32,32,"Ted Purdy",101,NA,165,6549,14,"RightRoughProximity",2009
35,35,"Peter Tomasulo",61,NA,67,2664.75,13,"RightRoughProximity",2009
35,35,"Bubba Watson",73,NA,113,4492.417,2,"RightRoughProximity",2009
37,37,"Briny Baird",89,NA,101,4027,2,"RightRoughProximity",2009
37,37,"Chris Riley",77,NA,105,4179.083,9,"RightRoughProximity",2009
39,39,"Tim Clark",81,NA,68,2716.083,6,"RightRoughProximity",2009
39,39,"Steve Lowery",83,NA,162,6471.667,27,"RightRoughProximity",2009
41,41,"Greg Kraft",51,NA,64,2561.833,15,"RightRoughProximity",2009
42,42,"Carl Pettersson",86,NA,130,5224.25,7,"RightRoughProximity",2009
42,42,"Heath Slocum",95,NA,119,4784.333,18,"RightRoughProximity",2009
44,44,"Stewart Cink",79,NA,130,5237.417,7,"RightRoughProximity",2009
44,44,"Jeff Maggert",79,NA,113,4552.417,14,"RightRoughProximity",2009
44,44,"John Senden",100,NA,140,5635.083,5,"RightRoughProximity",2009
44,44,"Nick Watney",86,NA,125,5027.417,15,"RightRoughProximity",2009
44,44,"Matt Weibring",65,NA,84,3382.333,15,"RightRoughProximity",2009
49,49,"Michael Allen",73,NA,95,3831.667,20,"RightRoughProximity",2009
49,49,"Kris Blanks",60,NA,68,2739.833,6,"RightRoughProximity",2009
49,49,"Rory Sabbatini",81,NA,172,6943,15,"RightRoughProximity",2009
52,52,"Hunter Mahan",94,NA,151,6108,5,"RightRoughProximity",2009
52,52,"Phil Mickelson",66,NA,119,4812.25,10,"RightRoughProximity",2009
52,52,"Kevin Stadler",65,NA,101,4081.083,14,"RightRoughProximity",2009
55,55,"Angel Cabrera",55,NA,92,3744.25,7,"RightRoughProximity",2009
56,56,"Brandt Snedeker",81,NA,101,4119.417,0,"RightRoughProximity",2009
56,56,"Brian Vranesh",51,NA,90,3669.333,5,"RightRoughProximity",2009
56,56,"Jimmy Walker",74,NA,184,7491.667,24,"RightRoughProximity",2009
59,59,"Steve Elkington",70,NA,102,4167,6,"RightRoughProximity",2009
60,60,"Greg Owen",97,NA,129,5279.083,17,"RightRoughProximity",2009
