"BirdietoBogeyRatio_RANKTHISWEEK_2010","BirdietoBogeyRatio_RANKLASTWEEK_2010","BirdietoBogeyRatio_PLAYERNAME_2010","BirdietoBogeyRatio_ROUNDS_2010","BirdietoBogeyRatio_BIRDIETOBOGEYRATIO_2010","BirdietoBogeyRatio_TOTALBIRDIESANDBETTER_2010","BirdietoBogeyRatio_TOTALBOGEYSANDWORSE_2010","stat_name","year"
1,1,"Matt Kuchar",97,1.81,386,213,"BirdietoBogeyRatio",2010
2,2,"Steve Stricker",73,1.68,285,170,"BirdietoBogeyRatio",2010
3,3,"Dean Wilson",54,1.64,193,118,"BirdietoBogeyRatio",2010
4,4,"Charles Howell III",103,1.62,373,230,"BirdietoBogeyRatio",2010
5,5,"Paul Casey",64,1.58,232,147,"BirdietoBogeyRatio",2010
5,5,"Retief Goosen",75,1.58,270,171,"BirdietoBogeyRatio",2010
7,7,"Steve Elkington",74,1.56,259,166,"BirdietoBogeyRatio",2010
8,8,"Pat Perez",90,1.53,355,232,"BirdietoBogeyRatio",2010
9,9,"Paul Stankowski",62,1.52,252,166,"BirdietoBogeyRatio",2010
9,9,"Kevin Sutherland",86,1.52,306,201,"BirdietoBogeyRatio",2010
11,11,"Kevin Na",94,1.51,354,235,"BirdietoBogeyRatio",2010
11,11,"Bo Van Pelt",104,1.51,407,270,"BirdietoBogeyRatio",2010
13,13,"Justin Rose",78,1.5,304,202,"BirdietoBogeyRatio",2010
14,14,"Charley Hoffman",85,1.48,346,233,"BirdietoBogeyRatio",2010
14,14,"Charlie Wi",95,1.48,348,235,"BirdietoBogeyRatio",2010
16,16,"Graham DeLaet",88,1.47,345,235,"BirdietoBogeyRatio",2010
16,16,"Luke Donald",71,1.47,242,165,"BirdietoBogeyRatio",2010
16,16,"Joe Durant",67,1.47,247,168,"BirdietoBogeyRatio",2010
19,19,"Ernie Els",72,1.46,268,184,"BirdietoBogeyRatio",2010
19,19,"Freddie Jacobson",83,1.46,306,210,"BirdietoBogeyRatio",2010
21,21,"Jonathan Byrd",85,1.45,317,219,"BirdietoBogeyRatio",2010
21,21,"Jim Furyk",76,1.45,272,188,"BirdietoBogeyRatio",2010
21,21,"Spencer Levin",110,1.45,408,281,"BirdietoBogeyRatio",2010
24,24,"Brendon de Jonge",114,1.44,440,306,"BirdietoBogeyRatio",2010
24,24,"Phil Mickelson",76,1.44,308,214,"BirdietoBogeyRatio",2010
26,26,"Greg Chalmers",93,1.43,334,233,"BirdietoBogeyRatio",2010
26,26,"Chad Collins",87,1.43,310,217,"BirdietoBogeyRatio",2010
28,28,"KJ Choi",82,1.42,303,213,"BirdietoBogeyRatio",2010
28,28,"David Toms",86,1.42,322,226,"BirdietoBogeyRatio",2010
28,28,"Nick Watney",91,1.42,363,255,"BirdietoBogeyRatio",2010
31,31,"Tim Clark",88,1.41,304,216,"BirdietoBogeyRatio",2010
31,31,"Tom Gillis",97,1.41,403,286,"BirdietoBogeyRatio",2010
31,31,"JB Holmes",100,1.41,395,281,"BirdietoBogeyRatio",2010
31,31,"Chris Riley",73,1.41,250,177,"BirdietoBogeyRatio",2010
31,31,"Bubba Watson",77,1.41,316,224,"BirdietoBogeyRatio",2010
36,36,"Rickie Fowler",98,1.4,364,260,"BirdietoBogeyRatio",2010
36,36,"John Senden",103,1.4,371,265,"BirdietoBogeyRatio",2010
38,38,"Brian Gay",101,1.39,338,244,"BirdietoBogeyRatio",2010
38,38,"Bill Haas",87,1.39,332,239,"BirdietoBogeyRatio",2010
38,38,"Tom Pernice Jr",74,1.39,258,186,"BirdietoBogeyRatio",2010
38,38,"Aron Price",70,1.39,264,190,"BirdietoBogeyRatio",2010
42,42,"Matt Jones",89,1.38,340,246,"BirdietoBogeyRatio",2010
42,42,"Heath Slocum",97,1.38,342,247,"BirdietoBogeyRatio",2010
44,44,"Chris Couch",66,1.37,272,199,"BirdietoBogeyRatio",2010
44,44,"Carl Pettersson",99,1.37,360,263,"BirdietoBogeyRatio",2010
46,46,"Ben Crane",85,1.36,319,235,"BirdietoBogeyRatio",2010
46,46,"Zach Johnson",93,1.36,347,256,"BirdietoBogeyRatio",2010
46,46,"Ryan Moore",80,1.36,296,218,"BirdietoBogeyRatio",2010
46,46,"Kevin Streelman",90,1.36,360,265,"BirdietoBogeyRatio",2010
46,46,"Vaughn Taylor",87,1.36,331,244,"BirdietoBogeyRatio",2010
51,51,"Dustin Johnson",83,1.35,339,251,"BirdietoBogeyRatio",2010
51,51,"DJ Trahan",92,1.35,361,267,"BirdietoBogeyRatio",2010
51,51,"Mark Wilson",87,1.35,296,220,"BirdietoBogeyRatio",2010
54,54,"Chris DiMarco",88,1.34,296,221,"BirdietoBogeyRatio",2010
54,54,"Bryce Molder",84,1.34,312,232,"BirdietoBogeyRatio",2010
54,54,"Jeff Overton",89,1.34,344,256,"BirdietoBogeyRatio",2010
54,54,"Michael Sim",64,1.34,226,169,"BirdietoBogeyRatio",2010
54,54,"Webb Simpson",98,1.34,369,276,"BirdietoBogeyRatio",2010
54,54,"Brandt Snedeker",89,1.34,347,258,"BirdietoBogeyRatio",2010
60,60,"Jeff Quinney",91,1.33,345,260,"BirdietoBogeyRatio",2010
60,60,"Kevin Stadler",86,1.33,335,252,"BirdietoBogeyRatio",2010
62,62,"Ricky Barnes",103,1.32,382,289,"BirdietoBogeyRatio",2010
62,62,"Jason Bohn",84,1.32,310,234,"BirdietoBogeyRatio",2010
64,64,"Stephen Ames",75,1.31,265,203,"BirdietoBogeyRatio",2010
64,64,"John Rollins",81,1.31,312,239,"BirdietoBogeyRatio",2010
