"BirdieorBetterConversionPercentage_RANKTHISWEEK_2006","BirdieorBetterConversionPercentage_RANKLASTWEEK_2006","BirdieorBetterConversionPercentage_PLAYERNAME_2006","BirdieorBetterConversionPercentage_ROUNDS_2006","BirdieorBetterConversionPercentage_Pct_2006","BirdieorBetterConversionPercentage_BIRDIES_2006","BirdieorBetterConversionPercentage_GREENSHIT_2006","stat_name","year"
1,1,"Phil Mickelson",74,35.66,302,847,"BirdieorBetterConversionPercentage",2006
2,2,"Tiger Woods",55,35.26,244,692,"BirdieorBetterConversionPercentage",2006
3,3,"Daniel Chopra",110,34.75,424,1220,"BirdieorBetterConversionPercentage",2006
4,4,"Vaughn Taylor",88,34.26,346,1010,"BirdieorBetterConversionPercentage",2006
5,5,"Jonathan Byrd",66,33.09,273,825,"BirdieorBetterConversionPercentage",2006
6,6,"David Howell",52,32.88,168,511,"BirdieorBetterConversionPercentage",2006
7,7,"Harrison Frazar",95,32.7,342,1046,"BirdieorBetterConversionPercentage",2006
8,8,"JP Hayes",55,32.6,207,635,"BirdieorBetterConversionPercentage",2006
9,9,"Ben Crane",85,32.28,287,889,"BirdieorBetterConversionPercentage",2006
10,10,"Brett Wetterich",82,32.23,322,999,"BirdieorBetterConversionPercentage",2006
11,11,"Lucas Glover",105,32.02,390,1218,"BirdieorBetterConversionPercentage",2006
12,12,"Charley Hoffman",100,31.94,374,1171,"BirdieorBetterConversionPercentage",2006
13,13,"Michael Allen",84,31.86,302,948,"BirdieorBetterConversionPercentage",2006
14,14,"Vijay Singh",103,31.77,387,1218,"BirdieorBetterConversionPercentage",2006
15,15,"Tag Ridings",103,31.72,348,1097,"BirdieorBetterConversionPercentage",2006
15,15,"Justin Rose",98,31.72,368,1160,"BirdieorBetterConversionPercentage",2006
15,15,"Nick Watney",97,31.72,354,1116,"BirdieorBetterConversionPercentage",2006
18,18,"Tom Pernice Jr",108,31.7,382,1205,"BirdieorBetterConversionPercentage",2006
19,19,"JB Holmes",81,31.56,285,903,"BirdieorBetterConversionPercentage",2006
20,20,"Stuart Appleby",83,31.53,279,885,"BirdieorBetterConversionPercentage",2006
20,20,"Davis Love III",85,31.53,286,907,"BirdieorBetterConversionPercentage",2006
22,22,"John Daly",51,31.47,169,537,"BirdieorBetterConversionPercentage",2006
23,23,"Geoff Ogilvy",76,31.44,249,792,"BirdieorBetterConversionPercentage",2006
24,24,"Robert Garrigus",85,31.43,303,964,"BirdieorBetterConversionPercentage",2006
24,24,"David Toms",76,31.43,258,821,"BirdieorBetterConversionPercentage",2006
26,26,"Aaron Baddeley",78,31.36,249,794,"BirdieorBetterConversionPercentage",2006
27,27,"Nathan Green",108,31.32,369,1178,"BirdieorBetterConversionPercentage",2006
28,28,"Padraig Harrington",54,31.18,183,587,"BirdieorBetterConversionPercentage",2006
29,29,"Eric Axley",91,31.14,327,1050,"BirdieorBetterConversionPercentage",2006
30,30,"Robert Allenby",79,31.09,291,936,"BirdieorBetterConversionPercentage",2006
30,30,"Bo Van Pelt",102,31.09,378,1216,"BirdieorBetterConversionPercentage",2006
32,32,"Hunter Mahan",98,31.06,369,1188,"BirdieorBetterConversionPercentage",2006
33,33,"Brian Gay",107,31.05,377,1214,"BirdieorBetterConversionPercentage",2006
34,34,"Stewart Cink",93,30.99,318,1026,"BirdieorBetterConversionPercentage",2006
34,34,"Joe Ogilvie",95,30.99,330,1065,"BirdieorBetterConversionPercentage",2006
36,36,"Ryan Palmer",101,30.93,352,1138,"BirdieorBetterConversionPercentage",2006
37,37,"David Duval",71,30.91,230,744,"BirdieorBetterConversionPercentage",2006
38,38,"Jesper Parnevik",84,30.9,300,971,"BirdieorBetterConversionPercentage",2006
39,39,"Shigeki Maruyama",94,30.86,325,1053,"BirdieorBetterConversionPercentage",2006
40,40,"Marco Dawson",87,30.74,312,1015,"BirdieorBetterConversionPercentage",2006
41,41,"John Rollins",93,30.73,331,1077,"BirdieorBetterConversionPercentage",2006
41,41,"Mike Weir",88,30.73,311,1012,"BirdieorBetterConversionPercentage",2006
43,43,"Tim Clark",80,30.66,287,936,"BirdieorBetterConversionPercentage",2006
43,43,"Bubba Watson",83,30.66,290,946,"BirdieorBetterConversionPercentage",2006
45,45,"Rod Pampling",89,30.65,289,943,"BirdieorBetterConversionPercentage",2006
46,46,"Lee Janzen",79,30.58,274,896,"BirdieorBetterConversionPercentage",2006
47,47,"Wes Short Jr",96,30.56,331,1083,"BirdieorBetterConversionPercentage",2006
47,47,"Steve Stricker",64,30.56,231,756,"BirdieorBetterConversionPercentage",2006
49,49,"Camilo Villegas",95,30.55,333,1090,"BirdieorBetterConversionPercentage",2006
50,50,"Craig Barlow",77,30.54,262,858,"BirdieorBetterConversionPercentage",2006
51,51,"Chris Couch",75,30.53,272,891,"BirdieorBetterConversionPercentage",2006
52,52,"Mark Calcavecchia",94,30.51,317,1039,"BirdieorBetterConversionPercentage",2006
52,52,"Ernie Els",69,30.51,223,731,"BirdieorBetterConversionPercentage",2006
54,54,"Woody Austin",107,30.49,368,1207,"BirdieorBetterConversionPercentage",2006
55,55,"Jim Furyk",89,30.47,340,1116,"BirdieorBetterConversionPercentage",2006
56,56,"Sergio Garcia",59,30.43,203,667,"BirdieorBetterConversionPercentage",2006
57,57,"Stephen Ames",63,30.41,225,740,"BirdieorBetterConversionPercentage",2006
58,58,"Adam Scott",70,30.39,255,839,"BirdieorBetterConversionPercentage",2006
59,59,"DA Points",82,30.35,275,906,"BirdieorBetterConversionPercentage",2006
60,60,"Luke Donald",66,30.29,226,746,"BirdieorBetterConversionPercentage",2006
61,61,"Shane Bertsch",104,30.28,354,1169,"BirdieorBetterConversionPercentage",2006
62,62,"Ryan Moore",68,30.27,224,740,"BirdieorBetterConversionPercentage",2006
63,63,"Retief Goosen",68,30.26,213,704,"BirdieorBetterConversionPercentage",2006
64,64,"John Huston",74,30.24,244,807,"BirdieorBetterConversionPercentage",2006
65,65,"Rory Sabbatini",84,30.18,290,961,"BirdieorBetterConversionPercentage",2006
66,66,"Trevor Immelman",86,30.06,321,1068,"BirdieorBetterConversionPercentage",2006
67,67,"Pat Perez",50,30.05,174,579,"BirdieorBetterConversionPercentage",2006
68,68,"Chris Riley",86,30.03,276,919,"BirdieorBetterConversionPercentage",2006
69,69,"Vance Veazey",59,30.02,196,653,"BirdieorBetterConversionPercentage",2006
70,70,"Tommy Armour III",65,29.97,223,744,"BirdieorBetterConversionPercentage",2006
70,70,"Jason Gore",86,29.97,285,951,"BirdieorBetterConversionPercentage",2006
72,72,"Scott Verplank",88,29.9,305,1020,"BirdieorBetterConversionPercentage",2006
73,73,"Alex Aragon",63,29.89,194,649,"BirdieorBetterConversionPercentage",2006
