"TotalMoneyOfficialandUnofficial_RANKTHISWEEK_2012","TotalMoneyOfficialandUnofficial_RANKLASTWEEK_2012","TotalMoneyOfficialandUnofficial_PLAYERNAME_2012","TotalMoneyOfficialandUnofficial_EVENTS_2012","TotalMoneyOfficialandUnofficial_MONEY_2012","stat_name","year"
1,1,"Rory McIlroy",17,8047952,"TotalMoneyOfficialandUnofficial",2012
2,2,"Tiger Woods",23,6649825,"TotalMoneyOfficialandUnofficial",2012
3,3,"Jason Dufner",27,5628304,"TotalMoneyOfficialandUnofficial",2012
4,4,"Brandt Snedeker",26,5309739,"TotalMoneyOfficialandUnofficial",2012
5,5,"Bubba Watson",24,5146497,"TotalMoneyOfficialandUnofficial",2012
6,6,"Keegan Bradley",31,4895408,"TotalMoneyOfficialandUnofficial",2012
7,7,"Nick Watney",30,4723891,"TotalMoneyOfficialandUnofficial",2012
8,8,"Zach Johnson",28,4691244,"TotalMoneyOfficialandUnofficial",2012
9,9,"Phil Mickelson",24,4621321,"TotalMoneyOfficialandUnofficial",2012
10,10,"Justin Rose",23,4545680,"TotalMoneyOfficialandUnofficial",2012
11,11,"Hunter Mahan",24,4161693,"TotalMoneyOfficialandUnofficial",2012
12,12,"Matt Kuchar",24,4035565,"TotalMoneyOfficialandUnofficial",2012
13,13,"Ernie Els",24,3990618,"TotalMoneyOfficialandUnofficial",2012
14,14,"Carl Pettersson",29,3916656,"TotalMoneyOfficialandUnofficial",2012
15,15,"Bo Van Pelt",27,3908509,"TotalMoneyOfficialandUnofficial",2012
16,16,"Webb Simpson",25,3896758,"TotalMoneyOfficialandUnofficial",2012
17,17,"Jim Furyk",26,3825472,"TotalMoneyOfficialandUnofficial",2012
18,18,"Dustin Johnson",24,3758070,"TotalMoneyOfficialandUnofficial",2012
19,19,"Robert Garrigus",28,3729530,"TotalMoneyOfficialandUnofficial",2012
20,20,"Steve Stricker",22,3667521,"TotalMoneyOfficialandUnofficial",2012
21,21,"Louis Oosthuizen",20,3650995,"TotalMoneyOfficialandUnofficial",2012
22,22,"Luke Donald",19,3587024,"TotalMoneyOfficialandUnofficial",2012
23,23,"Graeme McDowell",20,3561779,"TotalMoneyOfficialandUnofficial",2012
24,24,"Rickie Fowler",25,3345459,"TotalMoneyOfficialandUnofficial",2012
25,25,"Scott Piercy",30,3219205,"TotalMoneyOfficialandUnofficial",2012
26,26,"Lee Westwood",17,3206569,"TotalMoneyOfficialandUnofficial",2012
27,27,"Ian Poulter",20,3167521,"TotalMoneyOfficialandUnofficial",2012
28,28,"Adam Scott",18,3114557,"TotalMoneyOfficialandUnofficial",2012
29,29,"Ryan Moore",24,2858944,"TotalMoneyOfficialandUnofficial",2012
30,30,"John Huh",29,2752713,"TotalMoneyOfficialandUnofficial",2012
31,31,"Ben Curtis",20,2604153,"TotalMoneyOfficialandUnofficial",2012
32,32,"Bill Haas",25,2553951,"TotalMoneyOfficialandUnofficial",2012
33,33,"Sergio Garcia",17,2510116,"TotalMoneyOfficialandUnofficial",2012
34,34,"Kyle Stanley",30,2496357,"TotalMoneyOfficialandUnofficial",2012
35,35,"Johnson Wagner",29,2305007,"TotalMoneyOfficialandUnofficial",2012
36,36,"Brendon de Jonge",32,2280252,"TotalMoneyOfficialandUnofficial",2012
37,37,"Jonas Blixt",21,2255695,"TotalMoneyOfficialandUnofficial",2012
38,38,"Martin Laird",23,2233483,"TotalMoneyOfficialandUnofficial",2012
39,39,"Mark Wilson",26,2184780,"TotalMoneyOfficialandUnofficial",2012
40,40,"Padraig Harrington",19,2146272,"TotalMoneyOfficialandUnofficial",2012
41,41,"Kevin Na",26,2132443,"TotalMoneyOfficialandUnofficial",2012
42,42,"Marc Leishman",25,2056761,"TotalMoneyOfficialandUnofficial",2012
43,43,"John Senden",24,2053151,"TotalMoneyOfficialandUnofficial",2012
44,44,"Matt Every",25,1972166,"TotalMoneyOfficialandUnofficial",2012
45,45,"Charlie Wi",26,1912397,"TotalMoneyOfficialandUnofficial",2012
46,46,"Bud Cauley",29,1851979,"TotalMoneyOfficialandUnofficial",2012
47,47,"Peter Hanson",15,1825971,"TotalMoneyOfficialandUnofficial",2012
48,48,"Ben Crane",24,1788365,"TotalMoneyOfficialandUnofficial",2012
49,49,"Vijay Singh",28,1726305,"TotalMoneyOfficialandUnofficial",2012
50,50,"Seung Yul Noh",29,1716751,"TotalMoneyOfficialandUnofficial",2012
51,51,"Jimmy Walker",29,1684919,"TotalMoneyOfficialandUnofficial",2012
52,52,"Sean OHair",27,1665981,"TotalMoneyOfficialandUnofficial",2012
53,53,"David Toms",19,1658428,"TotalMoneyOfficialandUnofficial",2012
54,54,"Jeff Overton",30,1642670,"TotalMoneyOfficialandUnofficial",2012
55,55,"Jonathan Byrd",21,1616789,"TotalMoneyOfficialandUnofficial",2012
56,56,"Kevin Stadler",26,1602536,"TotalMoneyOfficialandUnofficial",2012
57,57,"Charles Howell III",31,1599578,"TotalMoneyOfficialandUnofficial",2012
58,58,"Ryan Palmer",25,1551215,"TotalMoneyOfficialandUnofficial",2012
59,59,"Tommy Gainey",32,1540749,"TotalMoneyOfficialandUnofficial",2012
60,60,"DA Points",29,1533361,"TotalMoneyOfficialandUnofficial",2012
61,61,"Ken Duke",30,1511628,"TotalMoneyOfficialandUnofficial",2012
62,62,"John Rollins",26,1489155,"TotalMoneyOfficialandUnofficial",2012
63,63,"Chris Kirk",28,1462562,"TotalMoneyOfficialandUnofficial",2012
64,64,"Tim Clark",21,1457028,"TotalMoneyOfficialandUnofficial",2012
65,65,"Jason Day",19,1432399,"TotalMoneyOfficialandUnofficial",2012
66,66,"Michael Thompson",25,1408374,"TotalMoneyOfficialandUnofficial",2012
67,67,"Ted Potter Jr",25,1383170,"TotalMoneyOfficialandUnofficial",2012
68,68,"Charlie Beljan",22,1373528,"TotalMoneyOfficialandUnofficial",2012
69,69,"Rory Sabbatini",30,1363820,"TotalMoneyOfficialandUnofficial",2012
70,70,"Brian Davis",29,1318032,"TotalMoneyOfficialandUnofficial",2012
71,71,"Tom Gillis",24,1298658,"TotalMoneyOfficialandUnofficial",2012
72,72,"JJ Henry",28,1297802,"TotalMoneyOfficialandUnofficial",2012
73,73,"Scott Stallings",27,1293739,"TotalMoneyOfficialandUnofficial",2012
74,74,"Geoff Ogilvy",21,1293223,"TotalMoneyOfficialandUnofficial",2012
75,75,"Greg Chalmers",27,1285627,"TotalMoneyOfficialandUnofficial",2012
76,76,"Spencer Levin",26,1283616,"TotalMoneyOfficialandUnofficial",2012
77,77,"Cameron Tringale",27,1279237,"TotalMoneyOfficialandUnofficial",2012
78,78,"Charley Hoffman",27,1276663,"TotalMoneyOfficialandUnofficial",2012
79,79,"William McGirt",31,1272447,"TotalMoneyOfficialandUnofficial",2012
80,80,"Dicky Pride",19,1259712,"TotalMoneyOfficialandUnofficial",2012
81,81,"Davis Love III",22,1253920,"TotalMoneyOfficialandUnofficial",2012
82,82,"Troy Matteson",33,1252453,"TotalMoneyOfficialandUnofficial",2012
83,83,"JB Holmes",26,1250505,"TotalMoneyOfficialandUnofficial",2012
84,84,"Brian Harman",31,1248948,"TotalMoneyOfficialandUnofficial",2012
85,85,"Blake Adams",32,1234345,"TotalMoneyOfficialandUnofficial",2012
86,86,"Aaron Baddeley",22,1215753,"TotalMoneyOfficialandUnofficial",2012
87,87,"Pat Perez",24,1214053,"TotalMoneyOfficialandUnofficial",2012
88,88,"Harris English",27,1186003,"TotalMoneyOfficialandUnofficial",2012
89,89,"Bryce Molder",25,1166115,"TotalMoneyOfficialandUnofficial",2012
90,90,"Sangmoon Bae",25,1165952,"TotalMoneyOfficialandUnofficial",2012
91,91,"Greg Owen",27,1151622,"TotalMoneyOfficialandUnofficial",2012
92,92,"John Mallinger",25,1146852,"TotalMoneyOfficialandUnofficial",2012
93,93,"Charl Schwartzel",16,1138844,"TotalMoneyOfficialandUnofficial",2012
94,94,"George McNeill",25,1119535,"TotalMoneyOfficialandUnofficial",2012
95,95,"Daniel Summerhays",26,1111522,"TotalMoneyOfficialandUnofficial",2012
96,96,"John Merrick",26,1084628,"TotalMoneyOfficialandUnofficial",2012
97,97,"Bob Estes",24,1063269,"TotalMoneyOfficialandUnofficial",2012
98,98,"Graham DeLaet",23,1051951,"TotalMoneyOfficialandUnofficial",2012
99,99,"Martin Flores",30,1035569,"TotalMoneyOfficialandUnofficial",2012
100,100,"Freddie Jacobson",18,1025994,"TotalMoneyOfficialandUnofficial",2012
101,101,"David Hearn",28,1012575,"TotalMoneyOfficialandUnofficial",2012
102,102,"Josh Teater",30,1011430,"TotalMoneyOfficialandUnofficial",2012
103,103,"Robert Allenby",29,993677,"TotalMoneyOfficialandUnofficial",2012
104,104,"Andres Romero",22,970919,"TotalMoneyOfficialandUnofficial",2012
105,105,"KJ Choi",21,969057,"TotalMoneyOfficialandUnofficial",2012
106,106,"Brian Gay",28,960658,"TotalMoneyOfficialandUnofficial",2012
107,107,"Brendan Steele",25,922215,"TotalMoneyOfficialandUnofficial",2012
108,108,"Chris Stroud",28,903570,"TotalMoneyOfficialandUnofficial",2012
109,109,"Chad Campbell",27,895199,"TotalMoneyOfficialandUnofficial",2012
110,110,"David Lynn",2,894000,"TotalMoneyOfficialandUnofficial",2012
111,111,"Kevin Streelman",26,893736,"TotalMoneyOfficialandUnofficial",2012
112,112,"Ricky Barnes",29,876408,"TotalMoneyOfficialandUnofficial",2012
113,113,"Ryo Ishikawa",18,871051,"TotalMoneyOfficialandUnofficial",2012
114,114,"Boo Weekley",25,848347,"TotalMoneyOfficialandUnofficial",2012
115,115,"Colt Knost",29,848197,"TotalMoneyOfficialandUnofficial",2012
116,116,"Jhonattan Vegas",25,801803,"TotalMoneyOfficialandUnofficial",2012
117,117,"Jason Bohn",28,795549,"TotalMoneyOfficialandUnofficial",2012
118,118,"Henrik Stenson",15,791107,"TotalMoneyOfficialandUnofficial",2012
119,119,"Troy Kelly",23,786832,"TotalMoneyOfficialandUnofficial",2012
120,120,"Will Claxton",28,780969,"TotalMoneyOfficialandUnofficial",2012
121,121,"Roberto Castro",27,755095,"TotalMoneyOfficialandUnofficial",2012
122,122,"Retief Goosen",13,751174,"TotalMoneyOfficialandUnofficial",2012
123,123,"Jason Kokrak",27,750221,"TotalMoneyOfficialandUnofficial",2012
124,124,"Jerry Kelly",27,743201,"TotalMoneyOfficialandUnofficial",2012
125,125,"David Mathis",29,736765,"TotalMoneyOfficialandUnofficial",2012
126,126,"Harrison Frazar",20,730203,"TotalMoneyOfficialandUnofficial",2012
127,127,"Trevor Immelman",26,723796,"TotalMoneyOfficialandUnofficial",2012
128,128,"Martin Kaymer",10,716357,"TotalMoneyOfficialandUnofficial",2012
129,129,"Nicolas Colsaerts",11,713761,"TotalMoneyOfficialandUnofficial",2012
130,130,"Gary Woodland",23,702879,"TotalMoneyOfficialandUnofficial",2012
131,131,"James Driscoll",27,687338,"TotalMoneyOfficialandUnofficial",2012
132,132,"Jeff Maggert",27,682742,"TotalMoneyOfficialandUnofficial",2012
133,133,"Tim Herron",27,660279,"TotalMoneyOfficialandUnofficial",2012
134,134,"Kevin Chappell",29,647510,"TotalMoneyOfficialandUnofficial",2012
135,135,"Rod Pampling",27,625893,"TotalMoneyOfficialandUnofficial",2012
136,136,"Billy Mayfair",29,619961,"TotalMoneyOfficialandUnofficial",2012
137,137,"Alexandre Rocha",22,619658,"TotalMoneyOfficialandUnofficial",2012
138,138,"Gary Christian",29,616457,"TotalMoneyOfficialandUnofficial",2012
139,139,"Justin Leonard",27,615155,"TotalMoneyOfficialandUnofficial",2012
140,140,"DJ Trahan",28,611142,"TotalMoneyOfficialandUnofficial",2012
141,141,"Chez Reavie",27,605617,"TotalMoneyOfficialandUnofficial",2012
142,142,"Bill Lunde",26,593598,"TotalMoneyOfficialandUnofficial",2012
143,143,"Richard Lee",25,575233,"TotalMoneyOfficialandUnofficial",2012
144,144,"Stewart Cink",23,574673,"TotalMoneyOfficialandUnofficial",2012
145,145,"Tim Petrovic",18,563862,"TotalMoneyOfficialandUnofficial",2012
146,146,"Vaughn Taylor",27,552129,"TotalMoneyOfficialandUnofficial",2012
147,147,"Bobby Gates",30,550293,"TotalMoneyOfficialandUnofficial",2012
148,148,"Heath Slocum",30,523198,"TotalMoneyOfficialandUnofficial",2012
149,149,"Russell Knox",24,517584,"TotalMoneyOfficialandUnofficial",2012
150,150,"Billy Horschel",18,513677,"TotalMoneyOfficialandUnofficial",2012
151,151,"Francesco Molinari",10,500961,"TotalMoneyOfficialandUnofficial",2012
152,152,"Camilo Villegas",26,496729,"TotalMoneyOfficialandUnofficial",2012
153,153,"Nick OHern",27,489375,"TotalMoneyOfficialandUnofficial",2012
154,154,"John Daly",15,488505,"TotalMoneyOfficialandUnofficial",2012
155,155,"Brendon Todd",30,479295,"TotalMoneyOfficialandUnofficial",2012
156,156,"Billy Hurley III",28,479130,"TotalMoneyOfficialandUnofficial",2012
157,157,"Scott Brown",25,478763,"TotalMoneyOfficialandUnofficial",2012
158,158,"Thomas Bjorn",11,470506,"TotalMoneyOfficialandUnofficial",2012
159,159,"Chris DiMarco",29,468298,"TotalMoneyOfficialandUnofficial",2012
160,160,"YE Yang",20,454276,"TotalMoneyOfficialandUnofficial",2012
161,161,"Kyle Reifers",28,453960,"TotalMoneyOfficialandUnofficial",2012
162,162,"Kenny Perry",6,451544,"TotalMoneyOfficialandUnofficial",2012
