"AverageApproachDistancePar_RANKTHISWEEK_2012","AverageApproachDistancePar_RANKLASTWEEK_2012","AverageApproachDistancePar_PLAYERNAME_2012","AverageApproachDistancePar_ROUNDS_2012","AverageApproachDistancePar_AVGYARDS_2012","AverageApproachDistancePar_TOTALDISTANCEINCHES_2012","AverageApproachDistancePar_NUMBEROFAPPROACHSHOTS_2012","stat_name","year"
1,1,"Charlie Beljan",61,156.3,2678522,476,"AverageApproachDistancePar",2012
2,2,"Boo Weekley",74,156.7,3775104,669,"AverageApproachDistancePar",2012
3,3,"Edward Loar",59,157.7,2668961,470,"AverageApproachDistancePar",2012
4,4,"JB Holmes",90,158.1,4849751,852,"AverageApproachDistancePar",2012
5,5,"Marco Dawson",60,158.9,2866198,501,"AverageApproachDistancePar",2012
6,6,"Brian Harman",101,159.1,5786479,1010,"AverageApproachDistancePar",2012
7,7,"Harrison Frazar",56,159.2,2956845,516,"AverageApproachDistancePar",2012
7,7,"Billy Horschel",63,159.2,3146220,549,"AverageApproachDistancePar",2012
7,7,"Kevin Kisner",69,159.2,3530504,616,"AverageApproachDistancePar",2012
10,10,"Daniel Chopra",55,159.3,2688919,469,"AverageApproachDistancePar",2012
11,11,"Dustin Johnson",70,159.7,3448871,600,"AverageApproachDistancePar",2012
12,12,"Kyle Reifers",86,159.9,5025006,873,"AverageApproachDistancePar",2012
13,13,"Troy Kelly",68,160.1,3384178,587,"AverageApproachDistancePar",2012
14,14,"Martin Flores",95,160.2,5422407,940,"AverageApproachDistancePar",2012
14,14,"Brian Gay",91,160.2,5368987,931,"AverageApproachDistancePar",2012
14,14,"Tim Herron",88,160.2,5168526,896,"AverageApproachDistancePar",2012
17,17,"Patrick Sheehan",58,160.3,2909383,504,"AverageApproachDistancePar",2012
18,18,"Matt Jones",53,160.5,2963633,513,"AverageApproachDistancePar",2012
18,18,"Bubba Watson",68,160.5,3328235,576,"AverageApproachDistancePar",2012
