"ProximitytoHole_RANKTHISWEEK_2012","ProximitytoHole_RANKLASTWEEK_2012","ProximitytoHole_PLAYERNAME_2012","ProximitytoHole_ROUNDS_2012","ProximitytoHole_AVG_2012","ProximitytoHole_TOTALDISTANCEFEET_2012","ProximitytoHole_OFATTEMPTS_2012","ProximitytoHole_GIRRANK_2012","stat_name","year"
1,1,"Steve Stricker",73,NA,31015.25,965,19,"ProximitytoHole",2012
2,2,"Roland Thatcher",55,NA,25454.5,783,25,"ProximitytoHole",2012
3,3,"Jim Furyk",85,NA,38354.25,1167,23,"ProximitytoHole",2012
4,4,"Jason Dufner",83,NA,37629.917,1141,8,"ProximitytoHole",2012
5,5,"Graeme McDowell",55,NA,22346.5,676,67,"ProximitytoHole",2012
5,5,"Rory McIlroy",60,NA,23694.667,717,60,"ProximitytoHole",2012
5,5,"Boo Weekley",74,NA,34298.167,1038,5,"ProximitytoHole",2012
8,8,"Tim Clark",60,NA,29816.917,897,117,"ProximitytoHole",2012
8,8,"Heath Slocum",93,NA,44679.25,1344,24,"ProximitytoHole",2012
10,10,"Vaughn Taylor",81,NA,38076.833,1142,65,"ProximitytoHole",2012
11,11,"Chez Reavie",83,NA,39830.833,1185,73,"ProximitytoHole",2012
11,11,"Tiger Woods",69,NA,28978.167,863,29,"ProximitytoHole",2012
13,13,"Russell Knox",72,NA,33784.167,1004,6,"ProximitytoHole",2012
13,13,"Charl Schwartzel",56,NA,24029.25,713,153,"ProximitytoHole",2012
15,15,"Kyle Thompson",51,NA,22368.417,662,108,"ProximitytoHole",2012
16,16,"Bo Van Pelt",84,NA,39337.917,1163,40,"ProximitytoHole",2012
17,17,"Dustin Johnson",70,NA,32163.333,949,81,"ProximitytoHole",2012
18,18,"Charlie Beljan",61,NA,26124.167,768,56,"ProximitytoHole",2012
18,18,"Ben Curtis",62,NA,29358.917,863,13,"ProximitytoHole",2012
20,20,"John Mallinger",74,NA,38521.583,1130,54,"ProximitytoHole",2012
21,21,"Gavin Coles",72,NA,34953.083,1022,119,"ProximitytoHole",2012
21,21,"Robert Garrigus",89,NA,45272.5,1324,7,"ProximitytoHole",2012
23,23,"Matt Kuchar",86,NA,40581.833,1185,86,"ProximitytoHole",2012
24,24,"Cameron Beckman",81,NA,42356,1234,89,"ProximitytoHole",2012
24,24,"Davis Love III",64,NA,32031.5,933,97,"ProximitytoHole",2012
26,26,"Kevin Stadler",85,NA,43135.5,1252,26,"ProximitytoHole",2012
27,27,"Brendon de Jonge",115,NA,62965.833,1827,8,"ProximitytoHole",2012
27,27,"Brian Harman",101,NA,54174.833,1572,127,"ProximitytoHole",2012
29,29,"Jason Bohn",81,NA,40870.083,1181,112,"ProximitytoHole",2012
29,29,"Matt Every",80,NA,39652.25,1147,68,"ProximitytoHole",2012
29,29,"Ryan Moore",89,NA,50079.667,1449,61,"ProximitytoHole",2012
29,29,"Justin Rose",69,NA,32912.917,951,1,"ProximitytoHole",2012
29,29,"David Toms",60,NA,27236.833,788,74,"ProximitytoHole",2012
