"Approaches_RANKTHISWEEK_2014","Approaches_RANKLASTWEEK_2014","Approaches_PLAYERNAME_2014","Approaches_ROUNDS_2014","Approaches_AVGRTP_2014","stat_name","year"
1,1,"Gary Woodland",93,-0.25,"Approaches",2014
2,2,"Rory McIlroy",66,-0.211,"Approaches",2014
3,3,"Tommy Gainey",73,-0.167,"Approaches",2014
4,4,"Jim Furyk",84,-0.125,"Approaches",2014
5,5,"Henrik Stenson",56,-0.118,"Approaches",2014
6,6,"Luke Guthrie",85,-0.1,"Approaches",2014
7,7,"John Huh",87,-0.091,"Approaches",2014
8,8,"Sangmoon Bae",76,-0.087,"Approaches",2014
8,8,"Adam Scott",68,-0.087,"Approaches",2014
10,10,"Charl Schwartzel",64,-0.083,"Approaches",2014
11,11,"Danny Lee",84,-0.074,"Approaches",2014
12,12,"Phil Mickelson",71,-0.071,"Approaches",2014
13,13,"Andres Romero",81,-0.064,"Approaches",2014
14,14,"William McGirt",96,-0.063,"Approaches",2014
15,15,"Martin Laird",66,-0.053,"Approaches",2014
16,16,"Carl Pettersson",91,-0.049,"Approaches",2014
17,17,"Billy Hurley III",86,-0.042,"Approaches",2014
18,18,"Jimmy Walker",98,-0.04,"Approaches",2014
19,19,"Seung Yul Noh",92,-0.03,"Approaches",2014
20,20,"Dustin Johnson",58,-0.027,"Approaches",2014
21,21,"Kevin Chappell",100,-0.026,"Approaches",2014
22,22,"Charles Howell III",106,-0.016,"Approaches",2014
23,23,"Chad Campbell",57,0,"Approaches",2014
23,23,"Matt Every",85,0,"Approaches",2014
23,23,"DH Lee",54,0,"Approaches",2014
23,23,"Hudson Swafford",75,0,"Approaches",2014
23,23,"David Toms",64,0,"Approaches",2014
23,23,"Kevin Tway",64,0,"Approaches",2014
29,29,"Charlie Beljan",76,0.028,"Approaches",2014
30,30,"John Senden",99,0.036,"Approaches",2014
30,30,"Brandt Snedeker",89,0.036,"Approaches",2014
32,32,"Brian Davis",93,0.038,"Approaches",2014
33,33,"Martin Kaymer",65,0.04,"Approaches",2014
33,33,"Josh Teater",90,0.04,"Approaches",2014
35,35,"Jason Day",54,0.043,"Approaches",2014
36,36,"Jonathan Byrd",76,0.045,"Approaches",2014
37,37,"George McNeill",79,0.048,"Approaches",2014
38,38,"Erik Compton",88,0.05,"Approaches",2014
38,38,"Jason Kokrak",65,0.05,"Approaches",2014
40,40,"Ben Curtis",77,0.056,"Approaches",2014
40,40,"Hideki Matsuyama",82,0.056,"Approaches",2014
42,42,"Luke Donald",57,0.059,"Approaches",2014
42,42,"Vijay Singh",83,0.059,"Approaches",2014
44,44,"Nick Watney",80,0.063,"Approaches",2014
45,45,"Brian Gay",81,0.067,"Approaches",2014
45,45,"Kevin Na",94,0.067,"Approaches",2014
47,47,"Stuart Appleby",92,0.069,"Approaches",2014
48,48,"Andrew Loupe",65,0.075,"Approaches",2014
49,49,"Graham DeLaet",80,0.077,"Approaches",2014
50,50,"Jonas Blixt",64,0.081,"Approaches",2014
51,51,"Geoff Ogilvy",84,0.082,"Approaches",2014
52,52,"Gonzalo Fdez Castano",83,0.091,"Approaches",2014
52,52,"Justin Hicks",103,0.091,"Approaches",2014
52,52,"Bronson La Cassie",51,0.091,"Approaches",2014
52,52,"Chris Stroud",88,0.091,"Approaches",2014
56,56,"Charley Hoffman",93,0.1,"Approaches",2014
57,57,"Boo Weekley",73,0.105,"Approaches",2014
58,58,"John Rollins",84,0.111,"Approaches",2014
58,58,"Tim Wilkinson",86,0.111,"Approaches",2014
60,60,"JB Holmes",86,0.113,"Approaches",2014
61,61,"Harris English",95,0.115,"Approaches",2014
62,62,"Justin Rose",70,0.12,"Approaches",2014
63,63,"Stewart Cink",91,0.125,"Approaches",2014
63,63,"Webb Simpson",87,0.125,"Approaches",2014
65,65,"Ernie Els",85,0.128,"Approaches",2014
66,66,"Cameron Tringale",111,0.13,"Approaches",2014
67,67,"Ian Poulter",57,0.154,"Approaches",2014
68,68,"Brian Harman",111,0.156,"Approaches",2014
69,69,"Jamie Lovemark",64,0.158,"Approaches",2014
70,70,"Hunter Mahan",88,0.159,"Approaches",2014
71,71,"Russell Henley",92,0.162,"Approaches",2014
72,72,"Jerry Kelly",80,0.167,"Approaches",2014
