"BirdieorBetterPercentageRightRough_RANKTHISWEEK_2005","BirdieorBetterPercentageRightRough_RANKLASTWEEK_2005","BirdieorBetterPercentageRightRough_PLAYERNAME_2005","BirdieorBetterPercentageRightRough_ROUNDS_2005","BirdieorBetterPercentageRightRough_Pct_2005","BirdieorBetterPercentageRightRough_TOTALBIRDIES_2005","BirdieorBetterPercentageRightRough_TOTALHOLES_2005","stat_name","year"
59,59,"Daniel Chopra",108,15.74,31,197,"BirdieorBetterPercentageRightRough",2005
60,60,"Michael Allen",90,15.7,27,172,"BirdieorBetterPercentageRightRough",2005
61,61,"Dean Wilson",86,15.67,21,134,"BirdieorBetterPercentageRightRough",2005
62,62,"Stuart Appleby",84,15.63,20,128,"BirdieorBetterPercentageRightRough",2005
63,63,"David Hearn",68,15.53,16,103,"BirdieorBetterPercentageRightRough",2005
64,64,"Tim Petrovic",97,15.38,28,182,"BirdieorBetterPercentageRightRough",2005
65,65,"Tom Pernice Jr",111,15.34,27,176,"BirdieorBetterPercentageRightRough",2005
66,66,"Bob Tway",87,15.32,17,111,"BirdieorBetterPercentageRightRough",2005
67,67,"Tim Clark",92,15.31,15,98,"BirdieorBetterPercentageRightRough",2005
68,68,"Dennis Paulson",63,15.27,20,131,"BirdieorBetterPercentageRightRough",2005
69,69,"Scott McCarron",78,15.25,18,118,"BirdieorBetterPercentageRightRough",2005
70,70,"Kevin Sutherland",89,15.2,19,125,"BirdieorBetterPercentageRightRough",2005
71,71,"Jay Haas",54,15.15,10,66,"BirdieorBetterPercentageRightRough",2005
72,72,"Darron Stiles",78,15.13,18,119,"BirdieorBetterPercentageRightRough",2005
73,73,"Tom Gillis",77,15.09,16,106,"BirdieorBetterPercentageRightRough",2005
74,74,"Mark Wilson",74,15.05,14,93,"BirdieorBetterPercentageRightRough",2005
75,75,"Jeff Brehaut",71,15,15,100,"BirdieorBetterPercentageRightRough",2005
76,76,"Bob Estes",92,14.97,22,147,"BirdieorBetterPercentageRightRough",2005
77,77,"Dudley Hart",84,14.96,19,127,"BirdieorBetterPercentageRightRough",2005
78,78,"Scott Verplank",87,14.95,16,107,"BirdieorBetterPercentageRightRough",2005
79,79,"Hank Kuehne",84,14.88,25,168,"BirdieorBetterPercentageRightRough",2005
80,80,"Frank Lickliter II",100,14.65,23,157,"BirdieorBetterPercentageRightRough",2005
81,81,"Jose Maria Olazabal",55,14.61,13,89,"BirdieorBetterPercentageRightRough",2005
82,82,"Neal Lancaster",95,14.57,22,151,"BirdieorBetterPercentageRightRough",2005
83,83,"Ben Crane",78,14.56,23,158,"BirdieorBetterPercentageRightRough",2005
83,83,"Charles Warren",89,14.56,23,158,"BirdieorBetterPercentageRightRough",2005
85,85,"Carlos Franco",78,14.52,18,124,"BirdieorBetterPercentageRightRough",2005
86,86,"Joe Ogilvie",103,14.47,22,152,"BirdieorBetterPercentageRightRough",2005
86,86,"Nick Watney",91,14.47,23,159,"BirdieorBetterPercentageRightRough",2005
88,88,"Chris Anderson",66,14.29,15,105,"BirdieorBetterPercentageRightRough",2005
88,88,"Chris Smith",93,14.29,22,154,"BirdieorBetterPercentageRightRough",2005
90,90,"Robert Damron",89,14.15,15,106,"BirdieorBetterPercentageRightRough",2005
91,91,"Mike Weir",71,14.12,12,85,"BirdieorBetterPercentageRightRough",2005
92,92,"Heath Slocum",103,14.06,18,128,"BirdieorBetterPercentageRightRough",2005
93,93,"Rocco Mediate",73,13.97,19,136,"BirdieorBetterPercentageRightRough",2005
94,94,"Scott Hend",75,13.95,24,172,"BirdieorBetterPercentageRightRough",2005
95,95,"Richard Johnson",50,13.89,10,72,"BirdieorBetterPercentageRightRough",2005
96,96,"Rory Sabbatini",81,13.82,17,123,"BirdieorBetterPercentageRightRough",2005
97,97,"Paul Claxton",79,13.73,14,102,"BirdieorBetterPercentageRightRough",2005
97,97,"Glen Hnatiuk",59,13.73,14,102,"BirdieorBetterPercentageRightRough",2005
97,97,"David Toms",87,13.73,14,102,"BirdieorBetterPercentageRightRough",2005
100,100,"John Senden",101,13.7,20,146,"BirdieorBetterPercentageRightRough",2005
101,101,"Rob Rashell",65,13.68,16,117,"BirdieorBetterPercentageRightRough",2005
102,102,"Jonathan Kaye",77,13.59,14,103,"BirdieorBetterPercentageRightRough",2005
103,103,"Bradley Hughes",52,13.58,11,81,"BirdieorBetterPercentageRightRough",2005
104,104,"Tommy Armour III",103,13.51,20,148,"BirdieorBetterPercentageRightRough",2005
104,104,"Brian Davis",75,13.51,15,111,"BirdieorBetterPercentageRightRough",2005
106,106,"Zach Johnson",96,13.49,17,126,"BirdieorBetterPercentageRightRough",2005
107,107,"Brian Gay",101,13.33,16,120,"BirdieorBetterPercentageRightRough",2005
107,107,"Brandt Jobe",96,13.33,28,210,"BirdieorBetterPercentageRightRough",2005
107,107,"Hunter Mahan",103,13.33,22,165,"BirdieorBetterPercentageRightRough",2005
107,107,"Jesper Parnevik",84,13.33,16,120,"BirdieorBetterPercentageRightRough",2005
111,111,"Arron Oberholser",65,13.25,11,83,"BirdieorBetterPercentageRightRough",2005
111,111,"Chris Riley",67,13.25,11,83,"BirdieorBetterPercentageRightRough",2005
113,113,"Pat Perez",89,13.1,19,145,"BirdieorBetterPercentageRightRough",2005
114,114,"Craig Barlow",81,13.04,12,92,"BirdieorBetterPercentageRightRough",2005
114,114,"Jose Coceres",56,13.04,12,92,"BirdieorBetterPercentageRightRough",2005
116,116,"Kevin Stadler",96,12.98,17,131,"BirdieorBetterPercentageRightRough",2005
117,117,"Larry Mize",54,12.9,8,62,"BirdieorBetterPercentageRightRough",2005
118,118,"Harrison Frazar",105,12.88,21,163,"BirdieorBetterPercentageRightRough",2005
119,119,"Michael Long",72,12.84,14,109,"BirdieorBetterPercentageRightRough",2005
120,120,"Retief Goosen",71,12.82,10,78,"BirdieorBetterPercentageRightRough",2005
121,121,"Brad Faxon",75,12.8,16,125,"BirdieorBetterPercentageRightRough",2005
122,122,"Todd Hamilton",94,12.75,19,149,"BirdieorBetterPercentageRightRough",2005
123,123,"Stephen Leaney",89,12.73,14,110,"BirdieorBetterPercentageRightRough",2005
124,124,"John Daly",78,12.71,15,118,"BirdieorBetterPercentageRightRough",2005
125,125,"Bernhard Langer",67,12.66,10,79,"BirdieorBetterPercentageRightRough",2005
126,126,"Sean OHair",103,12.58,19,151,"BirdieorBetterPercentageRightRough",2005
127,127,"Jonathan Byrd",103,12.5,25,200,"BirdieorBetterPercentageRightRough",2005
127,127,"Andrew Magee",82,12.5,18,144,"BirdieorBetterPercentageRightRough",2005
127,127,"Greg Owen",84,12.5,17,136,"BirdieorBetterPercentageRightRough",2005
127,127,"Lee Westwood",50,12.5,8,64,"BirdieorBetterPercentageRightRough",2005
131,131,"Jason Allred",75,12.42,20,161,"BirdieorBetterPercentageRightRough",2005
132,132,"John Huston",90,12.41,17,137,"BirdieorBetterPercentageRightRough",2005
133,133,"Ian Poulter",62,12.35,10,81,"BirdieorBetterPercentageRightRough",2005
134,134,"Freddie Jacobson",72,12.28,14,114,"BirdieorBetterPercentageRightRough",2005
134,134,"Davis Love III",80,12.28,14,114,"BirdieorBetterPercentageRightRough",2005
136,136,"Corey Pavin",77,12.17,14,115,"BirdieorBetterPercentageRightRough",2005
137,137,"Brett Quigley",96,12.16,18,148,"BirdieorBetterPercentageRightRough",2005
138,138,"John Cook",72,11.96,11,92,"BirdieorBetterPercentageRightRough",2005
139,139,"Adam Scott",72,11.86,14,118,"BirdieorBetterPercentageRightRough",2005
139,139,"Charlie Wi",67,11.86,14,118,"BirdieorBetterPercentageRightRough",2005
141,141,"Todd Fischer",99,11.84,18,152,"BirdieorBetterPercentageRightRough",2005
142,142,"Olin Browne",99,11.83,11,93,"BirdieorBetterPercentageRightRough",2005
142,142,"JP Hayes",63,11.83,11,93,"BirdieorBetterPercentageRightRough",2005
144,144,"Craig Perks",67,11.82,13,110,"BirdieorBetterPercentageRightRough",2005
145,145,"Chad Campbell",95,11.81,15,127,"BirdieorBetterPercentageRightRough",2005
145,145,"John Rollins",97,11.81,17,144,"BirdieorBetterPercentageRightRough",2005
147,147,"Steve Elkington",67,11.76,12,102,"BirdieorBetterPercentageRightRough",2005
147,147,"Mark Hensby",70,11.76,8,68,"BirdieorBetterPercentageRightRough",2005
147,147,"Skip Kendall",80,11.76,10,85,"BirdieorBetterPercentageRightRough",2005
150,150,"Vaughn Taylor",99,11.72,17,145,"BirdieorBetterPercentageRightRough",2005
151,151,"Joey Sindelar",104,11.56,20,173,"BirdieorBetterPercentageRightRough",2005
152,152,"Mark Brooks",72,11.36,10,88,"BirdieorBetterPercentageRightRough",2005
153,153,"Bob Heintz",67,11.3,13,115,"BirdieorBetterPercentageRightRough",2005
154,154,"Jeff Hart",63,11.29,7,62,"BirdieorBetterPercentageRightRough",2005
155,155,"Padraig Harrington",50,11.25,9,80,"BirdieorBetterPercentageRightRough",2005
156,156,"Woody Austin",100,11.17,20,179,"BirdieorBetterPercentageRightRough",2005
157,157,"Jason Bohn",91,11.11,16,144,"BirdieorBetterPercentageRightRough",2005
157,157,"Tom Byrum",83,11.11,13,117,"BirdieorBetterPercentageRightRough",2005
157,157,"Luke Donald",67,11.11,7,63,"BirdieorBetterPercentageRightRough",2005
157,157,"Shaun Micheel",81,11.11,12,108,"BirdieorBetterPercentageRightRough",2005
161,161,"JJ Henry",102,11.04,17,154,"BirdieorBetterPercentageRightRough",2005
162,162,"Jeff Sluman",94,11.02,13,118,"BirdieorBetterPercentageRightRough",2005
163,163,"Hideto Tanihara",50,10.99,10,91,"BirdieorBetterPercentageRightRough",2005
164,164,"Len Mattiace",86,10.76,17,158,"BirdieorBetterPercentageRightRough",2005
165,165,"Alex Cejka",84,10.71,9,84,"BirdieorBetterPercentageRightRough",2005
166,166,"Shigeki Maruyama",99,10.69,17,159,"BirdieorBetterPercentageRightRough",2005
167,167,"Omar Uresti",84,10.68,11,103,"BirdieorBetterPercentageRightRough",2005
168,168,"Cameron Beckman",96,10.66,13,122,"BirdieorBetterPercentageRightRough",2005
168,168,"Stewart Cink",98,10.66,13,122,"BirdieorBetterPercentageRightRough",2005
170,170,"Steve Flesch",90,10.64,10,94,"BirdieorBetterPercentageRightRough",2005
171,171,"Matt Kuchar",60,10.45,7,67,"BirdieorBetterPercentageRightRough",2005
172,172,"Brian Bateman",98,10.29,14,136,"BirdieorBetterPercentageRightRough",2005
173,173,"Paul Gow",78,10.08,13,129,"BirdieorBetterPercentageRightRough",2005
173,173,"Tjaart van der Walt",56,10.08,12,119,"BirdieorBetterPercentageRightRough",2005
175,175,"Robert Gamez",91,10,14,140,"BirdieorBetterPercentageRightRough",2005
176,176,"Thomas Levet",54,9.84,6,61,"BirdieorBetterPercentageRightRough",2005
177,177,"Billy Andrade",83,9.77,13,133,"BirdieorBetterPercentageRightRough",2005
178,178,"Brendan Jones",81,9.74,15,154,"BirdieorBetterPercentageRightRough",2005
179,179,"Bart Bryant",91,9.73,11,113,"BirdieorBetterPercentageRightRough",2005
179,179,"JL Lewis",98,9.73,11,113,"BirdieorBetterPercentageRightRough",2005
181,181,"Robert Allenby",95,9.6,12,125,"BirdieorBetterPercentageRightRough",2005
182,182,"KJ Choi",78,9.57,9,94,"BirdieorBetterPercentageRightRough",2005
183,183,"Matt Davidson",53,9.52,8,84,"BirdieorBetterPercentageRightRough",2005
184,184,"Chris DiMarco",83,9.48,11,116,"BirdieorBetterPercentageRightRough",2005
185,185,"Jerry Kelly",101,9.17,11,120,"BirdieorBetterPercentageRightRough",2005
186,186,"Duffy Waldorf",86,8.43,7,83,"BirdieorBetterPercentageRightRough",2005
187,187,"Jay Williamson",53,8.22,6,73,"BirdieorBetterPercentageRightRough",2005
188,188,"Justin Leonard",78,8.14,7,86,"BirdieorBetterPercentageRightRough",2005
189,189,"Bill Glasson",54,8.11,6,74,"BirdieorBetterPercentageRightRough",2005
190,190,"Lee Janzen",75,8,8,100,"BirdieorBetterPercentageRightRough",2005
191,191,"Matt Gogel",78,7.96,9,113,"BirdieorBetterPercentageRightRough",2005
192,192,"James Driscoll",73,7.91,11,139,"BirdieorBetterPercentageRightRough",2005
193,193,"Mark OMeara",66,7.61,7,92,"BirdieorBetterPercentageRightRough",2005
193,193,"Loren Roberts",54,7.61,7,92,"BirdieorBetterPercentageRightRough",2005
195,195,"Ben Curtis",65,7.59,6,79,"BirdieorBetterPercentageRightRough",2005
196,196,"Steve Jones",56,7.23,6,83,"BirdieorBetterPercentageRightRough",2005
197,197,"Justin Bolli",65,6.48,7,108,"BirdieorBetterPercentageRightRough",2005
198,198,"Tom Lehman",69,6.42,7,109,"BirdieorBetterPercentageRightRough",2005
199,199,"Jim Carter",62,6.25,5,80,"BirdieorBetterPercentageRightRough",2005
200,200,"Stephen Ames",82,5.05,5,99,"BirdieorBetterPercentageRightRough",2005
200,200,"Fred Funk",102,5.05,5,99,"BirdieorBetterPercentageRightRough",2005
202,202,"Jim Furyk",94,4.2,5,119,"BirdieorBetterPercentageRightRough",2005
