"TotalEagles_RANKTHISWEEK_2011","TotalEagles_RANKLASTWEEK_2011","TotalEagles_PLAYERNAME_2011","TotalEagles_ROUNDS_2011","TotalEagles_TOTAL_2011","stat_name","year"
1,1,"Bobby Gates",82,17,"TotalEagles",2011
2,2,"Sung Kang",63,15,"TotalEagles",2011
2,2,"Kyle Stanley",98,15,"TotalEagles",2011
2,2,"Bubba Watson",85,15,"TotalEagles",2011
5,5,"Greg Chalmers",88,14,"TotalEagles",2011
6,6,"Webb Simpson",98,13,"TotalEagles",2011
6,6,"DJ Trahan",91,13,"TotalEagles",2011
8,8,"Rickie Fowler",84,12,"TotalEagles",2011
8,8,"Derek Lamely",65,12,"TotalEagles",2011
8,8,"Josh Teater",104,12,"TotalEagles",2011
8,8,"Bo Van Pelt",92,12,"TotalEagles",2011
12,12,"DA Points",89,11,"TotalEagles",2011
12,12,"John Rollins",85,11,"TotalEagles",2011
12,12,"Andres Romero",77,11,"TotalEagles",2011
12,12,"Brandt Snedeker",85,11,"TotalEagles",2011
12,12,"Kevin Stadler",88,11,"TotalEagles",2011
12,12,"Brendan Steele",89,11,"TotalEagles",2011
18,18,"Steven Bowditch",86,10,"TotalEagles",2011
18,18,"Keegan Bradley",91,10,"TotalEagles",2011
18,18,"Kevin Chappell",78,10,"TotalEagles",2011
18,18,"Chris Couch",73,10,"TotalEagles",2011
18,18,"Lucas Glover",74,10,"TotalEagles",2011
18,18,"Charley Hoffman",93,10,"TotalEagles",2011
18,18,"Hunter Mahan",92,10,"TotalEagles",2011
18,18,"Steve Marino",76,10,"TotalEagles",2011
18,18,"Troy Matteson",91,10,"TotalEagles",2011
18,18,"Billy Mayfair",94,10,"TotalEagles",2011
18,18,"Scott McCarron",65,10,"TotalEagles",2011
18,18,"Tag Ridings",87,10,"TotalEagles",2011
18,18,"Gary Woodland",93,10,"TotalEagles",2011
31,31,"Ricky Barnes",78,9,"TotalEagles",2011
31,31,"Matt Bettencourt",84,9,"TotalEagles",2011
31,31,"Kris Blanks",92,9,"TotalEagles",2011
31,31,"Michael Bradley",74,9,"TotalEagles",2011
31,31,"Sergio Garcia",61,9,"TotalEagles",2011
31,31,"Fabian Gomez",84,9,"TotalEagles",2011
31,31,"Bill Haas",93,9,"TotalEagles",2011
31,31,"Charles Howell III",108,9,"TotalEagles",2011
31,31,"Martin Laird",77,9,"TotalEagles",2011
31,31,"Jarrod Lyle",83,9,"TotalEagles",2011
31,31,"George McNeill",69,9,"TotalEagles",2011
31,31,"Zack Miller",86,9,"TotalEagles",2011
31,31,"Joe Ogilvie",75,9,"TotalEagles",2011
31,31,"Jeff Overton",92,9,"TotalEagles",2011
31,31,"Carl Pettersson",95,9,"TotalEagles",2011
31,31,"Scott Piercy",78,9,"TotalEagles",2011
31,31,"Nate Smith",66,9,"TotalEagles",2011
31,31,"Will Strickler",51,9,"TotalEagles",2011
31,31,"Chris Stroud",88,9,"TotalEagles",2011
31,31,"Daniel Summerhays",75,9,"TotalEagles",2011
31,31,"Cameron Tringale",110,9,"TotalEagles",2011
31,31,"Jimmy Walker",79,9,"TotalEagles",2011
31,31,"Nick Watney",80,9,"TotalEagles",2011
54,54,"Jonathan Byrd",83,8,"TotalEagles",2011
54,54,"Angel Cabrera",50,8,"TotalEagles",2011
54,54,"Brendon de Jonge",105,8,"TotalEagles",2011
54,54,"Robert Garrigus",83,8,"TotalEagles",2011
54,54,"Zach Johnson",79,8,"TotalEagles",2011
54,54,"Dustin Johnson",72,8,"TotalEagles",2011
54,54,"Ben Martin",74,8,"TotalEagles",2011
54,54,"Phil Mickelson",79,8,"TotalEagles",2011
54,54,"Justin Rose",79,8,"TotalEagles",2011
54,54,"John Senden",94,8,"TotalEagles",2011
54,54,"David Toms",78,8,"TotalEagles",2011
65,65,"Jason Bohn",74,7,"TotalEagles",2011
65,65,"Jim Furyk",87,7,"TotalEagles",2011
65,65,"Tommy Gainey",104,7,"TotalEagles",2011
65,65,"Scott Gutschewski",67,7,"TotalEagles",2011
65,65,"Lee Janzen",62,7,"TotalEagles",2011
65,65,"Robert Karlsson",61,7,"TotalEagles",2011
65,65,"Chris Kirk",87,7,"TotalEagles",2011
65,65,"Kevin Kisner",70,7,"TotalEagles",2011
65,65,"Marc Leishman",87,7,"TotalEagles",2011
65,65,"Spencer Levin",113,7,"TotalEagles",2011
65,65,"John Merrick",71,7,"TotalEagles",2011
65,65,"Troy Merritt",63,7,"TotalEagles",2011
65,65,"Kevin Na",84,7,"TotalEagles",2011
65,65,"Adam Scott",60,7,"TotalEagles",2011
65,65,"Jhonattan Vegas",84,7,"TotalEagles",2011
80,80,"Blake Adams",116,6,"TotalEagles",2011
80,80,"Aaron Baddeley",77,6,"TotalEagles",2011
80,80,"Shane Bertsch",62,6,"TotalEagles",2011
80,80,"Joseph Bramlett",73,6,"TotalEagles",2011
80,80,"DJ Brigman",67,6,"TotalEagles",2011
80,80,"KJ Choi",77,6,"TotalEagles",2011
80,80,"Jason Day",76,6,"TotalEagles",2011
80,80,"Nathan Green",81,6,"TotalEagles",2011
80,80,"David Hearn",88,6,"TotalEagles",2011
80,80,"JB Holmes",57,6,"TotalEagles",2011
80,80,"Billy Horschel",75,6,"TotalEagles",2011
80,80,"Trevor Immelman",84,6,"TotalEagles",2011
80,80,"Jerry Kelly",85,6,"TotalEagles",2011
80,80,"William McGirt",103,6,"TotalEagles",2011
80,80,"Sean OHair",71,6,"TotalEagles",2011
80,80,"Pat Perez",76,6,"TotalEagles",2011
80,80,"Alex Prugh",82,6,"TotalEagles",2011
80,80,"Chez Reavie",92,6,"TotalEagles",2011
80,80,"Scott Stallings",84,6,"TotalEagles",2011
80,80,"Kevin Streelman",90,6,"TotalEagles",2011
80,80,"Steve Stricker",70,6,"TotalEagles",2011
80,80,"Vaughn Taylor",89,6,"TotalEagles",2011
