"Top10FinalRoundPerformance_RANKTHISWEEK_2011","Top10FinalRoundPerformance_RANKLASTWEEK_2011","Top10FinalRoundPerformance_PLAYERNAME_2011","Top10FinalRoundPerformance_EVENTS_2011","Top10FinalRoundPerformance_PctTIMESIMPROVED_2011","Top10FinalRoundPerformance_OFTIMESIMPROVED_2011","stat_name","year"
1,1,"Robert Allenby",25,100,2,"Top10FinalRoundPerformance",2011
1,1,"Briny Baird",19,100,2,"Top10FinalRoundPerformance",2011
1,1,"Matt Bettencourt",30,100,2,"Top10FinalRoundPerformance",2011
1,1,"Michael Bradley",24,100,1,"Top10FinalRoundPerformance",2011
1,1,"Ben Crane",23,100,2,"Top10FinalRoundPerformance",2011
1,1,"James Driscoll",24,100,1,"Top10FinalRoundPerformance",2011
1,1,"Steve Flesch",27,100,1,"Top10FinalRoundPerformance",2011
1,1,"Bobby Gates",29,100,2,"Top10FinalRoundPerformance",2011
1,1,"Tom Gillis",19,100,1,"Top10FinalRoundPerformance",2011
1,1,"Hunter Haas",30,100,2,"Top10FinalRoundPerformance",2011
1,1,"Tim Herron",28,100,1,"Top10FinalRoundPerformance",2011
1,1,"Ryuji Imada",29,100,1,"Top10FinalRoundPerformance",2011
1,1,"Zach Johnson",23,100,2,"Top10FinalRoundPerformance",2011
1,1,"Dustin Johnson",21,100,4,"Top10FinalRoundPerformance",2011
1,1,"Robert Karlsson",18,100,2,"Top10FinalRoundPerformance",2011
1,1,"Justin Leonard",26,100,1,"Top10FinalRoundPerformance",2011
1,1,"Jarrod Lyle",29,100,1,"Top10FinalRoundPerformance",2011
1,1,"Billy Mayfair",29,100,1,"Top10FinalRoundPerformance",2011
1,1,"Scott McCarron",22,100,1,"Top10FinalRoundPerformance",2011
1,1,"Kevin Na",26,100,4,"Top10FinalRoundPerformance",2011
1,1,"Sean OHair",24,100,1,"Top10FinalRoundPerformance",2011
1,1,"Joe Ogilvie",24,100,1,"Top10FinalRoundPerformance",2011
1,1,"Ryan Palmer",24,100,1,"Top10FinalRoundPerformance",2011
1,1,"Ian Poulter",16,100,1,"Top10FinalRoundPerformance",2011
1,1,"Vijay Singh",25,100,2,"Top10FinalRoundPerformance",2011
1,1,"Scott Stallings",28,100,2,"Top10FinalRoundPerformance",2011
1,1,"Kevin Streelman",26,100,2,"Top10FinalRoundPerformance",2011
1,1,"David Toms",23,100,4,"Top10FinalRoundPerformance",2011
1,1,"Jhonattan Vegas",25,100,3,"Top10FinalRoundPerformance",2011
30,30,"Luke Donald",19,87.5,7,"Top10FinalRoundPerformance",2011
31,31,"Tommy Gainey",34,85.7,6,"Top10FinalRoundPerformance",2011
32,32,"KJ Choi",22,80,4,"Top10FinalRoundPerformance",2011
33,33,"Steve Marino",23,75,3,"Top10FinalRoundPerformance",2011
33,33,"Phil Mickelson",21,75,3,"Top10FinalRoundPerformance",2011
33,33,"Geoff Ogilvy",21,75,3,"Top10FinalRoundPerformance",2011
33,33,"Jeff Overton",26,75,3,"Top10FinalRoundPerformance",2011
33,33,"Pat Perez",24,75,3,"Top10FinalRoundPerformance",2011
33,33,"Carl Pettersson",27,75,3,"Top10FinalRoundPerformance",2011
33,33,"John Rollins",27,75,3,"Top10FinalRoundPerformance",2011
33,33,"Jimmy Walker",24,75,3,"Top10FinalRoundPerformance",2011
33,33,"Nick Watney",22,75,6,"Top10FinalRoundPerformance",2011
42,42,"Webb Simpson",26,70,7,"Top10FinalRoundPerformance",2011
43,43,"Aaron Baddeley",22,66.7,4,"Top10FinalRoundPerformance",2011
43,43,"Ricky Barnes",23,66.7,2,"Top10FinalRoundPerformance",2011
43,43,"Kevin Chappell",26,66.7,2,"Top10FinalRoundPerformance",2011
43,43,"Robert Garrigus",26,66.7,2,"Top10FinalRoundPerformance",2011
43,43,"Paul Goydos",25,66.7,2,"Top10FinalRoundPerformance",2011
43,43,"Trevor Immelman",25,66.7,2,"Top10FinalRoundPerformance",2011
