"BirdieorBetterPercentageFairway_RANKTHISWEEK_2008","BirdieorBetterPercentageFairway_RANKLASTWEEK_2008","BirdieorBetterPercentageFairway_PLAYERNAME_2008","BirdieorBetterPercentageFairway_ROUNDS_2008","BirdieorBetterPercentageFairway_Pct_2008","BirdieorBetterPercentageFairway_TOTALBIRDIES_2008","BirdieorBetterPercentageFairway_TOTALHOLES_2008","stat_name","year"
1,1,"Ryan Palmer",69,26.74,215,804,"BirdieorBetterPercentageFairway",2008
2,2,"Phil Mickelson",80,24.93,180,722,"BirdieorBetterPercentageFairway",2008
3,3,"Stewart Cink",87,24.82,203,818,"BirdieorBetterPercentageFairway",2008
4,4,"Camilo Villegas",79,24.7,204,826,"BirdieorBetterPercentageFairway",2008
5,5,"Rory Sabbatini",77,24.67,204,827,"BirdieorBetterPercentageFairway",2008
6,6,"Bob Tway",70,24.21,191,789,"BirdieorBetterPercentageFairway",2008
7,7,"John Huston",56,24.18,163,674,"BirdieorBetterPercentageFairway",2008
8,8,"Paul Casey",55,23.9,119,498,"BirdieorBetterPercentageFairway",2008
9,9,"Anthony Kim",81,23.65,197,833,"BirdieorBetterPercentageFairway",2008
10,10,"Chad Campbell",94,23.58,278,1179,"BirdieorBetterPercentageFairway",2008
10,10,"Adam Scott",51,23.58,100,424,"BirdieorBetterPercentageFairway",2008
12,12,"Justin Leonard",101,23.48,243,1035,"BirdieorBetterPercentageFairway",2008
13,13,"Michael Allen",91,23.44,260,1109,"BirdieorBetterPercentageFairway",2008
14,14,"Fred Couples",60,23.42,152,649,"BirdieorBetterPercentageFairway",2008
15,15,"Hunter Mahan",87,23.38,234,1001,"BirdieorBetterPercentageFairway",2008
16,16,"Pat Perez",93,23.33,252,1080,"BirdieorBetterPercentageFairway",2008
17,17,"Ken Duke",116,23.31,320,1373,"BirdieorBetterPercentageFairway",2008
18,18,"KJ Choi",74,23.26,174,748,"BirdieorBetterPercentageFairway",2008
19,19,"Angel Cabrera",55,23.25,103,443,"BirdieorBetterPercentageFairway",2008
20,20,"Tim Clark",90,23.24,231,994,"BirdieorBetterPercentageFairway",2008
21,21,"Robert Garrigus",90,23.14,245,1059,"BirdieorBetterPercentageFairway",2008
22,22,"Steve Marino",119,23.09,321,1390,"BirdieorBetterPercentageFairway",2008
23,23,"Vijay Singh",82,23,181,787,"BirdieorBetterPercentageFairway",2008
24,24,"Martin Laird",98,22.99,260,1131,"BirdieorBetterPercentageFairway",2008
25,25,"JB Holmes",86,22.96,186,810,"BirdieorBetterPercentageFairway",2008
25,25,"Kevin Streelman",114,22.96,290,1263,"BirdieorBetterPercentageFairway",2008
27,27,"Dudley Hart",74,22.94,203,885,"BirdieorBetterPercentageFairway",2008
28,28,"Aaron Baddeley",76,22.85,175,766,"BirdieorBetterPercentageFairway",2008
29,29,"Tom Pernice Jr",104,22.82,304,1332,"BirdieorBetterPercentageFairway",2008
30,30,"Michael Letzig",88,22.71,223,982,"BirdieorBetterPercentageFairway",2008
31,31,"George McNeill",97,22.7,267,1176,"BirdieorBetterPercentageFairway",2008
32,32,"Sergio Garcia",72,22.58,163,722,"BirdieorBetterPercentageFairway",2008
32,32,"Jason Gore",94,22.58,271,1200,"BirdieorBetterPercentageFairway",2008
34,34,"Ernie Els",51,22.53,105,466,"BirdieorBetterPercentageFairway",2008
35,35,"Steve Stricker",75,22.48,167,743,"BirdieorBetterPercentageFairway",2008
36,36,"Joe Ogilvie",100,22.45,257,1145,"BirdieorBetterPercentageFairway",2008
37,37,"Carlos Franco",73,22.43,183,816,"BirdieorBetterPercentageFairway",2008
38,38,"Stephen Ames",83,22.37,200,894,"BirdieorBetterPercentageFairway",2008
39,39,"Vaughn Taylor",103,22.35,280,1253,"BirdieorBetterPercentageFairway",2008
39,39,"Bubba Watson",97,22.35,215,962,"BirdieorBetterPercentageFairway",2008
41,41,"Woody Austin",109,22.32,271,1214,"BirdieorBetterPercentageFairway",2008
41,41,"Ben Crane",86,22.32,233,1044,"BirdieorBetterPercentageFairway",2008
41,41,"Scott McCarron",63,22.32,169,757,"BirdieorBetterPercentageFairway",2008
44,44,"Mark Wilson",107,22.28,332,1490,"BirdieorBetterPercentageFairway",2008
45,45,"Kevin Sutherland",98,22.26,258,1159,"BirdieorBetterPercentageFairway",2008
46,46,"Eric Axley",113,22.23,277,1246,"BirdieorBetterPercentageFairway",2008
46,46,"Jesper Parnevik",88,22.23,215,967,"BirdieorBetterPercentageFairway",2008
48,48,"Mark Hensby",71,22.21,183,824,"BirdieorBetterPercentageFairway",2008
49,49,"Tag Ridings",88,22.15,225,1016,"BirdieorBetterPercentageFairway",2008
50,50,"Marco Dawson",64,22.09,161,729,"BirdieorBetterPercentageFairway",2008
51,51,"Jonathan Byrd",88,21.99,237,1078,"BirdieorBetterPercentageFairway",2008
51,51,"Dean Wilson",109,21.99,276,1255,"BirdieorBetterPercentageFairway",2008
53,53,"Davis Love III",78,21.92,187,853,"BirdieorBetterPercentageFairway",2008
53,53,"Jeff Quinney",87,21.92,221,1008,"BirdieorBetterPercentageFairway",2008
53,53,"Mike Weir",88,21.92,194,885,"BirdieorBetterPercentageFairway",2008
56,56,"Nick Watney",96,21.9,233,1064,"BirdieorBetterPercentageFairway",2008
57,57,"Kenny Perry",97,21.87,264,1207,"BirdieorBetterPercentageFairway",2008
58,58,"Jim Furyk",95,21.86,237,1084,"BirdieorBetterPercentageFairway",2008
59,59,"Steve Allan",58,21.84,126,577,"BirdieorBetterPercentageFairway",2008
