"Puttingfrom510_RANKTHISWEEK_2013","Puttingfrom510_RANKLASTWEEK_2013","Puttingfrom510_PLAYERNAME_2013","Puttingfrom510_ROUNDS_2013","Puttingfrom510_Pct_2013","Puttingfrom510_ATTEMPTS_2013","Puttingfrom510_PUTTSMADE_2013","stat_name","year"
1,1,"Doug LaBelle II",72,65.25,259,169,"Puttingfrom510",2013
2,2,"David Hearn",88,62.26,310,193,"Puttingfrom510",2013
2,2,"William McGirt",75,62.26,265,165,"Puttingfrom510",2013
4,4,"Aaron Watkins",46,62.04,137,85,"Puttingfrom510",2013
5,5,"Sangmoon Bae",83,61.41,298,183,"Puttingfrom510",2013
6,6,"Cameron Percy",68,61.28,235,144,"Puttingfrom510",2013
7,7,"Brian Gay",79,61.27,284,174,"Puttingfrom510",2013
8,8,"Richard Lee",81,60.98,287,175,"Puttingfrom510",2013
9,9,"Steve Stricker",51,60.94,128,78,"Puttingfrom510",2013
10,10,"Scott Stallings",79,60.91,307,187,"Puttingfrom510",2013
11,11,"Tiger Woods",61,60.82,171,104,"Puttingfrom510",2013
12,12,"Greg Chalmers",77,60.74,298,181,"Puttingfrom510",2013
13,13,"Colt Knost",69,60.54,223,135,"Puttingfrom510",2013
14,14,"Russell Henley",80,60.34,290,175,"Puttingfrom510",2013
15,15,"Tom Gillis",69,60,240,144,"Puttingfrom510",2013
16,16,"Freddie Jacobson",63,59.7,201,120,"Puttingfrom510",2013
17,17,"Martin Laird",68,59.57,230,137,"Puttingfrom510",2013
18,18,"Casey Wittenberg",72,59.54,262,156,"Puttingfrom510",2013
19,19,"Brandt Snedeker",79,59.46,222,132,"Puttingfrom510",2013
20,20,"Luke Donald",60,58.71,201,118,"Puttingfrom510",2013
21,21,"Jimmy Walker",84,58.7,339,199,"Puttingfrom510",2013
22,22,"David Lynn",70,58.6,215,126,"Puttingfrom510",2013
23,23,"Ryan Moore",72,58.37,233,136,"Puttingfrom510",2013
24,24,"KJ Choi",85,58.3,271,158,"Puttingfrom510",2013
25,25,"Jeff Overton",78,58.26,345,201,"Puttingfrom510",2013
26,26,"Phil Mickelson",78,58.02,243,141,"Puttingfrom510",2013
27,27,"Peter Hanson",45,58,150,87,"Puttingfrom510",2013
28,28,"Justin Rose",62,57.98,188,109,"Puttingfrom510",2013
29,29,"Stephen Ames",49,57.95,176,102,"Puttingfrom510",2013
30,30,"Hunter Mahan",91,57.93,271,157,"Puttingfrom510",2013
31,31,"John Huh",88,57.91,335,194,"Puttingfrom510",2013
32,32,"Steven Bowditch",67,57.89,228,132,"Puttingfrom510",2013
33,33,"Kevin Streelman",86,57.86,280,162,"Puttingfrom510",2013
34,34,"Chris Kirk",89,57.82,358,207,"Puttingfrom510",2013
35,35,"Alistair Presnell",59,57.79,199,115,"Puttingfrom510",2013
36,36,"Martin Kaymer",61,57.74,168,97,"Puttingfrom510",2013
37,37,"Mike Weir",60,57.71,201,116,"Puttingfrom510",2013
38,38,"Jerry Kelly",75,57.59,257,148,"Puttingfrom510",2013
39,39,"Gary Woodland",94,57.53,372,214,"Puttingfrom510",2013
40,40,"Jeff Maggert",63,57.46,228,131,"Puttingfrom510",2013
41,41,"Steve LeBrun",66,57.41,263,151,"Puttingfrom510",2013
42,42,"Charl Schwartzel",69,57.36,265,152,"Puttingfrom510",2013
43,43,"Morgan Hoffmann",64,57.32,239,137,"Puttingfrom510",2013
44,44,"Graham DeLaet",94,57.29,295,169,"Puttingfrom510",2013
45,45,"Andres Romero",63,57.21,229,131,"Puttingfrom510",2013
46,46,"Chez Reavie",72,57.19,285,163,"Puttingfrom510",2013
47,47,"Shawn Stefani",63,57,207,118,"Puttingfrom510",2013
48,48,"Webb Simpson",92,56.99,286,163,"Puttingfrom510",2013
49,49,"Henrik Norlander",70,56.96,230,131,"Puttingfrom510",2013
50,50,"Billy Horschel",96,56.91,376,214,"Puttingfrom510",2013
51,51,"Bryce Molder",82,56.9,297,169,"Puttingfrom510",2013
52,52,"Brian Harman",89,56.86,299,170,"Puttingfrom510",2013
53,53,"Luke Guthrie",82,56.83,271,154,"Puttingfrom510",2013
54,54,"Rickie Fowler",75,56.8,250,142,"Puttingfrom510",2013
55,55,"Charlie Beljan",62,56.71,231,131,"Puttingfrom510",2013
56,56,"Ian Poulter",59,56.67,150,85,"Puttingfrom510",2013
57,57,"Camilo Villegas",79,56.62,272,154,"Puttingfrom510",2013
58,58,"Cameron Tringale",80,56.57,327,185,"Puttingfrom510",2013
59,59,"Patrick Reed",83,56.54,306,173,"Puttingfrom510",2013
60,60,"Johnson Wagner",64,56.52,207,117,"Puttingfrom510",2013
61,61,"Harris English",95,56.47,340,192,"Puttingfrom510",2013
62,62,"YE Yang",56,56.4,172,97,"Puttingfrom510",2013
63,63,"George McNeill",68,56.31,293,165,"Puttingfrom510",2013
64,64,"Stuart Appleby",88,56.25,304,171,"Puttingfrom510",2013
