"DrivingPctMeasured_RANKTHISWEEK_2007","DrivingPctMeasured_RANKLASTWEEK_2007","DrivingPctMeasured_PLAYERNAME_2007","DrivingPctMeasured_ROUNDS_2007","DrivingPctMeasured_Pct_2007","DrivingPctMeasured_TOTALDRIVESFOR_2007","DrivingPctMeasured_TOTALDRVSOVERALL_2007","DrivingPctMeasured_RELATIVETOPAR_2007","stat_name","year"
1,1,"Corey Pavin",81,13.64,21,154,0.24,"DrivingPctMeasured",2007
2,2,"Jose Coceres",50,7.95,7,88,0.29,"DrivingPctMeasured",2007
3,3,"Ben Curtis",80,6.62,9,136,0.44,"DrivingPctMeasured",2007
4,4,"Paul Goydos",60,5.66,6,106,0.17,"DrivingPctMeasured",2007
5,5,"Chris Riley",59,5.45,6,110,1.17,"DrivingPctMeasured",2007
6,6,"Jeff Quinney",95,5.38,10,186,0.5,"DrivingPctMeasured",2007
7,7,"Rory Sabbatini",81,5.22,7,134,0.29,"DrivingPctMeasured",2007
8,8,"DJ Brigman",67,5.08,6,118,0.33,"DrivingPctMeasured",2007
9,9,"Kirk Triplett",77,4.67,7,150,0.14,"DrivingPctMeasured",2007
10,10,"Craig Bowden",78,4.61,7,152,0.29,"DrivingPctMeasured",2007
11,11,"Nick OHern",72,4.46,5,112,0.2,"DrivingPctMeasured",2007
12,12,"Brian Bateman",55,4.26,4,94,0.5,"DrivingPctMeasured",2007
13,13,"Gavin Coles",87,4.22,7,166,0.14,"DrivingPctMeasured",2007
14,14,"Tom Johnson",74,4.17,6,144,0.33,"DrivingPctMeasured",2007
15,15,"Stephen Ames",81,3.97,5,126,0.4,"DrivingPctMeasured",2007
16,16,"Rich Barcelo",80,3.85,6,156,0.17,"DrivingPctMeasured",2007
16,16,"Chad Campbell",96,3.85,6,156,0.33,"DrivingPctMeasured",2007
18,18,"Nathan Green",103,3.76,7,186,0.14,"DrivingPctMeasured",2007
19,19,"Stephen Leaney",82,3.75,6,160,-0.17,"DrivingPctMeasured",2007
20,20,"Tim Clark",66,3.7,4,108,-0.25,"DrivingPctMeasured",2007
21,21,"John Mallinger",96,3.65,7,192,0,"DrivingPctMeasured",2007
22,22,"Chris Tidland",59,3.64,4,110,1,"DrivingPctMeasured",2007
23,23,"Brian Gay",107,3.4,7,206,0.14,"DrivingPctMeasured",2007
24,24,"Stuart Appleby",74,3.39,4,118,0.25,"DrivingPctMeasured",2007
25,25,"Craig Lile",77,3.33,5,150,0.4,"DrivingPctMeasured",2007
26,26,"Tom Byrum",50,3.26,3,92,0,"DrivingPctMeasured",2007
27,27,"David Toms",80,3.17,4,126,0,"DrivingPctMeasured",2007
28,28,"Steve Elkington",87,3.16,5,158,0.8,"DrivingPctMeasured",2007
28,28,"Mark Hensby",81,3.16,5,158,0.8,"DrivingPctMeasured",2007
28,28,"Matt Kuchar",85,3.16,5,158,0.2,"DrivingPctMeasured",2007
28,28,"Bob Tway",103,3.16,6,190,0.17,"DrivingPctMeasured",2007
32,32,"Brian Davis",101,3.09,6,194,-0.33,"DrivingPctMeasured",2007
32,32,"Mark Wilson",87,3.09,5,162,0.4,"DrivingPctMeasured",2007
34,34,"Jaco Van Zyl",51,3.06,3,98,0.33,"DrivingPctMeasured",2007
35,35,"Robert Gamez",88,2.98,5,168,0.4,"DrivingPctMeasured",2007
36,36,"Ryan Armour",107,2.91,6,206,0.33,"DrivingPctMeasured",2007
37,37,"Luke Donald",69,2.83,3,106,0,"DrivingPctMeasured",2007
37,37,"Fred Funk",65,2.83,3,106,0.67,"DrivingPctMeasured",2007
39,39,"KJ Choi",87,2.82,4,142,1,"DrivingPctMeasured",2007
40,40,"Justin Leonard",95,2.81,5,178,0,"DrivingPctMeasured",2007
41,41,"Trevor Immelman",74,2.78,3,108,0,"DrivingPctMeasured",2007
42,42,"Michael Boyd",61,2.63,3,114,0.67,"DrivingPctMeasured",2007
42,42,"Johnson Wagner",97,2.63,5,190,0.4,"DrivingPctMeasured",2007
44,44,"Ryuji Imada",104,2.6,5,192,0.6,"DrivingPctMeasured",2007
44,44,"Joe Ogilvie",102,2.6,5,192,0.8,"DrivingPctMeasured",2007
44,44,"Kevin Sutherland",85,2.6,4,154,1,"DrivingPctMeasured",2007
47,47,"DJ Trahan",99,2.58,5,194,0.2,"DrivingPctMeasured",2007
48,48,"Anders Hansen",55,2.56,2,78,0,"DrivingPctMeasured",2007
49,49,"Doug LaBelle II",104,2.5,5,200,0.4,"DrivingPctMeasured",2007
49,49,"Jose Maria Olazabal",52,2.5,2,80,1,"DrivingPctMeasured",2007
51,51,"Glen Day",85,2.47,4,162,0,"DrivingPctMeasured",2007
52,52,"Craig Kanada",109,2.43,5,206,1,"DrivingPctMeasured",2007
53,53,"Tim Petrovic",106,2.4,5,208,0.2,"DrivingPctMeasured",2007
54,54,"Bob Estes",88,2.38,4,168,0,"DrivingPctMeasured",2007
55,55,"Tim Herron",98,2.33,4,172,1,"DrivingPctMeasured",2007
55,55,"Michael Putnam",96,2.33,4,172,0.5,"DrivingPctMeasured",2007
57,57,"Chris DiMarco",79,2.31,3,130,0.33,"DrivingPctMeasured",2007
58,58,"Paul Gow",70,2.27,3,132,0.33,"DrivingPctMeasured",2007
59,59,"Jim Furyk",84,2.21,3,136,0.33,"DrivingPctMeasured",2007
60,60,"Tom Pernice Jr",104,2.17,4,184,0.5,"DrivingPctMeasured",2007
60,60,"Kyle Reifers",71,2.17,3,138,0.33,"DrivingPctMeasured",2007
62,62,"Mark Brooks",53,2.13,2,94,1.5,"DrivingPctMeasured",2007
63,63,"Rocco Mediate",72,2.11,3,142,-0.33,"DrivingPctMeasured",2007
64,64,"Will Ma Kenzie",100,2.08,4,192,-0.25,"DrivingPctMeasured",2007
64,64,"Ted Purdy",102,2.08,4,192,0.5,"DrivingPctMeasured",2007
66,66,"Heath Slocum",101,2.06,4,194,1.25,"DrivingPctMeasured",2007
67,67,"Tag Ridings",52,2,2,100,0.5,"DrivingPctMeasured",2007
68,68,"Rod Pampling",92,1.97,3,152,0.33,"DrivingPctMeasured",2007
69,69,"Alex Cejka",80,1.92,3,156,0,"DrivingPctMeasured",2007
70,70,"Parker McLachlin",83,1.9,3,158,0,"DrivingPctMeasured",2007
71,71,"Tom Lehman",62,1.85,2,108,0.5,"DrivingPctMeasured",2007
71,71,"Troy Matteson",87,1.85,3,162,0.33,"DrivingPctMeasured",2007
71,71,"Adam Scott",69,1.85,2,108,0,"DrivingPctMeasured",2007
74,74,"Harrison Frazar",88,1.83,3,164,1,"DrivingPctMeasured",2007
74,74,"Dean Wilson",92,1.83,3,164,0.33,"DrivingPctMeasured",2007
76,76,"David Branshaw",83,1.81,3,166,1,"DrivingPctMeasured",2007
77,77,"Sergio Garcia",68,1.79,2,112,0,"DrivingPctMeasured",2007
77,77,"Ryan Moore",92,1.79,3,168,0.67,"DrivingPctMeasured",2007
79,79,"Vijay Singh",102,1.74,3,172,0.33,"DrivingPctMeasured",2007
80,80,"John Rollins",102,1.69,3,178,0,"DrivingPctMeasured",2007
80,80,"Jason Schultz",63,1.69,2,118,-0.5,"DrivingPctMeasured",2007
82,82,"Cameron Beckman",96,1.63,3,184,-0.33,"DrivingPctMeasured",2007
83,83,"Chris Stroud",66,1.61,2,124,0,"DrivingPctMeasured",2007
84,84,"Geoff Ogilvy",84,1.56,2,128,1,"DrivingPctMeasured",2007
85,85,"Todd Hamilton",76,1.52,2,132,1,"DrivingPctMeasured",2007
85,85,"Steve Stricker",81,1.52,2,132,0,"DrivingPctMeasured",2007
87,87,"Jonathan Byrd",73,1.49,2,134,0.5,"DrivingPctMeasured",2007
87,87,"Dicky Pride",71,1.49,2,134,0.5,"DrivingPctMeasured",2007
87,87,"Mike Weir",82,1.49,2,134,0,"DrivingPctMeasured",2007
90,90,"Steve Wheatcroft",73,1.45,2,138,2.5,"DrivingPctMeasured",2007
91,91,"Michael Allen",74,1.43,2,140,0.5,"DrivingPctMeasured",2007
91,91,"Freddie Jacobson",70,1.43,2,140,-0.5,"DrivingPctMeasured",2007
93,93,"Marco Dawson",73,1.41,2,142,1,"DrivingPctMeasured",2007
93,93,"JJ Henry",86,1.41,2,142,1,"DrivingPctMeasured",2007
95,95,"Brendon de Jonge",76,1.39,2,144,0.5,"DrivingPctMeasured",2007
96,96,"Joey Sindelar",75,1.37,2,146,1,"DrivingPctMeasured",2007
97,97,"Chris Couch",76,1.32,2,152,1.5,"DrivingPctMeasured",2007
98,98,"Tommy Armour III",81,1.3,2,154,0,"DrivingPctMeasured",2007
98,98,"Vaughn Taylor",91,1.3,2,154,0,"DrivingPctMeasured",2007
100,100,"Mark Calcavecchia",93,1.27,2,158,-0.5,"DrivingPctMeasured",2007
100,100,"Jeff Maggert",79,1.27,2,158,0.5,"DrivingPctMeasured",2007
102,102,"Tripp Isenhour",86,1.25,2,160,0,"DrivingPctMeasured",2007
103,103,"Bob Heintz",85,1.23,2,162,0,"DrivingPctMeasured",2007
104,104,"Daisuke Maruyama",86,1.22,2,164,1,"DrivingPctMeasured",2007
105,105,"Kevin Na",84,1.19,2,168,0.5,"DrivingPctMeasured",2007
106,106,"Boo Weekley",101,1.18,2,170,0.5,"DrivingPctMeasured",2007
107,107,"Justin Rose",63,1.16,1,86,-1,"DrivingPctMeasured",2007
108,108,"Kevin Stadler",95,1.15,2,174,0,"DrivingPctMeasured",2007
109,109,"Ian Poulter",63,1.14,1,88,0,"DrivingPctMeasured",2007
109,109,"Charlie Wi",90,1.14,2,176,1,"DrivingPctMeasured",2007
109,109,"Tiger Woods",63,1.14,1,88,0,"DrivingPctMeasured",2007
112,112,"Woody Austin",95,1.12,2,178,2.5,"DrivingPctMeasured",2007
113,113,"Richard Johnson",93,1.1,2,182,-0.5,"DrivingPctMeasured",2007
114,114,"Brandt Snedeker",105,1.08,2,186,-0.5,"DrivingPctMeasured",2007
115,115,"Bubba Dickerson",51,1.06,1,94,0,"DrivingPctMeasured",2007
116,116,"Jason Dufner",100,1.04,2,192,-0.5,"DrivingPctMeasured",2007
116,116,"Jeff Sluman",60,1.04,1,96,0,"DrivingPctMeasured",2007
116,116,"Paul Stankowski",52,1.04,1,96,0,"DrivingPctMeasured",2007
119,119,"Kent Jones",97,1.03,2,194,0,"DrivingPctMeasured",2007
