"PercentageofYardagecoveredbyTeeShotsPar4s_RANKTHISWEEK_2014","PercentageofYardagecoveredbyTeeShotsPar4s_RANKLASTWEEK_2014","PercentageofYardagecoveredbyTeeShotsPar4s_PLAYERNAME_2014","PercentageofYardagecoveredbyTeeShotsPar4s_ROUNDS_2014","PercentageofYardagecoveredbyTeeShotsPar4s_AVGPct_2014","PercentageofYardagecoveredbyTeeShotsPar4s_TOTALSHOTDISTANCE_2014","PercentageofYardagecoveredbyTeeShotsPar4s_TOTALDISTANCE_2014","stat_name","year"
1,1,"Bubba Watson",76,69.77,187489.5,268725,"PercentageofYardagecoveredbyTeeShotsPar4s",2014
2,2,"Dustin Johnson",58,69.09,133925.2,193836,"PercentageofYardagecoveredbyTeeShotsPar4s",2014
3,3,"Rory McIlroy",66,68.84,156610.8,227514,"PercentageofYardagecoveredbyTeeShotsPar4s",2014
4,4,"Jamie Lovemark",64,68.64,153940.4,224274,"PercentageofYardagecoveredbyTeeShotsPar4s",2014
5,5,"Andrew Loupe",65,68.59,162006.6,236186,"PercentageofYardagecoveredbyTeeShotsPar4s",2014
6,6,"JB Holmes",86,68.01,241464.7,355036,"PercentageofYardagecoveredbyTeeShotsPar4s",2014
7,7,"Charles Howell III",106,67.98,303253.9,446094,"PercentageofYardagecoveredbyTeeShotsPar4s",2014
8,8,"Jimmy Walker",98,67.42,234248.8,347447,"PercentageofYardagecoveredbyTeeShotsPar4s",2014
9,9,"Angel Cabrera",69,67.4,196332.2,291299,"PercentageofYardagecoveredbyTeeShotsPar4s",2014
10,10,"Charley Hoffman",93,67.35,234197.2,347720,"PercentageofYardagecoveredbyTeeShotsPar4s",2014
11,11,"Ryan Palmer",85,67.28,214944.4,319475,"PercentageofYardagecoveredbyTeeShotsPar4s",2014
12,12,"Charlie Beljan",76,67.19,211018,314050,"PercentageofYardagecoveredbyTeeShotsPar4s",2014
12,12,"Gary Woodland",93,67.19,228715.3,340390,"PercentageofYardagecoveredbyTeeShotsPar4s",2014
14,14,"Jason Day",54,67.12,106630.9,158862,"PercentageofYardagecoveredbyTeeShotsPar4s",2014
15,15,"Steven Bowditch",93,67.08,248631.2,370630,"PercentageofYardagecoveredbyTeeShotsPar4s",2014
16,16,"Brooks Koepka",56,67.07,133089.8,198420,"PercentageofYardagecoveredbyTeeShotsPar4s",2014
17,17,"Adam Scott",68,67.05,180871.6,269746,"PercentageofYardagecoveredbyTeeShotsPar4s",2014
18,18,"Louis Oosthuizen",50,66.92,95314.7,142433,"PercentageofYardagecoveredbyTeeShotsPar4s",2014
19,19,"Morgan Hoffmann",103,66.89,284844,425843,"PercentageofYardagecoveredbyTeeShotsPar4s",2014
20,20,"Sean OHair",77,66.81,210280,314766,"PercentageofYardagecoveredbyTeeShotsPar4s",2014
21,21,"Jhonattan Vegas",77,66.77,202490.8,303257,"PercentageofYardagecoveredbyTeeShotsPar4s",2014
22,22,"Robert Garrigus",80,66.76,224917.7,336892,"PercentageofYardagecoveredbyTeeShotsPar4s",2014
23,23,"Jason Kokrak",65,66.73,185922.9,278637,"PercentageofYardagecoveredbyTeeShotsPar4s",2014
24,24,"Graham DeLaet",80,66.64,200900.4,301487,"PercentageofYardagecoveredbyTeeShotsPar4s",2014
25,25,"Matt Jones",83,66.6,186186.5,279573,"PercentageofYardagecoveredbyTeeShotsPar4s",2014
26,26,"Robert Streb",75,66.59,203343.9,305380,"PercentageofYardagecoveredbyTeeShotsPar4s",2014
27,27,"Troy Matteson",62,66.57,155057.5,232911,"PercentageofYardagecoveredbyTeeShotsPar4s",2014
28,28,"Kyle Stanley",87,66.55,224428.8,337215,"PercentageofYardagecoveredbyTeeShotsPar4s",2014
29,29,"Harris English",95,66.54,232398.8,349254,"PercentageofYardagecoveredbyTeeShotsPar4s",2014
30,30,"Kevin Stadler",90,66.53,202268.8,304011,"PercentageofYardagecoveredbyTeeShotsPar4s",2014
31,31,"Hunter Mahan",88,66.48,226071.1,340039,"PercentageofYardagecoveredbyTeeShotsPar4s",2014
32,32,"Keegan Bradley",89,66.47,208432.8,313585,"PercentageofYardagecoveredbyTeeShotsPar4s",2014
32,32,"Bud Cauley",56,66.47,144693.3,217687,"PercentageofYardagecoveredbyTeeShotsPar4s",2014
32,32,"Carl Pettersson",91,66.47,268117.4,403371,"PercentageofYardagecoveredbyTeeShotsPar4s",2014
35,35,"Charl Schwartzel",64,66.39,170664.2,257079,"PercentageofYardagecoveredbyTeeShotsPar4s",2014
36,36,"Rickie Fowler",91,66.38,194401.7,292840,"PercentageofYardagecoveredbyTeeShotsPar4s",2014
37,37,"Lucas Glover",68,66.26,141811.4,214024,"PercentageofYardagecoveredbyTeeShotsPar4s",2014
38,38,"John Peterson",62,66.22,170822,257942,"PercentageofYardagecoveredbyTeeShotsPar4s",2014
39,39,"Tommy Gainey",73,66.2,186774.3,282144,"PercentageofYardagecoveredbyTeeShotsPar4s",2014
40,40,"Martin Kaymer",65,66.16,151989.6,229728,"PercentageofYardagecoveredbyTeeShotsPar4s",2014
41,41,"Ernie Els",85,66.12,194513.2,294198,"PercentageofYardagecoveredbyTeeShotsPar4s",2014
41,41,"Brendan Steele",89,66.12,214212,323962,"PercentageofYardagecoveredbyTeeShotsPar4s",2014
43,43,"Phil Mickelson",71,66.09,154147.9,233222,"PercentageofYardagecoveredbyTeeShotsPar4s",2014
44,44,"Derek Ernst",80,66.08,195882.6,296433,"PercentageofYardagecoveredbyTeeShotsPar4s",2014
