"ScramblingfromOtherLocations_RANKTHISWEEK_2011","ScramblingfromOtherLocations_RANKLASTWEEK_2011","ScramblingfromOtherLocations_PLAYERNAME_2011","ScramblingfromOtherLocations_ROUNDS_2011","ScramblingfromOtherLocations_Pct_2011","ScramblingfromOtherLocations_SUCCESSES_2011","ScramblingfromOtherLocations_ATTEMPTS_2011","stat_name","year"
90,90,"John Rollins",85,58.39,87,149,"ScramblingfromOtherLocations",2011
91,91,"Daniel Summerhays",75,58.33,84,144,"ScramblingfromOtherLocations",2011
92,92,"David Toms",78,58.26,67,115,"ScramblingfromOtherLocations",2011
93,93,"DA Points",89,58.22,85,146,"ScramblingfromOtherLocations",2011
94,94,"Jason Bohn",74,58.2,71,122,"ScramblingfromOtherLocations",2011
95,95,"Martin Laird",77,58.04,65,112,"ScramblingfromOtherLocations",2011
96,96,"Ryuji Imada",83,58.02,94,162,"ScramblingfromOtherLocations",2011
97,97,"David Hearn",88,58,87,150,"ScramblingfromOtherLocations",2011
98,98,"Richard Johnson",64,57.89,77,133,"ScramblingfromOtherLocations",2011
99,99,"Andres Romero",77,57.85,70,121,"ScramblingfromOtherLocations",2011
100,100,"Nate Smith",66,57.78,78,135,"ScramblingfromOtherLocations",2011
101,101,"Sung Kang",63,57.66,64,111,"ScramblingfromOtherLocations",2011
102,102,"Chris Kirk",87,57.46,77,134,"ScramblingfromOtherLocations",2011
103,103,"Carl Pettersson",95,57.45,108,188,"ScramblingfromOtherLocations",2011
103,103,"Michael Putnam",67,57.45,54,94,"ScramblingfromOtherLocations",2011
105,105,"Brendon de Jonge",105,57.39,101,176,"ScramblingfromOtherLocations",2011
106,106,"Keegan Bradley",91,57.06,93,163,"ScramblingfromOtherLocations",2011
107,107,"Joe Ogilvie",75,56.92,74,130,"ScramblingfromOtherLocations",2011
108,108,"Jason Dufner",78,56.82,75,132,"ScramblingfromOtherLocations",2011
109,109,"Angel Cabrera",50,56.72,38,67,"ScramblingfromOtherLocations",2011
