"FirstTeeLateScoringAverage_RANKTHISWEEK_2010","FirstTeeLateScoringAverage_RANKLASTWEEK_2010","FirstTeeLateScoringAverage_PLAYERNAME_2010","FirstTeeLateScoringAverage_ROUNDS_2010","FirstTeeLateScoringAverage_AVG_2010","FirstTeeLateScoringAverage_TOTALSTROKES_2010","FirstTeeLateScoringAverage_TOTAL1STTEELATEROUNDS_2010","stat_name","year"
70,70,"KJ Choi",82,70.56,2258,32,"FirstTeeLateScoringAverage",2010
71,71,"Ben Crane",85,70.57,1482,21,"FirstTeeLateScoringAverage",2010
72,72,"Jeff Quinney",91,70.58,1694,24,"FirstTeeLateScoringAverage",2010
73,73,"Zach Johnson",93,70.6,2471,35,"FirstTeeLateScoringAverage",2010
73,73,"Jimmy Walker",82,70.6,1412,20,"FirstTeeLateScoringAverage",2010
75,75,"Webb Simpson",98,70.61,2330,33,"FirstTeeLateScoringAverage",2010
75,75,"Garrett Willis",82,70.61,1624,23,"FirstTeeLateScoringAverage",2010
77,77,"Matt Bettencourt",91,70.64,1766,25,"FirstTeeLateScoringAverage",2010
77,77,"Michael Connell",89,70.64,1766,25,"FirstTeeLateScoringAverage",2010
79,79,"Joe Durant",67,70.65,1201,17,"FirstTeeLateScoringAverage",2010
79,79,"Brett Quigley",96,70.65,1837,26,"FirstTeeLateScoringAverage",2010
79,79,"John Rollins",81,70.65,1837,26,"FirstTeeLateScoringAverage",2010
79,79,"Andres Romero",73,70.65,1625,23,"FirstTeeLateScoringAverage",2010
79,79,"Kevin Sutherland",86,70.65,2190,31,"FirstTeeLateScoringAverage",2010
84,84,"Robert Allenby",76,70.66,2261,32,"FirstTeeLateScoringAverage",2010
84,84,"Kenny Perry",69,70.66,2049,29,"FirstTeeLateScoringAverage",2010
86,86,"John Mallinger",78,70.67,2120,30,"FirstTeeLateScoringAverage",2010
87,87,"Chad Campbell",95,70.68,1767,25,"FirstTeeLateScoringAverage",2010
88,88,"Ricky Barnes",103,70.7,2121,30,"FirstTeeLateScoringAverage",2010
89,89,"Chris Couch",66,70.71,1485,21,"FirstTeeLateScoringAverage",2010
89,89,"John Senden",103,70.71,2404,34,"FirstTeeLateScoringAverage",2010
91,91,"Pat Perez",90,70.72,1768,25,"FirstTeeLateScoringAverage",2010
92,92,"Rod Pampling",77,70.74,1344,19,"FirstTeeLateScoringAverage",2010
92,92,"Tom Pernice Jr",74,70.74,1344,19,"FirstTeeLateScoringAverage",2010
92,92,"Heath Slocum",97,70.74,2405,34,"FirstTeeLateScoringAverage",2010
92,92,"Johnson Wagner",85,70.74,1627,23,"FirstTeeLateScoringAverage",2010
96,96,"Camilo Villegas",78,70.75,2264,32,"FirstTeeLateScoringAverage",2010
96,96,"Brett Wetterich",54,70.75,1132,16,"FirstTeeLateScoringAverage",2010
98,98,"Hunter Mahan",85,70.76,2406,34,"FirstTeeLateScoringAverage",2010
98,98,"Charles Warren",64,70.76,1486,21,"FirstTeeLateScoringAverage",2010
100,100,"Jarrod Lyle",54,70.78,1274,18,"FirstTeeLateScoringAverage",2010
100,100,"Cameron Tringale",55,70.78,1274,18,"FirstTeeLateScoringAverage",2010
102,102,"JP Hayes",79,70.82,1983,28,"FirstTeeLateScoringAverage",2010
102,102,"John Merrick",109,70.82,1983,28,"FirstTeeLateScoringAverage",2010
104,104,"Woody Austin",93,70.83,2054,29,"FirstTeeLateScoringAverage",2010
104,104,"David Duval",71,70.83,1700,24,"FirstTeeLateScoringAverage",2010
106,106,"Ryan Palmer",84,70.84,1771,25,"FirstTeeLateScoringAverage",2010
