"ConsecutiveBirdiesStreak_RANKTHISWEEK_2005","ConsecutiveBirdiesStreak_RANKLASTWEEK_2005","ConsecutiveBirdiesStreak_PLAYERNAME_2005","ConsecutiveBirdiesStreak_EVENTS_2005","ConsecutiveBirdiesStreak_NUMBEROFHOLES_2005","stat_name","year"
1,1,"Joe Durant",25,7,"ConsecutiveBirdiesStreak",2005
1,1,"Tiger Woods",21,7,"ConsecutiveBirdiesStreak",2005
3,3,"Aaron Baddeley",27,6,"ConsecutiveBirdiesStreak",2005
3,3,"Tim Clark",26,6,"ConsecutiveBirdiesStreak",2005
3,3,"Todd Fischer",35,6,"ConsecutiveBirdiesStreak",2005
3,3,"Harrison Frazar",31,6,"ConsecutiveBirdiesStreak",2005
3,3,"Jim Furyk",26,6,"ConsecutiveBirdiesStreak",2005
3,3,"Padraig Harrington",15,6,"ConsecutiveBirdiesStreak",2005
3,3,"JP Hayes",22,6,"ConsecutiveBirdiesStreak",2005
3,3,"Tim Herron",28,6,"ConsecutiveBirdiesStreak",2005
3,3,"Zach Johnson",30,6,"ConsecutiveBirdiesStreak",2005
3,3,"Tom Lehman",20,6,"ConsecutiveBirdiesStreak",2005
3,3,"Phil Mickelson",21,6,"ConsecutiveBirdiesStreak",2005
14,14,"Michael Allen",30,5,"ConsecutiveBirdiesStreak",2005
14,14,"Arjun Atwal",17,5,"ConsecutiveBirdiesStreak",2005
14,14,"Woody Austin",30,5,"ConsecutiveBirdiesStreak",2005
14,14,"Rich Barcelo",3,5,"ConsecutiveBirdiesStreak",2005
14,14,"Rich Beem",26,5,"ConsecutiveBirdiesStreak",2005
14,14,"Olin Browne",29,5,"ConsecutiveBirdiesStreak",2005
14,14,"Tom Byrum",27,5,"ConsecutiveBirdiesStreak",2005
14,14,"KJ Choi",24,5,"ConsecutiveBirdiesStreak",2005
14,14,"John Cook",26,5,"ConsecutiveBirdiesStreak",2005
14,14,"Fred Couples",22,5,"ConsecutiveBirdiesStreak",2005
14,14,"Chris DiMarco",24,5,"ConsecutiveBirdiesStreak",2005
14,14,"James Driscoll",26,5,"ConsecutiveBirdiesStreak",2005
14,14,"David Edwards",9,5,"ConsecutiveBirdiesStreak",2005
14,14,"Steve Elkington",20,5,"ConsecutiveBirdiesStreak",2005
14,14,"Ernie Els",11,5,"ConsecutiveBirdiesStreak",2005
14,14,"Matt Gogel",28,5,"ConsecutiveBirdiesStreak",2005
14,14,"Bill Haas",6,5,"ConsecutiveBirdiesStreak",2005
14,14,"Dudley Hart",29,5,"ConsecutiveBirdiesStreak",2005
14,14,"David Hearn",24,5,"ConsecutiveBirdiesStreak",2005
14,14,"Scott Hend",28,5,"ConsecutiveBirdiesStreak",2005
14,14,"Franklin Langham",31,5,"ConsecutiveBirdiesStreak",2005
14,14,"Peter Lonard",27,5,"ConsecutiveBirdiesStreak",2005
14,14,"Andrew Magee",29,5,"ConsecutiveBirdiesStreak",2005
14,14,"Shigeki Maruyama",29,5,"ConsecutiveBirdiesStreak",2005
14,14,"Rocco Mediate",24,5,"ConsecutiveBirdiesStreak",2005
14,14,"Joe Ogilvie",30,5,"ConsecutiveBirdiesStreak",2005
14,14,"Jose Maria Olazabal",16,5,"ConsecutiveBirdiesStreak",2005
14,14,"Ryan Palmer",32,5,"ConsecutiveBirdiesStreak",2005
14,14,"Tim Petrovic",32,5,"ConsecutiveBirdiesStreak",2005
14,14,"Carl Pettersson",34,5,"ConsecutiveBirdiesStreak",2005
14,14,"Ted Purdy",34,5,"ConsecutiveBirdiesStreak",2005
14,14,"Brett Quigley",31,5,"ConsecutiveBirdiesStreak",2005
14,14,"John Senden",29,5,"ConsecutiveBirdiesStreak",2005
14,14,"Patrick Sheehan",35,5,"ConsecutiveBirdiesStreak",2005
14,14,"Joey Sindelar",29,5,"ConsecutiveBirdiesStreak",2005
14,14,"Chris Smith",32,5,"ConsecutiveBirdiesStreak",2005
14,14,"Steve Stricker",21,5,"ConsecutiveBirdiesStreak",2005
14,14,"Kevin Sutherland",26,5,"ConsecutiveBirdiesStreak",2005
14,14,"Scott Verplank",25,5,"ConsecutiveBirdiesStreak",2005
14,14,"Duffy Waldorf",28,5,"ConsecutiveBirdiesStreak",2005
14,14,"Jay Williamson",16,5,"ConsecutiveBirdiesStreak",2005
14,14,"Dean Wilson",27,5,"ConsecutiveBirdiesStreak",2005
56,56,"Robert Allenby",31,4,"ConsecutiveBirdiesStreak",2005
56,56,"Jason Allred",29,4,"ConsecutiveBirdiesStreak",2005
56,56,"Stephen Ames",24,4,"ConsecutiveBirdiesStreak",2005
56,56,"Billy Andrade",26,4,"ConsecutiveBirdiesStreak",2005
56,56,"Stuart Appleby",25,4,"ConsecutiveBirdiesStreak",2005
56,56,"Briny Baird",33,4,"ConsecutiveBirdiesStreak",2005
56,56,"Craig Barlow",26,4,"ConsecutiveBirdiesStreak",2005
56,56,"Brian Bateman",32,4,"ConsecutiveBirdiesStreak",2005
56,56,"Jason Bohn",28,4,"ConsecutiveBirdiesStreak",2005
56,56,"Michael Bradley",4,4,"ConsecutiveBirdiesStreak",2005
56,56,"Jeff Brehaut",23,4,"ConsecutiveBirdiesStreak",2005
56,56,"Danny Briggs",29,4,"ConsecutiveBirdiesStreak",2005
56,56,"DJ Brigman",26,4,"ConsecutiveBirdiesStreak",2005
56,56,"Bob Burns",15,4,"ConsecutiveBirdiesStreak",2005
56,56,"Jonathan Byrd",31,4,"ConsecutiveBirdiesStreak",2005
56,56,"Angel Cabrera",11,4,"ConsecutiveBirdiesStreak",2005
56,56,"Mark Calcavecchia",27,4,"ConsecutiveBirdiesStreak",2005
56,56,"Chad Campbell",27,4,"ConsecutiveBirdiesStreak",2005
56,56,"Alex Cejka",31,4,"ConsecutiveBirdiesStreak",2005
56,56,"Daniel Chopra",34,4,"ConsecutiveBirdiesStreak",2005
56,56,"Stewart Cink",26,4,"ConsecutiveBirdiesStreak",2005
56,56,"Darren Clarke",12,4,"ConsecutiveBirdiesStreak",2005
56,56,"Jose Coceres",22,4,"ConsecutiveBirdiesStreak",2005
56,56,"Gavin Coles",22,4,"ConsecutiveBirdiesStreak",2005
56,56,"Steve Collins",1,4,"ConsecutiveBirdiesStreak",2005
56,56,"Erik Compton",1,4,"ConsecutiveBirdiesStreak",2005
56,56,"Ben Crane",21,4,"ConsecutiveBirdiesStreak",2005
56,56,"John Daly",25,4,"ConsecutiveBirdiesStreak",2005
56,56,"Robert Damron",28,4,"ConsecutiveBirdiesStreak",2005
56,56,"Brian Davis",23,4,"ConsecutiveBirdiesStreak",2005
56,56,"Marco Dawson",23,4,"ConsecutiveBirdiesStreak",2005
56,56,"Jay Delsing",11,4,"ConsecutiveBirdiesStreak",2005
56,56,"David Duval",20,4,"ConsecutiveBirdiesStreak",2005
56,56,"Bob Estes",25,4,"ConsecutiveBirdiesStreak",2005
56,56,"Brad Faxon",23,4,"ConsecutiveBirdiesStreak",2005
56,56,"Dan Forsman",17,4,"ConsecutiveBirdiesStreak",2005
56,56,"Robert Gamez",28,4,"ConsecutiveBirdiesStreak",2005
56,56,"Brian Gay",33,4,"ConsecutiveBirdiesStreak",2005
56,56,"Brent Geiberger",21,4,"ConsecutiveBirdiesStreak",2005
56,56,"Tom Gillis",28,4,"ConsecutiveBirdiesStreak",2005
56,56,"Lucas Glover",28,4,"ConsecutiveBirdiesStreak",2005
56,56,"Retief Goosen",18,4,"ConsecutiveBirdiesStreak",2005
56,56,"Paul Goydos",15,4,"ConsecutiveBirdiesStreak",2005
56,56,"Mathias Gronberg",19,4,"ConsecutiveBirdiesStreak",2005
56,56,"Jay Haas",16,4,"ConsecutiveBirdiesStreak",2005
56,56,"Hunter Haas",28,4,"ConsecutiveBirdiesStreak",2005
56,56,"Joakim Haeggman",4,4,"ConsecutiveBirdiesStreak",2005
56,56,"Bob Heintz",24,4,"ConsecutiveBirdiesStreak",2005
56,56,"JJ Henry",32,4,"ConsecutiveBirdiesStreak",2005
56,56,"Trevor Immelman",14,4,"ConsecutiveBirdiesStreak",2005
56,56,"Peter Jacobsen",11,4,"ConsecutiveBirdiesStreak",2005
56,56,"Freddie Jacobson",23,4,"ConsecutiveBirdiesStreak",2005
56,56,"Brandt Jobe",27,4,"ConsecutiveBirdiesStreak",2005
56,56,"Richard Johnson",16,4,"ConsecutiveBirdiesStreak",2005
56,56,"Steve Jones",20,4,"ConsecutiveBirdiesStreak",2005
56,56,"Kent Jones",32,4,"ConsecutiveBirdiesStreak",2005
56,56,"Brendan Jones",28,4,"ConsecutiveBirdiesStreak",2005
56,56,"Jonathan Kaye",24,4,"ConsecutiveBirdiesStreak",2005
56,56,"Jerry Kelly",31,4,"ConsecutiveBirdiesStreak",2005
56,56,"Skip Kendall",32,4,"ConsecutiveBirdiesStreak",2005
56,56,"Simon Khan",1,4,"ConsecutiveBirdiesStreak",2005
56,56,"Matt Kuchar",21,4,"ConsecutiveBirdiesStreak",2005
56,56,"Hank Kuehne",30,4,"ConsecutiveBirdiesStreak",2005
56,56,"Neal Lancaster",31,4,"ConsecutiveBirdiesStreak",2005
56,56,"Brad Lardon",4,4,"ConsecutiveBirdiesStreak",2005
56,56,"Justin Leonard",24,4,"ConsecutiveBirdiesStreak",2005
