"TenthTeeLateRound4ScoringAverage_RANKTHISWEEK_2007","TenthTeeLateRound4ScoringAverage_RANKLASTWEEK_2007","TenthTeeLateRound4ScoringAverage_PLAYERNAME_2007","TenthTeeLateRound4ScoringAverage__2007","TenthTeeLateRound4ScoringAverage_AVG_2007","TenthTeeLateRound4ScoringAverage_TOTALSTROKES_2007","TenthTeeLateRound4ScoringAverage_TOTALROUNDS_2007","stat_name","year"
1,1,"Vaughn Taylor",NA,65,65,1,"TenthTeeLateRound4ScoringAverage",2007
2,2,"Mark Calcavecchia",NA,66,66,1,"TenthTeeLateRound4ScoringAverage",2007
2,2,"Jason Dufner",NA,66,66,1,"TenthTeeLateRound4ScoringAverage",2007
2,2,"Steve Elkington",NA,66,66,1,"TenthTeeLateRound4ScoringAverage",2007
2,2,"Rory Sabbatini",NA,66,66,1,"TenthTeeLateRound4ScoringAverage",2007
6,6,"Mark Brooks",NA,67,67,1,"TenthTeeLateRound4ScoringAverage",2007
6,6,"Alex Cejka",NA,67,134,2,"TenthTeeLateRound4ScoringAverage",2007
6,6,"John Daly",NA,67,67,1,"TenthTeeLateRound4ScoringAverage",2007
6,6,"Anthony Kim",NA,67,67,1,"TenthTeeLateRound4ScoringAverage",2007
10,10,"Davis Love III",NA,67.67,203,3,"TenthTeeLateRound4ScoringAverage",2007
11,11,"Matt Hendrix",NA,68,68,1,"TenthTeeLateRound4ScoringAverage",2007
11,11,"Carl Pettersson",NA,68,68,1,"TenthTeeLateRound4ScoringAverage",2007
11,11,"Darron Stiles",NA,68,68,1,"TenthTeeLateRound4ScoringAverage",2007
14,14,"Lucas Glover",NA,68.5,137,2,"TenthTeeLateRound4ScoringAverage",2007
14,14,"Hunter Mahan",NA,68.5,137,2,"TenthTeeLateRound4ScoringAverage",2007
16,16,"Parker McLachlin",NA,68.67,206,3,"TenthTeeLateRound4ScoringAverage",2007
17,17,"Trevor Immelman",NA,69,69,1,"TenthTeeLateRound4ScoringAverage",2007
17,17,"Craig Kanada",NA,69,69,1,"TenthTeeLateRound4ScoringAverage",2007
17,17,"Tom Lehman",NA,69,69,1,"TenthTeeLateRound4ScoringAverage",2007
17,17,"Will Ma Kenzie",NA,69,138,2,"TenthTeeLateRound4ScoringAverage",2007
17,17,"Billy Mayfair",NA,69,138,2,"TenthTeeLateRound4ScoringAverage",2007
17,17,"Rod Pampling",NA,69,69,1,"TenthTeeLateRound4ScoringAverage",2007
