"RightRoughProximity_RANKTHISWEEK_2012","RightRoughProximity_RANKLASTWEEK_2012","RightRoughProximity_PLAYERNAME_2012","RightRoughProximity_ROUNDS_2012","RightRoughProximity_AVG_2012","RightRoughProximity_ATTEMPTS_2012","RightRoughProximity_TOTALDISTANCEFEET_2012","RightRoughProximity_RELATIVETOPAR_2012","stat_name","year"
1,1,"Charlie Beljan",61,NA,98,3413.833,4,"RightRoughProximity",2012
2,2,"Bubba Watson",68,NA,116,4311.417,-6,"RightRoughProximity",2012
3,3,"Ben Crane",73,NA,104,3893.75,-13,"RightRoughProximity",2012
4,4,"Angel Cabrera",54,NA,73,2736,9,"RightRoughProximity",2012
5,5,"Troy Kelly",68,NA,107,4136.25,11,"RightRoughProximity",2012
6,6,"Charlie Wi",86,NA,145,5640.5,19,"RightRoughProximity",2012
7,7,"Jonas Blixt",72,NA,122,4760.667,2,"RightRoughProximity",2012
7,7,"David Toms",60,NA,65,2532.417,3,"RightRoughProximity",2012
9,9,"Kevin Kisner",69,NA,108,4226,23,"RightRoughProximity",2012
10,10,"Roland Thatcher",55,NA,70,2746.167,12,"RightRoughProximity",2012
11,11,"Scott Dunlap",57,NA,96,3803.583,6,"RightRoughProximity",2012
12,12,"Garth Mulroy",59,NA,75,2979.75,-2,"RightRoughProximity",2012
12,12,"Bo Van Pelt",84,NA,92,3655.333,4,"RightRoughProximity",2012
14,14,"Gavin Coles",72,NA,79,3151.417,4,"RightRoughProximity",2012
15,15,"Jonathan Byrd",69,NA,100,4001.583,1,"RightRoughProximity",2012
15,15,"Dustin Johnson",70,NA,108,4319.667,-3,"RightRoughProximity",2012
15,15,"John Mallinger",74,NA,110,4403.167,34,"RightRoughProximity",2012
18,18,"Tommy Gainey",98,NA,185,7426.667,14,"RightRoughProximity",2012
19,19,"Scott Brown",65,NA,91,3663.25,13,"RightRoughProximity",2012
20,20,"Webb Simpson",77,NA,110,4437.083,-17,"RightRoughProximity",2012
21,21,"Cameron Beckman",81,NA,133,5375.75,14,"RightRoughProximity",2012
21,21,"Steve Stricker",73,NA,81,3272,-5,"RightRoughProximity",2012
23,23,"Robert Allenby",76,NA,112,4537.833,29,"RightRoughProximity",2012
24,24,"Erik Compton",81,NA,137,5560.833,8,"RightRoughProximity",2012
24,24,"Ben Curtis",62,NA,67,2716.75,0,"RightRoughProximity",2012
24,24,"Padraig Harrington",67,NA,97,3935.5,9,"RightRoughProximity",2012
24,24,"Graeme McDowell",55,NA,47,1908.667,8,"RightRoughProximity",2012
28,28,"Keegan Bradley",90,NA,131,5330.333,8,"RightRoughProximity",2012
28,28,"Daniel Chopra",55,NA,128,5205.667,25,"RightRoughProximity",2012
28,28,"Jason Dufner",83,NA,107,4352.583,13,"RightRoughProximity",2012
28,28,"Boo Weekley",74,NA,104,4227.917,8,"RightRoughProximity",2012
32,32,"Carl Pettersson",92,NA,131,5351.5,26,"RightRoughProximity",2012
33,33,"Sean OHair",84,NA,150,6137.75,19,"RightRoughProximity",2012
33,33,"Brendan Steele",77,NA,118,4828.583,9,"RightRoughProximity",2012
35,35,"Hunter Mahan",88,NA,116,4758.917,17,"RightRoughProximity",2012
35,35,"Geoff Ogilvy",73,NA,98,4016.083,15,"RightRoughProximity",2012
37,37,"John Daly",50,NA,80,3283.833,10,"RightRoughProximity",2012
37,37,"Scott Piercy",95,NA,194,7963.083,14,"RightRoughProximity",2012
39,39,"Jason Kokrak",79,NA,162,6672.083,15,"RightRoughProximity",2012
40,40,"Martin Flores",95,NA,165,6810.583,21,"RightRoughProximity",2012
41,41,"Chris Couch",61,NA,101,4208.25,4,"RightRoughProximity",2012
41,41,"Greg Owen",90,NA,171,7124,24,"RightRoughProximity",2012
43,43,"Matt Every",80,NA,118,4950,3,"RightRoughProximity",2012
43,43,"JB Holmes",90,NA,183,7674.167,18,"RightRoughProximity",2012
45,45,"Chad Campbell",84,NA,137,5753.5,31,"RightRoughProximity",2012
45,45,"Freddie Jacobson",61,NA,86,3608.583,16,"RightRoughProximity",2012
45,45,"Heath Slocum",93,NA,100,4198.833,12,"RightRoughProximity",2012
48,48,"Arjun Atwal",79,NA,123,5176.75,20,"RightRoughProximity",2012
49,49,"David Mathis",83,NA,135,5708.333,18,"RightRoughProximity",2012
50,50,"Chris DiMarco",83,NA,128,5417.417,27,"RightRoughProximity",2012
50,50,"Stephen Gangluff",57,NA,120,5082.5,26,"RightRoughProximity",2012
