"GoingfortheGreen_RANKTHISWEEK_2014","GoingfortheGreen_RANKLASTWEEK_2014","GoingfortheGreen_PLAYERNAME_2014","GoingfortheGreen_ROUNDS_2014","GoingfortheGreen_Pct_2014","GoingfortheGreen_ATTEMPTS_2014","GoingfortheGreen_NONATTEMPTS_2014","GoingfortheGreen_RTPGOINGFORTHEGREEN_2014","GoingfortheGreen_RTPNOTGOINGFORTHEGRN_2014","stat_name","year"
1,1,"Rory McIlroy",66,76.14,134,42,-85,2,"GoingfortheGreen",2014
2,2,"Dustin Johnson",58,71.83,102,40,-65,-6,"GoingfortheGreen",2014
3,3,"Jamie Lovemark",64,69.74,106,46,-56,1,"GoingfortheGreen",2014
4,4,"Bubba Watson",76,67.51,133,64,-80,0,"GoingfortheGreen",2014
5,5,"Adam Scott",68,66.84,129,64,-87,-12,"GoingfortheGreen",2014
6,6,"Robert Garrigus",80,66.67,168,84,-89,-6,"GoingfortheGreen",2014
7,7,"Gary Woodland",93,66.42,180,91,-89,2,"GoingfortheGreen",2014
8,8,"Ryan Palmer",85,66.37,150,76,-89,2,"GoingfortheGreen",2014
9,9,"Will Wilcox",51,65.6,82,43,-55,-4,"GoingfortheGreen",2014
10,10,"Henrik Stenson",56,65.49,93,49,-48,-10,"GoingfortheGreen",2014
11,11,"Kyle Stanley",87,65,156,84,-70,8,"GoingfortheGreen",2014
12,12,"Martin Kaymer",65,64.5,109,60,-56,11,"GoingfortheGreen",2014
13,13,"Rickie Fowler",91,64.41,143,79,-74,-9,"GoingfortheGreen",2014
14,14,"Charl Schwartzel",64,64.17,120,67,-77,-12,"GoingfortheGreen",2014
15,15,"Harris English",95,63.85,166,94,-90,-4,"GoingfortheGreen",2014
16,16,"Matt Jones",83,63.47,139,80,-84,4,"GoingfortheGreen",2014
17,17,"Jhonattan Vegas",77,62.84,137,81,-77,-6,"GoingfortheGreen",2014
18,18,"Jason Kokrak",65,62.56,142,85,-86,7,"GoingfortheGreen",2014
19,19,"John Peterson",62,62.37,116,70,-46,5,"GoingfortheGreen",2014
20,20,"Jimmy Walker",98,62.26,165,100,-106,-2,"GoingfortheGreen",2014
21,21,"Lee Westwood",57,61.78,97,60,-59,2,"GoingfortheGreen",2014
22,22,"Brooks Koepka",56,61.59,85,53,-44,0,"GoingfortheGreen",2014
23,23,"Steven Bowditch",93,61.54,160,100,-106,2,"GoingfortheGreen",2014
24,24,"Kevin Stadler",90,61.37,143,90,-74,-5,"GoingfortheGreen",2014
25,25,"Marc Leishman",81,61.3,141,89,-73,-13,"GoingfortheGreen",2014
26,26,"Angel Cabrera",69,60.95,128,82,-60,-1,"GoingfortheGreen",2014
27,27,"Martin Laird",66,60.8,121,78,-80,-1,"GoingfortheGreen",2014
28,28,"Michael Putnam",106,60.77,189,122,-95,3,"GoingfortheGreen",2014
29,29,"Derek Ernst",80,60.55,132,86,-59,11,"GoingfortheGreen",2014
30,30,"Sean OHair",77,60.37,131,86,-75,0,"GoingfortheGreen",2014
31,31,"Keegan Bradley",89,60.34,143,94,-66,4,"GoingfortheGreen",2014
32,32,"Lucas Glover",68,59.76,98,66,-53,9,"GoingfortheGreen",2014
33,33,"Jason Day",54,59.46,66,45,-35,-6,"GoingfortheGreen",2014
34,34,"Phil Mickelson",71,58.95,112,78,-54,-4,"GoingfortheGreen",2014
35,35,"JB Holmes",86,58.89,169,118,-97,6,"GoingfortheGreen",2014
36,36,"Charley Hoffman",93,57.86,162,118,-94,6,"GoingfortheGreen",2014
37,37,"Sangmoon Bae",76,57.69,135,99,-76,-10,"GoingfortheGreen",2014
38,38,"Sergio Garcia",61,57.46,77,57,-36,3,"GoingfortheGreen",2014
39,39,"Charles Howell III",106,57.45,189,140,-101,-24,"GoingfortheGreen",2014
40,40,"Ernie Els",85,57.33,133,99,-70,1,"GoingfortheGreen",2014
41,41,"Andres Romero",81,57.26,138,103,-75,-2,"GoingfortheGreen",2014
42,42,"Graham DeLaet",80,56.64,128,98,-69,-11,"GoingfortheGreen",2014
43,43,"Brad Fritsch",50,56.3,67,52,-40,-6,"GoingfortheGreen",2014
44,44,"Carl Pettersson",91,55.99,159,125,-82,-7,"GoingfortheGreen",2014
45,45,"Billy Horschel",92,55.82,139,110,-80,-3,"GoingfortheGreen",2014
46,46,"Aaron Baddeley",74,55.72,112,89,-67,-1,"GoingfortheGreen",2014
47,47,"Andrew Loupe",65,55.63,89,71,-48,3,"GoingfortheGreen",2014
48,48,"Jeff Overton",80,55.25,121,98,-67,3,"GoingfortheGreen",2014
49,49,"Shawn Stefani",60,55.21,106,86,-60,-11,"GoingfortheGreen",2014
50,50,"Rory Sabbatini",82,55.16,123,100,-53,-4,"GoingfortheGreen",2014
51,51,"Louis Oosthuizen",50,55.1,54,44,-21,4,"GoingfortheGreen",2014
52,52,"Danny Lee",84,55.07,125,102,-63,-7,"GoingfortheGreen",2014
53,53,"Morgan Hoffmann",103,55.02,170,139,-103,5,"GoingfortheGreen",2014
53,53,"Hideki Matsuyama",82,55.02,126,103,-78,-22,"GoingfortheGreen",2014
55,55,"Hudson Swafford",75,54.84,102,84,-49,4,"GoingfortheGreen",2014
56,56,"Justin Rose",70,54.82,108,89,-72,-1,"GoingfortheGreen",2014
57,57,"Hunter Mahan",88,54.79,143,118,-68,-12,"GoingfortheGreen",2014
58,58,"Jim Herman",62,54.55,90,75,-35,0,"GoingfortheGreen",2014
59,59,"John Senden",99,53.87,146,125,-89,-14,"GoingfortheGreen",2014
60,60,"Nick Watney",80,53.72,101,87,-49,-10,"GoingfortheGreen",2014
61,61,"Bud Cauley",56,53.59,82,71,-45,-3,"GoingfortheGreen",2014
62,62,"Tommy Gainey",73,53.57,105,91,-44,-2,"GoingfortheGreen",2014
63,63,"Scott Stallings",77,53.49,115,100,-58,-2,"GoingfortheGreen",2014
64,64,"Ryo Ishikawa",75,53.42,117,102,-68,-8,"GoingfortheGreen",2014
65,65,"Boo Weekley",73,53.33,96,84,-48,-2,"GoingfortheGreen",2014
66,66,"Josh Teater",90,53.23,132,116,-74,-4,"GoingfortheGreen",2014
67,67,"Scott Brown",100,53.06,156,138,-62,-13,"GoingfortheGreen",2014
68,68,"Wes Roach",67,53.01,88,78,-45,6,"GoingfortheGreen",2014
69,69,"Paul Casey",56,52.94,72,64,-43,-5,"GoingfortheGreen",2014
70,70,"Troy Matteson",62,52.83,84,75,-38,0,"GoingfortheGreen",2014
70,70,"Kevin Tway",64,52.83,84,75,-50,-7,"GoingfortheGreen",2014
72,72,"Robert Streb",75,52.56,113,102,-67,-4,"GoingfortheGreen",2014
73,73,"Kevin Streelman",79,52.16,121,111,-65,-8,"GoingfortheGreen",2014
74,74,"Brendan Steele",89,52.11,136,125,-83,-10,"GoingfortheGreen",2014
75,75,"Russell Henley",92,52.08,138,127,-74,-3,"GoingfortheGreen",2014
76,76,"Brendon de Jonge",109,52.05,165,152,-87,-2,"GoingfortheGreen",2014
77,77,"Seung Yul Noh",92,51.71,136,127,-73,-17,"GoingfortheGreen",2014
78,78,"Chris Kirk",105,51.67,155,145,-94,-14,"GoingfortheGreen",2014
79,79,"Chris Stroud",88,51.63,127,119,-71,-2,"GoingfortheGreen",2014
80,80,"Charlie Beljan",76,51.54,117,110,-69,2,"GoingfortheGreen",2014
81,81,"Kevin Na",94,51.25,144,137,-93,-16,"GoingfortheGreen",2014
82,82,"Bill Haas",107,51.17,153,146,-93,-16,"GoingfortheGreen",2014
83,83,"Gonzalo Fdez Castano",83,51.1,116,111,-64,9,"GoingfortheGreen",2014
84,84,"James Hahn",82,51.06,120,115,-73,3,"GoingfortheGreen",2014
85,85,"Jason Dufner",57,51.02,75,72,-47,-10,"GoingfortheGreen",2014
86,86,"Patrick Reed",92,51,127,122,-79,-2,"GoingfortheGreen",2014
87,87,"Matt Every",85,50.94,108,104,-64,-9,"GoingfortheGreen",2014
88,88,"Webb Simpson",87,50.57,132,129,-69,-26,"GoingfortheGreen",2014
89,89,"Vijay Singh",83,50.39,129,127,-70,-23,"GoingfortheGreen",2014
90,90,"Erik Compton",88,50.37,135,133,-65,1,"GoingfortheGreen",2014
91,91,"Daniel Summerhays",98,50.31,163,161,-88,-19,"GoingfortheGreen",2014
92,92,"Ken Duke",80,50.23,108,107,-59,-14,"GoingfortheGreen",2014
93,93,"Kevin Chappell",100,50.16,158,157,-88,-4,"GoingfortheGreen",2014
94,94,"Jordan Spieth",102,50,143,143,-93,-13,"GoingfortheGreen",2014
95,95,"John Merrick",87,49.81,134,135,-64,-6,"GoingfortheGreen",2014
96,96,"Martin Flores",85,49.79,119,120,-66,-11,"GoingfortheGreen",2014
97,97,"William McGirt",96,49.65,141,143,-58,-21,"GoingfortheGreen",2014
98,98,"Brice Garnett",92,49.6,125,127,-79,-7,"GoingfortheGreen",2014
99,99,"Trevor Immelman",84,49.54,108,110,-58,-4,"GoingfortheGreen",2014
100,100,"Luke Guthrie",85,49.41,126,129,-67,-16,"GoingfortheGreen",2014
101,101,"Will Ma Kenzie",82,49.25,131,135,-74,5,"GoingfortheGreen",2014
102,102,"George McNeill",79,49.15,116,120,-61,-16,"GoingfortheGreen",2014
103,103,"Jonathan Byrd",76,49.09,108,112,-52,-9,"GoingfortheGreen",2014
104,104,"Geoff Ogilvy",84,48.86,129,135,-49,-22,"GoingfortheGreen",2014
105,105,"Ricky Barnes",92,48.85,127,133,-80,1,"GoingfortheGreen",2014
106,106,"Brandt Snedeker",89,48.67,110,116,-60,-16,"GoingfortheGreen",2014
107,107,"James Driscoll",71,48.45,94,100,-49,-7,"GoingfortheGreen",2014
108,108,"Chesson Hadley",84,48.37,119,127,-77,-4,"GoingfortheGreen",2014
109,109,"Nicholas Thompson",85,48.05,111,120,-59,-12,"GoingfortheGreen",2014
110,110,"Ryan Moore",86,47.95,117,127,-69,-6,"GoingfortheGreen",2014
