"FirstTeeLateRound5ScoringAverage_RANKTHISWEEK_2011","FirstTeeLateRound5ScoringAverage_RANKLASTWEEK_2011","FirstTeeLateRound5ScoringAverage_PLAYERNAME_2011","FirstTeeLateRound5ScoringAverage__2011","FirstTeeLateRound5ScoringAverage_AVG_2011","FirstTeeLateRound5ScoringAverage_TOTALSTROKES_2011","FirstTeeLateRound5ScoringAverage_TOTALROUNDS_2011","stat_name","year"
1,1,"Ryan Palmer",NA,64,64,1,"FirstTeeLateRound5ScoringAverage",2011
2,2,"Chris Couch",NA,66,66,1,"FirstTeeLateRound5ScoringAverage",2011
2,2,"Bill Haas",NA,66,66,1,"FirstTeeLateRound5ScoringAverage",2011
4,4,"Kevin Na",NA,67,67,1,"FirstTeeLateRound5ScoringAverage",2011
5,5,"Matt Kuchar",NA,68,68,1,"FirstTeeLateRound5ScoringAverage",2011
6,6,"Jerry Kelly",NA,69,69,1,"FirstTeeLateRound5ScoringAverage",2011
6,6,"Jhonattan Vegas",NA,69,69,1,"FirstTeeLateRound5ScoringAverage",2011
6,6,"Gary Woodland",NA,69,69,1,"FirstTeeLateRound5ScoringAverage",2011
9,9,"Keegan Bradley",NA,70,70,1,"FirstTeeLateRound5ScoringAverage",2011
9,9,"Greg Chalmers",NA,70,70,1,"FirstTeeLateRound5ScoringAverage",2011
9,9,"Charles Howell III",NA,70,70,1,"FirstTeeLateRound5ScoringAverage",2011
9,9,"Chris Kirk",NA,70,70,1,"FirstTeeLateRound5ScoringAverage",2011
9,9,"Boo Weekley",NA,70,70,1,"FirstTeeLateRound5ScoringAverage",2011
9,9,"Dean Wilson",NA,70,70,1,"FirstTeeLateRound5ScoringAverage",2011
15,15,"Shaun Micheel",NA,71,71,1,"FirstTeeLateRound5ScoringAverage",2011
15,15,"Daniel Summerhays",NA,71,71,1,"FirstTeeLateRound5ScoringAverage",2011
17,17,"Ryuji Imada",NA,72,72,1,"FirstTeeLateRound5ScoringAverage",2011
18,18,"Martin Laird",NA,74,74,1,"FirstTeeLateRound5ScoringAverage",2011
