"GoingfortheGreenBirdieorBetter_RANKTHISWEEK_2010","GoingfortheGreenBirdieorBetter_RANKLASTWEEK_2010","GoingfortheGreenBirdieorBetter_PLAYERNAME_2010","GoingfortheGreenBirdieorBetter_ROUNDS_2010","GoingfortheGreenBirdieorBetter_Pct_2010","GoingfortheGreenBirdieorBetter_OFBIRDIEORBETTER_2010","GoingfortheGreenBirdieorBetter_ATTEMPTS_2010","GoingfortheGreenBirdieorBetter_RTPSUCCESSES_2010","GoingfortheGreenBirdieorBetter_RTPNOTGOINGFORTHEGRN_2010","stat_name","year"
1,1,"Luke Donald",71,70,42,60,-42,-17,"GoingfortheGreenBirdieorBetter",2010
2,2,"Brett Quigley",96,67.83,97,143,-103,-9,"GoingfortheGreenBirdieorBetter",2010
3,3,"Rory Sabbatini",79,66.23,102,154,-106,-1,"GoingfortheGreenBirdieorBetter",2010
4,4,"Justin Rose",78,64.96,76,117,-77,-14,"GoingfortheGreenBirdieorBetter",2010
5,5,"Troy Merritt",86,64.83,94,145,-101,5,"GoingfortheGreenBirdieorBetter",2010
6,6,"Steve Stricker",73,64.29,54,84,-59,-30,"GoingfortheGreenBirdieorBetter",2010
7,7,"Bo Van Pelt",104,64.13,118,184,-124,-15,"GoingfortheGreenBirdieorBetter",2010
8,8,"Pat Perez",90,63.92,101,158,-104,0,"GoingfortheGreenBirdieorBetter",2010
9,9,"Padraig Harrington",57,63.86,53,83,-58,-10,"GoingfortheGreenBirdieorBetter",2010
10,10,"Paul Casey",64,63.75,51,80,-58,-11,"GoingfortheGreenBirdieorBetter",2010
11,11,"John Mallinger",78,63.64,63,99,-67,-4,"GoingfortheGreenBirdieorBetter",2010
12,12,"Charles Howell III",103,63.58,103,162,-108,-16,"GoingfortheGreenBirdieorBetter",2010
13,13,"Matt Kuchar",97,63.57,89,140,-94,-28,"GoingfortheGreenBirdieorBetter",2010
14,14,"Rich Barcelo",70,63.53,54,85,-60,11,"GoingfortheGreenBirdieorBetter",2010
15,15,"Bubba Watson",77,63.47,106,167,-117,3,"GoingfortheGreenBirdieorBetter",2010
16,16,"Jonathan Byrd",85,63.45,92,145,-98,-4,"GoingfortheGreenBirdieorBetter",2010
17,17,"Alex Prugh",88,63.19,103,163,-113,4,"GoingfortheGreenBirdieorBetter",2010
18,18,"John Merrick",109,62.94,107,170,-110,-17,"GoingfortheGreenBirdieorBetter",2010
19,19,"Retief Goosen",75,62.62,67,107,-70,-16,"GoingfortheGreenBirdieorBetter",2010
20,20,"Daniel Chopra",74,62.6,82,131,-87,-9,"GoingfortheGreenBirdieorBetter",2010
21,21,"KJ Choi",82,62.5,55,88,-59,-24,"GoingfortheGreenBirdieorBetter",2010
22,22,"Tom Gillis",97,62.22,112,180,-120,-26,"GoingfortheGreenBirdieorBetter",2010
23,23,"Steve Wheatcroft",74,62.14,64,103,-66,5,"GoingfortheGreenBirdieorBetter",2010
24,24,"Chris Stroud",90,61.98,75,121,-77,-5,"GoingfortheGreenBirdieorBetter",2010
25,25,"Steve Marino",81,61.86,73,118,-77,-3,"GoingfortheGreenBirdieorBetter",2010
26,26,"Matt Bettencourt",91,61.81,89,144,-103,-1,"GoingfortheGreenBirdieorBetter",2010
27,27,"Davis Love III",79,61.65,82,133,-88,-19,"GoingfortheGreenBirdieorBetter",2010
28,28,"Cliff Kresge",50,61.29,38,62,-41,-7,"GoingfortheGreenBirdieorBetter",2010
29,29,"JB Holmes",100,61.19,134,219,-146,0,"GoingfortheGreenBirdieorBetter",2010
30,30,"Kevin Na",94,61.16,74,121,-77,-18,"GoingfortheGreenBirdieorBetter",2010
31,31,"Webb Simpson",98,61.07,80,131,-83,-34,"GoingfortheGreenBirdieorBetter",2010
32,32,"Paul Stankowski",62,61.05,58,95,-59,-7,"GoingfortheGreenBirdieorBetter",2010
33,33,"Camilo Villegas",78,61.02,72,118,-77,-2,"GoingfortheGreenBirdieorBetter",2010
34,34,"Phil Mickelson",76,60.96,89,146,-94,-5,"GoingfortheGreenBirdieorBetter",2010
35,35,"Brendon de Jonge",114,60.9,95,156,-103,-13,"GoingfortheGreenBirdieorBetter",2010
36,36,"Matt Jones",89,60.76,96,158,-104,-11,"GoingfortheGreenBirdieorBetter",2010
37,37,"Trevor Immelman",55,60.71,34,56,-37,-6,"GoingfortheGreenBirdieorBetter",2010
38,38,"George McNeill",79,60.63,77,127,-82,1,"GoingfortheGreenBirdieorBetter",2010
39,39,"Sean OHair",84,60.31,79,131,-86,-3,"GoingfortheGreenBirdieorBetter",2010
40,40,"Justin Leonard",89,60.27,44,73,-47,-23,"GoingfortheGreenBirdieorBetter",2010
41,41,"Bob Estes",79,60.2,59,98,-61,-11,"GoingfortheGreenBirdieorBetter",2010
42,42,"Briny Baird",87,60.18,68,113,-72,-26,"GoingfortheGreenBirdieorBetter",2010
43,43,"Robert Allenby",76,60.17,71,118,-77,-11,"GoingfortheGreenBirdieorBetter",2010
44,44,"Mike Weir",59,60,33,55,-37,-6,"GoingfortheGreenBirdieorBetter",2010
45,45,"Johnson Wagner",85,59.83,70,117,-73,-5,"GoingfortheGreenBirdieorBetter",2010
46,46,"Ernie Els",72,59.81,64,107,-66,-13,"GoingfortheGreenBirdieorBetter",2010
47,47,"Graham DeLaet",88,59.78,107,179,-112,9,"GoingfortheGreenBirdieorBetter",2010
48,48,"Steve Flesch",78,59.77,52,87,-58,-24,"GoingfortheGreenBirdieorBetter",2010
49,49,"Garth Mulroy",53,59.57,56,94,-60,-6,"GoingfortheGreenBirdieorBetter",2010
50,50,"Charley Hoffman",85,59.47,113,190,-121,-3,"GoingfortheGreenBirdieorBetter",2010
51,51,"Marc Leishman",87,59.44,85,143,-88,-7,"GoingfortheGreenBirdieorBetter",2010
52,52,"Lucas Glover",75,59.26,80,135,-85,1,"GoingfortheGreenBirdieorBetter",2010
52,52,"Rocco Mediate",71,59.26,48,81,-50,-16,"GoingfortheGreenBirdieorBetter",2010
54,54,"JP Hayes",79,59.14,55,93,-60,-21,"GoingfortheGreenBirdieorBetter",2010
55,55,"Michael Sim",64,58.9,43,73,-44,-1,"GoingfortheGreenBirdieorBetter",2010
56,56,"Jim Furyk",76,58.82,50,85,-52,-24,"GoingfortheGreenBirdieorBetter",2010
56,56,"Vaughn Taylor",87,58.82,80,136,-84,-25,"GoingfortheGreenBirdieorBetter",2010
58,58,"Martin Laird",91,58.73,111,189,-122,0,"GoingfortheGreenBirdieorBetter",2010
59,59,"Nick Watney",91,58.64,95,162,-102,-4,"GoingfortheGreenBirdieorBetter",2010
60,60,"Nathan Green",86,58.47,69,118,-71,-5,"GoingfortheGreenBirdieorBetter",2010
61,61,"Josh Teater",101,58.43,97,166,-102,-3,"GoingfortheGreenBirdieorBetter",2010
62,62,"Sergio Garcia",58,58.33,42,72,-42,-3,"GoingfortheGreenBirdieorBetter",2010
63,63,"Joe Ogilvie",99,58.28,88,151,-95,-18,"GoingfortheGreenBirdieorBetter",2010
63,63,"John Rollins",81,58.28,95,163,-100,-9,"GoingfortheGreenBirdieorBetter",2010
65,65,"Woody Austin",93,58.27,74,127,-80,-22,"GoingfortheGreenBirdieorBetter",2010
66,66,"Stuart Appleby",101,58.22,85,146,-91,-9,"GoingfortheGreenBirdieorBetter",2010
67,67,"Aaron Baddeley",94,58.14,125,215,-136,-3,"GoingfortheGreenBirdieorBetter",2010
67,67,"Stewart Cink",84,58.14,75,129,-79,-16,"GoingfortheGreenBirdieorBetter",2010
69,69,"Tim Clark",88,58.06,36,62,-37,-45,"GoingfortheGreenBirdieorBetter",2010
69,69,"Jason Dufner",87,58.06,72,124,-80,2,"GoingfortheGreenBirdieorBetter",2010
71,71,"Martin Flores",75,58,87,150,-91,13,"GoingfortheGreenBirdieorBetter",2010
72,72,"Ryan Palmer",84,57.97,80,138,-86,8,"GoingfortheGreenBirdieorBetter",2010
73,73,"Jeff Quinney",91,57.95,51,88,-54,-13,"GoingfortheGreenBirdieorBetter",2010
74,74,"James Driscoll",78,57.76,93,161,-98,4,"GoingfortheGreenBirdieorBetter",2010
75,75,"Kevin Streelman",90,57.59,91,158,-95,-5,"GoingfortheGreenBirdieorBetter",2010
76,76,"Lee Janzen",77,57.58,57,99,-61,-19,"GoingfortheGreenBirdieorBetter",2010
77,77,"Bill Lunde",79,57.38,70,122,-78,9,"GoingfortheGreenBirdieorBetter",2010
77,77,"Chris Tidland",77,57.38,70,122,-71,-14,"GoingfortheGreenBirdieorBetter",2010
79,79,"Jason Day",82,57.34,82,143,-87,6,"GoingfortheGreenBirdieorBetter",2010
80,80,"Blake Adams",84,57.14,60,105,-63,-9,"GoingfortheGreenBirdieorBetter",2010
80,80,"Jason Bohn",84,57.14,64,112,-68,-24,"GoingfortheGreenBirdieorBetter",2010
80,80,"Michael Connell",89,57.14,52,91,-59,-28,"GoingfortheGreenBirdieorBetter",2010
83,83,"Bill Haas",87,57.05,89,156,-97,-15,"GoingfortheGreenBirdieorBetter",2010
84,84,"Bryce Molder",84,56.96,45,79,-48,-27,"GoingfortheGreenBirdieorBetter",2010
85,85,"Vijay Singh",75,56.86,58,102,-62,-15,"GoingfortheGreenBirdieorBetter",2010
86,86,"Michael Letzig",84,56.76,84,148,-91,-6,"GoingfortheGreenBirdieorBetter",2010
87,87,"Kenny Perry",69,56.73,59,104,-62,-6,"GoingfortheGreenBirdieorBetter",2010
88,88,"Angel Cabrera",64,56.72,76,134,-79,4,"GoingfortheGreenBirdieorBetter",2010
