"ConsecutiveSandSaves_RANKTHISWEEK_2014","ConsecutiveSandSaves_RANKLASTWEEK_2014","ConsecutiveSandSaves_PLAYERNAME_2014","ConsecutiveSandSaves_EVENTS_2014","ConsecutiveSandSaves_STREAK_2014","ConsecutiveSandSaves_CURRENTSTREAK_2014","ConsecutiveSandSaves_ROUND_2014","ConsecutiveSandSaves_HOLE_2014","ConsecutiveSandSaves_YEARTOURN_2014","stat_name","year"
1,1,"Chris Kirk",28,14,5,3,5,2014020,"ConsecutiveSandSaves",2014
2,2,"Brian Gay",26,13,NA,1,2,2014340,"ConsecutiveSandSaves",2014
3,3,"Stuart Appleby",29,12,2,4,10,2014190,"ConsecutiveSandSaves",2014
3,3,"Charlie Wi",25,12,NA,4,16,2014310,"ConsecutiveSandSaves",2014
5,5,"Scott Brown",30,11,NA,2,10,2014390,"ConsecutiveSandSaves",2014
5,5,"Greg Chalmers",27,11,1,3,7,2014020,"ConsecutiveSandSaves",2014
5,5,"Retief Goosen",26,11,2,1,5,2014410,"ConsecutiveSandSaves",2014
5,5,"Marc Leishman",24,11,1,2,11,2014010,"ConsecutiveSandSaves",2014
9,9,"Steven Bowditch",30,10,NA,1,10,2014190,"ConsecutiveSandSaves",2014
9,9,"Tim Clark",26,10,1,1,2,2014410,"ConsecutiveSandSaves",2014
9,9,"Chad Collins",28,10,NA,1,3,2014320,"ConsecutiveSandSaves",2014
9,9,"Brad Fritsch",18,10,NA,3,6,2014310,"ConsecutiveSandSaves",2014
9,9,"Matt Kuchar",24,10,6,3,11,2014270,"ConsecutiveSandSaves",2014
9,9,"Andres Romero",26,10,1,4,9,2014370,"ConsecutiveSandSaves",2014
9,9,"Charl Schwartzel",18,10,NA,3,13,2014210,"ConsecutiveSandSaves",2014
9,9,"John Senden",27,10,NA,4,11,2014170,"ConsecutiveSandSaves",2014
9,9,"Chris Stroud",25,10,1,2,1,2014230,"ConsecutiveSandSaves",2014
9,9,"Cameron Tringale",31,10,3,1,10,2014340,"ConsecutiveSandSaves",2014
19,19,"Jason Bohn",25,9,NA,3,13,2014220,"ConsecutiveSandSaves",2014
19,19,"Rafa Cabrera Bello",5,9,NA,1,1,2014200,"ConsecutiveSandSaves",2014
19,19,"Harris English",28,9,1,2,4,2014120,"ConsecutiveSandSaves",2014
19,19,"Martin Flores",26,9,NA,3,2,2014200,"ConsecutiveSandSaves",2014
19,19,"Sergio Garcia",16,9,2,3,18,2014030,"ConsecutiveSandSaves",2014
19,19,"Bill Haas",28,9,3,4,5,2014460,"ConsecutiveSandSaves",2014
19,19,"Ryuji Imada",9,9,2,3,18,2014120,"ConsecutiveSandSaves",2014
19,19,"Freddie Jacobson",27,9,1,2,18,2014190,"ConsecutiveSandSaves",2014
19,19,"Jason Kokrak",19,9,2,4,8,2014160,"ConsecutiveSandSaves",2014
19,19,"Justin Leonard",22,9,1,4,11,2014350,"ConsecutiveSandSaves",2014
19,19,"Hideki Matsuyama",24,9,1,2,15,2014320,"ConsecutiveSandSaves",2014
19,19,"Seung Yul Noh",27,9,1,2,13,2014020,"ConsecutiveSandSaves",2014
19,19,"Ryan Palmer",23,9,5,3,14,2014160,"ConsecutiveSandSaves",2014
19,19,"Siddikur Rahman",1,9,2,2,12,2014030,"ConsecutiveSandSaves",2014
19,19,"Heath Slocum",23,9,NA,4,11,2014360,"ConsecutiveSandSaves",2014
19,19,"Jordan Spieth",27,9,NA,4,9,2014430,"ConsecutiveSandSaves",2014
35,35,"Stephen Ames",18,8,1,4,4,2014200,"ConsecutiveSandSaves",2014
35,35,"Aaron Baddeley",24,8,NA,3,18,2014310,"ConsecutiveSandSaves",2014
35,35,"Jonas Blixt",21,8,2,1,12,2014150,"ConsecutiveSandSaves",2014
35,35,"Jonathan Byrd",24,8,NA,1,9,2014390,"ConsecutiveSandSaves",2014
35,35,"Mark Calcavecchia",8,8,NA,1,18,2014220,"ConsecutiveSandSaves",2014
35,35,"Brian Davis",28,8,NA,2,16,2014150,"ConsecutiveSandSaves",2014
35,35,"Luke Donald",17,8,1,1,2,2014190,"ConsecutiveSandSaves",2014
