"SandSavesfrom_RANKTHISWEEK_2009","SandSavesfrom_RANKLASTWEEK_2009","SandSavesfrom_PLAYERNAME_2009","SandSavesfrom_ROUNDS_2009","SandSavesfrom_Pct_2009","SandSavesfrom_OFSAVES_2009","SandSavesfrom_OFBUNKERS_2009","stat_name","year"
1,1,"Brad Adamonis",70,100,5,5,"SandSavesfrom",2009
1,1,"Kris Blanks",60,100,3,3,"SandSavesfrom",2009
1,1,"Steve Elkington",70,100,2,2,"SandSavesfrom",2009
1,1,"Bill Haas",91,100,8,8,"SandSavesfrom",2009
1,1,"Bob Heintz",59,100,3,3,"SandSavesfrom",2009
1,1,"Jarrod Lyle",65,100,4,4,"SandSavesfrom",2009
1,1,"Bryce Molder",69,100,2,2,"SandSavesfrom",2009
1,1,"Geoff Ogilvy",78,100,2,2,"SandSavesfrom",2009
1,1,"Kirk Triplett",60,100,2,2,"SandSavesfrom",2009
10,10,"Bo Van Pelt",100,90,9,10,"SandSavesfrom",2009
11,11,"Brendon de Jonge",90,88.89,8,9,"SandSavesfrom",2009
11,11,"Ryan Palmer",78,88.89,8,9,"SandSavesfrom",2009
13,13,"Harrison Frazar",93,87.5,7,8,"SandSavesfrom",2009
13,13,"Tom Pernice Jr",82,87.5,14,16,"SandSavesfrom",2009
13,13,"Matt Weibring",65,87.5,7,8,"SandSavesfrom",2009
16,16,"Kent Jones",73,85.71,6,7,"SandSavesfrom",2009
16,16,"Matt Kuchar",82,85.71,6,7,"SandSavesfrom",2009
16,16,"Kevin Na",91,85.71,12,14,"SandSavesfrom",2009
16,16,"Kenny Perry",92,85.71,6,7,"SandSavesfrom",2009
16,16,"Steve Stricker",81,85.71,6,7,"SandSavesfrom",2009
16,16,"Johnson Wagner",81,85.71,6,7,"SandSavesfrom",2009
16,16,"Jay Williamson",69,85.71,6,7,"SandSavesfrom",2009
16,16,"YE Yang",83,85.71,6,7,"SandSavesfrom",2009
24,24,"John Senden",100,83.33,5,6,"SandSavesfrom",2009
25,25,"Charley Hoffman",97,81.82,9,11,"SandSavesfrom",2009
26,26,"Stephen Ames",77,80,4,5,"SandSavesfrom",2009
26,26,"Chad Campbell",90,80,4,5,"SandSavesfrom",2009
26,26,"Jason Gore",74,80,4,5,"SandSavesfrom",2009
26,26,"Freddie Jacobson",83,80,8,10,"SandSavesfrom",2009
26,26,"Marc Leishman",91,80,12,15,"SandSavesfrom",2009
26,26,"John Mallinger",90,80,4,5,"SandSavesfrom",2009
26,26,"Pat Perez",74,80,4,5,"SandSavesfrom",2009
26,26,"Kevin Sutherland",96,80,8,10,"SandSavesfrom",2009
26,26,"Mike Weir",85,80,4,5,"SandSavesfrom",2009
35,35,"Anthony Kim",76,78.57,11,14,"SandSavesfrom",2009
36,36,"Nick Watney",86,77.78,7,9,"SandSavesfrom",2009
37,37,"Justin Leonard",95,76.92,10,13,"SandSavesfrom",2009
37,37,"John Rollins",92,76.92,10,13,"SandSavesfrom",2009
37,37,"Rory Sabbatini",81,76.92,10,13,"SandSavesfrom",2009
40,40,"Ben Crane",93,76.47,13,17,"SandSavesfrom",2009
41,41,"Eric Axley",71,75,3,4,"SandSavesfrom",2009
41,41,"Briny Baird",89,75,3,4,"SandSavesfrom",2009
41,41,"Greg Chalmers",85,75,6,8,"SandSavesfrom",2009
41,41,"KJ Choi",65,75,6,8,"SandSavesfrom",2009
41,41,"Luke Donald",79,75,6,8,"SandSavesfrom",2009
41,41,"Bill Lunde",83,75,9,12,"SandSavesfrom",2009
41,41,"Leif Olson",51,75,3,4,"SandSavesfrom",2009
41,41,"Casey Wittenberg",71,75,3,4,"SandSavesfrom",2009
41,41,"Tiger Woods",64,75,6,8,"SandSavesfrom",2009
50,50,"Jonathan Byrd",89,72.73,8,11,"SandSavesfrom",2009
50,50,"Steve Flesch",77,72.73,8,11,"SandSavesfrom",2009
50,50,"Nathan Green",104,72.73,8,11,"SandSavesfrom",2009
50,50,"Steve Lowery",83,72.73,8,11,"SandSavesfrom",2009
50,50,"Ryan Moore",89,72.73,8,11,"SandSavesfrom",2009
50,50,"Darron Stiles",52,72.73,8,11,"SandSavesfrom",2009
56,56,"Tommy Armour III",58,71.43,5,7,"SandSavesfrom",2009
56,56,"Matt Bettencourt",98,71.43,5,7,"SandSavesfrom",2009
56,56,"Ben Curtis",63,71.43,5,7,"SandSavesfrom",2009
56,56,"Jason Day",61,71.43,5,7,"SandSavesfrom",2009
56,56,"Lucas Glover",93,71.43,10,14,"SandSavesfrom",2009
56,56,"Dustin Johnson",85,71.43,5,7,"SandSavesfrom",2009
62,62,"Alex Cejka",82,70,7,10,"SandSavesfrom",2009
62,62,"Chris DiMarco",97,70,7,10,"SandSavesfrom",2009
62,62,"Billy Mayfair",83,70,7,10,"SandSavesfrom",2009
62,62,"Andres Romero",58,70,7,10,"SandSavesfrom",2009
66,66,"Brian Gay",96,69.23,9,13,"SandSavesfrom",2009
66,66,"Jeff Overton",92,69.23,9,13,"SandSavesfrom",2009
68,68,"Brad Faxon",59,66.67,2,3,"SandSavesfrom",2009
68,68,"Jim Furyk",86,66.67,6,9,"SandSavesfrom",2009
68,68,"Mathew Goggin",76,66.67,6,9,"SandSavesfrom",2009
