"FedExCupSeasonPointsforNonMembers_RANKTHISWEEK_2008","FedExCupSeasonPointsforNonMembers_RANKLASTWEEK_2008","FedExCupSeasonPointsforNonMembers_PLAYERNAME_2008","FedExCupSeasonPointsforNonMembers_EVENTS_2008","FedExCupSeasonPointsforNonMembers_POINTS_2008","FedExCupSeasonPointsforNonMembers_WGCPOINTS_2008","stat_name","year"
1,1,"Henrik Stenson",9,6282,2250,"FedExCupSeasonPointsforNonMembers",2008
2,2,"Robert Karlsson",8,3606,526,"FedExCupSeasonPointsforNonMembers",2008
3,3,"Miguel Angel Jimenez",8,2825,966,"FedExCupSeasonPointsforNonMembers",2008
4,4,"Niclas Fasth",10,1292,408,"FedExCupSeasonPointsforNonMembers",2008
5,5,"Jeev Milkha Singh",5,1209,198,"FedExCupSeasonPointsforNonMembers",2008
6,6,"Anders Hansen",6,1031,637,"FedExCupSeasonPointsforNonMembers",2008
7,7,"Graeme Storm",3,974,879,"FedExCupSeasonPointsforNonMembers",2008
8,8,"Darren Clarke",2,912,912,"FedExCupSeasonPointsforNonMembers",2008
9,9,"Graeme McDowell",4,827,128,"FedExCupSeasonPointsforNonMembers",2008
10,10,"Alastair Forsyth",2,774,NA,"FedExCupSeasonPointsforNonMembers",2008
11,11,"Colin Montgomerie",7,751,691,"FedExCupSeasonPointsforNonMembers",2008
12,12,"David Howell",3,742,50,"FedExCupSeasonPointsforNonMembers",2008
13,13,"Richard Sterne",8,702,170,"FedExCupSeasonPointsforNonMembers",2008
14,14,"Gregory Havret",2,679,420,"FedExCupSeasonPointsforNonMembers",2008
15,15,"Soren Kjeldsen",3,656,656,"FedExCupSeasonPointsforNonMembers",2008
16,16,"WC Liang",6,631,53,"FedExCupSeasonPointsforNonMembers",2008
17,17,"Richard Green",9,563,234,"FedExCupSeasonPointsforNonMembers",2008
18,18,"DA Points",3,517,NA,"FedExCupSeasonPointsforNonMembers",2008
19,19,"Prayad Marksaeng",4,493,53,"FedExCupSeasonPointsforNonMembers",2008
20,20,"Esteban Toledo",3,413,NA,"FedExCupSeasonPointsforNonMembers",2008
21,21,"Nick Dougherty",8,410,204,"FedExCupSeasonPointsforNonMembers",2008
22,22,"Soren Hansen",9,396,188,"FedExCupSeasonPointsforNonMembers",2008
23,23,"Brendan Jones",5,362,309,"FedExCupSeasonPointsforNonMembers",2008
24,24,"Toru Taniguchi",7,349,284,"FedExCupSeasonPointsforNonMembers",2008
25,25,"Mark Brown",3,325,97,"FedExCupSeasonPointsforNonMembers",2008
26,26,"Martin Kaymer",8,310,197,"FedExCupSeasonPointsforNonMembers",2008
27,27,"Ross Fisher",6,286,191,"FedExCupSeasonPointsforNonMembers",2008
28,28,"Oliver Wilson",4,281,171,"FedExCupSeasonPointsforNonMembers",2008
29,29,"Peter Hanson",4,267,142,"FedExCupSeasonPointsforNonMembers",2008
30,30,"Bradley Dredge",1,262,262,"FedExCupSeasonPointsforNonMembers",2008
31,31,"Alexander Noren",1,259,NA,"FedExCupSeasonPointsforNonMembers",2008
31,31,"Jean Van de Velde",1,259,NA,"FedExCupSeasonPointsforNonMembers",2008
31,31,"Simon Wakefield",1,259,NA,"FedExCupSeasonPointsforNonMembers",2008
31,31,"Paul Waring",1,259,NA,"FedExCupSeasonPointsforNonMembers",2008
35,35,"Pablo Martin Benavides",3,253,NA,"FedExCupSeasonPointsforNonMembers",2008
36,36,"Rob Grube",1,200,NA,"FedExCupSeasonPointsforNonMembers",2008
37,37,"Ryan Blaum",1,194,NA,"FedExCupSeasonPointsforNonMembers",2008
38,38,"Chip Sullivan",5,181,NA,"FedExCupSeasonPointsforNonMembers",2008
39,39,"Richard Finch",2,179,118,"FedExCupSeasonPointsforNonMembers",2008
40,40,"Paul McGinley",1,171,171,"FedExCupSeasonPointsforNonMembers",2008
41,41,"James Kingston",5,163,100,"FedExCupSeasonPointsforNonMembers",2008
42,42,"Alvaro Quiros",2,161,NA,"FedExCupSeasonPointsforNonMembers",2008
43,43,"Michael Campbell",6,161,NA,"FedExCupSeasonPointsforNonMembers",2008
44,44,"Webb Simpson",6,160,NA,"FedExCupSeasonPointsforNonMembers",2008
45,45,"Chris Kirk",3,156,NA,"FedExCupSeasonPointsforNonMembers",2008
46,46,"Shingo Katayama",5,136,136,"FedExCupSeasonPointsforNonMembers",2008
47,47,"Tom Gillis",3,123,NA,"FedExCupSeasonPointsforNonMembers",2008
48,48,"Stephen Poole",1,118,NA,"FedExCupSeasonPointsforNonMembers",2008
49,49,"Robert Dinwiddie",1,110,NA,"FedExCupSeasonPointsforNonMembers",2008
50,50,"Louis Oosthuizen",3,107,53,"FedExCupSeasonPointsforNonMembers",2008
51,51,"Pablo Larrazabal",3,102,49,"FedExCupSeasonPointsforNonMembers",2008
52,52,"Anton Haig",2,102,55,"FedExCupSeasonPointsforNonMembers",2008
53,53,"Yusaku Miyazato",1,98,NA,"FedExCupSeasonPointsforNonMembers",2008
54,54,"Ian Woosnam",1,96,NA,"FedExCupSeasonPointsforNonMembers",2008
55,55,"Thomas Aiken",1,94,NA,"FedExCupSeasonPointsforNonMembers",2008
55,55,"Gregory Bourdy",1,94,NA,"FedExCupSeasonPointsforNonMembers",2008
55,55,"Ariel Canete",1,94,NA,"FedExCupSeasonPointsforNonMembers",2008
55,55,"Simon Khan",1,94,NA,"FedExCupSeasonPointsforNonMembers",2008
59,59,"Diego Vanegas",1,81,NA,"FedExCupSeasonPointsforNonMembers",2008
60,60,"Spencer Levin",1,73,NA,"FedExCupSeasonPointsforNonMembers",2008
61,61,"Jarrod Lyle",1,70,NA,"FedExCupSeasonPointsforNonMembers",2008
62,62,"Andrew McLardy",2,69,69,"FedExCupSeasonPointsforNonMembers",2008
63,63,"Hidemasa Hoshino",1,68,68,"FedExCupSeasonPointsforNonMembers",2008
64,64,"Charl Schwartzel",1,65,NA,"FedExCupSeasonPointsforNonMembers",2008
65,65,"Anthony Wall",1,64,NA,"FedExCupSeasonPointsforNonMembers",2008
66,66,"Robert Floyd",3,64,NA,"FedExCupSeasonPointsforNonMembers",2008
67,67,"SSP Chawrasia",1,62,62,"FedExCupSeasonPointsforNonMembers",2008
68,68,"Stuart Deane",1,59,NA,"FedExCupSeasonPointsforNonMembers",2008
69,69,"Jonathan Lomas",1,58,NA,"FedExCupSeasonPointsforNonMembers",2008
70,70,"Colt Knost",5,58,NA,"FedExCupSeasonPointsforNonMembers",2008
71,71,"Steve Webster",3,57,57,"FedExCupSeasonPointsforNonMembers",2008
72,72,"Chapchai Nirat",1,56,56,"FedExCupSeasonPointsforNonMembers",2008
72,72,"Paul Sheehan",1,56,56,"FedExCupSeasonPointsforNonMembers",2008
