"BirdieorBetterConversionPercentage_RANKTHISWEEK_2005","BirdieorBetterConversionPercentage_RANKLASTWEEK_2005","BirdieorBetterConversionPercentage_PLAYERNAME_2005","BirdieorBetterConversionPercentage_ROUNDS_2005","BirdieorBetterConversionPercentage_Pct_2005","BirdieorBetterConversionPercentage_BIRDIES_2005","BirdieorBetterConversionPercentage_GREENSHIT_2005","stat_name","year"
1,1,"Tiger Woods",76,36.56,340,930,"BirdieorBetterConversionPercentage",2005
2,2,"Phil Mickelson",81,35.7,317,888,"BirdieorBetterConversionPercentage",2005
3,3,"Brenden Pappas",51,34.34,204,594,"BirdieorBetterConversionPercentage",2005
4,4,"Arjun Atwal",65,34.17,258,755,"BirdieorBetterConversionPercentage",2005
5,5,"Tag Ridings",93,33.9,360,1062,"BirdieorBetterConversionPercentage",2005
6,6,"Bob Heintz",67,33.88,248,732,"BirdieorBetterConversionPercentage",2005
7,7,"Steve Stricker",62,33.58,229,682,"BirdieorBetterConversionPercentage",2005
8,8,"Ben Crane",78,33.54,277,826,"BirdieorBetterConversionPercentage",2005
9,9,"Joe Ogilvie",103,33.24,366,1101,"BirdieorBetterConversionPercentage",2005
10,10,"Tim Clark",92,32.9,330,1003,"BirdieorBetterConversionPercentage",2005
11,11,"Ryan Palmer",101,32.87,375,1141,"BirdieorBetterConversionPercentage",2005
12,12,"Harrison Frazar",105,32.5,392,1206,"BirdieorBetterConversionPercentage",2005
13,13,"Scott Verplank",87,32.49,334,1028,"BirdieorBetterConversionPercentage",2005
14,14,"Aaron Baddeley",84,32.33,289,894,"BirdieorBetterConversionPercentage",2005
15,15,"John Huston",90,32.29,320,991,"BirdieorBetterConversionPercentage",2005
16,16,"Tim Herron",100,32.27,375,1162,"BirdieorBetterConversionPercentage",2005
17,17,"David Toms",87,31.97,298,932,"BirdieorBetterConversionPercentage",2005
18,18,"Geoff Ogilvy",97,31.69,353,1114,"BirdieorBetterConversionPercentage",2005
19,19,"Billy Andrade",83,31.66,302,954,"BirdieorBetterConversionPercentage",2005
20,20,"Mark Hensby",70,31.47,242,769,"BirdieorBetterConversionPercentage",2005
21,21,"Vaughn Taylor",99,31.42,367,1168,"BirdieorBetterConversionPercentage",2005
22,22,"Paul Azinger",66,31.3,226,722,"BirdieorBetterConversionPercentage",2005
22,22,"Kevin Stadler",96,31.3,334,1067,"BirdieorBetterConversionPercentage",2005
24,24,"John Daly",78,31.19,267,856,"BirdieorBetterConversionPercentage",2005
25,25,"Hank Kuehne",84,31.14,275,883,"BirdieorBetterConversionPercentage",2005
26,26,"Brad Faxon",75,31.06,246,792,"BirdieorBetterConversionPercentage",2005
26,26,"Vijay Singh",111,31.06,429,1381,"BirdieorBetterConversionPercentage",2005
28,28,"Woody Austin",100,31.02,358,1154,"BirdieorBetterConversionPercentage",2005
29,29,"Mark Calcavecchia",92,30.99,330,1065,"BirdieorBetterConversionPercentage",2005
29,29,"Scott Gutschewski",86,30.99,308,994,"BirdieorBetterConversionPercentage",2005
31,31,"Hunter Haas",83,30.95,281,908,"BirdieorBetterConversionPercentage",2005
32,32,"Steve Lowery",100,30.94,345,1115,"BirdieorBetterConversionPercentage",2005
33,33,"Retief Goosen",71,30.85,228,739,"BirdieorBetterConversionPercentage",2005
34,34,"Brett Wetterich",76,30.77,280,910,"BirdieorBetterConversionPercentage",2005
35,35,"Todd Fischer",99,30.62,327,1068,"BirdieorBetterConversionPercentage",2005
36,36,"Robert Gamez",91,30.58,322,1053,"BirdieorBetterConversionPercentage",2005
37,37,"Scott Hend",75,30.56,253,828,"BirdieorBetterConversionPercentage",2005
38,38,"Daniel Chopra",108,30.51,364,1193,"BirdieorBetterConversionPercentage",2005
39,39,"JP Hayes",63,30.47,216,709,"BirdieorBetterConversionPercentage",2005
40,40,"Jonathan Byrd",103,30.41,350,1151,"BirdieorBetterConversionPercentage",2005
41,41,"Charlie Wi",67,30.39,213,701,"BirdieorBetterConversionPercentage",2005
42,42,"Patrick Sheehan",114,30.32,379,1250,"BirdieorBetterConversionPercentage",2005
43,43,"Kent Jones",99,30.3,346,1142,"BirdieorBetterConversionPercentage",2005
44,44,"Charles Warren",89,30.28,327,1080,"BirdieorBetterConversionPercentage",2005
45,45,"Davis Love III",80,30.26,272,899,"BirdieorBetterConversionPercentage",2005
45,45,"Hunter Mahan",103,30.26,367,1213,"BirdieorBetterConversionPercentage",2005
47,47,"Dean Wilson",86,30.21,306,1013,"BirdieorBetterConversionPercentage",2005
48,48,"Fred Couples",72,30.18,252,835,"BirdieorBetterConversionPercentage",2005
49,49,"Brian Davis",75,30.17,267,885,"BirdieorBetterConversionPercentage",2005
49,49,"Brandt Jobe",96,30.17,327,1084,"BirdieorBetterConversionPercentage",2005
51,51,"Bo Van Pelt",112,30.16,418,1386,"BirdieorBetterConversionPercentage",2005
52,52,"Marco Dawson",82,30.14,299,992,"BirdieorBetterConversionPercentage",2005
53,53,"Rod Pampling",89,30.04,298,992,"BirdieorBetterConversionPercentage",2005
54,54,"Neal Lancaster",95,30.02,335,1116,"BirdieorBetterConversionPercentage",2005
55,55,"Bart Bryant",91,29.94,338,1129,"BirdieorBetterConversionPercentage",2005
55,55,"Brett Quigley",96,29.94,321,1072,"BirdieorBetterConversionPercentage",2005
55,55,"Rory Sabbatini",81,29.94,256,855,"BirdieorBetterConversionPercentage",2005
58,58,"Dan Forsman",52,29.9,186,622,"BirdieorBetterConversionPercentage",2005
59,59,"Craig Barlow",81,29.86,275,921,"BirdieorBetterConversionPercentage",2005
60,60,"Frank Lickliter II",100,29.85,337,1129,"BirdieorBetterConversionPercentage",2005
61,61,"Cameron Beckman",96,29.84,319,1069,"BirdieorBetterConversionPercentage",2005
61,61,"Pat Perez",89,29.84,305,1022,"BirdieorBetterConversionPercentage",2005
63,63,"Carl Pettersson",109,29.83,372,1247,"BirdieorBetterConversionPercentage",2005
64,64,"Jim Furyk",94,29.81,347,1164,"BirdieorBetterConversionPercentage",2005
64,64,"Dudley Hart",84,29.81,299,1003,"BirdieorBetterConversionPercentage",2005
66,66,"Zach Johnson",96,29.79,339,1138,"BirdieorBetterConversionPercentage",2005
67,67,"Scott McCarron",78,29.75,249,837,"BirdieorBetterConversionPercentage",2005
68,68,"Richard Johnson",50,29.74,182,612,"BirdieorBetterConversionPercentage",2005
68,68,"Jose Maria Olazabal",55,29.74,185,622,"BirdieorBetterConversionPercentage",2005
70,70,"John Rollins",97,29.72,332,1117,"BirdieorBetterConversionPercentage",2005
71,71,"Will Ma Kenzie",75,29.69,255,859,"BirdieorBetterConversionPercentage",2005
71,71,"Kevin Na",88,29.69,277,933,"BirdieorBetterConversionPercentage",2005
73,73,"Darron Stiles",78,29.66,269,907,"BirdieorBetterConversionPercentage",2005
74,74,"Freddie Jacobson",72,29.65,236,796,"BirdieorBetterConversionPercentage",2005
75,75,"Nick Watney",91,29.64,313,1056,"BirdieorBetterConversionPercentage",2005
76,76,"Duffy Waldorf",86,29.62,290,979,"BirdieorBetterConversionPercentage",2005
77,77,"Phillip Price",77,29.59,253,855,"BirdieorBetterConversionPercentage",2005
78,78,"Lucas Glover",88,29.53,308,1043,"BirdieorBetterConversionPercentage",2005
79,79,"Ryuji Imada",78,29.51,265,898,"BirdieorBetterConversionPercentage",2005
80,80,"Chris DiMarco",83,29.47,254,862,"BirdieorBetterConversionPercentage",2005
81,81,"Robert Allenby",95,29.46,327,1110,"BirdieorBetterConversionPercentage",2005
82,82,"Shigeki Maruyama",99,29.44,338,1148,"BirdieorBetterConversionPercentage",2005
83,83,"Jesper Parnevik",84,29.4,264,898,"BirdieorBetterConversionPercentage",2005
84,84,"Tom Pernice Jr",111,29.39,355,1208,"BirdieorBetterConversionPercentage",2005
85,85,"Jonathan Kaye",77,29.38,260,885,"BirdieorBetterConversionPercentage",2005
86,86,"Michael Allen",90,29.35,297,1012,"BirdieorBetterConversionPercentage",2005
86,86,"Stewart Cink",98,29.35,312,1063,"BirdieorBetterConversionPercentage",2005
88,88,"Justin Leonard",78,29.28,258,881,"BirdieorBetterConversionPercentage",2005
89,89,"Chris Anderson",66,29.26,199,680,"BirdieorBetterConversionPercentage",2005
90,90,"Kenny Perry",82,29.19,296,1014,"BirdieorBetterConversionPercentage",2005
91,91,"Lee Janzen",75,29.13,245,841,"BirdieorBetterConversionPercentage",2005
91,91,"Ted Purdy",122,29.13,416,1428,"BirdieorBetterConversionPercentage",2005
91,91,"Chris Smith",93,29.13,337,1157,"BirdieorBetterConversionPercentage",2005
94,94,"Brian Bateman",98,29.08,317,1090,"BirdieorBetterConversionPercentage",2005
95,95,"Sean OHair",103,29.07,348,1197,"BirdieorBetterConversionPercentage",2005
96,96,"John Elliott",58,29.03,173,596,"BirdieorBetterConversionPercentage",2005
97,97,"Billy Mayfair",114,28.99,398,1373,"BirdieorBetterConversionPercentage",2005
97,97,"Greg Owen",84,28.99,280,966,"BirdieorBetterConversionPercentage",2005
99,99,"Mark Wilson",74,28.95,240,829,"BirdieorBetterConversionPercentage",2005
100,100,"Justin Bolli",65,28.94,200,691,"BirdieorBetterConversionPercentage",2005
100,100,"Glen Day",80,28.94,250,864,"BirdieorBetterConversionPercentage",2005
102,102,"Steve Allan",102,28.89,325,1125,"BirdieorBetterConversionPercentage",2005
102,102,"Padraig Harrington",50,28.89,156,540,"BirdieorBetterConversionPercentage",2005
104,104,"Joey Sindelar",104,28.84,370,1283,"BirdieorBetterConversionPercentage",2005
105,105,"Brian Gay",101,28.83,320,1110,"BirdieorBetterConversionPercentage",2005
106,106,"Bob Estes",92,28.79,308,1070,"BirdieorBetterConversionPercentage",2005
106,106,"Kirk Triplett",55,28.79,173,601,"BirdieorBetterConversionPercentage",2005
108,108,"Jason Bohn",91,28.78,310,1077,"BirdieorBetterConversionPercentage",2005
