"Approaches_RANKTHISWEEK_2010","Approaches_RANKLASTWEEK_2010","Approaches_PLAYERNAME_2010","Approaches_ROUNDS_2010","Approaches_AVGRTP_2010","stat_name","year"
1,1,"Paul Stankowski",62,-0.333,"Approaches",2010
2,2,"Steve Stricker",73,-0.263,"Approaches",2010
3,3,"Kevin Sutherland",86,-0.233,"Approaches",2010
4,4,"Dean Wilson",54,-0.231,"Approaches",2010
5,5,"Will Ma Kenzie",72,-0.219,"Approaches",2010
6,6,"JJ Henry",92,-0.182,"Approaches",2010
7,7,"Chris Stroud",90,-0.162,"Approaches",2010
8,8,"Tom Pernice Jr",74,-0.16,"Approaches",2010
9,9,"Ricky Barnes",103,-0.146,"Approaches",2010
10,10,"Cameron Percy",73,-0.129,"Approaches",2010
11,11,"Woody Austin",93,-0.119,"Approaches",2010
12,12,"Adam Scott",70,-0.118,"Approaches",2010
13,13,"Aaron Baddeley",94,-0.114,"Approaches",2010
14,14,"Greg Kraft",52,-0.111,"Approaches",2010
15,15,"Ryuji Imada",90,-0.1,"Approaches",2010
15,15,"Sean OHair",84,-0.1,"Approaches",2010
15,15,"John Rollins",81,-0.1,"Approaches",2010
18,18,"Kevin Stadler",86,-0.091,"Approaches",2010
19,19,"Padraig Harrington",57,-0.083,"Approaches",2010
20,20,"Rocco Mediate",71,-0.077,"Approaches",2010
21,21,"Jim Furyk",76,-0.071,"Approaches",2010
22,22,"Steve Elkington",74,-0.053,"Approaches",2010
22,22,"Bubba Watson",77,-0.053,"Approaches",2010
24,24,"Billy Mayfair",78,-0.048,"Approaches",2010
25,25,"Luke Donald",71,-0.045,"Approaches",2010
26,26,"Phil Mickelson",76,-0.044,"Approaches",2010
27,27,"Briny Baird",87,-0.04,"Approaches",2010
27,27,"Greg Chalmers",93,-0.04,"Approaches",2010
27,27,"Bill Haas",87,-0.04,"Approaches",2010
30,30,"Greg Owen",69,-0.038,"Approaches",2010
31,31,"David Toms",86,-0.034,"Approaches",2010
32,32,"Rory Sabbatini",79,-0.025,"Approaches",2010
33,33,"Rickie Fowler",98,-0.021,"Approaches",2010
34,34,"JB Holmes",100,-0.016,"Approaches",2010
35,35,"Robert Allenby",76,0,"Approaches",2010
35,35,"Justin Bolli",55,0,"Approaches",2010
35,35,"Michael Bradley",77,0,"Approaches",2010
35,35,"Ben Crane",85,0,"Approaches",2010
35,35,"Bob Estes",79,0,"Approaches",2010
35,35,"Lucas Glover",75,0,"Approaches",2010
35,35,"Derek Lamely",81,0,"Approaches",2010
35,35,"Jarrod Lyle",54,0,"Approaches",2010
35,35,"Hunter Mahan",85,0,"Approaches",2010
35,35,"Steve Marino",81,0,"Approaches",2010
35,35,"Rory McIlroy",54,0,"Approaches",2010
35,35,"Bryce Molder",84,0,"Approaches",2010
35,35,"Garth Mulroy",53,0,"Approaches",2010
35,35,"Kenny Perry",69,0,"Approaches",2010
35,35,"Tim Petrovic",105,0,"Approaches",2010
35,35,"Scott Piercy",88,0,"Approaches",2010
35,35,"Vijay Singh",75,0,"Approaches",2010
52,52,"James Driscoll",78,0.02,"Approaches",2010
53,53,"Brandt Snedeker",89,0.026,"Approaches",2010
54,54,"Justin Rose",78,0.027,"Approaches",2010
55,55,"Michael Sim",64,0.028,"Approaches",2010
56,56,"DA Points",90,0.031,"Approaches",2010
57,57,"Michael Connell",89,0.033,"Approaches",2010
58,58,"Heath Slocum",97,0.034,"Approaches",2010
59,59,"Jeff Overton",89,0.036,"Approaches",2010
60,60,"Retief Goosen",75,0.038,"Approaches",2010
61,61,"Martin Laird",91,0.039,"Approaches",2010
62,62,"Zach Johnson",93,0.04,"Approaches",2010
