"Par4EagleLeaders_RANKTHISWEEK_2013","Par4EagleLeaders_RANKLASTWEEK_2013","Par4EagleLeaders_PLAYERNAME_2013","Par4EagleLeaders_ROUNDS_2013","Par4EagleLeaders_TOTAL_2013","Par4EagleLeaders_TOTALPAR4HOLES_2013","Par4EagleLeaders_TOTALHOLEOUTS_2013","stat_name","year"
1,1,"Jason Dufner",78,3,851,2,"Par4EagleLeaders",2013
1,1,"Ken Duke",87,3,948,3,"Par4EagleLeaders",2013
1,1,"Harris English",95,3,1030,2,"Par4EagleLeaders",2013
1,1,"Matt Every",89,3,955,3,"Par4EagleLeaders",2013
1,1,"Brad Fritsch",81,3,826,2,"Par4EagleLeaders",2013
1,1,"Charley Hoffman",84,3,900,2,"Par4EagleLeaders",2013
1,1,"John Huh",88,3,959,2,"Par4EagleLeaders",2013
1,1,"Boo Weekley",100,3,1092,2,"Par4EagleLeaders",2013
9,9,"Aaron Baddeley",68,2,694,2,"Par4EagleLeaders",2013
9,9,"Jonas Blixt",76,2,834,1,"Par4EagleLeaders",2013
9,9,"Scott Brown",65,2,686,1,"Par4EagleLeaders",2013
9,9,"Tim Clark",64,2,674,NA,"Par4EagleLeaders",2013
9,9,"Luke Donald",60,2,626,2,"Par4EagleLeaders",2013
9,9,"Jim Furyk",80,2,838,1,"Par4EagleLeaders",2013
9,9,"Bill Haas",85,2,913,1,"Par4EagleLeaders",2013
9,9,"Morgan Hoffmann",64,2,706,NA,"Par4EagleLeaders",2013
9,9,"Charles Howell III",87,2,914,1,"Par4EagleLeaders",2013
9,9,"Zach Johnson",84,2,905,2,"Par4EagleLeaders",2013
9,9,"Colt Knost",69,2,694,2,"Par4EagleLeaders",2013
9,9,"Doug LaBelle II",72,2,757,2,"Par4EagleLeaders",2013
9,9,"Marc Leishman",77,2,847,2,"Par4EagleLeaders",2013
9,9,"George McNeill",68,2,742,2,"Par4EagleLeaders",2013
9,9,"Carl Pettersson",82,2,870,NA,"Par4EagleLeaders",2013
