"FedExCupSeasonPoints_RANKTHISWEEK_2012","FedExCupSeasonPoints_RANKLASTWEEK_2012","FedExCupSeasonPoints_PLAYERNAME_2012","FedExCupSeasonPoints_EVENTS_2012","FedExCupSeasonPoints_POINTS_2012","FedExCupSeasonPoints_OFWINS_2012","FedExCupSeasonPoints_OFTOP10S_2012","FedExCupSeasonPoints_POINTSBEHINDLEAD_2012","FedExCupSeasonPoints_RESETPOINTS_2012","stat_name","year"
1,1,"Tiger Woods",15,2269,3,6,NA,NA,"FedExCupSeasonPoints",2012
2,2,"Jason Dufner",19,2110,2,8,159,NA,"FedExCupSeasonPoints",2012
3,3,"Rory McIlroy",12,2092,2,7,177,NA,"FedExCupSeasonPoints",2012
4,4,"Zach Johnson",20,2019,2,6,250,NA,"FedExCupSeasonPoints",2012
5,5,"Bubba Watson",15,1777,1,5,492,NA,"FedExCupSeasonPoints",2012
6,6,"Hunter Mahan",19,1739,2,4,530,NA,"FedExCupSeasonPoints",2012
7,7,"Carl Pettersson",22,1691,1,6,578,NA,"FedExCupSeasonPoints",2012
8,8,"Keegan Bradley",21,1670,1,5,599,NA,"FedExCupSeasonPoints",2012
9,9,"Matt Kuchar",18,1600,1,8,669,NA,"FedExCupSeasonPoints",2012
10,10,"Steve Stricker",15,1456,1,7,813,NA,"FedExCupSeasonPoints",2012
11,11,"Ernie Els",17,1447,1,5,822,NA,"FedExCupSeasonPoints",2012
12,12,"Justin Rose",15,1426,1,7,843,NA,"FedExCupSeasonPoints",2012
13,13,"Webb Simpson",18,1424,1,6,845,NA,"FedExCupSeasonPoints",2012
14,14,"Phil Mickelson",18,1373,1,5,896,NA,"FedExCupSeasonPoints",2012
15,15,"Scott Piercy",23,1304,1,3,965,NA,"FedExCupSeasonPoints",2012
16,16,"Luke Donald",13,1294,1,6,975,NA,"FedExCupSeasonPoints",2012
17,17,"Jim Furyk",19,1284,NA,5,985,NA,"FedExCupSeasonPoints",2012
18,18,"Rickie Fowler",19,1246,1,5,1023,NA,"FedExCupSeasonPoints",2012
19,19,"Brandt Snedeker",18,1194,1,4,1075,NA,"FedExCupSeasonPoints",2012
20,20,"Johnson Wagner",23,1181,1,4,1088,NA,"FedExCupSeasonPoints",2012
21,21,"Bill Haas",20,1181,1,3,1088,NA,"FedExCupSeasonPoints",2012
22,22,"Kyle Stanley",24,1177,1,2,1092,NA,"FedExCupSeasonPoints",2012
23,23,"Bo Van Pelt",20,1175,NA,8,1094,NA,"FedExCupSeasonPoints",2012
24,24,"Robert Garrigus",20,1155,NA,5,1114,NA,"FedExCupSeasonPoints",2012
