"OnePuttPercentageRound4_RANKTHISWEEK_2011","OnePuttPercentageRound4_RANKLASTWEEK_2011","OnePuttPercentageRound4_PLAYERNAME_2011","OnePuttPercentageRound4__2011","OnePuttPercentageRound4_Pct_2011","OnePuttPercentageRound4_OF1PUTTS_2011","OnePuttPercentageRound4_OFHOLES_2011","stat_name","year"
1,1,"Geoff Ogilvy",NA,48.72,114,234,"OnePuttPercentageRound4",2011
2,2,"Greg Chalmers",NA,47.22,136,288,"OnePuttPercentageRound4",2011
3,3,"Luke Donald",NA,47.04,127,270,"OnePuttPercentageRound4",2011
4,4,"Matt McQuillan",NA,46.53,67,144,"OnePuttPercentageRound4",2011
5,5,"Kevin Na",NA,46.3,125,270,"OnePuttPercentageRound4",2011
6,6,"Ryan Moore",NA,45.75,140,306,"OnePuttPercentageRound4",2011
7,7,"Ian Poulter",NA,45,81,180,"OnePuttPercentageRound4",2011
8,8,"Bryce Molder",NA,44.84,113,252,"OnePuttPercentageRound4",2011
9,9,"Will Strickler",NA,44.44,48,108,"OnePuttPercentageRound4",2011
9,9,"Daniel Summerhays",NA,44.44,64,144,"OnePuttPercentageRound4",2011
11,11,"Nick Watney",NA,44.12,135,306,"OnePuttPercentageRound4",2011
12,12,"Phil Mickelson",NA,43.52,141,324,"OnePuttPercentageRound4",2011
13,13,"Camilo Villegas",NA,42.93,85,198,"OnePuttPercentageRound4",2011
14,14,"Jeff Overton",NA,42.78,154,360,"OnePuttPercentageRound4",2011
15,15,"KJ Choi",NA,42.71,123,288,"OnePuttPercentageRound4",2011
15,15,"Jason Day",NA,42.71,123,288,"OnePuttPercentageRound4",2011
17,17,"Ryuji Imada",NA,42.59,92,216,"OnePuttPercentageRound4",2011
18,18,"Ben Crane",NA,42.46,107,252,"OnePuttPercentageRound4",2011
19,19,"Retief Goosen",NA,42.22,76,180,"OnePuttPercentageRound4",2011
20,20,"Hunter Haas",NA,41.67,120,288,"OnePuttPercentageRound4",2011
20,20,"Matt Jones",NA,41.67,75,180,"OnePuttPercentageRound4",2011
20,20,"Bio Kim",NA,41.67,75,180,"OnePuttPercentageRound4",2011
20,20,"Pat Perez",NA,41.67,105,252,"OnePuttPercentageRound4",2011
20,20,"Carl Pettersson",NA,41.67,150,360,"OnePuttPercentageRound4",2011
20,20,"DA Points",NA,41.67,135,324,"OnePuttPercentageRound4",2011
26,26,"Scott Piercy",NA,41.48,112,270,"OnePuttPercentageRound4",2011
27,27,"David Duval",NA,41.36,67,162,"OnePuttPercentageRound4",2011
27,27,"Brian Gay",NA,41.36,134,324,"OnePuttPercentageRound4",2011
29,29,"Chris Couch",NA,41.32,119,288,"OnePuttPercentageRound4",2011
29,29,"Brandt Snedeker",NA,41.32,119,288,"OnePuttPercentageRound4",2011
31,31,"Marc Turnesa",NA,41.27,52,126,"OnePuttPercentageRound4",2011
32,32,"YE Yang",NA,41.2,89,216,"OnePuttPercentageRound4",2011
33,33,"Steve Flesch",NA,41.18,126,306,"OnePuttPercentageRound4",2011
34,34,"Anthony Kim",NA,41.11,74,180,"OnePuttPercentageRound4",2011
35,35,"Marc Leishman",NA,40.97,118,288,"OnePuttPercentageRound4",2011
35,35,"Andres Romero",NA,40.97,118,288,"OnePuttPercentageRound4",2011
37,37,"Webb Simpson",NA,40.91,162,396,"OnePuttPercentageRound4",2011
37,37,"Roland Thatcher",NA,40.91,81,198,"OnePuttPercentageRound4",2011
39,39,"Robert Karlsson",NA,40.74,88,216,"OnePuttPercentageRound4",2011
39,39,"Adam Scott",NA,40.74,88,216,"OnePuttPercentageRound4",2011
39,39,"Garrett Willis",NA,40.74,88,216,"OnePuttPercentageRound4",2011
42,42,"Hunter Mahan",NA,40.56,146,360,"OnePuttPercentageRound4",2011
43,43,"Rickie Fowler",NA,40.52,124,306,"OnePuttPercentageRound4",2011
44,44,"Joe Durant",NA,40.4,80,198,"OnePuttPercentageRound4",2011
44,44,"Jarrod Lyle",NA,40.4,80,198,"OnePuttPercentageRound4",2011
46,46,"Martin Laird",NA,40.37,109,270,"OnePuttPercentageRound4",2011
47,47,"Graeme McDowell",NA,40.28,58,144,"OnePuttPercentageRound4",2011
47,47,"Martin Piller",NA,40.28,58,144,"OnePuttPercentageRound4",2011
47,47,"Steve Stricker",NA,40.28,116,288,"OnePuttPercentageRound4",2011
50,50,"Zach Johnson",NA,40.2,123,306,"OnePuttPercentageRound4",2011
51,51,"Harrison Frazar",NA,40.12,65,162,"OnePuttPercentageRound4",2011
52,52,"Robert Garrigus",NA,39.93,115,288,"OnePuttPercentageRound4",2011
53,53,"Mark Wilson",NA,39.87,122,306,"OnePuttPercentageRound4",2011
54,54,"Shane Bertsch",NA,39.39,78,198,"OnePuttPercentageRound4",2011
55,55,"Lee Janzen",NA,39.35,85,216,"OnePuttPercentageRound4",2011
56,56,"Matt Bettencourt",NA,39.32,92,234,"OnePuttPercentageRound4",2011
57,57,"Ricky Barnes",NA,39.24,113,288,"OnePuttPercentageRound4",2011
58,58,"Steve Elkington",NA,38.89,49,126,"OnePuttPercentageRound4",2011
58,58,"Sergio Garcia",NA,38.89,98,252,"OnePuttPercentageRound4",2011
58,58,"Rocco Mediate",NA,38.89,42,108,"OnePuttPercentageRound4",2011
61,61,"Brian Davis",NA,38.62,146,378,"OnePuttPercentageRound4",2011
62,62,"Kevin Streelman",NA,38.58,125,324,"OnePuttPercentageRound4",2011
63,63,"Brendan Steele",NA,38.56,118,306,"OnePuttPercentageRound4",2011
64,64,"Arjun Atwal",NA,38.52,104,270,"OnePuttPercentageRound4",2011
64,64,"Steven Bowditch",NA,38.52,104,270,"OnePuttPercentageRound4",2011
66,66,"Matt Kuchar",NA,38.33,138,360,"OnePuttPercentageRound4",2011
67,67,"Bo Van Pelt",NA,38.27,124,324,"OnePuttPercentageRound4",2011
68,68,"Robert Allenby",NA,38.24,117,306,"OnePuttPercentageRound4",2011
68,68,"Troy Matteson",NA,38.24,117,306,"OnePuttPercentageRound4",2011
70,70,"Chris DiMarco",NA,38.19,110,288,"OnePuttPercentageRound4",2011
71,71,"Lucas Glover",NA,38.15,103,270,"OnePuttPercentageRound4",2011
71,71,"Tim Petrovic",NA,38.15,103,270,"OnePuttPercentageRound4",2011
73,73,"Gary Woodland",NA,38.06,137,360,"OnePuttPercentageRound4",2011
74,74,"Charley Hoffman",NA,38.01,130,342,"OnePuttPercentageRound4",2011
75,75,"Chez Reavie",NA,37.96,123,324,"OnePuttPercentageRound4",2011
76,76,"Blake Adams",NA,37.92,157,414,"OnePuttPercentageRound4",2011
77,77,"Charlie Wi",NA,37.85,109,288,"OnePuttPercentageRound4",2011
78,78,"Jason Dufner",NA,37.78,102,270,"OnePuttPercentageRound4",2011
78,78,"Richard Johnson",NA,37.78,68,180,"OnePuttPercentageRound4",2011
80,80,"Angel Cabrera",NA,37.5,54,144,"OnePuttPercentageRound4",2011
80,80,"JP Hayes",NA,37.5,54,144,"OnePuttPercentageRound4",2011
80,80,"George McNeill",NA,37.5,81,216,"OnePuttPercentageRound4",2011
80,80,"Troy Merritt",NA,37.5,54,144,"OnePuttPercentageRound4",2011
84,84,"Chad Campbell",NA,37.43,128,342,"OnePuttPercentageRound4",2011
85,85,"Jason Bohn",NA,37.41,101,270,"OnePuttPercentageRound4",2011
86,86,"Trevor Immelman",NA,37.25,114,306,"OnePuttPercentageRound4",2011
87,87,"Ben Curtis",NA,37.22,67,180,"OnePuttPercentageRound4",2011
88,88,"Jerry Kelly",NA,37.15,107,288,"OnePuttPercentageRound4",2011
88,88,"Justin Rose",NA,37.15,107,288,"OnePuttPercentageRound4",2011
90,90,"John Rollins",NA,37.04,100,270,"OnePuttPercentageRound4",2011
91,91,"Stewart Cink",NA,36.9,93,252,"OnePuttPercentageRound4",2011
91,91,"Michael Thompson",NA,36.9,93,252,"OnePuttPercentageRound4",2011
93,93,"Ryan Palmer",NA,36.81,106,288,"OnePuttPercentageRound4",2011
93,93,"David Toms",NA,36.81,106,288,"OnePuttPercentageRound4",2011
95,95,"Chris Riley",NA,36.75,86,234,"OnePuttPercentageRound4",2011
96,96,"Dustin Johnson",NA,36.67,99,270,"OnePuttPercentageRound4",2011
96,96,"Dean Wilson",NA,36.67,66,180,"OnePuttPercentageRound4",2011
98,98,"Stephen Ames",NA,36.57,79,216,"OnePuttPercentageRound4",2011
98,98,"Cameron Beckman",NA,36.57,79,216,"OnePuttPercentageRound4",2011
98,98,"Kevin Chappell",NA,36.57,79,216,"OnePuttPercentageRound4",2011
98,98,"Sean OHair",NA,36.57,79,216,"OnePuttPercentageRound4",2011
102,102,"Justin Leonard",NA,36.51,92,252,"OnePuttPercentageRound4",2011
102,102,"Charl Schwartzel",NA,36.51,92,252,"OnePuttPercentageRound4",2011
102,102,"Cameron Tringale",NA,36.51,138,378,"OnePuttPercentageRound4",2011
105,105,"Aaron Baddeley",NA,36.46,105,288,"OnePuttPercentageRound4",2011
106,106,"Tom Gillis",NA,36.42,59,162,"OnePuttPercentageRound4",2011
107,107,"Kevin Kisner",NA,36.36,72,198,"OnePuttPercentageRound4",2011
108,108,"Joe Ogilvie",NA,36.32,85,234,"OnePuttPercentageRound4",2011
109,109,"Tommy Gainey",NA,36.11,117,324,"OnePuttPercentageRound4",2011
109,109,"Paul Goydos",NA,36.11,91,252,"OnePuttPercentageRound4",2011
109,109,"Billy Mayfair",NA,36.11,117,324,"OnePuttPercentageRound4",2011
109,109,"Scott McCarron",NA,36.11,65,180,"OnePuttPercentageRound4",2011
113,113,"Jonathan Byrd",NA,35.93,97,270,"OnePuttPercentageRound4",2011
113,113,"Paul Stankowski",NA,35.93,97,270,"OnePuttPercentageRound4",2011
115,115,"James Driscoll",NA,35.86,71,198,"OnePuttPercentageRound4",2011
116,116,"Nick OHern",NA,35.76,103,288,"OnePuttPercentageRound4",2011
117,117,"Nathan Green",NA,35.71,90,252,"OnePuttPercentageRound4",2011
118,118,"Bubba Watson",NA,35.67,122,342,"OnePuttPercentageRound4",2011
119,119,"Bill Haas",NA,35.56,128,360,"OnePuttPercentageRound4",2011
119,119,"Spencer Levin",NA,35.56,160,450,"OnePuttPercentageRound4",2011
119,119,"Tag Ridings",NA,35.56,96,270,"OnePuttPercentageRound4",2011
119,119,"Jimmy Walker",NA,35.56,96,270,"OnePuttPercentageRound4",2011
123,123,"Kent Jones",NA,35.47,83,234,"OnePuttPercentageRound4",2011
124,124,"Jhonattan Vegas",NA,35.42,102,288,"OnePuttPercentageRound4",2011
125,125,"Keegan Bradley",NA,35.29,108,306,"OnePuttPercentageRound4",2011
126,126,"Charles Howell III",NA,35.27,146,414,"OnePuttPercentageRound4",2011
127,127,"Michael Connell",NA,35.19,76,216,"OnePuttPercentageRound4",2011
127,127,"Chris Kirk",NA,35.19,95,270,"OnePuttPercentageRound4",2011
127,127,"Nate Smith",NA,35.19,57,162,"OnePuttPercentageRound4",2011
127,127,"Chris Stroud",NA,35.19,95,270,"OnePuttPercentageRound4",2011
127,127,"DJ Trahan",NA,35.19,95,270,"OnePuttPercentageRound4",2011
132,132,"Jim Furyk",NA,34.97,107,306,"OnePuttPercentageRound4",2011
133,133,"William McGirt",NA,34.8,119,342,"OnePuttPercentageRound4",2011
134,134,"Padraig Harrington",NA,34.72,75,216,"OnePuttPercentageRound4",2011
135,135,"Tim Herron",NA,34.52,87,252,"OnePuttPercentageRound4",2011
136,136,"Sung Kang",NA,34.44,62,180,"OnePuttPercentageRound4",2011
136,136,"Johnson Wagner",NA,34.44,93,270,"OnePuttPercentageRound4",2011
138,138,"Brendon de Jonge",NA,34.39,130,378,"OnePuttPercentageRound4",2011
139,139,"Kris Blanks",NA,34.38,99,288,"OnePuttPercentageRound4",2011
