"Total1Putts1015_RANKTHISWEEK_2005","Total1Putts1015_RANKLASTWEEK_2005","Total1Putts1015_PLAYERNAME_2005","Total1Putts1015_ROUNDS_2005","Total1Putts1015_TOTAL_2005","Total1Putts1015_TOTALFORALLDISTANCES_2005","Total1Putts1015_PCTOFALL1PUTTS_2005","stat_name","year"
1,1,"Bo Van Pelt",112,92,653,14.1,"Total1Putts1015",2005
2,2,"Kent Jones",99,91,626,14.5,"Total1Putts1015",2005
3,3,"Ryan Palmer",101,90,577,15.6,"Total1Putts1015",2005
4,4,"Tommy Armour III",103,89,593,15,"Total1Putts1015",2005
5,5,"Neal Lancaster",95,88,605,14.5,"Total1Putts1015",2005
6,6,"Ted Purdy",122,87,652,13.3,"Total1Putts1015",2005
7,7,"Woody Austin",100,86,645,13.3,"Total1Putts1015",2005
8,8,"Len Mattiace",86,84,572,14.7,"Total1Putts1015",2005
9,9,"Steve Allan",102,83,622,13.3,"Total1Putts1015",2005
10,10,"Tag Ridings",93,82,628,13.1,"Total1Putts1015",2005
11,11,"Billy Mayfair",114,81,659,12.3,"Total1Putts1015",2005
11,11,"Vijay Singh",111,81,642,12.6,"Total1Putts1015",2005
13,13,"Joey Sindelar",104,80,666,12,"Total1Putts1015",2005
14,14,"Brian Gay",101,79,701,11.3,"Total1Putts1015",2005
14,14,"Patrick Sheehan",114,79,698,11.3,"Total1Putts1015",2005
14,14,"Mark Wilson",74,79,448,17.6,"Total1Putts1015",2005
17,17,"Tim Herron",100,78,607,12.9,"Total1Putts1015",2005
18,18,"Hunter Mahan",103,77,643,12,"Total1Putts1015",2005
18,18,"Chris Smith",93,77,507,15.2,"Total1Putts1015",2005
20,20,"Billy Andrade",83,75,546,13.7,"Total1Putts1015",2005
20,20,"Jason Bohn",91,75,560,13.4,"Total1Putts1015",2005
20,20,"Steve Lowery",100,75,631,11.9,"Total1Putts1015",2005
23,23,"Daniel Chopra",108,74,679,10.9,"Total1Putts1015",2005
23,23,"Jim Furyk",94,74,525,14.1,"Total1Putts1015",2005
23,23,"Robert Gamez",91,74,593,12.5,"Total1Putts1015",2005
23,23,"Brandt Jobe",96,74,563,13.1,"Total1Putts1015",2005
23,23,"Hank Kuehne",84,74,538,13.8,"Total1Putts1015",2005
28,28,"Carl Pettersson",109,73,673,10.8,"Total1Putts1015",2005
28,28,"Dean Wilson",86,73,559,13.1,"Total1Putts1015",2005
30,30,"Bart Bryant",91,72,521,13.8,"Total1Putts1015",2005
30,30,"Todd Fischer",99,72,656,11,"Total1Putts1015",2005
30,30,"Frank Lickliter II",100,72,570,12.6,"Total1Putts1015",2005
33,33,"Harrison Frazar",105,71,656,10.8,"Total1Putts1015",2005
33,33,"Heath Slocum",103,71,615,11.5,"Total1Putts1015",2005
33,33,"Darron Stiles",78,71,502,14.1,"Total1Putts1015",2005
36,36,"Olin Browne",99,70,570,12.3,"Total1Putts1015",2005
36,36,"Stewart Cink",98,70,513,13.6,"Total1Putts1015",2005
36,36,"John Huston",90,70,585,12,"Total1Putts1015",2005
36,36,"Franklin Langham",91,70,510,13.7,"Total1Putts1015",2005
36,36,"Kevin Na",88,70,610,11.5,"Total1Putts1015",2005
36,36,"Pat Perez",89,70,560,12.5,"Total1Putts1015",2005
36,36,"Bob Tway",87,70,478,14.6,"Total1Putts1015",2005
36,36,"Charles Warren",89,70,533,13.1,"Total1Putts1015",2005
44,44,"Brad Faxon",75,69,451,15.3,"Total1Putts1015",2005
44,44,"Scott Gutschewski",86,69,477,14.5,"Total1Putts1015",2005
44,44,"Tom Pernice Jr",111,69,650,10.6,"Total1Putts1015",2005
44,44,"Nick Watney",91,69,550,12.5,"Total1Putts1015",2005
48,48,"DA Points",94,68,555,12.3,"Total1Putts1015",2005
49,49,"Briny Baird",98,67,585,11.5,"Total1Putts1015",2005
49,49,"Marco Dawson",82,67,552,12.1,"Total1Putts1015",2005
49,49,"Phillip Price",77,67,470,14.3,"Total1Putts1015",2005
52,52,"Shigeki Maruyama",99,66,635,10.4,"Total1Putts1015",2005
52,52,"Vaughn Taylor",99,66,637,10.4,"Total1Putts1015",2005
52,52,"Omar Uresti",84,66,505,13.1,"Total1Putts1015",2005
55,55,"Hunter Haas",83,65,522,12.5,"Total1Putts1015",2005
55,55,"Sean OHair",103,65,597,10.9,"Total1Putts1015",2005
55,55,"Tim Petrovic",97,65,546,11.9,"Total1Putts1015",2005
55,55,"Brett Quigley",96,65,605,10.7,"Total1Putts1015",2005
55,55,"Kevin Stadler",96,65,575,11.3,"Total1Putts1015",2005
55,55,"Hidemichi Tanaka",106,65,655,9.9,"Total1Putts1015",2005
55,55,"Brett Wetterich",76,65,452,14.4,"Total1Putts1015",2005
62,62,"Robert Allenby",95,64,467,13.7,"Total1Putts1015",2005
62,62,"Jonathan Byrd",103,64,650,9.8,"Total1Putts1015",2005
62,62,"Tom Byrum",83,64,509,12.6,"Total1Putts1015",2005
62,62,"Chad Campbell",95,64,509,12.6,"Total1Putts1015",2005
62,62,"Bob Estes",92,64,575,11.1,"Total1Putts1015",2005
62,62,"Geoff Ogilvy",97,64,551,11.6,"Total1Putts1015",2005
68,68,"Aaron Baddeley",84,63,585,10.8,"Total1Putts1015",2005
68,68,"Fred Funk",102,63,563,11.2,"Total1Putts1015",2005
68,68,"Joe Ogilvie",103,63,620,10.2,"Total1Putts1015",2005
68,68,"Kenny Perry",82,63,410,15.4,"Total1Putts1015",2005
68,68,"Joey Snyder III",102,63,564,11.2,"Total1Putts1015",2005
68,68,"Kevin Sutherland",89,63,509,12.4,"Total1Putts1015",2005
74,74,"Lucas Glover",88,62,532,11.7,"Total1Putts1015",2005
74,74,"Dudley Hart",84,62,526,11.8,"Total1Putts1015",2005
74,74,"Charles Howell III",95,62,493,12.6,"Total1Putts1015",2005
77,77,"Matt Gogel",78,61,469,13,"Total1Putts1015",2005
77,77,"Roland Thatcher",75,61,433,14.1,"Total1Putts1015",2005
79,79,"Stephen Ames",82,60,461,13,"Total1Putts1015",2005
79,79,"Tim Clark",92,60,478,12.6,"Total1Putts1015",2005
79,79,"John Cook",72,60,408,14.7,"Total1Putts1015",2005
79,79,"James Driscoll",73,60,448,13.4,"Total1Putts1015",2005
79,79,"John Rollins",97,60,546,11,"Total1Putts1015",2005
84,84,"Brian Bateman",98,59,562,10.5,"Total1Putts1015",2005
84,84,"Cameron Beckman",96,59,607,9.7,"Total1Putts1015",2005
84,84,"Glen Day",80,59,562,10.5,"Total1Putts1015",2005
84,84,"Steve Flesch",90,59,443,13.3,"Total1Putts1015",2005
84,84,"Larry Mize",54,59,340,17.4,"Total1Putts1015",2005
84,84,"Jesper Parnevik",84,59,492,12,"Total1Putts1015",2005
84,84,"Rory Sabbatini",81,59,434,13.6,"Total1Putts1015",2005
84,84,"Jeff Sluman",94,59,585,10.1,"Total1Putts1015",2005
84,84,"Charlie Wi",67,59,476,12.4,"Total1Putts1015",2005
93,93,"Alex Cejka",84,58,456,12.7,"Total1Putts1015",2005
93,93,"Zach Johnson",96,58,591,9.8,"Total1Putts1015",2005
95,95,"Robert Damron",89,57,550,10.4,"Total1Putts1015",2005
95,95,"Ryuji Imada",78,57,470,12.1,"Total1Putts1015",2005
95,95,"Stephen Leaney",89,57,502,11.4,"Total1Putts1015",2005
95,95,"Justin Rose",99,57,613,9.3,"Total1Putts1015",2005
95,95,"Steve Stricker",62,57,479,11.9,"Total1Putts1015",2005
95,95,"Scott Verplank",87,57,473,12.1,"Total1Putts1015",2005
101,101,"Paul Gow",78,56,471,11.9,"Total1Putts1015",2005
101,101,"JJ Henry",102,56,554,10.1,"Total1Putts1015",2005
101,101,"JL Lewis",98,56,578,9.7,"Total1Putts1015",2005
104,104,"Arjun Atwal",65,55,455,12.1,"Total1Putts1015",2005
104,104,"Greg Owen",84,55,486,11.3,"Total1Putts1015",2005
104,104,"David Toms",87,55,455,12.1,"Total1Putts1015",2005
107,107,"Michael Allen",90,54,553,9.8,"Total1Putts1015",2005
107,107,"DJ Brigman",76,54,401,13.5,"Total1Putts1015",2005
107,107,"Brian Davis",75,54,473,11.4,"Total1Putts1015",2005
107,107,"Rod Pampling",89,54,485,11.1,"Total1Putts1015",2005
107,107,"Duffy Waldorf",86,54,498,10.8,"Total1Putts1015",2005
112,112,"Gavin Coles",70,53,460,11.5,"Total1Putts1015",2005
112,112,"Scott Hend",75,53,449,11.8,"Total1Putts1015",2005
112,112,"Skip Kendall",80,53,481,11,"Total1Putts1015",2005
112,112,"John Senden",101,53,576,9.2,"Total1Putts1015",2005
116,116,"Todd Hamilton",94,52,534,9.7,"Total1Putts1015",2005
116,116,"Bob Heintz",67,52,478,10.9,"Total1Putts1015",2005
116,116,"Mario Tiziani",67,52,417,12.5,"Total1Putts1015",2005
119,119,"Justin Bolli",65,51,417,12.2,"Total1Putts1015",2005
119,119,"Brent Geiberger",61,51,350,14.6,"Total1Putts1015",2005
119,119,"Tom Gillis",77,51,465,11,"Total1Putts1015",2005
119,119,"Jerry Kelly",101,51,527,9.7,"Total1Putts1015",2005
119,119,"Will Ma Kenzie",75,51,466,10.9,"Total1Putts1015",2005
119,119,"Loren Roberts",54,51,344,14.8,"Total1Putts1015",2005
125,125,"Ben Crane",78,50,524,9.5,"Total1Putts1015",2005
125,125,"Carlos Franco",78,50,461,10.8,"Total1Putts1015",2005
127,127,"Brendan Jones",81,49,494,9.9,"Total1Putts1015",2005
127,127,"Matt Kuchar",60,49,391,12.5,"Total1Putts1015",2005
127,127,"Justin Leonard",78,49,395,12.4,"Total1Putts1015",2005
127,127,"Davis Love III",80,49,398,12.3,"Total1Putts1015",2005
127,127,"Jeff Maggert",79,49,421,11.6,"Total1Putts1015",2005
127,127,"Brenden Pappas",51,49,358,13.7,"Total1Putts1015",2005
127,127,"Kirk Triplett",55,49,314,15.6,"Total1Putts1015",2005
