"GIRPercentageLess75yards_RANKTHISWEEK_2006","GIRPercentageLess75yards_RANKLASTWEEK_2006","GIRPercentageLess75yards_PLAYERNAME_2006","GIRPercentageLess75yards_ROUNDS_2006","GIRPercentageLess75yards_Pct_2006","GIRPercentageLess75yards_GREENSHIT_2006","GIRPercentageLess75yards_TOTALHOLES_2006","GIRPercentageLess75yards_RELATIVETOPAR_2006","stat_name","year"
1,1,"Mark OMeara",52,96.36,53,55,-0.58,"GIRPercentageLess75yards",2006
2,2,"Jose Maria Olazabal",62,94.57,87,92,-0.56,"GIRPercentageLess75yards",2006
3,3,"Arron Oberholser",82,94.12,128,136,-0.58,"GIRPercentageLess75yards",2006
4,4,"Michael Connell",51,93.9,77,82,-0.51,"GIRPercentageLess75yards",2006
5,5,"Alex Cejka",93,93.53,188,201,-0.55,"GIRPercentageLess75yards",2006
6,6,"Jonathan Byrd",66,93.2,137,147,-0.61,"GIRPercentageLess75yards",2006
7,7,"Ron Whittaker",81,92.97,119,128,-0.52,"GIRPercentageLess75yards",2006
8,8,"Justin Rose",98,92.86,182,196,-0.63,"GIRPercentageLess75yards",2006
9,9,"Larry Mize",53,92.59,50,54,-0.66,"GIRPercentageLess75yards",2006
10,10,"Chad Campbell",91,92.2,130,141,-0.68,"GIRPercentageLess75yards",2006
10,10,"Mike Weir",88,92.2,130,141,-0.56,"GIRPercentageLess75yards",2006
12,12,"Steve Flesch",119,92.17,200,217,-0.61,"GIRPercentageLess75yards",2006
13,13,"Tom Lehman",70,92.16,94,102,-0.54,"GIRPercentageLess75yards",2006
14,14,"Richard Johnson",94,91.89,136,148,-0.57,"GIRPercentageLess75yards",2006
15,15,"Stephen Ames",63,91.74,100,109,-0.63,"GIRPercentageLess75yards",2006
16,16,"Frank Lickliter II",99,91.7,210,229,-0.6,"GIRPercentageLess75yards",2006
17,17,"Stephen Leaney",84,91.6,120,131,-0.53,"GIRPercentageLess75yards",2006
18,18,"Jeff Sluman",101,91.52,151,165,-0.56,"GIRPercentageLess75yards",2006
19,19,"Jeff Gove",91,91.5,183,200,-0.57,"GIRPercentageLess75yards",2006
20,20,"Nathan Green",108,91.48,204,223,-0.65,"GIRPercentageLess75yards",2006
21,21,"Nick Watney",97,91.47,236,258,-0.61,"GIRPercentageLess75yards",2006
22,22,"Vance Veazey",59,91.4,85,93,-0.66,"GIRPercentageLess75yards",2006
23,23,"Dudley Hart",83,91.37,127,139,-0.62,"GIRPercentageLess75yards",2006
24,24,"Jim Furyk",89,91.3,126,138,-0.71,"GIRPercentageLess75yards",2006
25,25,"Carl Pettersson",95,91.06,163,179,-0.55,"GIRPercentageLess75yards",2006
26,26,"Tim Petrovic",95,91,192,211,-0.49,"GIRPercentageLess75yards",2006
27,27,"David Duval",71,90.98,111,122,-0.58,"GIRPercentageLess75yards",2006
27,27,"Adam Scott",70,90.98,111,122,-0.6,"GIRPercentageLess75yards",2006
27,27,"Tiger Woods",55,90.98,111,122,-0.76,"GIRPercentageLess75yards",2006
30,30,"Jerry Kelly",100,90.85,149,164,-0.55,"GIRPercentageLess75yards",2006
31,31,"Phil Mickelson",74,90.64,155,171,-0.65,"GIRPercentageLess75yards",2006
32,32,"Brett Wetterich",82,90.6,212,234,-0.6,"GIRPercentageLess75yards",2006
33,33,"Ben Curtis",86,90.57,96,106,-0.58,"GIRPercentageLess75yards",2006
34,34,"Steve Elkington",52,90.38,94,104,-0.55,"GIRPercentageLess75yards",2006
35,35,"Rod Pampling",89,90.28,130,144,-0.57,"GIRPercentageLess75yards",2006
36,36,"Kent Jones",103,90.16,174,193,-0.61,"GIRPercentageLess75yards",2006
37,37,"Jason Bohn",104,90.13,201,223,-0.58,"GIRPercentageLess75yards",2006
37,37,"Jerry Smith",94,90.13,137,152,-0.47,"GIRPercentageLess75yards",2006
39,39,"Roger Tambellini",64,90.07,127,141,-0.54,"GIRPercentageLess75yards",2006
40,40,"Tom Pernice Jr",108,89.95,179,199,-0.67,"GIRPercentageLess75yards",2006
41,41,"Mark Wilson",79,89.93,125,139,-0.58,"GIRPercentageLess75yards",2006
42,42,"Jason Gore",86,89.83,159,177,-0.64,"GIRPercentageLess75yards",2006
42,42,"Brett Quigley",109,89.83,212,236,-0.6,"GIRPercentageLess75yards",2006
44,44,"Craig Barlow",77,89.74,175,195,-0.67,"GIRPercentageLess75yards",2006
45,45,"Ian Poulter",53,89.72,96,107,-0.52,"GIRPercentageLess75yards",2006
46,46,"John Engler Jr",69,89.63,121,135,-0.54,"GIRPercentageLess75yards",2006
46,46,"Robert Gamez",94,89.63,121,135,-0.54,"GIRPercentageLess75yards",2006
48,48,"Kirk Triplett",58,89.47,85,95,-0.47,"GIRPercentageLess75yards",2006
49,49,"Billy Mayfair",94,89.44,161,180,-0.58,"GIRPercentageLess75yards",2006
50,50,"Shane Bertsch",104,89.29,125,140,-0.62,"GIRPercentageLess75yards",2006
51,51,"Stewart Cink",93,89.23,116,130,-0.65,"GIRPercentageLess75yards",2006
52,52,"Omar Uresti",61,89.22,91,102,-0.55,"GIRPercentageLess75yards",2006
53,53,"Jeff Brehaut",100,89.18,173,194,-0.61,"GIRPercentageLess75yards",2006
54,54,"Jason Schultz",77,89.12,131,147,-0.66,"GIRPercentageLess75yards",2006
55,55,"Briny Baird",81,89.1,139,156,-0.6,"GIRPercentageLess75yards",2006
56,56,"Trevor Immelman",86,89.06,171,192,-0.66,"GIRPercentageLess75yards",2006
57,57,"Chris Couch",75,89.04,195,219,-0.53,"GIRPercentageLess75yards",2006
57,57,"David McKenzie",82,89.04,130,146,-0.59,"GIRPercentageLess75yards",2006
59,59,"John Senden",96,89.01,170,191,-0.59,"GIRPercentageLess75yards",2006
60,60,"Paul Stankowski",70,88.89,128,144,-0.55,"GIRPercentageLess75yards",2006
61,61,"Harrison Frazar",95,88.79,190,214,-0.66,"GIRPercentageLess75yards",2006
62,62,"Joe Durant",101,88.69,243,274,-0.56,"GIRPercentageLess75yards",2006
63,63,"Rory Sabbatini",84,88.67,133,150,-0.59,"GIRPercentageLess75yards",2006
64,64,"Skip Kendall",72,88.62,109,123,-0.49,"GIRPercentageLess75yards",2006
65,65,"Woody Austin",107,88.61,179,202,-0.63,"GIRPercentageLess75yards",2006
66,66,"Steve Stricker",64,88.54,85,96,-0.74,"GIRPercentageLess75yards",2006
66,66,"Tjaart van der Walt",60,88.54,85,96,-0.53,"GIRPercentageLess75yards",2006
68,68,"Ernie Els",69,88.52,108,122,-0.73,"GIRPercentageLess75yards",2006
69,69,"DA Points",82,88.51,131,148,-0.55,"GIRPercentageLess75yards",2006
70,70,"JP Hayes",55,88.5,100,113,-0.64,"GIRPercentageLess75yards",2006
71,71,"Tag Ridings",103,88.49,223,252,-0.63,"GIRPercentageLess75yards",2006
72,72,"Brian Davis",92,88.48,192,217,-0.44,"GIRPercentageLess75yards",2006
73,73,"Hunter Mahan",98,88.41,206,233,-0.57,"GIRPercentageLess75yards",2006
74,74,"JL Lewis",57,88.39,99,112,-0.51,"GIRPercentageLess75yards",2006
75,75,"Robert Allenby",79,88.34,144,163,-0.66,"GIRPercentageLess75yards",2006
76,76,"Joe Ogilvie",95,88.3,166,188,-0.6,"GIRPercentageLess75yards",2006
77,77,"Bo Van Pelt",102,88.26,203,230,-0.64,"GIRPercentageLess75yards",2006
78,78,"Steve Jones",83,88.24,105,119,-0.54,"GIRPercentageLess75yards",2006
79,79,"Marco Dawson",87,88.21,172,195,-0.62,"GIRPercentageLess75yards",2006
80,80,"Vaughn Taylor",88,88.2,157,178,-0.69,"GIRPercentageLess75yards",2006
81,81,"Kenny Perry",73,88.19,127,144,-0.55,"GIRPercentageLess75yards",2006
82,82,"Len Mattiace",59,88.18,97,110,-0.54,"GIRPercentageLess75yards",2006
83,83,"Zach Johnson",98,88.11,126,143,-0.62,"GIRPercentageLess75yards",2006
84,84,"Heath Slocum",96,88.08,170,193,-0.59,"GIRPercentageLess75yards",2006
85,85,"KJ Choi",93,88.07,155,176,-0.58,"GIRPercentageLess75yards",2006
86,86,"Bernhard Langer",77,88.06,118,134,-0.58,"GIRPercentageLess75yards",2006
87,87,"Robert Damron",91,88,132,150,-0.61,"GIRPercentageLess75yards",2006
87,87,"Lucas Glover",105,88,220,250,-0.65,"GIRPercentageLess75yards",2006
89,89,"Freddie Jacobson",56,87.97,117,133,-0.56,"GIRPercentageLess75yards",2006
89,89,"Scott Verplank",88,87.97,117,133,-0.65,"GIRPercentageLess75yards",2006
91,91,"David Toms",76,87.94,124,141,-0.7,"GIRPercentageLess75yards",2006
92,92,"Chris Smith",67,87.92,131,149,-0.58,"GIRPercentageLess75yards",2006
92,92,"Jimmy Walker",60,87.92,131,149,-0.63,"GIRPercentageLess75yards",2006
94,94,"Sergio Garcia",59,87.9,109,124,-0.6,"GIRPercentageLess75yards",2006
95,95,"Mike Sposa",68,87.88,116,132,-0.64,"GIRPercentageLess75yards",2006
96,96,"Stuart Appleby",83,87.85,159,181,-0.67,"GIRPercentageLess75yards",2006
97,97,"Chris DiMarco",83,87.79,115,131,-0.51,"GIRPercentageLess75yards",2006
98,98,"Kris Cox",83,87.71,157,179,-0.62,"GIRPercentageLess75yards",2006
99,99,"Vijay Singh",103,87.64,234,267,-0.68,"GIRPercentageLess75yards",2006
100,100,"Tim Clark",80,87.6,113,129,-0.59,"GIRPercentageLess75yards",2006
101,101,"Mark Calcavecchia",94,87.56,176,201,-0.52,"GIRPercentageLess75yards",2006
102,102,"Charley Hoffman",100,87.55,239,273,-0.69,"GIRPercentageLess75yards",2006
103,103,"Ben Crane",85,87.5,112,128,-0.63,"GIRPercentageLess75yards",2006
103,103,"Will Ma Kenzie",91,87.5,182,208,-0.68,"GIRPercentageLess75yards",2006
105,105,"DJ Trahan",92,87.43,167,191,-0.59,"GIRPercentageLess75yards",2006
106,106,"Steve Lowery",99,87.39,201,230,-0.66,"GIRPercentageLess75yards",2006
107,107,"Brandt Jobe",91,87.34,138,158,-0.65,"GIRPercentageLess75yards",2006
