"CarryEfficiency_RANKTHISWEEK_2014","CarryEfficiency_RANKLASTWEEK_2014","CarryEfficiency_PLAYERNAME_2014","CarryEfficiency_ROUNDS_2014","CarryEfficiency_AVG_2014","CarryEfficiency_AVERAGECARRYDISTYARDS_2014","CarryEfficiency_AVERAGECLUBHEADSPEED_2014","CarryEfficiency_TOTALATTEMPTS_2014","CarryEfficiency_HIGHESTCARRYEFFICIENCY_2014","stat_name","year"
1,1,"Jason Day",54,2.548,298.8,117.255,20,2.847,"CarryEfficiency",2014
2,2,"Bud Cauley",56,2.519,281.7,111.815,43,2.77,"CarryEfficiency",2014
3,3,"Hunter Mahan",88,2.517,282.7,112.343,71,2.771,"CarryEfficiency",2014
4,4,"Sean OHair",77,2.509,290.7,115.867,50,2.803,"CarryEfficiency",2014
5,5,"Davis Love III",74,2.508,287.6,114.682,47,2.792,"CarryEfficiency",2014
6,6,"Ryan Palmer",85,2.505,293.5,117.156,57,2.896,"CarryEfficiency",2014
7,7,"Mark Wilson",69,2.503,267.4,106.825,53,2.765,"CarryEfficiency",2014
8,8,"Billy Horschel",92,2.498,283.7,113.562,57,2.801,"CarryEfficiency",2014
8,8,"Webb Simpson",87,2.498,277.6,111.148,65,2.694,"CarryEfficiency",2014
10,10,"JB Holmes",86,2.493,297.7,119.439,52,2.896,"CarryEfficiency",2014
11,11,"Justin Rose",70,2.484,284.5,114.544,43,2.7,"CarryEfficiency",2014
12,12,"Morgan Hoffmann",103,2.483,283.4,114.138,77,2.779,"CarryEfficiency",2014
13,13,"Vijay Singh",83,2.481,276.6,111.515,62,2.742,"CarryEfficiency",2014
14,14,"Russell Henley",92,2.48,283.6,114.358,66,2.814,"CarryEfficiency",2014
15,15,"Josh Teater",90,2.478,282.5,114.014,72,2.745,"CarryEfficiency",2014
16,16,"Scott Stallings",77,2.477,288.7,116.544,50,2.776,"CarryEfficiency",2014
17,17,"Hideki Matsuyama",82,2.476,282.8,114.203,60,2.775,"CarryEfficiency",2014
17,17,"Geoff Ogilvy",84,2.476,282.2,113.964,61,2.746,"CarryEfficiency",2014
19,19,"Ben Crane",81,2.474,263.7,106.568,78,2.668,"CarryEfficiency",2014
20,20,"Chris Kirk",105,2.473,275.8,111.511,67,2.715,"CarryEfficiency",2014
20,20,"Will Ma Kenzie",82,2.473,276.7,111.885,72,2.677,"CarryEfficiency",2014
22,22,"Ernie Els",85,2.472,277,112.053,56,2.74,"CarryEfficiency",2014
22,22,"Dustin Johnson",58,2.472,299.6,121.183,25,2.657,"CarryEfficiency",2014
24,24,"Wes Roach",67,2.471,276.7,111.983,42,2.726,"CarryEfficiency",2014
25,25,"Bill Haas",107,2.47,280.3,113.518,71,2.725,"CarryEfficiency",2014
26,26,"Charley Hoffman",93,2.467,287.2,116.424,73,2.759,"CarryEfficiency",2014
26,26,"Bubba Watson",76,2.467,305,123.639,38,2.705,"CarryEfficiency",2014
28,28,"Phil Mickelson",71,2.465,285.5,115.816,33,2.629,"CarryEfficiency",2014
29,29,"Brian Davis",93,2.464,262.3,106.45,83,2.668,"CarryEfficiency",2014
29,29,"Jamie Lovemark",64,2.464,294.2,119.409,40,2.743,"CarryEfficiency",2014
31,31,"David Lingmerth",80,2.461,276,112.164,59,2.719,"CarryEfficiency",2014
32,32,"Keegan Bradley",89,2.46,287.6,116.897,52,2.622,"CarryEfficiency",2014
32,32,"Martin Laird",66,2.46,283.4,115.21,38,2.679,"CarryEfficiency",2014
34,34,"Zach Johnson",97,2.459,264.9,107.748,88,2.703,"CarryEfficiency",2014
34,34,"Nicholas Thompson",85,2.459,272.7,110.878,62,2.889,"CarryEfficiency",2014
36,36,"Graham DeLaet",80,2.458,294.2,119.689,50,2.704,"CarryEfficiency",2014
37,37,"Brandt Snedeker",89,2.457,270.7,110.195,61,2.693,"CarryEfficiency",2014
38,38,"Jordan Spieth",102,2.454,273.9,111.608,71,2.731,"CarryEfficiency",2014
38,38,"Kyle Stanley",87,2.454,283.9,115.677,62,2.695,"CarryEfficiency",2014
40,40,"James Hahn",82,2.453,278,113.355,61,2.645,"CarryEfficiency",2014
40,40,"Richard Lee",80,2.453,272.3,110.981,61,2.669,"CarryEfficiency",2014
42,42,"Rickie Fowler",91,2.451,288.9,117.856,56,2.682,"CarryEfficiency",2014
43,43,"JJ Henry",91,2.45,278.7,113.726,67,2.603,"CarryEfficiency",2014
43,43,"Tim Wilkinson",86,2.45,264.2,107.843,63,2.679,"CarryEfficiency",2014
45,45,"David Hearn",97,2.447,264,107.928,83,2.615,"CarryEfficiency",2014
45,45,"Ian Poulter",57,2.447,274.3,112.072,37,2.608,"CarryEfficiency",2014
47,47,"Brendan Steele",89,2.446,286.6,117.174,60,2.694,"CarryEfficiency",2014
47,47,"David Toms",64,2.446,254.2,103.9,53,2.625,"CarryEfficiency",2014
49,49,"Brad Fritsch",50,2.445,278.2,113.78,32,2.676,"CarryEfficiency",2014
49,49,"Brice Garnett",92,2.445,272.8,111.556,72,2.829,"CarryEfficiency",2014
51,51,"Brian Harman",111,2.444,268.8,110.013,96,2.643,"CarryEfficiency",2014
51,51,"Jeff Maggert",54,2.444,256.7,105.024,41,2.632,"CarryEfficiency",2014
53,53,"Andrew Loupe",65,2.443,298.1,122.035,31,2.653,"CarryEfficiency",2014
54,54,"DH Lee",54,2.442,262.3,107.42,40,2.673,"CarryEfficiency",2014
55,55,"Heath Slocum",71,2.441,257.1,105.351,58,2.659,"CarryEfficiency",2014
56,56,"Tyrone Van Aswegen",79,2.439,280.7,115.091,40,2.656,"CarryEfficiency",2014
56,56,"Bo Van Pelt",83,2.439,275.9,113.122,62,2.691,"CarryEfficiency",2014
56,56,"Jimmy Walker",98,2.439,285.3,116.985,52,2.662,"CarryEfficiency",2014
59,59,"Roberto Castro",76,2.438,267.9,109.914,55,2.644,"CarryEfficiency",2014
60,60,"Angel Cabrera",69,2.437,288.1,118.235,55,2.694,"CarryEfficiency",2014
60,60,"Tommy Gainey",73,2.437,277.2,113.775,52,2.624,"CarryEfficiency",2014
60,60,"DA Points",75,2.437,270.5,110.997,42,2.666,"CarryEfficiency",2014
60,60,"Kevin Stadler",90,2.437,277.4,113.832,57,2.624,"CarryEfficiency",2014
64,64,"Rory McIlroy",66,2.436,296.1,121.533,37,2.765,"CarryEfficiency",2014
65,65,"Robert Garrigus",80,2.435,290.5,119.317,56,2.669,"CarryEfficiency",2014
66,66,"Ben Curtis",77,2.434,260.3,106.955,65,2.606,"CarryEfficiency",2014
67,67,"Jonas Blixt",64,2.432,269.8,110.962,33,2.62,"CarryEfficiency",2014
67,67,"Carl Pettersson",91,2.432,275.4,113.197,80,2.743,"CarryEfficiency",2014
69,69,"Charles Howell III",106,2.431,288,118.482,88,2.754,"CarryEfficiency",2014
70,70,"Scott Brown",100,2.43,271.9,111.894,71,2.636,"CarryEfficiency",2014
70,70,"Andres Romero",81,2.43,279.8,115.124,51,2.67,"CarryEfficiency",2014
70,70,"Chris Stroud",88,2.43,266.3,109.595,65,2.675,"CarryEfficiency",2014
70,70,"Cameron Tringale",111,2.43,268.4,110.471,93,2.841,"CarryEfficiency",2014
74,74,"Chesson Hadley",84,2.429,274.2,112.878,72,2.676,"CarryEfficiency",2014
75,75,"Marc Leishman",81,2.428,282.9,116.485,60,2.716,"CarryEfficiency",2014
75,75,"Louis Oosthuizen",50,2.428,280.5,115.504,21,2.657,"CarryEfficiency",2014
77,77,"Kevin Streelman",79,2.427,275.6,113.566,58,2.68,"CarryEfficiency",2014
78,78,"Jonathan Byrd",76,2.426,274.4,113.072,59,2.723,"CarryEfficiency",2014
78,78,"Brooks Koepka",56,2.426,296,121.992,32,2.638,"CarryEfficiency",2014
78,78,"Ryan Moore",86,2.426,269.1,110.895,59,2.628,"CarryEfficiency",2014
81,81,"Harris English",95,2.425,288.5,118.957,57,2.643,"CarryEfficiency",2014
81,81,"Troy Matteson",62,2.425,276.7,114.104,36,2.68,"CarryEfficiency",2014
81,81,"Patrick Reed",92,2.425,281.1,115.91,54,2.668,"CarryEfficiency",2014
84,84,"Robert Allenby",83,2.422,269.7,111.32,56,2.627,"CarryEfficiency",2014
84,84,"Retief Goosen",94,2.422,271.1,111.925,72,2.712,"CarryEfficiency",2014
86,86,"Brian Gay",81,2.421,251.2,103.743,59,2.614,"CarryEfficiency",2014
86,86,"Danny Lee",84,2.421,268.6,110.956,58,2.621,"CarryEfficiency",2014
88,88,"Tim Clark",75,2.42,250.6,103.54,59,2.59,"CarryEfficiency",2014
89,89,"Johnson Wagner",69,2.417,271.1,112.174,51,2.613,"CarryEfficiency",2014
90,90,"Jim Renner",61,2.416,271.3,112.314,42,2.642,"CarryEfficiency",2014
91,91,"Chad Campbell",57,2.415,269.7,111.669,43,2.661,"CarryEfficiency",2014
92,92,"Matt Kuchar",91,2.414,262.7,108.846,70,2.819,"CarryEfficiency",2014
93,93,"Kevin Kisner",85,2.413,270.7,112.191,71,2.702,"CarryEfficiency",2014
93,93,"Michael Thompson",74,2.413,274.1,113.577,51,2.621,"CarryEfficiency",2014
95,95,"John Huh",87,2.411,266.3,110.444,65,2.667,"CarryEfficiency",2014
95,95,"Matt Jones",83,2.411,284.9,118.189,53,2.616,"CarryEfficiency",2014
97,97,"Luke Guthrie",85,2.41,272.6,113.111,74,2.707,"CarryEfficiency",2014
98,98,"Aaron Baddeley",74,2.409,283.3,117.617,48,2.627,"CarryEfficiency",2014
98,98,"Jason Kokrak",65,2.409,290.1,120.449,47,2.728,"CarryEfficiency",2014
98,98,"Seung Yul Noh",92,2.409,285,118.307,57,2.631,"CarryEfficiency",2014
101,101,"Steven Bowditch",93,2.408,279.7,116.158,71,2.687,"CarryEfficiency",2014
101,101,"Luke Donald",57,2.408,264.7,109.945,37,2.581,"CarryEfficiency",2014
101,101,"Jim Herman",62,2.408,276.2,114.715,39,2.608,"CarryEfficiency",2014
101,101,"Shawn Stefani",60,2.408,279.5,116.046,48,2.633,"CarryEfficiency",2014
101,101,"Brian Stuard",91,2.408,262.9,109.192,74,2.647,"CarryEfficiency",2014
101,101,"Camilo Villegas",95,2.408,274.5,114.001,81,2.625,"CarryEfficiency",2014
101,101,"Will Wilcox",51,2.408,284.6,118.205,32,2.736,"CarryEfficiency",2014
108,108,"Justin Hicks",103,2.407,263.7,109.554,92,2.596,"CarryEfficiency",2014
109,109,"Graeme McDowell",66,2.406,264.5,109.949,44,2.599,"CarryEfficiency",2014
109,109,"Rory Sabbatini",82,2.406,270.5,112.448,55,2.665,"CarryEfficiency",2014
