"EarlyRound4ScoringAverage_RANKTHISWEEK_2011","EarlyRound4ScoringAverage_RANKLASTWEEK_2011","EarlyRound4ScoringAverage_PLAYERNAME_2011","EarlyRound4ScoringAverage__2011","EarlyRound4ScoringAverage_AVG_2011","EarlyRound4ScoringAverage_TOTALSTROKES_2011","EarlyRound4ScoringAverage_TOTALROUNDS_2011","stat_name","year"
1,1,"Luke Donald",NA,67.33,202,3,"EarlyRound4ScoringAverage",2011
2,2,"David Toms",NA,67.4,337,5,"EarlyRound4ScoringAverage",2011
3,3,"Steven Bowditch",NA,67.83,407,6,"EarlyRound4ScoringAverage",2011
4,4,"Sung Kang",NA,68,204,3,"EarlyRound4ScoringAverage",2011
4,4,"Matt McQuillan",NA,68,204,3,"EarlyRound4ScoringAverage",2011
6,6,"Justin Hicks",NA,68.33,205,3,"EarlyRound4ScoringAverage",2011
7,7,"JP Hayes",NA,68.5,137,2,"EarlyRound4ScoringAverage",2011
7,7,"Gary Woodland",NA,68.5,411,6,"EarlyRound4ScoringAverage",2011
9,9,"Aron Price",NA,68.67,412,6,"EarlyRound4ScoringAverage",2011
9,9,"Will Strickler",NA,68.67,206,3,"EarlyRound4ScoringAverage",2011
11,11,"Joe Durant",NA,68.71,481,7,"EarlyRound4ScoringAverage",2011
12,12,"Charles Howell III",NA,68.8,344,5,"EarlyRound4ScoringAverage",2011
13,13,"Ben Curtis",NA,69,414,6,"EarlyRound4ScoringAverage",2011
13,13,"Brandt Snedeker",NA,69,276,4,"EarlyRound4ScoringAverage",2011
15,15,"Chris Kirk",NA,69.09,760,11,"EarlyRound4ScoringAverage",2011
16,16,"Briny Baird",NA,69.17,415,6,"EarlyRound4ScoringAverage",2011
17,17,"Spencer Levin",NA,69.18,761,11,"EarlyRound4ScoringAverage",2011
18,18,"Kevin Na",NA,69.22,623,9,"EarlyRound4ScoringAverage",2011
19,19,"Chris Stroud",NA,69.29,485,7,"EarlyRound4ScoringAverage",2011
20,20,"Kevin Chappell",NA,69.33,208,3,"EarlyRound4ScoringAverage",2011
20,20,"Vijay Singh",NA,69.33,416,6,"EarlyRound4ScoringAverage",2011
20,20,"Heath Slocum",NA,69.33,624,9,"EarlyRound4ScoringAverage",2011
20,20,"Steve Stricker",NA,69.33,208,3,"EarlyRound4ScoringAverage",2011
24,24,"Webb Simpson",NA,69.4,347,5,"EarlyRound4ScoringAverage",2011
25,25,"Sergio Garcia",NA,69.5,417,6,"EarlyRound4ScoringAverage",2011
26,26,"John Rollins",NA,69.56,626,9,"EarlyRound4ScoringAverage",2011
27,27,"Jerry Kelly",NA,69.57,487,7,"EarlyRound4ScoringAverage",2011
27,27,"Hunter Mahan",NA,69.57,487,7,"EarlyRound4ScoringAverage",2011
27,27,"Charl Schwartzel",NA,69.57,487,7,"EarlyRound4ScoringAverage",2011
30,30,"Zach Johnson",NA,69.63,557,8,"EarlyRound4ScoringAverage",2011
31,31,"Carl Pettersson",NA,69.64,766,11,"EarlyRound4ScoringAverage",2011
31,31,"Justin Rose",NA,69.64,766,11,"EarlyRound4ScoringAverage",2011
33,33,"Pat Perez",NA,69.78,628,9,"EarlyRound4ScoringAverage",2011
34,34,"Nick Watney",NA,69.8,349,5,"EarlyRound4ScoringAverage",2011
35,35,"Cameron Beckman",NA,70,560,8,"EarlyRound4ScoringAverage",2011
35,35,"Chris DiMarco",NA,70,700,10,"EarlyRound4ScoringAverage",2011
35,35,"Brandt Jobe",NA,70,630,9,"EarlyRound4ScoringAverage",2011
35,35,"Martin Laird",NA,70,210,3,"EarlyRound4ScoringAverage",2011
35,35,"Derek Lamely",NA,70,350,5,"EarlyRound4ScoringAverage",2011
35,35,"Marc Leishman",NA,70,700,10,"EarlyRound4ScoringAverage",2011
35,35,"Nick OHern",NA,70,350,5,"EarlyRound4ScoringAverage",2011
35,35,"Rod Pampling",NA,70,280,4,"EarlyRound4ScoringAverage",2011
43,43,"Blake Adams",NA,70.07,981,14,"EarlyRound4ScoringAverage",2011
44,44,"Billy Mayfair",NA,70.08,911,13,"EarlyRound4ScoringAverage",2011
45,45,"James Driscoll",NA,70.13,561,8,"EarlyRound4ScoringAverage",2011
45,45,"JJ Henry",NA,70.13,561,8,"EarlyRound4ScoringAverage",2011
47,47,"Tim Petrovic",NA,70.14,491,7,"EarlyRound4ScoringAverage",2011
48,48,"David Hearn",NA,70.17,842,12,"EarlyRound4ScoringAverage",2011
49,49,"Brendan Steele",NA,70.22,632,9,"EarlyRound4ScoringAverage",2011
50,50,"Charley Hoffman",NA,70.23,913,13,"EarlyRound4ScoringAverage",2011
51,51,"John Merrick",NA,70.25,281,4,"EarlyRound4ScoringAverage",2011
51,51,"Geoff Ogilvy",NA,70.25,562,8,"EarlyRound4ScoringAverage",2011
53,53,"Stewart Cink",NA,70.29,492,7,"EarlyRound4ScoringAverage",2011
54,54,"Woody Austin",NA,70.33,422,6,"EarlyRound4ScoringAverage",2011
54,54,"Chad Campbell",NA,70.33,844,12,"EarlyRound4ScoringAverage",2011
54,54,"Brendon de Jonge",NA,70.33,633,9,"EarlyRound4ScoringAverage",2011
54,54,"Daniel Summerhays",NA,70.33,422,6,"EarlyRound4ScoringAverage",2011
58,58,"Bill Haas",NA,70.43,493,7,"EarlyRound4ScoringAverage",2011
58,58,"Scott Piercy",NA,70.43,493,7,"EarlyRound4ScoringAverage",2011
60,60,"Kent Jones",NA,70.44,634,9,"EarlyRound4ScoringAverage",2011
60,60,"Paul Stankowski",NA,70.44,634,9,"EarlyRound4ScoringAverage",2011
62,62,"Jason Bohn",NA,70.45,775,11,"EarlyRound4ScoringAverage",2011
63,63,"Keegan Bradley",NA,70.5,423,6,"EarlyRound4ScoringAverage",2011
63,63,"Tag Ridings",NA,70.5,846,12,"EarlyRound4ScoringAverage",2011
65,65,"Nathan Green",NA,70.56,635,9,"EarlyRound4ScoringAverage",2011
66,66,"Billy Horschel",NA,70.57,494,7,"EarlyRound4ScoringAverage",2011
67,67,"Sean OHair",NA,70.6,353,5,"EarlyRound4ScoringAverage",2011
68,68,"Trevor Immelman",NA,70.63,565,8,"EarlyRound4ScoringAverage",2011
68,68,"Vaughn Taylor",NA,70.63,565,8,"EarlyRound4ScoringAverage",2011
70,70,"David Duval",NA,70.67,212,3,"EarlyRound4ScoringAverage",2011
70,70,"Rickie Fowler",NA,70.67,424,6,"EarlyRound4ScoringAverage",2011
70,70,"Anthony Kim",NA,70.67,424,6,"EarlyRound4ScoringAverage",2011
70,70,"Ryan Palmer",NA,70.67,424,6,"EarlyRound4ScoringAverage",2011
74,74,"Robert Allenby",NA,70.7,707,10,"EarlyRound4ScoringAverage",2011
74,74,"Chris Riley",NA,70.7,707,10,"EarlyRound4ScoringAverage",2011
74,74,"Bubba Watson",NA,70.7,707,10,"EarlyRound4ScoringAverage",2011
77,77,"Michael Bradley",NA,70.71,495,7,"EarlyRound4ScoringAverage",2011
77,77,"Jason Day",NA,70.71,495,7,"EarlyRound4ScoringAverage",2011
77,77,"Ian Poulter",NA,70.71,495,7,"EarlyRound4ScoringAverage",2011
80,80,"Ryuji Imada",NA,70.75,566,8,"EarlyRound4ScoringAverage",2011
80,80,"Ryan Moore",NA,70.75,566,8,"EarlyRound4ScoringAverage",2011
82,82,"Ben Crane",NA,70.78,637,9,"EarlyRound4ScoringAverage",2011
83,83,"Lee Janzen",NA,70.8,708,10,"EarlyRound4ScoringAverage",2011
83,83,"Michael Putnam",NA,70.8,708,10,"EarlyRound4ScoringAverage",2011
85,85,"Jonathan Byrd",NA,70.83,425,6,"EarlyRound4ScoringAverage",2011
85,85,"Troy Merritt",NA,70.83,425,6,"EarlyRound4ScoringAverage",2011
87,87,"Boo Weekley",NA,70.88,567,8,"EarlyRound4ScoringAverage",2011
88,88,"Stephen Ames",NA,70.89,638,9,"EarlyRound4ScoringAverage",2011
88,88,"Brian Davis",NA,70.89,638,9,"EarlyRound4ScoringAverage",2011
88,88,"Hunter Haas",NA,70.89,638,9,"EarlyRound4ScoringAverage",2011
91,91,"Kris Blanks",NA,71,497,7,"EarlyRound4ScoringAverage",2011
91,91,"Joseph Bramlett",NA,71,639,9,"EarlyRound4ScoringAverage",2011
91,91,"Greg Chalmers",NA,71,781,11,"EarlyRound4ScoringAverage",2011
91,91,"Chris Couch",NA,71,497,7,"EarlyRound4ScoringAverage",2011
91,91,"Steve Flesch",NA,71,710,10,"EarlyRound4ScoringAverage",2011
91,91,"Matt Kuchar",NA,71,284,4,"EarlyRound4ScoringAverage",2011
91,91,"Scott McCarron",NA,71,568,8,"EarlyRound4ScoringAverage",2011
91,91,"Graeme McDowell",NA,71,355,5,"EarlyRound4ScoringAverage",2011
91,91,"Adam Scott",NA,71,142,2,"EarlyRound4ScoringAverage",2011
91,91,"Scott Stallings",NA,71,426,6,"EarlyRound4ScoringAverage",2011
91,91,"Kyle Stanley",NA,71,710,10,"EarlyRound4ScoringAverage",2011
91,91,"Roland Thatcher",NA,71,355,5,"EarlyRound4ScoringAverage",2011
91,91,"DJ Trahan",NA,71,426,6,"EarlyRound4ScoringAverage",2011
104,104,"Kevin Streelman",NA,71.08,853,12,"EarlyRound4ScoringAverage",2011
105,105,"Rory Sabbatini",NA,71.09,782,11,"EarlyRound4ScoringAverage",2011
106,106,"Cameron Tringale",NA,71.1,711,10,"EarlyRound4ScoringAverage",2011
107,107,"Chez Reavie",NA,71.11,640,9,"EarlyRound4ScoringAverage",2011
107,107,"Jhonattan Vegas",NA,71.11,640,9,"EarlyRound4ScoringAverage",2011
107,107,"Johnson Wagner",NA,71.11,640,9,"EarlyRound4ScoringAverage",2011
110,110,"Troy Matteson",NA,71.13,569,8,"EarlyRound4ScoringAverage",2011
111,111,"Ben Martin",NA,71.14,498,7,"EarlyRound4ScoringAverage",2011
111,111,"Garrett Willis",NA,71.14,498,7,"EarlyRound4ScoringAverage",2011
113,113,"John Senden",NA,71.17,427,6,"EarlyRound4ScoringAverage",2011
114,114,"Retief Goosen",NA,71.2,356,5,"EarlyRound4ScoringAverage",2011
114,114,"Marc Turnesa",NA,71.2,356,5,"EarlyRound4ScoringAverage",2011
116,116,"Freddie Jacobson",NA,71.22,641,9,"EarlyRound4ScoringAverage",2011
117,117,"Aaron Baddeley",NA,71.25,285,4,"EarlyRound4ScoringAverage",2011
117,117,"Shane Bertsch",NA,71.25,285,4,"EarlyRound4ScoringAverage",2011
117,117,"Bio Kim",NA,71.25,285,4,"EarlyRound4ScoringAverage",2011
120,120,"Brian Gay",NA,71.29,499,7,"EarlyRound4ScoringAverage",2011
120,120,"Kevin Kisner",NA,71.29,499,7,"EarlyRound4ScoringAverage",2011
122,122,"JB Holmes",NA,71.33,642,9,"EarlyRound4ScoringAverage",2011
122,122,"Joe Ogilvie",NA,71.33,642,9,"EarlyRound4ScoringAverage",2011
122,122,"Nate Smith",NA,71.33,214,3,"EarlyRound4ScoringAverage",2011
125,125,"Jarrod Lyle",NA,71.38,571,8,"EarlyRound4ScoringAverage",2011
126,126,"Tim Herron",NA,71.4,714,10,"EarlyRound4ScoringAverage",2011
127,127,"KJ Choi",NA,71.43,500,7,"EarlyRound4ScoringAverage",2011
127,127,"Andres Gonzales",NA,71.43,500,7,"EarlyRound4ScoringAverage",2011
129,129,"DA Points",NA,71.44,643,9,"EarlyRound4ScoringAverage",2011
129,129,"Josh Teater",NA,71.44,643,9,"EarlyRound4ScoringAverage",2011
131,131,"Alex Prugh",NA,71.5,572,8,"EarlyRound4ScoringAverage",2011
132,132,"Ernie Els",NA,71.56,644,9,"EarlyRound4ScoringAverage",2011
133,133,"Mark Wilson",NA,71.57,501,7,"EarlyRound4ScoringAverage",2011
134,134,"Jim Furyk",NA,71.6,358,5,"EarlyRound4ScoringAverage",2011
135,135,"Shaun Micheel",NA,71.64,788,11,"EarlyRound4ScoringAverage",2011
136,136,"Charlie Wi",NA,71.67,645,9,"EarlyRound4ScoringAverage",2011
137,137,"Colt Knost",NA,71.71,502,7,"EarlyRound4ScoringAverage",2011
138,138,"Jeff Overton",NA,71.73,1076,15,"EarlyRound4ScoringAverage",2011
139,139,"Bryce Molder",NA,71.75,287,4,"EarlyRound4ScoringAverage",2011
140,140,"William McGirt",NA,71.77,933,13,"EarlyRound4ScoringAverage",2011
141,141,"DJ Brigman",NA,71.78,646,9,"EarlyRound4ScoringAverage",2011
142,142,"Dean Wilson",NA,71.8,359,5,"EarlyRound4ScoringAverage",2011
143,143,"Bill Lunde",NA,71.85,934,13,"EarlyRound4ScoringAverage",2011
144,144,"Alexandre Rocha",NA,71.86,503,7,"EarlyRound4ScoringAverage",2011
144,144,"Jimmy Walker",NA,71.86,503,7,"EarlyRound4ScoringAverage",2011
146,146,"Lucas Glover",NA,71.89,647,9,"EarlyRound4ScoringAverage",2011
147,147,"Stuart Appleby",NA,72,360,5,"EarlyRound4ScoringAverage",2011
147,147,"Steve Elkington",NA,72,216,3,"EarlyRound4ScoringAverage",2011
147,147,"Matt Jones",NA,72,360,5,"EarlyRound4ScoringAverage",2011
147,147,"Robert Karlsson",NA,72,360,5,"EarlyRound4ScoringAverage",2011
151,151,"Padraig Harrington",NA,72.11,649,9,"EarlyRound4ScoringAverage",2011
152,152,"Ricky Barnes",NA,72.14,505,7,"EarlyRound4ScoringAverage",2011
153,153,"Dustin Johnson",NA,72.17,433,6,"EarlyRound4ScoringAverage",2011
153,153,"George McNeill",NA,72.17,433,6,"EarlyRound4ScoringAverage",2011
155,155,"Robert Garrigus",NA,72.2,722,10,"EarlyRound4ScoringAverage",2011
155,155,"Michael Thompson",NA,72.2,361,5,"EarlyRound4ScoringAverage",2011
157,157,"Alex Cejka",NA,72.25,289,4,"EarlyRound4ScoringAverage",2011
157,157,"Harrison Frazar",NA,72.25,289,4,"EarlyRound4ScoringAverage",2011
157,157,"Scott Gutschewski",NA,72.25,289,4,"EarlyRound4ScoringAverage",2011
157,157,"Richard Johnson",NA,72.25,578,8,"EarlyRound4ScoringAverage",2011
157,157,"YE Yang",NA,72.25,289,4,"EarlyRound4ScoringAverage",2011
162,162,"Jim Herman",NA,72.33,434,6,"EarlyRound4ScoringAverage",2011
162,162,"Steve Marino",NA,72.33,434,6,"EarlyRound4ScoringAverage",2011
162,162,"Phil Mickelson",NA,72.33,434,6,"EarlyRound4ScoringAverage",2011
165,165,"Jason Dufner",NA,72.43,507,7,"EarlyRound4ScoringAverage",2011
166,166,"Angel Cabrera",NA,72.5,145,2,"EarlyRound4ScoringAverage",2011
167,167,"Matt Bettencourt",NA,72.57,508,7,"EarlyRound4ScoringAverage",2011
168,168,"Justin Leonard",NA,72.6,363,5,"EarlyRound4ScoringAverage",2011
169,169,"Fabian Gomez",NA,72.67,436,6,"EarlyRound4ScoringAverage",2011
169,169,"Kevin Stadler",NA,72.67,654,9,"EarlyRound4ScoringAverage",2011
171,171,"Tom Gillis",NA,72.71,509,7,"EarlyRound4ScoringAverage",2011
172,172,"Camilo Villegas",NA,73,292,4,"EarlyRound4ScoringAverage",2011
173,173,"Bobby Gates",NA,73.17,439,6,"EarlyRound4ScoringAverage",2011
174,174,"Jim Renner",NA,73.2,366,5,"EarlyRound4ScoringAverage",2011
175,175,"Arjun Atwal",NA,73.22,659,9,"EarlyRound4ScoringAverage",2011
176,176,"Bo Van Pelt",NA,73.33,220,3,"EarlyRound4ScoringAverage",2011
177,177,"Tommy Gainey",NA,73.5,588,8,"EarlyRound4ScoringAverage",2011
177,177,"Zack Miller",NA,73.5,588,8,"EarlyRound4ScoringAverage",2011
179,179,"Davis Love III",NA,73.6,368,5,"EarlyRound4ScoringAverage",2011
180,180,"Rich Beem",NA,73.67,221,3,"EarlyRound4ScoringAverage",2011
181,181,"David Mathis",NA,73.71,516,7,"EarlyRound4ScoringAverage",2011
181,181,"Andres Romero",NA,73.71,516,7,"EarlyRound4ScoringAverage",2011
183,183,"Martin Piller",NA,74,370,5,"EarlyRound4ScoringAverage",2011
184,184,"Michael Connell",NA,74.33,446,6,"EarlyRound4ScoringAverage",2011
185,185,"Rocco Mediate",NA,74.5,298,4,"EarlyRound4ScoringAverage",2011
186,186,"Paul Goydos",NA,75.25,301,4,"EarlyRound4ScoringAverage",2011
