"DrivingPctAll_RANKTHISWEEK_2008","DrivingPctAll_RANKLASTWEEK_2008","DrivingPctAll_PLAYERNAME_2008","DrivingPctAll_ROUNDS_2008","DrivingPctAll_Pct_2008","DrivingPctAll_TOTALDRIVESFOR_2008","DrivingPctAll_TOTALDRIVESOVERALL_2008","DrivingPctAll_RELATIVETOPAR_2008","stat_name","year"
1,NA,"Corey Pavin",69,19.72,153,776,0.131,"DrivingPctAll",2008
2,NA,"Jeff Quinney",87,11.36,116,1021,0.19,"DrivingPctAll",2008
3,NA,"Gavin Coles",54,10.95,67,612,0.149,"DrivingPctAll",2008
4,NA,"Richard Johnson",60,10.41,71,682,0.169,"DrivingPctAll",2008
5,NA,"Shigeki Maruyama",50,10.15,59,581,0.288,"DrivingPctAll",2008
6,NA,"Ron Whittaker",54,10,57,570,0.123,"DrivingPctAll",2008
7,NA,"Olin Browne",77,9.75,95,974,0.063,"DrivingPctAll",2008
8,NA,"Chris Riley",51,9.71,54,556,0.148,"DrivingPctAll",2008
9,NA,"Jim McGovern",75,9.23,81,878,0.16,"DrivingPctAll",2008
10,NA,"Scott Sterling",89,9.01,93,1032,0.075,"DrivingPctAll",2008
11,NA,"Paul Goydos",78,8.95,84,939,0.083,"DrivingPctAll",2008
12,NA,"Bob Estes",90,8.85,106,1198,0.104,"DrivingPctAll",2008
13,NA,"Jin Park",85,8.73,85,974,0.365,"DrivingPctAll",2008
14,NA,"Steve Flesch",95,8.67,98,1130,0.255,"DrivingPctAll",2008
15,NA,"Brian Gay",102,8.65,104,1202,0.173,"DrivingPctAll",2008
16,NA,"Alejandro Canizares",52,8.6,49,570,0.02,"DrivingPctAll",2008
17,NA,"Chad Collins",72,8.31,73,878,0.233,"DrivingPctAll",2008
18,NA,"Greg Kraft",63,8.17,57,698,0.281,"DrivingPctAll",2008
19,NA,"Glen Day",64,8.09,63,779,0.175,"DrivingPctAll",2008
20,NA,"Lee Janzen",89,8.05,84,1043,0.048,"DrivingPctAll",2008
21,NA,"Doug LaBelle II",65,7.98,57,714,0.281,"DrivingPctAll",2008
22,NA,"Kent Jones",68,7.96,61,766,0.213,"DrivingPctAll",2008
22,NA,"Stephen Leaney",53,7.96,50,628,0.08,"DrivingPctAll",2008
24,NA,"David Duval",51,7.87,45,572,0.422,"DrivingPctAll",2008
25,NA,"Shane Bertsch",96,7.83,98,1252,0.112,"DrivingPctAll",2008
26,NA,"Patrick Sheehan",124,7.8,114,1461,0.14,"DrivingPctAll",2008
27,NA,"Marco Dawson",64,7.73,58,750,0.086,"DrivingPctAll",2008
28,NA,"Craig Kanada",65,7.68,59,768,0.271,"DrivingPctAll",2008
29,NA,"Zach Johnson",85,7.62,76,998,0.026,"DrivingPctAll",2008
30,NA,"Dean Wilson",109,7.56,98,1296,0.143,"DrivingPctAll",2008
31,NA,"Carlos Franco",73,7.52,66,878,0.091,"DrivingPctAll",2008
32,NA,"Ryan Moore",72,7.5,66,880,0.212,"DrivingPctAll",2008
33,NA,"Paul Claxton",63,7.47,52,696,0.327,"DrivingPctAll",2008
34,NA,"Jerry Kelly",89,7.46,77,1032,0.221,"DrivingPctAll",2008
34,NA,"Nick OHern",82,7.46,74,992,0.108,"DrivingPctAll",2008
36,NA,"Chris DiMarco",87,7.45,79,1060,0.291,"DrivingPctAll",2008
37,NA,"Jason Gore",94,7.44,88,1183,-0.011,"DrivingPctAll",2008
37,NA,"Parker McLachlin",88,7.44,82,1102,0.256,"DrivingPctAll",2008
39,NA,"Robert Gamez",79,7.39,73,988,0.096,"DrivingPctAll",2008
40,NA,"Jesper Parnevik",88,7.37,77,1045,0.065,"DrivingPctAll",2008
41,NA,"Ryuji Imada",80,7.28,69,948,0.145,"DrivingPctAll",2008
42,NA,"Bob Tway",70,7.18,57,794,0.14,"DrivingPctAll",2008
43,NA,"Kevin Na",97,7.01,89,1269,0.191,"DrivingPctAll",2008
44,NA,"Tim Petrovic",97,6.99,79,1130,0.177,"DrivingPctAll",2008
45,NA,"Todd Hamilton",92,6.98,72,1031,0.153,"DrivingPctAll",2008
46,NA,"Steve Stricker",75,6.77,55,812,0.091,"DrivingPctAll",2008
47,NA,"Chad Campbell",94,6.75,80,1186,0.113,"DrivingPctAll",2008
47,NA,"Scott McCarron",63,6.75,51,756,0.078,"DrivingPctAll",2008
49,NA,"Dudley Hart",74,6.72,63,938,-0.032,"DrivingPctAll",2008
50,NA,"Eric Axley",113,6.66,91,1366,0.275,"DrivingPctAll",2008
51,NA,"Mark Wilson",107,6.61,96,1452,0.135,"DrivingPctAll",2008
52,NA,"Marc Turnesa",87,6.6,70,1060,0.286,"DrivingPctAll",2008
